month,Albania,Austria,Belgium,Bulgaria,Bosnia and Herzegovina,Belarus,Switzerland,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Kosovo,Lithuania,Luxembourg,Latvia,Moldova,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,Republic of Serbia,Slovakia,Slovenia,Sweden,Ukraine
9/2014,394.1841218731988,394.68388954545446,,398.56959875,393.8191011111112,392.6733409523809,393.2918,393.84630762886593,393.43353725806446,392.9514075999999,394.9166130530474,392.49451125,391.5022753333333,393.6880272304996,393.3000958823529,395.4921652538071,393.2136747252746,393.3896451715686,393.4555242307693,,395.2398286731392,393.6330245454546,,,394.23223,396.8318337837837,394.2449289795918,393.4747416666667,,392.99846375,397.0524750112867,396.4905,392.5433666666666,392.9353975725266,393.22687753653446,393.2388307563025,,391.7618753571429,393.40298624413145
10/2014,395.6509897899159,397.81702000000007,,396.30906214474845,399.1980375,393.7087136029412,396.6153911538461,395.8599831578948,396.3539935472973,,395.3888240048765,,,395.7181262855008,,395.842874106614,399.3171466666665,397.71299536470593,,,395.2006022731805,396.60043818181816,394.67605333333336,,,394.8351210169491,396.38954199386507,395.3276853846155,,381.20264,395.37862454023,396.7089775,398.2185419000001,394.6124056824719,396.939877518868,397.3223459558824,,,394.7292449669037
11/2014,,396.7641675,,395.5453867768595,,396.8667975,400.573265,399.117,395.7877664705882,,396.12403206095786,,,395.873634185022,394.12234,396.74252,,,,,396.00235006775074,,,,,394.8128680645161,,,,,394.8477022222222,395.2749925,395.3871386842105,395.8689988653846,,,,,396.0835305555556
12/2014,,,,,,,,,,,396.7152205982437,,,,,396.9138072222223,,,,,398.8076171875,,,,,,,,,,,396.7032675,,398.1521166666667,,,,,
1/2015,398.72946,,,398.93976625,,,,,,,398.1132024892704,,,397.5001305263157,,397.6706850980392,,,,,399.3086330555555,,,,,,,,,,,397.244899878788,396.23117750000006,397.897211,,,,,
2/2015,401.3162969230769,,,401.4637165970149,,,,,400.2175424934383,,399.6219485821554,,,400.50043134770885,399.07435540540536,401.07467313186817,400.68438333333336,398.8853283076923,397.501,,399.5402022692036,402.1047355172414,,,,399.425171652174,402.7790485294117,,,,398.4835360000001,399.8622427659574,399.4623413103448,399.4136579492094,402.8688874358974,,401.02145,,399.8844312790698
3/2015,403.0046330555557,401.0026147826086,401.89753260869554,401.4292862969284,400.683522962963,400.7084383333333,400.1920443076923,401.4269724827586,400.3655118068536,400.5547648484848,399.4075210797828,399.91229509259256,399.90995826086953,400.7816504577465,400.3977642857143,401.7974077380953,400.2221073399016,401.0754634184676,401.77748,,400.30869758145366,,,,401.4091948192772,403.1077972413793,,,400.0451427631579,399.7584883333334,400.6709615276312,399.6705717121047,400.3850457660167,401.08678760248733,401.63564907216494,400.8343786294416,401.155010140845,399.90764,400.6833062348877
4/2015,401.6854433333333,,402.626623076923,401.4326482327586,404.9757064444444,,401.616684117647,,401.87443743467935,401.7481325,400.5631412136267,403.42007,400.9043630952381,401.0161869254341,401.437996875,401.2651617753624,402.2844042446043,401.526494,402.15128888888887,401.4712977777778,400.7898987037037,,,,402.75037,401.425246779661,400.96652303501946,401.6723814814815,402.628014,403.58257714285713,402.8314716574586,400.7433226431298,401.89640762845846,402.00671932427474,401.3801436818181,403.52556,,402.2268586458334,402.1201977372263
5/2015,399.0852985606061,400.5040519512195,401.6956673333334,400.41616377192986,400.7866590476191,400.8870588105727,402.3929993333333,401.5274406617647,401.1720567065868,401.9031466666666,400.9435960783066,399.5911763636364,400.5205346918489,400.86142123042043,401.0468302247192,401.7663559521219,399.922293705036,402.192115,401.5216446341464,401.7715417391304,401.1048749793511,,400.77289,,400.84014916666666,400.2956992857143,,,402.532225,401.18475753846144,400.799893059126,400.9877776502732,399.98721588588586,401.3829027926732,,,399.3754048571429,400.8653587535411,400.0613322971698
6/2015,401.085379893617,399.1389194273127,397.3356875,398.0251109446254,398.6358442937853,399.0314723023024,399.4984665100672,398.1319256457565,399.3209630045045,399.19477115384615,400.1467278312341,398.16989727272727,397.9406428980892,399.03183178974075,400.2727027505044,399.49174613825977,398.9012069871795,396.9851792063492,401.64013875,398.85284362204726,398.5002325158085,398.9681925,398.9417909375,,398.75956038022815,396.74241416918426,399.461295756579,402.26721050847465,402.2782847959184,399.61283322314046,399.101681164358,400.5744922043479,397.7007690405667,397.7888962116931,397.8387585261194,398.0813154263566,398.6104404587156,398.5301565954198,397.9580156702025
7/2015,397.775412613391,398.9699969946808,398.2218749061032,396.6436285103627,397.27881957040574,396.9074992127921,399.72779157894735,397.96846249394673,398.9816014943296,394.7419961764706,398.7682920466912,395.54026455882354,396.6398499555556,398.62668737015457,396.5424989071039,396.759528957122,397.3448080898876,397.6428691884456,,395.4672810465116,397.6665653827913,397.6189338735178,396.70521625,,396.7902925409836,397.3188981403509,397.8577383760684,398.4418807792208,398.14298438596495,396.20463561379313,397.68547003891047,398.3270704093217,397.0837802972973,393.93865892125046,397.3049324197248,398.0196373557693,399.57292022727273,396.4933285772595,396.7924639803996
8/2015,396.216687410072,396.72869503999993,394.8425130158729,395.8826292606516,,393.7381568130081,396.4858692528736,395.5017522641509,396.7848831939502,394.3956269858156,396.4982364623656,394.015677323689,393.40713793964017,395.7775038551322,394.70204005607474,396.4382812382445,398.8569433412322,395.8572142727273,394.9727172,393.7937690196079,396.1062418769922,394.68109151515154,395.3755443248533,,393.90760082770265,394.321277037037,396.6434982716049,395.675404137931,394.841125,394.0795429598662,395.406747868,395.4624895679012,395.003549704676,393.64190665748833,395.3205166377441,397.8515448351648,394.45758,393.6364663087248,394.5810440336135
9/2015,396.70407437086095,398.00196180602006,391.31031700000005,396.56867036682615,398.7204654003724,394.5168176724138,396.3083419827587,398.59590928571424,395.670182773208,394.3161455555556,396.2867276576147,394.82974236363646,389.9456291666667,394.9207870302809,395.0630507806692,396.9666648474577,396.8190278947368,396.148305,395.5373533333333,395.0503263157895,397.14453449526815,396.69082888888886,392.96756,,395.478749,396.48655857326486,396.894633115942,398.46652,397.9633835714286,394.2766771984436,396.5790022120658,395.6726073346431,396.6708455574913,395.4122236482839,396.95338865695794,397.50483928571424,397.4498257777778,394.14726336,396.9593408576685
10/2015,397.69377533333335,,,396.84506,,396.57723071428575,397.531654,,396.65559196969696,400.382612,397.0068647038685,397.4946714285714,397.0568942857143,397.05454979123175,396.911876875,398.2815126576576,,,,,399.3468723175965,398.5873672727273,,,397.22778,399.505635,397.4181613432836,398.03398,,,401.5113471428571,397.6807974736842,398.559402,397.7872646820672,397.9906896035242,,,394.21732,397.4608179862069
