month,The Bahamas,Canada,Costa Rica,Cuba,Belize,Dominican Republic,Greenland,Denmark,Guatemala,Honduras,Haiti,Jamaica,Mexico,Nicaragua,Panama,Puerto Rico,El Salvador,Trinidad and Tobago,Argentina,Bolivia,Brazil,Colombia,Chile,Ecuador,Guyana,Peru,Falkland Islands,United Kingdom,Paraguay,Suriname,Uruguay,Venezuela,Afghanistan,United Arab Emirates,Armenia,Azerbaijan,Bangladesh,Brunei,Bhutan,China,Northern Cyprus,Cyprus,Georgia,Indonesia,India,Iran,Iraq,Jordan,Japan,Kazakhstan,Kyrgyzstan,Cambodia,South Korea,Kuwait,Laos,Lebanon,Sri Lanka,Myanmar,Mongolia,Malaysia,Nepal,Oman,Pakistan,Philippines,North Korea,Qatar,Saudi Arabia,Syria,Thailand,Tajikistan,Turkmenistan,East Timor,Turkey,Taiwan,Uzbekistan,Vietnam,Angola,Yemen,Burundi,Benin,Burkina Faso,Botswana,Central African Republic,Ivory Coast,Cameroon,Republic of Congo,Democratic Republic of the Congo,Djibouti,Algeria,Egypt,Ethiopia,Eritrea,Gabon,Ghana,Guinea,Gambia,Guinea Bissau,Equatorial Guinea,Kenya,Liberia,Libya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Malawi,Namibia,Niger,Nigeria,Rwanda,Western Sahara,Sudan,South Sudan,Senegal,Sierra Leone,Somaliland,Somalia,Swaziland,Chad,Togo,Tunisia,United Republic of Tanzania,Uganda,South Africa,Zambia,Zimbabwe,Albania,Austria,Belgium,Bulgaria,Bosnia and Herzegovina,Belarus,Switzerland,Czech Republic,Germany,Spain,Estonia,Finland,New Caledonia,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Kosovo,Lithuania,Luxembourg,Latvia,Moldova,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Republic of Serbia,Slovakia,Slovenia,Sweden,Ukraine,Australia,New Zealand,Papua New Guinea,Solomon Islands,Vanuatu,United States of America,Israel,French Guyana,Russia,Fiji
9/2014,395.288717037037,392.83796429541593,,395.9569638709677,,395.83108026666673,,392.9514075999999,393.78476,396.0769711111111,394.5334692857143,,395.6513366534583,394.5352,,,,,393.6497944067796,397.1639258441559,396.6867785881543,396.4203969082125,394.5465681578948,397.7378413043478,396.10443707070704,396.7190229312289,,393.3000958823529,,395.5711477777778,395.189915,396.8930552666666,395.2254964566346,398.4324640191804,396.2065192207792,398.98392260869576,394.91466,395.5342,394.00934,394.2370393254169,396.5740145714286,396.0390969117647,397.0334821487604,396.2708545260771,394.9037578980624,395.36725256282017,396.5957883869625,395.7952736913664,394.8069973214286,392.8641523741293,394.7296960702875,394.0159165625,392.65261333333336,397.431603633218,395.6414138461538,394.3250363414634,396.8034083333333,394.934540862069,393.6634784785864,396.8810563492064,394.3497923809524,397.6451924663402,396.2991312895623,396.6858476506024,393.4476449523809,400.2449014285714,396.9951881254765,395.0365177819808,394.7806224390244,395.3099565605096,394.8638470109546,397.34042947368425,395.45953722693264,397.18465106382985,394.65593420262667,395.6477826315789,396.33002973318776,397.54334005132586,,,394.3358981283422,394.7660389770023,394.3506370212767,394.25223936170215,394.3492830555555,,397.9006088961039,396.38896,397.45310795230193,394.90676862471815,398.46254751978887,399.2129241304347,,395.14890274509816,393.1132893333334,,392.3793075,,397.4539092914722,,396.9984946225957,395.78980715116273,396.6601577211213,396.4755289385358,397.4479106938923,396.0958583948425,399.25398479220775,397.1306478190744,395.459377008547,397.41060583411246,395.8054558333333,397.9746920588235,402.0905969907407,397.0256725864588,395.3930075304878,393.9461142857143,,399.2538114634146,398.4847536783989,397.699334,396.2839310183277,394.5491811111111,397.6750714175258,397.6629412760277,396.7890676368876,395.0630586559042,397.3930246099773,396.51548382122144,394.1841218731988,394.68388954545446,,398.56959875,393.8191011111112,392.6733409523809,393.2918,393.84630762886593,393.43353725806446,394.9166130530474,392.49451125,391.5022753333333,,395.4921652538071,393.2136747252746,393.3896451715686,393.4555242307693,,395.2398286731392,393.6330245454546,,,394.23223,396.8318337837837,394.2449289795918,393.4747416666667,,392.99846375,397.0524750112867,396.4905,392.5433666666666,393.22687753653446,393.2388307563025,,391.7618753571429,393.40298624413145,395.4121428685585,395.2934249889135,397.0899316216216,397.29043956521735,,394.88727484452994,394.7647643027211,396.3285194285715,392.9353975725266,397.56621406249997
10/2014,,394.5612888151659,,396.0801171428571,395.4466803846154,396.3953230379747,,,395.2001709433962,396.15692,395.8229662068965,395.5293525,394.4552953044648,396.8766444444444,395.1402,,396.2620165957446,395.3898375,395.0201111680912,396.91141836538463,397.5996825399768,396.7605711111111,395.0664178910615,397.0704617573873,397.5553769915254,397.764145184361,394.2288333333333,,396.41043,396.9955467763158,394.8890983870969,396.6458577235773,396.568789898679,397.8587929636621,397.85242339285713,395.57412910769233,395.46747566265066,,395.61978388888895,396.31186566125217,395.62665,397.45976490196085,396.49760319587625,396.6961874049946,395.9383627279698,396.2013866041073,395.6583861404972,396.8622482770022,396.45173022222224,394.6977483936782,396.3668833733974,396.76353338983046,396.5248110585198,,396.50095976449273,396.04925929936303,400.40762,395.0128043869427,395.49733346981,398.0033116455696,393.9974297794117,396.6937337259719,397.1749232290076,394.94671,396.4804537462952,398.362477032641,396.7138294856989,396.066599695321,395.7442271559632,394.5517661255743,395.7849604156614,396.7869088095239,395.3605576562704,395.4607306666666,394.6554024233474,396.5253551807229,397.8918865214486,395.5514761261731,,396.97847539823,396.5383695958155,396.0105755345506,395.4029911225071,395.231182749004,394.5461235877862,396.8333592857143,398.2701757478368,397.2469379512195,396.5384579267389,395.2784238287242,397.2481332709012,398.0716242906575,396.0522975,395.89338488188974,396.5585357298475,,399.63608,398.77714,397.5739395491804,395.3712869318183,395.99180551499,396.5097412195122,395.9804721944933,397.0797673894534,397.0629191022495,397.63780537370985,397.6226393250881,396.7232025252525,396.9954323623506,396.4031457923851,396.6139889070568,,396.88589676691726,395.6647889735185,395.6360279983036,398.17793379629626,393.8048761538461,396.8121729343308,397.6810292463055,,396.2520671366441,394.8390590243903,398.3557542312925,397.4470389337176,396.5602623,396.2884884741072,398.0019516622236,397.2621896227832,395.6509897899159,397.81702000000007,,396.30906214474845,399.1980375,393.7087136029412,396.6153911538461,395.8599831578948,396.3539935472973,395.3888240048765,,,395.9311994736842,395.842874106614,399.3171466666665,397.71299536470593,,,395.2006022731805,396.60043818181816,394.67605333333336,,,394.8351210169491,396.38954199386507,395.3276853846155,,381.20264,395.37862454023,396.7089775,398.2185419000001,396.939877518868,397.3223459558824,,,394.7292449669037,395.7518881622739,394.4124858344459,395.8600326712328,397.67285,,394.9639881640154,398.916543964497,397.4252473372781,394.6124056824719,395.8559966666666
11/2014,397.30123249011854,396.6612021487603,397.0130636842106,397.0553298095239,,396.7411779566563,,,395.69218666666666,397.9106228571428,396.7893874825175,396.5041453333333,395.8225943264362,394.8882,394.187155,394.365635,395.8424022330097,,395.4311757223576,396.1784247619048,398.3364508874879,396.8141146049046,395.3857169360269,397.3507675949367,,397.45401379802416,395.5430626086957,394.12234,395.188180625,399.966875,394.67870247368427,397.49988064714944,396.1334618891211,398.6013059325044,395.527244893617,395.4664376973684,400.408878308393,400.384,395.99471000000005,396.5594980030579,397.49427368421055,399.9071325,396.0924419858156,397.6558321306069,397.16653044484826,396.2488048359096,396.1745413578826,396.172649302935,397.17265720883535,395.32948585540447,395.9116613402063,399.9394869868995,397.3308284046693,397.8461077777778,398.3535020888889,,402.35043,396.9971968412698,395.3790808459274,,397.22875188,396.61939670526135,396.5421522062189,396.9356992903226,396.6429448192771,398.4171252351097,397.2518343868966,395.0229677713816,398.2541734221312,396.4641988554216,395.9087273962776,398.1479743518518,396.07247238316313,398.3093631034484,395.9005074943482,397.8627197282609,398.47275318721466,396.3638991149388,,400.4374185,398.4087608179582,396.86036540171176,398.3469093899101,397.603467014218,397.69190333527695,398.11084212121216,398.3105830259271,397.0860093559322,396.3143760797855,396.0237146700063,396.87672565408576,396.9932976458333,399.3005156097561,399.08217622286537,399.5106228951748,397.52596222222223,396.03394390243903,399.0425100000001,397.7476126075268,,396.3122553157701,397.4597107423581,396.1815416980156,397.8787619777454,397.2204210634392,397.6809423195794,397.1608101807018,397.930578302521,396.3013298282356,397.12571900953,397.9194780755914,,395.9108644303797,396.2499892546225,398.39270259955606,399.1119378933334,397.16406608695655,396.5891230027453,396.2751468419735,401.02339093023255,396.7335015936912,400.4901414026403,396.6033793949344,398.540843419629,397.3614156506849,396.1926115420693,399.2254203685039,398.33937907985535,,396.7641675,,395.5453867768595,,396.8667975,400.573265,399.117,395.7877664705882,396.12403206095786,,,397.2756546153846,396.74252,,,,,396.00235006775074,,,,,394.8128680645161,,,,,394.8477022222222,395.2749925,395.3871386842105,,,,,396.0835305555556,397.16131213005497,396.2530114939025,397.00408476562495,393.4335,394.781162,395.76295374628853,400.5196224137931,398.0651672727273,395.8689988653846,
12/2014,397.3433232352942,397.5622545833333,397.7942893939394,398.1148241860465,397.0342516666667,397.006437925636,,,396.51391560655736,397.28241245810057,397.29221318302393,399.85983,397.1974808565369,398.0352446835443,395.8430325,,396.8237885686274,399.3316475,395.5367232036577,396.5483049732621,398.2308911131898,397.8497509880565,395.4722803940886,400.3068922352942,400.4794749122807,397.488317575,395.94580850000006,,395.35838,398.8634697142857,394.38436096774194,398.7031131754875,396.4279118490911,397.9287294841032,,396.58613181818185,397.4423877121464,,397.4237419565218,397.7324559251787,398.1005616666666,398.7224520000001,,398.85914580246913,397.266751184564,396.9133008710671,397.2144241651786,398.1392886532951,398.270804870518,396.290262247191,395.59532692307687,399.5205800214593,400.3908933333334,397.7787993442624,398.69540298833823,,,396.7860082060242,396.70571864197535,396.55052,397.5403447197641,397.02132202,397.0382453439244,398.4511802487562,400.3149733333334,397.1637834911243,397.4753735707289,397.20450044950735,399.2140352787896,397.09107063291134,396.5308821294152,,396.8249706772908,,395.8825058520599,399.0805721853547,396.3819983953401,396.8767843386018,,399.6680976513493,398.2978434538908,396.83592891666666,399.8113777128936,401.7400989107029,400.089934010436,401.7352365306122,399.56979404622285,398.0624336070381,396.8834184154936,396.72234867791576,397.742861304081,397.2720599626052,401.59054354166665,399.9567484469832,399.0965356653368,399.8557614285714,398.0665745192308,400.8850345,399.0441212173547,399.0672362613065,396.99966196588673,399.5339411111111,396.64166230836906,396.43894216867466,398.0155413009034,396.6822254676711,397.9279501446461,398.1157246542553,396.1563477338086,397.4544090318119,398.0654805903545,,396.7506222240896,396.8351837393552,399.4684793260985,399.2944438643533,399.9998274375001,396.7857498117586,398.32925140196176,,397.278320578145,401.8297965384616,398.29756939236927,398.2503876923077,399.5455816466346,395.7172927949065,397.8849068825911,396.12612198965513,,,,,,,,,,396.7152205982437,,,395.7919558333333,396.9138072222223,,,,,398.8076171875,,,,,,,,,,,396.7032675,,,,,,,396.72907385137535,395.50972684158415,399.2336381632653,399.97534166666657,396.8469838095239,397.5148595799225,398.0454717339666,401.10381,398.1521166666667,399.6587653846154
1/2015,398.28111125,399.5234185714285,,399.03389067039103,399.6056880769231,399.85898,,,398.1835886752136,399.2582024390244,398.6903665745856,400.3247356756757,398.33163514769547,400.45603694444446,398.4774891390729,399.83456,398.2906326392962,,395.7250150713994,397.4990629411765,397.9083310094408,398.3889962405498,396.3569118172791,399.370295,401.0212800000001,397.46376645367417,,,397.43683,400.2853810000001,394.94142494505496,400.3613420950061,396.3610766455696,399.3790026121636,,395.6557350000001,397.39506104119,399.4446266666666,,398.7482544717887,400.547335,402.04006333333336,,399.6964952442997,398.16613762993865,398.417779546973,396.9433035702587,399.0231698947368,398.60956350970014,398.5583963461538,398.10609,398.7435158945386,399.0580757894737,,399.4774204109589,397.3093633928572,,398.4151173368226,396.7296233620689,400.5176750707548,399.027406031746,397.5543628916914,397.6356519360456,399.22347496815286,397.737089,,397.3472108953841,397.46505401244167,398.9411217085428,399.2273175,397.2032411907656,,399.6084994117648,398.3366429779412,399.0571622222223,399.5015421544716,395.1961057768447,397.4377759919451,,402.0509987396504,400.1744317099906,396.9246022808511,401.32367966295226,401.06544672757474,401.50838195078296,402.5733418726592,401.6813836809104,399.9393101168615,397.64328983527616,398.05573194975096,399.1653521058288,398.97601975680936,404.504945,403.04384507129794,401.1302249947617,399.8584827659575,404.1351273195877,399.27415466101695,399.233347064572,401.1017663909774,398.0040598508688,396.373217,397.7426559047417,395.9875376984127,399.0725427324389,395.99133343065694,400.5376849213483,,395.4147667278912,399.0465686965036,401.7327923151125,,398.4909156296296,398.6666411479098,401.5910230009547,401.48884982456144,,397.0551550389756,398.4891188980583,397.1411631428572,399.2440274237759,403.4068681790123,399.7815914529445,398.6165754492753,399.4785489354984,396.2289747222617,395.9212146153846,395.2318017132867,398.72946,,,398.93976625,,,,,,398.1132024892704,,,397.7729417460318,397.6706850980392,,,,,399.3086330555555,,,,,,,,,,,397.244899878788,396.23117750000006,,,,,,395.84019349228754,396.2657103020134,397.6789648148148,394.9766623076923,,398.41392632598905,399.8257814674556,,397.897211,
2/2015,399.5322938461538,399.545674528302,398.61328785714295,399.7689085412263,401.615005,399.04222491961417,,,399.2192098646034,399.1626181116585,400.61433514705885,399.76896875,398.38486790480135,398.7348045794392,399.6634271501272,399.13732580645166,400.1779221568628,399.58105480519487,395.21018016181057,396.34441896103897,398.3745046784105,400.2982662477559,396.1379866353755,399.5162651,400.5311426086956,399.5057932022472,,399.07435540540536,398.7738183333333,396.1610325,394.676856259542,400.11387946529743,400.147192729636,400.9330770954003,401.9802914285715,398.7967463706564,399.9726375288304,399.842375,398.1549264150944,399.7777496232442,,,400.9220446969696,398.87003657580914,399.8607756951784,399.8107339827603,398.9505317456713,401.8315274855492,401.6218561614661,399.85101384383375,400.0627384444445,401.07107680203046,402.01350353658535,405.987785625,400.663463623828,,399.4121623076923,399.51428970807535,399.82748318349,401.04942833333337,399.96391437062937,399.7964429855328,401.32570894061,399.56467952457695,402.4667948611111,403.3656872727273,400.6160804083114,401.3483749720149,400.6437498585231,398.2961447826086,399.5572688073394,393.46432,399.4264092559525,399.9536823214286,399.7913630588235,400.21084058505846,395.01804615103526,398.8350969248505,,403.44893505214367,401.0429928744939,395.1755537236255,404.92752671978025,403.2668978230866,404.2913754674221,401.3123666666667,399.8793739653134,398.93638073555167,399.19259808195466,399.8997123657255,400.1260834847649,398.81685065356265,,403.8057759117998,402.6888731420681,404.61186080459765,403.53175929166673,,400.2977498083941,401.056759,399.6322489275603,395.5510206542056,399.09723201163865,396.2470881578947,400.6810271708048,395.7880831010101,400.278580900731,394.03177,395.25268651822654,400.1566865454977,402.5253497738015,,399.09499480878185,399.7084644987349,403.48262661987934,404.1339873432836,401.7941916444444,398.23676814169056,398.6455296425812,396.4057370807453,400.0515323392613,400.757512,402.0249930989011,398.6691501082251,399.8554023690205,395.5018211948625,395.0439195833333,394.303956608076,401.3162969230769,,,401.4637165970149,,,,,400.2175424934383,399.6219485821554,,,397.3711381395349,401.07467313186817,400.68438333333336,398.8853283076923,397.501,,399.5402022692036,402.1047355172414,,,,399.425171652174,402.7790485294117,,,,398.4835360000001,399.8622427659574,399.4623413103448,402.8688874358974,,401.02145,,399.8844312790698,396.1332458080468,395.3649480130636,398.9759705583757,,398.9875,398.6298360217809,,399.0617796428572,399.4136579492094,
3/2015,400.15477894736847,400.5355859885483,398.6722847104247,400.73429798583,400.1465126428572,398.9884920817121,,400.5547648484848,399.8243633530805,399.848110060852,399.846484497992,401.4961382608696,399.75714219699046,399.0479610833333,399.974863203125,399.9359500000001,398.9885453787879,,395.5781017290683,396.90014194029845,398.4604853453871,399.6734253126311,396.2505030755232,398.61055701492535,400.17874896296297,398.37377181165925,395.2307777068558,400.3977642857143,397.626194,399.7222228125,395.0338020697675,400.74114291869614,401.4733767423728,401.53623882989183,400.9975242857142,400.0635682110092,399.9540419175028,404.145124,400.9484366666666,401.2231695013216,399.80646079545454,400.19736073170736,400.4747232367149,399.1178627042253,400.901816047121,400.3836284417416,400.9550011021927,400.9686864220183,401.7189796366595,400.3123214553456,400.81750275510205,401.7028050791717,402.7512855983773,399.07030666666657,401.94174799834576,400.6789708571429,399.5601213793103,400.6851240083228,400.4025230133129,400.13737672413794,400.20597912500006,401.8658469916435,401.9720819495756,399.7208202845189,402.1936636814891,403.816466882353,401.9695089174461,399.75955292628447,400.7778515851517,400.5681749382716,399.6657402929688,397.1725932222223,400.7017651255814,,400.0210385436263,400.6134005878962,396.420925,400.7481372758398,,408.04253,405.2237985621971,395.38119866454537,404.28211082595874,404.0213913190954,405.3419302127659,402.54477080645165,398.6907239438757,402.19120266375546,400.3408576454887,400.0501352761496,401.4543325376791,402.2047582286917,401.2573150322581,406.5538921863799,404.46940583149535,,405.51155576470586,,400.4512460289622,402.99858191438767,400.6114390135979,396.559516485623,399.6954389006343,396.5211299085565,401.264257016154,395.9796079068304,400.4818044485543,396.6625976884422,396.2897770155837,402.7486732859626,407.0192929319372,,400.55853942603073,401.7100404220119,404.9369606476267,403.3692304030227,405.5273510857143,399.762058330972,399.9647319150481,397.4377228571428,402.275903518797,405.32184708333335,399.1784344536082,399.0350089310188,401.3311600868486,396.200772201182,395.6768496953405,395.84551810810814,403.0046330555557,401.0026147826086,401.89753260869554,401.4292862969284,400.683522962963,400.7084383333333,400.1920443076923,401.4269724827586,400.3655118068536,399.4075210797828,399.91229509259256,399.90995826086953,396.76777367187503,401.7974077380953,400.2221073399016,401.0754634184676,401.77748,,400.30869758145366,,,,401.4091948192772,403.1077972413793,,,400.0451427631579,399.7584883333334,400.6709615276312,399.6705717121047,400.3850457660167,401.63564907216494,400.8343786294416,401.155010140845,399.90764,400.6833062348877,396.0865830049955,395.9347263086233,398.2334932608696,,396.94804880952375,399.96376945469854,399.4391326785714,398.66941333333335,401.08678760248733,395.96059388888887
4/2015,400.4928105128205,401.7898451260716,400.1214916239316,401.6342842515924,401.2997961111112,401.4619390909091,403.614904,401.7481325,400.72567878274265,401.5199582288829,400.7406048684211,400.5682151724138,401.1658269090146,401.7356051928021,401.0554091428571,400.42042,400.0425041114983,,394.8950543805704,398.54248,398.6167675929368,402.4871612209302,396.3243072658228,402.77197,400.81632817438697,399.3007462857143,396.22896666666674,401.437996875,,401.0928784210526,395.382737375,402.5677674208145,399.7154809358372,404.8797239294405,,401.8225016216216,403.8045763636363,402.6773742105264,,402.5710430166603,400.5424236842105,403.31008875,401.15534539999993,398.7497157820738,403.77194068739874,401.8028358295445,402.5070667850596,400.28275142403055,403.4686908584807,401.5091128913876,401.99129924855487,403.0126206151645,404.1271545333333,,402.2826204903226,401.3973485714286,400.910690960452,402.9349225136463,401.69973607176144,401.5942274157303,402.7910526840491,404.26890126480345,401.87063230284775,400.8841163234042,404.9433653672317,402.7883628448276,402.73059543258734,401.7110046234939,402.045661304192,400.7660360493827,401.40374024444446,397.79209263157895,401.1165251493507,402.3024055813954,400.82439363486304,401.3740750144928,396.9581026119403,400.8105231418523,,408.516325,405.5246162905719,395.3272795845698,405.5258629,403.50965,406.7446371180556,398.15755763157904,400.5232706760564,406.47203129870127,400.5580453060541,401.1897453036117,403.07275243717504,402.05651941925225,405.4737542857143,404.7890880157688,403.94645252056847,406.1691630769232,409.54886,,399.7597262390158,402.81976,400.67819352569177,398.72100666666665,400.5711598615212,396.2047893941211,401.9789306867197,395.7106413142174,403.0032445007236,394.7091599404762,396.0703898404476,401.8999527757173,406.3061211831442,,400.9213665590484,401.7433160190745,408.0238679846659,404.2102874744027,405.4781699545455,400.938186538025,400.3971155159357,,402.2207633025256,,400.61292084023074,397.0661496539792,,395.1671437194549,396.13069221590905,396.3115530320699,401.6854433333333,,402.626623076923,401.4326482327586,404.9757064444444,,401.616684117647,,401.87443743467935,400.5631412136267,403.42007,400.9043630952381,398.1809186585366,401.2651617753624,402.2844042446043,401.526494,402.15128888888887,401.4712977777778,400.7898987037037,,,,402.75037,401.425246779661,400.96652303501946,401.6723814814815,402.628014,403.58257714285713,402.8314716574586,400.7433226431298,401.89640762845846,401.3801436818181,403.52556,,402.2268586458334,402.1201977372263,395.9816228710399,395.9070523376623,397.5241724301676,,,401.8248647650465,400.1287544059405,401.5649957142857,402.00671932427474,391.64671
5/2015,401.8515472727273,401.4009476695634,403.4941811904762,403.2590505365854,402.4872940860215,404.51842532608697,400.3865325609756,401.9031466666666,403.0112489349112,403.8801814666666,404.7852664864865,400.69227703703706,401.80020645041054,402.56801769607847,402.4036640540541,,404.1698252941176,,395.2290072185027,396.939325625,399.5691729328404,402.3567927155172,396.9668086338798,401.5943041176471,400.029441,399.860744321192,,401.0468302247192,,398.9062733333333,,404.8203510146699,403.21484135491374,407.5039730950974,,400.9131882871537,402.6069054545454,401.32105600000006,403.8080100000001,402.6305644109275,403.4985193333333,402.6056802597403,401.1818309931506,398.3322333399734,404.8032550183851,403.4187137882812,403.9129932580124,402.4564038866667,402.34393838452326,400.6276124291397,400.2364506808511,402.6412942541436,402.7558661039756,,404.0357919957537,401.5364133333334,,404.3621385238096,401.69088973810216,401.1276901709401,404.78944605531296,404.0811756536184,404.1588498910042,401.86836145922746,403.0582974600505,408.5253471256039,405.0911224733457,401.9666796438356,402.98741368383406,402.9761026010101,402.90746449012914,397.89674553571433,400.8854472052013,,401.7568087020268,403.6129592567568,397.3627925173304,403.41402483856086,398.917638125,407.79616345679017,408.0357752941177,396.3666723479465,399.33353450502153,402.5875207894737,406.3973362458472,399.3478049438203,397.4738171668047,405.5963795238096,402.8984789381949,402.229798889045,403.07716811284047,405.38929135273975,401.4980885185185,399.97433,405.7620909558824,404.9030420833333,403.0427424358974,,399.6330244209984,393.1488,402.6281359211754,,402.2078976898634,397.5691432895686,405.00419301798473,397.1915326073863,403.5603363294652,397.8165629365079,396.4400146812428,403.8276307605997,407.1124644975053,398.75015,401.4953037796209,403.3678421194456,400.8503745099951,406.1755650769231,403.018439375,402.0204573929591,400.5467121108545,400.3834221428572,402.9819617620597,403.1639744444444,403.30650922746776,397.9044092626728,397.9619647674419,396.6535922775548,397.47991031334175,397.1987047433694,399.0852985606061,400.5040519512195,401.6956673333334,400.41616377192986,400.7866590476191,400.8870588105727,402.3929993333333,401.5274406617647,401.1720567065868,400.9435960783066,399.5911763636364,400.5205346918489,400.14246,401.7663559521219,399.922293705036,402.192115,401.5216446341464,401.7715417391304,401.1048749793511,,400.77289,,400.84014916666666,400.2956992857143,,,402.532225,401.18475753846144,400.799893059126,400.9877776502732,399.98721588588586,,,399.3754048571429,400.8653587535411,400.0613322971698,396.22600342661,396.553265625,398.2495862857143,,,401.7608171420726,402.92579109427606,400.61548,401.3829027926732,
6/2015,401.3484524242424,398.5173082554145,,402.4155628787879,,402.5496012025316,398.4805501491054,399.19477115384615,400.6589606060607,404.02531625,404.4511305882353,401.6379783018869,401.38596355379656,402.9003263934427,400.23883375,400.81734125,,401.4600121052632,395.6462042105263,398.4206839419088,399.8192447127072,400.9529254115226,397.6416351048951,399.2826269135802,400.5551213333332,399.9208341627206,,400.2727027505044,397.16837,400.6048885167464,397.3260289795919,402.6090251294343,401.3323366577649,407.12168146191647,401.78734585,402.97221863636366,403.15317864864863,,,399.85852646752016,398.5554414285714,399.8291540833333,400.5310988590604,399.0235164120127,404.88914635467984,402.41761687837567,401.68661020478095,400.3474016655406,398.2090923518164,397.7004917337483,398.5794051577402,401.136215399061,400.67066023364487,403.0692230632411,401.8555760689656,401.5356542672414,,403.2744660465117,397.82419068919904,402.0008643902439,403.87648781350487,405.5924255426497,402.7245361482821,402.1256435426009,398.6927053763441,404.33350046099287,402.721036203787,402.37960950127655,401.7724010502283,401.2460463198248,400.4021785594795,398.34066448,400.4375995424734,401.78521313725486,399.9517995542896,401.8121433149171,398.4588771560352,403.8277231027104,399.1467625,401.1225592307693,406.8970737175792,396.9938502535392,400.9357683908046,400.27578666666665,403.8205298058253,397.8151625842696,399.41661565708966,407.9403314634146,402.26667696805225,400.97194540557047,403.6957961001902,406.32420926315785,396.493529375,398.3759633333334,404.2801141666666,406.80183,407.1318,397.268325,401.37485302158274,403.2793499999999,401.6576194775094,398.30435204968944,401.7283249486356,397.8203292401501,406.6863060264441,397.93710662147794,404.3582197464752,398.0899772118959,397.13162192372425,405.5466503672231,406.1887300993848,,402.6587917594656,403.8569774995395,400.40508529503103,406.63309242214535,,404.4874512718447,404.1301263800905,396.1595007092198,404.7386546669688,401.42523,402.0134855610055,398.8835218467996,399.4463671578948,397.4517273762266,398.202507056119,397.8211984032741,401.085379893617,399.1389194273127,397.3356875,398.0251109446254,398.6358442937853,399.0314723023024,399.4984665100672,398.1319256457565,399.3209630045045,400.1467278312341,398.16989727272727,397.9406428980892,400.09636,399.49174613825977,398.9012069871795,396.9851792063492,401.64013875,398.85284362204726,398.5002325158085,398.9681925,398.9417909375,,398.75956038022815,396.74241416918426,399.461295756579,402.26721050847465,402.2782847959184,399.61283322314046,399.101681164358,400.5744922043479,397.7007690405667,397.8387585261194,398.0813154263566,398.6104404587156,398.5301565954198,397.9580156702025,396.8102667110532,395.76265937500006,399.4578637837838,399.85574375,399.3109708333333,400.1943864237993,398.90490642477886,400.8312104081633,397.7888962116931,
