year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,30056.783518661447,2698.74463513297,96.77113178729662,17928.79549040206,6905.514357299231,24487.51462804958,10.96369933352676,276.7730808379642,10.285091331986015,0.0,2896.318251722552,0.2337433942158047,0.0,0.7116906860932782,0.0,0.0,0.0,4483.894823892509,7790.0845610942015,24043.308557010536,0.0,711.0591011000039,227588.89465289688,0.0,42971.34363941617,0.0,0.0,0.0,0.0,0.47673624035462797,60.48839959163391,345.71834146253263,239773.7207153658,356.7945881049225,12394.220277601302,2662.826273064199,4141.975778538668
1993,30055.591863010755,2698.74463513297,96.77113178729662,17925.249708898886,6905.514357299231,24487.35784506549,10.96369933352676,276.7730808379642,10.285091331986015,0.0,2896.318251722552,0.2337433942158047,0.0,0.7116906860932782,0.0,0.0,0.0,4483.894823892509,7790.0845610942015,24043.308557010536,0.0,711.0591011000039,227588.34207960815,0.0,42971.11076719299,0.0,0.0,0.0,0.0,0.47673624035462797,60.48839959163391,351.47455658347235,239773.6441658947,356.7945881049225,12394.220277601302,2662.826273064199,4141.975778538668
1994,30054.959931773272,2698.74463513297,96.77113178729662,17921.291450848843,6905.514357299231,24487.279448294685,10.96369933352676,276.7730808379642,10.285091331986015,0.0,2896.318251722552,0.2337433942158047,0.0,0.7116906860932782,0.0,0.0,0.0,4483.816392841824,7790.0845610942015,24043.227278779115,0.0,711.0591011000039,227588.10688406506,0.0,42971.11076719299,0.0,0.0,0.0,0.0,0.47673624035462797,60.48839959163391,356.53804746702787,239773.6441658947,356.7945881049225,12394.220277601302,2662.826273064199,4141.975778538668
1995,30156.753309208165,2737.5002399690275,96.93071291633525,18117.05747105225,6892.981866759929,23537.438825616813,10.96369933352676,276.85132958075604,10.285091331986015,0.0,2905.5907182728492,0.2337433942158047,0.0,0.7116906860932782,0.0,0.0,0.0,4484.518278273865,7794.251887594004,23898.869095977876,0.0,711.0591011000039,227892.40690108505,0.0,42495.836975369406,0.0,0.0,0.0,0.0,0.47673624035462797,60.73685189287502,363.5714905857295,240891.9310870253,406.72785030768176,12472.89352001821,2335.6615118876225,4141.975778538668
1996,30198.974465472376,2755.539130314409,99.86609158844222,18221.611659173737,6875.6634560374505,23526.81352965366,10.96369933352676,276.85132958075604,10.285091331986015,0.0,2907.6953061253985,0.2337433942158047,0.0,0.7116906860932782,0.0,0.0,0.0,4478.471320368555,7794.258546675413,23849.8629578362,0.0,710.8958664546202,227887.41333768488,0.0,42426.77802946491,0.0,0.0,0.0,0.0,0.47673624035462797,61.39947105057701,370.9978219701374,240986.03197830872,447.90699254513265,12514.951864894187,2137.5858692941465,4141.975778538668
1997,30207.44950760466,2762.120491280181,99.94516654736124,18270.519090236518,6869.784550548026,23522.653134948905,10.96369933352676,276.85132958075604,10.285091331986015,0.0,2903.613339788027,0.2337433942158047,0.0,0.7116906860932782,0.0,0.0,0.0,4471.118014878505,7797.249052683863,23697.700509497645,0.0,710.6530141271335,227968.02236854983,0.0,42387.865687352714,0.0,0.0,0.0,0.0,0.47673624035462797,62.310616049238384,380.4387805867124,241142.2624198784,475.30494291045557,12570.336701340517,1953.3703061045298,4141.975778538668
1998,30225.07794284152,2778.863818797212,103.94156089708386,18403.53170210314,6860.415021765048,23538.652631783814,10.96369933352676,276.7730517153486,10.285091331986015,0.0,2900.5653373609252,0.2337433942158047,0.0,0.7116906860932782,0.0,0.0,0.0,4468.850438316045,7797.640916404056,23646.633803445457,0.0,710.4957893988828,228000.00420076796,0.0,42235.88477889716,0.0,0.0,0.0,0.0,0.47673624035462797,63.05614301128266,395.232630283437,241145.47438473647,481.52044976517317,12585.020410987148,1911.9340112166246,4141.975778538668
1999,30228.46381331858,2824.5070066667554,111.29101531586676,18648.62462485469,6873.068137017634,23430.86722162038,11.11923740956441,269.83546563699184,10.285091331986015,0.0,2931.388004429181,0.2337433942158047,0.0,0.7116906860932782,0.0,0.0,0.0,4469.261043538378,7797.030943893102,23354.276353609843,0.0,710.25748943968,229439.8125542676,0.0,42137.5723435271,0.0,0.0,0.0,0.0,0.47673624035462797,63.13899337595721,405.23859701917405,240044.1661314673,501.1239352455736,12667.018031188985,1622.4717809853717,4141.975778538668
2000,30212.535924760406,2831.197214806362,111.12708250747124,18650.06438495292,6820.357613244523,23110.93183241831,10.962406943976735,241.58519096814894,10.285091331986015,0.0,2910.2229589754916,0.2337433942158047,0.0,0.7116906860932782,0.0,0.0,0.0,4466.6762850771265,7810.191703555089,23003.00456670974,0.0,709.0460679636914,230121.6333056819,0.0,40858.921722509964,0.0,0.0,0.0,0.0,0.47673624035462797,63.22183914912315,418.8314272706604,241323.15461218148,504.01793012514736,12800.641020998944,1562.207633027161,4141.975778538668
2001,30171.936701850158,2837.01684771874,111.12708250747124,18679.552283897683,6702.1402602421385,21926.290799675113,10.805608127440511,240.80288711109642,10.285091331986015,0.0,2908.285418409547,0.2337433942158047,0.0,0.7116906860932782,0.0,0.0,0.0,4466.754660737981,7815.53718606692,22829.403314330877,0.0,708.6441077374304,230969.69966829362,0.0,40550.353342469825,0.0,0.0,0.0,0.0,0.47673624035462797,67.11633137723352,455.1568895556292,242369.978627217,508.6466826671336,13063.448495249871,1147.8355285842986,4141.975778538668
