year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,167057.39106378594,264587.73353495635,25.949336607857177,56.896163670702215,115518.66071150618,59211.57699609363,74570.91221499919,125430.4965324181,176268.2763241247,4253.215249720744,0.0,0.0,0.0,0.0,0.0,0.0,2315.163289029535,58343.58873563076,8610.106118191221,908216.1399873559,0.0,3.1319845910679356,75952.72743452093,0.0,453792.97870808956,0.0,0.0,14891.726331215305,0.3217191735683894,5.974435244711972,84325.69496830385,3930.5140500989323,124390.0310068786,0.0,0.0,58744.8240706067,4878.746613371911
1993,167011.59421601525,264581.85035407636,25.949336607857177,56.896163670702215,115516.57284473345,59198.93147523805,74570.91221499919,125429.93478870906,176268.19758333437,4253.127374449425,0.0,0.0,0.0,0.0,0.0,0.0,2315.163289029535,58338.30404969866,8610.022864468554,908191.8854885671,0.0,3.1319845910679356,75952.27367232539,0.0,453790.41351841995,0.0,0.0,14891.642841106695,0.3217191735683894,5.974435244711972,84324.98194444798,4032.4088496940326,124389.02699370596,0.0,0.0,58744.51296450718,4878.746613371911
1994,166962.21951126435,264575.3276820884,25.949336607857177,56.896163670702215,115514.47105862224,59188.27064272126,74570.35718532235,125429.25058871202,176268.03210334064,4253.127374449425,0.0,0.0,0.0,0.0,0.0,0.0,2315.163289029535,58331.787956169595,8610.022864468554,908168.8760783155,0.0,3.1319845910679356,75952.01255257566,0.0,453787.7054279236,0.0,0.0,14891.642841106695,0.3217191735683894,5.974435244711972,84324.42291004877,4136.678130995126,124388.28682564416,0.0,0.0,58744.10230472827,4878.746613371911
1995,167296.69533361404,266126.14564030734,25.949336607857177,56.896163670702215,116034.00648867838,59458.69405313239,74500.03670134624,121675.08125573708,176273.23116745567,4254.347668891329,0.0,0.0,0.0,0.0,0.0,0.0,2318.8607908936037,58301.66633473854,8528.634251436719,908974.9830731886,0.0,3.1319845910679356,76034.21348000549,0.0,452842.4829521771,0.0,0.0,14919.2114338731,0.3217191735683894,6.528064732108398,84220.30060269967,4216.047195553165,125444.88852132857,0.0,0.0,58991.67675298123,4878.746613371911
1996,167495.78707921022,267373.0437210753,25.949336607857177,56.896163670702215,116240.15258837728,59550.69837659532,74468.58631109123,119675.62510736754,176338.67793021502,4261.399322329891,0.0,0.0,0.0,0.0,0.0,0.0,2320.649586768435,57845.54095323681,8459.996551196235,908870.674097449,0.0,3.1319845910679356,76089.80971126155,0.0,453036.76277847507,0.0,0.0,14923.815220337987,0.3217191735683894,6.528064732108398,84161.84859559158,4289.298647138125,125670.8192176052,0.0,0.0,59338.01790271604,4878.746613371911
1997,167937.07025521997,269040.7011098277,25.949336607857177,58.622254453393836,116668.54992995235,59775.25298821702,74381.81667480039,116440.19217786845,176350.6560105084,4259.500105338417,0.0,0.0,0.0,0.0,0.0,0.0,2320.9326959850914,57718.84954239831,8446.546282133302,908917.7991500178,0.0,3.1319845910679356,76154.83030270915,0.0,453006.8795670988,0.0,0.0,14935.094914806556,0.3217191735683894,6.528064732108398,84260.93371937674,4359.240674822294,125811.89629322558,0.0,0.0,59622.7352129489,4878.746613371911
1998,168972.21278610188,271455.00278296805,25.949336607857177,58.622254453393836,117399.5689482415,60078.40479962334,74112.0701011455,110449.94965355746,176316.9565995889,4257.606576963256,0.0,0.0,0.0,0.0,0.0,0.0,2321.6366175191743,57643.666645089135,8316.766856054584,909697.581660537,0.0,3.1319845910679356,76298.21491792475,0.0,452999.51903310715,0.0,0.0,14970.979119631356,0.3217191735683894,6.528064732108398,84736.12650133643,4429.805877473323,125955.81918572092,0.0,0.0,59997.58894467115,4878.746613371911
1999,170779.55273957143,274646.8845850729,25.049067495738598,59.36282043613693,118671.93952895838,60925.899378333794,74012.76631845089,100885.97799741747,176514.9354035358,4246.6171203366275,0.0815630020495716,0.0,0.0,0.0,0.0,0.0,2319.1662603825007,57025.59707237624,8315.234939245893,910868.2120246387,0.0,3.1319845910679356,76752.04680828162,0.0,452181.7739418412,0.0,0.0,15015.438593286497,0.3217191735683894,6.607216220966438,85561.68809541878,4499.16212748515,126984.4889356223,0.0,0.0,60202.094725638904,4878.746613371911
2000,171544.08324653094,275876.5987699301,23.825072044466282,61.41711286863254,119098.55819029672,61217.15410460285,74059.09326334592,95137.50240230089,176569.51832555514,4261.244430838813,0.0815630020495716,0.0,0.0,0.0,0.0,0.0,2320.7157550282022,55656.00004769188,8337.139522227584,912239.6992663948,0.0,3.1319845910679356,77126.88779069319,0.0,452413.95470103686,0.0,0.0,15099.599374261608,0.3217191735683894,6.607216220966438,87505.7366430199,4573.618183281714,126997.9519656114,0.0,0.0,60373.59031626303,4878.746613371911
2001,172728.95094030202,278333.1535889364,22.18915775598299,61.25245737754732,120028.27856403365,61814.75364317808,73829.39253515186,88284.13059526728,176531.4240083347,4279.668640295916,0.0815630020495716,0.0,0.0,0.0,0.0,0.0,2321.2795215151723,55809.1094372381,8263.232050579709,912202.5138781094,0.0,3.1319845910679356,77475.04986013881,0.0,452051.63707141904,0.0,0.0,15093.075545725878,0.3217191735683894,6.686136939432786,89057.47135928221,4661.818000858261,127305.76310793063,0.0,0.0,60339.665599676344,4878.746613371911
