year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,3275.211338399497,1418.2183769139733,0.0,1007.4756676552661,983.9849613161324,8837.816174033445,0.0,3193.22298461541,0.942388176077939,0.0,124.14227614801892,0.0,0.0,0.0,0.0,0.0,11.752678772973946,2979.101988745152,58.066351159717755,1145.6178247604278,0.0,1.7556036200673828,2725.578424675844,0.0,744.6459778322048,0.0,0.0,16.625739066045828,0.0,0.0,13.424782795329627,349.4857756530279,389.965925830714,68.52619925986116,0.0,1275.9608742786893,0.0
1993,3273.752826362919,1418.1453686295454,0.0,1007.2581291263093,983.7662317577872,8837.090355039112,0.0,3193.22298461541,0.942388176077939,0.0,124.14227614801892,0.0,0.0,0.0,0.0,0.0,11.752678772973946,2978.6652217177366,58.066351159717755,1145.6178247604278,0.0,1.7556036200673828,2725.578424675844,0.0,744.6459778322048,0.0,0.0,16.625739066045828,0.0,0.0,13.424782795329627,355.89410992636795,386.6879659874299,68.52619925986116,0.0,1275.9608742786893,0.0
1994,3271.7888720194737,1417.9993350939408,0.0,1007.2581291263093,983.6212555458626,8835.712782546589,0.0,3193.22298461541,0.942388176077939,0.0,124.14227614801892,0.0,0.0,0.0,0.0,0.0,11.752678772973946,2978.013015128616,58.066351159717755,1145.6178247604278,0.0,1.7556036200673828,2725.578424675844,0.0,744.5727762384046,0.0,0.0,16.625739066045828,0.0,0.0,13.424782795329627,363.9678047260409,382.97221595417295,68.52619925986116,0.0,1275.9608742786893,0.0
1995,3329.034534177958,1445.7229056585572,0.0,1043.862504234521,989.0653072970456,9099.553534600722,0.0,2714.159048786303,0.942388176077939,0.0,121.3026024092138,0.0,0.0,0.0,0.0,0.0,11.752678772973946,2996.645983775466,58.066351159717755,1146.1980130928816,0.0,1.7556036200673828,2810.1934067487973,0.0,723.7795687099837,0.0,0.0,17.07168514343399,0.0,0.0,14.372470140357322,372.83996788261254,379.0415534806439,68.52619925986116,0.0,1277.6360065806778,0.0
1996,3330.902085559352,1445.1404017730215,0.0,1045.599424132604,989.7882093861385,9106.642995762362,0.0,2690.8865701163068,0.942388176077939,0.0,112.86346286449172,0.0,0.0,0.0,0.0,0.0,11.974628144625292,2998.9154437796983,58.066351159717755,1146.1980130928816,0.0,1.7556036200673828,2814.5367512847297,0.0,723.70671858052,0.0,0.0,17.07168514343399,0.0,0.0,14.372470140357322,381.35125290099705,375.98454872559023,68.52619925986116,0.0,1286.297110105038,0.0
1997,3332.185554077722,1445.5731708998217,0.0,1047.0426165944227,990.4334756146741,9107.569605937413,0.0,2672.810802730789,0.942388176077939,0.0,114.79287406246713,0.0,0.0,0.0,0.0,0.0,11.974628144625292,2999.8603562450817,58.43811069318501,1144.4170065022947,0.0,1.7556036200673828,2820.175423229867,0.0,723.2606071418826,0.0,0.0,17.07168514343399,0.0,0.0,14.372470140357322,390.58100655597957,373.441618832811,68.52619925986116,0.0,1286.297110105038,0.0
1998,3365.9651237143794,1447.4437033476,0.0,1059.018390061282,995.3538273522043,9120.038485354162,0.0,2548.179932607105,0.942388176077939,0.0,114.90484537878334,0.0,0.0,0.0,0.0,0.0,12.270357376452345,3007.0039920137438,60.5935558958179,1144.1947846080536,0.0,1.7556036200673828,2865.2904081288275,0.0,718.8981524932773,0.0,0.0,17.07168514343399,0.0,0.0,14.372470140357322,398.9363239627255,371.25598872064165,68.52619925986116,0.0,1289.5060963530236,0.0
1999,3383.3884208987524,1453.1544898748282,0.0,1063.5104454564632,1001.4179635131275,9020.413660602806,0.0,2498.0585697829074,0.942388176077939,0.0,127.81910630184659,0.0,0.0,0.0,0.0,0.0,12.640244736755868,3084.364898101348,61.40987485465064,1136.7984693659946,0.0,1.7556036200673828,2892.4363634876677,0.0,696.8967916942938,0.0,0.0,17.07168514343399,0.0,0.0,13.863010559908284,406.8569225582414,368.5650795377234,68.81745126266368,0.0,1311.3408741783114,0.0
2000,3383.237295049796,1446.7411715922767,0.0,1063.7228513839411,998.7585158715526,8993.244375231281,0.0,2462.5721140212613,0.942388176077939,0.0,145.03832739231814,0.0,0.0,0.0,0.0,0.0,12.640244736755868,3094.090446373351,62.67422495304747,1130.9647292380334,0.0,1.7556036200673828,2937.2863269140234,0.0,694.5912813112511,0.0,0.0,17.07168514343399,0.0,0.0,13.863010559908284,415.94015015782134,366.3828878499911,68.59144019384837,0.0,1311.41324393783,0.0
2001,3386.948206509037,1449.874011230623,0.0,1066.9295902230701,999.7781657681415,8993.400466876936,0.0,2446.0905192586156,0.942388176077939,0.0,146.79764034503143,0.0,0.0,0.0,0.0,0.0,13.003559557735567,3099.2861066106752,57.19266255694046,1130.2289176401505,0.0,1.7556036200673828,2948.815837154265,0.0,681.3055948698728,0.0,0.0,17.07168514343399,0.0,0.0,14.008892962373778,429.7209055116698,357.77974879357106,68.59144019384837,0.0,1312.0003707057288,0.0
