year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,25.547552357251103,2.059731695568403,1.6270804386816657,0.0,17.10879033472416,54.774956783941924,1610.7215160039264,0.0,0.0,0.0,442.592300123225,0.0,0.0,0.9424708972198039,0.0,0.0,11.359647324235283,613.5014148823774,199.6313676385584,6.627626557428846,0.0,0.0,237.2734393993288,0.0,24.145113604442006,0.0,0.0,0.0,0.943243458558139,430.9937911019302,2083.9353275386284,33.55887955346369,29.9215108470405,0.0,0.0,9793.561929618354,0.0
1993,24.949859299772143,2.059731695568403,1.6270804386816657,0.0,17.10879033472416,54.51896995782003,1610.4653963843461,0.0,0.0,0.0,442.592300123225,0.0,0.0,0.9424708972198039,0.0,0.0,11.359647324235283,613.5014148823774,199.6313676385584,6.627626557428846,0.0,0.0,237.2734393993288,0.0,24.059738327446187,0.0,0.0,0.0,0.943243458558139,430.9937911019302,2083.9353275386284,34.754054333640795,29.9215108470405,0.0,0.0,9793.561929618354,0.0
1994,24.608312734210937,2.059731695568403,1.6270804386816657,0.0,16.938060462775123,54.2628648114846,1610.4653963843461,0.0,0.0,0.0,442.592300123225,0.0,0.0,0.9424708972198039,0.0,0.0,11.359647324235283,613.5014148823774,199.5459944298963,6.627626557428846,0.0,0.0,237.2734393993288,0.0,23.803674612984754,0.0,0.0,0.0,0.943243458558139,430.9937911019302,2083.85002266629,35.949177712948156,29.9215108470405,0.0,0.0,9793.561929618354,0.0
1995,24.2667951235946,2.059731695568403,1.6270804386816657,0.0,16.938060462775123,54.2628648114846,1616.1933205090977,0.0,0.0,0.0,449.71412884207183,0.0,0.0,0.9424708972198039,0.0,0.0,11.359647324235283,613.4160540822533,199.5459944298963,6.627626557428846,0.0,0.0,237.18808066752294,0.0,23.803674612984754,0.0,0.0,0.0,1.2014003484699067,431.41997268214374,2068.585417114228,37.05903139564896,21.993774382177968,0.0,0.0,9802.622563781397,0.0
1996,23.92535399681706,2.059731695568403,1.6270804386816657,0.0,16.681969788294804,54.09103208845867,1619.701560276772,0.0,0.0,0.0,450.9271208913774,0.0,0.0,0.9424708972198039,0.0,0.0,11.359647324235283,613.4160540822533,199.46062328834896,6.627626557428846,0.0,0.0,237.1011409421282,0.0,23.632921992279616,0.0,0.0,0.0,1.458351746194507,431.5862799345387,2062.055685760402,38.1687154729844,16.946787223703748,0.0,0.0,9809.057535761196,0.0
1997,23.498440485580275,2.059731695568403,1.6270804386816657,0.0,16.596611056488985,54.00567542517174,1624.035595908756,0.0,0.0,0.0,453.92224046265517,0.0,0.0,0.9424708972198039,0.0,0.0,11.359647324235283,613.4160540822533,200.3288490607236,6.627626557428846,0.0,0.0,237.5363479073785,0.0,23.54754258063814,0.0,0.0,0.0,1.458351746194507,432.26781696180154,2049.462243798776,39.79019009301177,15.81328148804579,0.0,0.0,9812.531892188275,0.0
1998,23.156978671373814,2.059731695568403,1.6270804386816657,0.0,16.42590186897549,54.00883867572082,1624.8143989592675,0.0,0.0,0.0,454.8743393252554,0.0,0.0,0.9424708972198039,0.0,0.0,11.359647324235283,615.4927889022533,200.3288490607236,6.627626557428846,0.0,0.0,237.0171756553027,0.0,23.54754258063814,0.0,0.0,0.0,1.458351746194507,432.27014317081216,2044.367043916361,41.41187753796406,11.296289937919722,0.0,0.0,9817.740613236987,0.0
1999,23.5930092679345,2.059731695568403,1.6270804386816657,0.0,16.514747115711845,53.75169529374161,1633.5256137715535,0.0,0.0,0.0,465.703036144046,0.0,0.0,0.9424708972198039,0.0,0.0,11.359647324235283,621.9782843217857,200.15830006913495,6.883402056863438,0.0,0.0,236.84517564863623,0.0,23.376970216415852,0.0,0.0,0.0,1.458351746194507,432.69757638679283,2013.6093981226518,42.9482206298517,8.59869778116364,0.0,0.0,9823.1962812307,0.0
2000,23.08079896623318,2.059731695568403,1.6270804386816657,0.0,16.42956138222702,52.12908484451933,1671.7892714777006,0.0,0.0,0.0,469.5048656605642,0.0,0.0,0.9424708972198039,0.0,0.0,11.359647324235283,635.5088514230624,209.27294416944758,6.883402056863438,0.0,0.0,240.22902469319087,0.0,23.376970216415852,0.0,0.0,0.0,1.458351746194507,433.9880464400216,1946.1491819330713,45.33778232981291,5.983267049214266,0.0,0.0,9823.717355414637,0.0
2001,23.08079896623318,1.97432749574993,1.6270804386816657,0.0,16.173113864671155,51.959780275466606,1726.1638592914494,0.0,0.0,0.0,486.41893723763803,0.0,0.0,0.9424708972198039,0.0,0.0,11.359647324235283,665.953447507625,212.58807094854313,7.144709317052367,0.0,0.0,240.86108116474205,0.0,23.376970216415852,0.0,0.0,0.0,1.458351746194507,436.05822021765863,1904.1684709288477,45.42318652963139,5.2859894640644045,0.0,0.0,9758.809176326764,0.0
