year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,13217.587380201405,1347.6488222963717,4.266137615622681,80943.94999482932,1765.378468553108,2261.2086895111815,2487.018758631511,1205.1836705940177,2.8504075607178443,0.0,369.2908148607431,0.0,0.0,0.17566562255692103,0.0,0.0,0.0,7707.905389907339,66.00372430118063,1278.1244658524383,3836.7818327522364,0.0,1623.7137202159092,0.0,3.3591120898305045,0.0,0.0,0.0,0.0,3158.4359773359215,353.82295405290864,212.60243021219782,50.49255748015931,0.0,0.0,12211.891137255485,0.0
1993,13214.52242152701,1347.5615256281467,4.266137615622681,80943.5112397759,1765.0280936450606,2260.8585378855455,2487.018758631511,1205.1836705940177,2.8504075607178443,0.0,369.2908148607431,0.0,0.0,0.17566562255692103,0.0,0.0,0.0,7707.905389907339,66.00372430118063,1278.1244658524383,3836.7818327522364,0.0,1623.5389869784124,0.0,3.3591120898305045,0.0,0.0,0.0,0.0,3158.4359773359215,353.82295405290864,217.156011995078,50.49255748015931,0.0,0.0,12211.803825639834,0.0
1994,13212.677868942714,1347.385975485413,4.266137615622681,80942.80798229964,1765.0280936450606,2260.597263202019,2487.018758631511,1205.1836705940177,2.8504075607178443,0.0,369.2908148607431,0.0,0.0,0.17566562255692103,0.0,0.0,0.0,7707.905389907339,66.00372430118063,1278.1244658524383,3836.7818327522364,0.0,1623.2771138783044,0.0,3.3591120898305045,0.0,0.0,0.0,0.0,3158.4359773359215,353.82295405290864,220.40251998200432,50.49255748015931,0.0,0.0,12211.803825639834,0.0
1995,13358.093581540343,1373.1709471627712,4.266137615622681,81318.31340026899,1776.615320011608,2194.074992042527,2493.7092691997404,1198.6729715580705,2.8504075607178443,0.0,369.37925222448155,0.0,0.0,0.17566562255692103,0.0,0.0,0.0,7719.625250329762,66.00372430118063,1119.8673483098867,3837.662018512404,0.0,1349.1298981887999,0.0,3.3591120898305045,0.0,0.0,0.0,0.0,3073.7268067072973,354.5259742875955,222.42294765213543,53.17514214080553,0.0,0.0,12218.871944405097,0.0
1996,13355.162492977583,1376.3074803247493,4.266137615622681,81342.40372269065,1777.94134248678,2177.8421558476475,2511.6936326508217,1200.7883533994113,2.8504075607178443,0.0,365.5095325700836,0.0,0.0,0.17566562255692103,0.0,0.0,0.0,7740.482326423586,66.00372430118063,1062.532248470084,3835.724190950415,0.0,1323.6900127809547,0.0,3.446918645204084,0.0,0.0,0.0,0.0,3065.8326960928985,353.55900342230603,224.78901516580368,54.38863780410129,0.0,0.0,12262.302413929092,0.0
1997,13392.44636180714,1378.1612221564733,4.266137615622681,81383.0924247652,1787.3787071515758,2171.600914504146,2521.9021098647277,1201.4040457755696,2.8504075607178443,0.0,367.4468254566971,0.0,0.0,0.17566562255692103,0.0,0.0,0.0,7745.069924876103,66.00372430118063,962.4335012809242,3835.6293582047088,0.0,1292.9647767836054,0.0,3.6225353817900423,0.0,0.0,0.0,0.0,3056.6343757627537,353.1188203079035,227.32960635010852,55.08833530601512,0.0,0.0,12299.072330896694,0.0
1998,13372.989398618554,1391.9164268314953,4.266137615622681,81383.22896501924,1791.8142209449127,2160.74065542731,2550.2100580099905,1207.3780445061093,2.8504075607178443,0.0,371.1414183194929,0.0,0.0,0.17566562255692103,0.0,0.0,0.0,7751.668196113627,66.00372430118063,938.7759253557746,3835.1877921034406,0.0,1246.8155521681651,0.0,3.7094330831550173,0.0,0.0,0.0,0.0,3059.5382126100035,352.3274441846683,229.51347568836715,56.48299628694445,0.0,0.0,12330.957961360902,0.0
1999,13386.333939176398,1420.994869919822,4.266137615622681,81381.79484687511,1801.301293512747,2134.695091943356,2651.863507133215,1225.8164647800922,2.8504075607178443,0.0,389.3444583131373,0.0,0.0,0.17566562255692103,0.0,0.0,0.0,7806.267812992633,66.00084965978586,791.4345743324805,3824.213751903836,0.0,1207.919513765007,0.0,3.9697145696060705,0.0,0.0,0.0,0.0,3049.1767165192773,350.3057856759428,231.26611823330393,66.2116172226854,0.0,0.0,12311.488974404823,0.0
2000,13289.711644315552,1423.2203494139487,4.266137615622681,81282.40255431685,1805.7338994515806,2094.8876940977334,2792.84940708932,1297.7271496003123,2.8504075607178443,0.0,405.673494288754,0.0,0.0,0.17566562255692103,0.0,0.0,0.0,7858.765385712174,66.00084965978586,723.3971991927059,3811.350064403087,0.0,1173.6849825111772,0.0,4.056192474890585,0.0,0.0,0.0,0.0,3054.8682815011784,347.2290461982033,234.76775495633697,68.72187739114311,0.0,0.0,12365.352074358587,0.0
2001,13279.422589097883,1467.3357310633455,4.266137615622681,81457.50555780275,1808.6477874767165,2096.1374479812102,2752.8496461330747,1284.912293165089,2.8504075607178443,0.0,375.23697874999385,0.0,0.0,0.26406766458015296,0.0,0.0,0.0,7886.335169311325,27.862483945648904,711.6956836577863,3812.727440261142,0.0,1065.4021538085608,0.0,4.401489567428412,0.0,0.0,0.0,0.0,3063.0665998669842,347.58075602928596,274.21709813059164,72.74675149072343,0.0,0.0,12312.227841351776,0.0
