year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,71026.93114293987,20078.64338870925,0.0,0.0,15113.141013312164,8227.440307479501,0.0,20110.181351893483,1231.6963810045818,0.0,39019.44922373234,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,18709.964432047018,6300.776294187381,16.072908061892704,0.0,0.0,0.0,3300.9835141230037,0.0,12.987816706395115,0.0,0.10790419857636097,0.0,1736.1020687592854,0.0,403.52088147700204,760.4452609488062,1.058795516620089,0.29222200785414,0.0,2075.5290565160512,0.0
1993,71018.79100039657,20071.037504012595,0.0,0.0,15112.697143177003,8226.878457501378,0.0,20110.12728917508,1231.6963810045818,0.0,39018.25207837374,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,18709.91041890203,6300.776294187381,16.072908061892704,0.0,0.0,0.0,3300.927175807053,0.0,12.931478390445328,0.0,0.10790419857636097,0.0,1736.1020687592854,0.0,403.34628950720304,778.8458215015334,1.058795516620089,0.29222200785414,0.0,2075.4727331402296,0.0
1994,71011.3099241266,20060.95806295849,0.0,0.0,15112.253685593723,8226.76551613726,0.0,20110.12728917508,1231.6963810045818,0.0,39016.540627659015,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,18709.85465725128,6300.776294187381,16.072908061892704,0.0,0.0,0.0,3300.63786573061,0.0,12.931478390445328,0.0,0.10790419857636097,0.0,1736.1020687592854,0.0,403.22942920574053,799.1924438922365,1.058795516620089,0.29222200785414,0.0,2075.416409764408,0.0
1995,72334.88707706648,20443.479188056757,0.0,0.0,15041.719209793584,5100.257599909106,0.0,20318.42059889139,1273.164133244274,0.0,39101.059326370756,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,19607.392162035314,6481.5171083573105,16.13053786883847,0.0,0.0,0.0,3352.1909776700722,0.0,13.693550868394007,0.0,0.10790419857636097,0.0,1724.8500889230927,0.0,413.36298713948787,820.2339517730286,1.058795516620089,0.29222200785414,0.0,2081.506543929993,0.0
1996,72466.5446190203,20461.881208317693,0.0,0.0,14982.035784305624,4683.977762682443,0.0,20349.819912724182,1277.2492412474055,0.0,39112.09955487786,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,19748.063202472207,6515.213473143745,16.13053786883847,0.0,0.0,0.0,3356.834757014835,0.0,13.693550868394007,0.0,0.10790419857636097,0.0,1726.0135639725963,0.0,413.4305312774126,841.1859023039583,0.34557417020786896,0.29222200785414,0.0,2160.404661146758,0.0
1997,72675.56427849892,20491.488136829747,0.0,0.0,14998.093389022699,4423.407510269939,0.0,20348.495943574057,1279.0382369273204,0.0,38968.218287589734,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,19829.93444190308,6552.577163652,16.13053786883847,0.0,0.0,0.0,3369.8873135412605,0.0,13.636472042899394,0.0,0.10790419857636097,0.0,1721.250606429701,0.0,414.63847801282924,859.1026027220494,0.34557417020786896,0.29222200785414,0.0,2163.1148643592674,0.0
1998,72848.09277501439,20514.58470407531,0.0,0.0,15016.651721911207,4332.138399049695,0.0,20328.084744933294,1279.9335911237335,0.0,38747.316152112246,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,19841.995527346127,6583.949264020963,16.13053786883847,0.0,0.0,0.0,3425.890900411286,0.0,13.58029443014325,0.0,0.10790419857636097,0.0,1718.7708226844652,0.0,414.7554385900344,872.6745573300365,0.34557417020786896,0.29222200785414,0.0,2170.02883234269,0.0
1999,73593.76998533962,20660.372365534786,0.0,0.0,15064.073048987626,3375.2807833227657,0.0,20430.248293390538,1295.8198210823655,0.0,38142.99449340272,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,19968.400642387096,6783.666645449406,16.185477903030616,0.0,0.0,0.0,3540.3628053672664,0.0,13.523956114193464,0.0,0.10790419857636097,0.0,1710.2758328307868,0.0,424.54027259209084,886.4102511390889,0.34557417020786896,0.29222200785414,0.0,2218.653588400987,0.0
2000,73738.53790640956,20677.136055418854,0.0,0.0,15088.767563701933,3246.2730743231027,0.0,20448.231644081327,1296.6541189075942,0.0,37912.71272134871,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,19990.12269997752,6849.28023968514,16.3041737974608,0.0,0.0,0.0,3592.293352920818,0.0,13.407968692697104,0.0,0.10790419857636097,0.0,1702.072078285408,0.0,427.0827001495488,901.0339455784583,0.34557417020786896,0.29222200785414,0.0,2224.6680199662014,0.0
2001,73720.52027715852,20598.594054668116,0.0,0.0,15102.420040752786,3066.8817400960866,0.0,20472.641900072085,1302.6719480827894,0.0,37893.370528007115,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,19998.61152134645,6899.711359913773,11.907621097373045,0.0,0.0,0.0,3591.654477129316,0.0,13.119164336987643,0.0,0.10790419857636097,0.0,1705.911278052124,0.0,426.66800475349845,1092.8425936051924,0.34557417020786896,0.29222200785414,0.0,2227.0517541721997,0.0
2002,73694.61350811146,20486.87651918784,0.0,0.0,15093.334387146118,2914.719650534237,0.0,20528.44956982421,1306.9191741134657,0.0,37906.85623782155,3.6449194618003737,0.0,1.1854568030072974,0.0,0.0,20022.015717778224,6932.248458146567,7.157934860531868,0.0,0.0,0.0,3589.1804303602626,0.0,12.190286695886485,0.0,0.10790419857636097,0.0,1707.9450035258872,0.0,425.52290395579803,1269.3385401912303,0.34557417020786896,0.29222200785414,0.0,2227.2099409910657,0.0
