year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,25547.10062737686,262.85746569170107,0.0,173.07076999161794,9320.837417563744,6960.383825488408,105.56878963129856,53.6831840097427,0.0,31796.281720092742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.49555002875854,3.5979430343332357,37167.6919474692,0.0,3787.0825434419944,21.782297412536423,0.0,0.0,0.0,0.0,1.3278196630604837,0.0,82.40630948454817,26.457898014736976,187.81830258162316,37.36204691892521,1.8941806859083736,0.0,1784.3805330269397,0.0
1993,25544.729834873022,262.85746569170107,0.0,173.07076999161794,9320.742735626243,6960.289003699503,105.56878963129856,53.6831840097427,0.0,31796.281720092742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.30586811103262,3.5979430343332357,37166.83838088978,0.0,3787.0825434419944,21.687459023951988,0.0,0.0,0.0,0.0,1.2329751084650038,0.0,82.02698496756923,26.457898014736976,191.99085476916432,37.36204691892521,1.8941806859083736,0.0,1784.3805330269397,0.0
1994,25540.65271987381,262.85746569170107,0.0,173.07076999161794,9320.458233441588,6960.10050403673,105.56878963129856,53.6831840097427,0.0,31796.186907215208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.21102406909668,3.5979430343332357,37165.51071366404,0.0,3787.0825434419944,21.49778173175965,0.0,0.0,0.0,0.0,1.2329751084650038,0.0,81.93216422373425,26.457898014736976,198.3427937970365,37.36204691892521,1.8941806859083736,0.0,1784.3805330269397,0.0
1995,25686.893906904475,266.9627876147076,0.0,177.65474424872824,9324.567886790353,6954.492068449922,109.83588656649195,53.6831840097427,0.0,31799.126446766117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.59029974415316,3.5979430343332357,36998.899248221125,0.0,3787.0825434419944,21.402942828151748,0.0,0.0,0.0,0.0,1.2329751084650038,0.0,82.88042794609822,26.078580686328944,203.462538615728,37.36204691892521,1.8941806859083736,0.0,1784.3805330269397,0.0
1996,25843.138585582397,267.8060294056554,0.0,178.4030919147039,9330.191033573616,6959.085355721391,110.02552909954385,53.6831840097427,0.0,31800.25630134548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.59028521330302,3.5979430343332357,36825.35670647034,0.0,3787.0825434419944,21.308100325355937,0.0,0.0,0.0,0.0,1.1381305538695239,0.0,82.12187710224981,26.078580686328944,208.58113349661207,37.36204691892521,1.8941806859083736,0.0,1784.3805330269397,0.0
1997,26012.987771702057,268.08631419267493,0.0,179.24601443051927,9332.62483648264,6964.33030056282,111.91294201383207,58.113379539399304,0.0,31828.436398832528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.72138659246608,3.5979430343332357,36602.949534801184,0.0,3786.7044011617827,16.75634827347445,0.0,0.0,0.0,0.0,1.1381305538695239,0.0,79.08709523614368,26.078580686328944,211.13844406695398,28.06882437444865,1.8941806859083736,0.0,1802.208344385324,0.0
1998,26211.725751624333,271.9216584714526,0.0,180.18049940312764,9379.652245399495,6973.263248161528,113.14565157170244,60.276380407218554,0.0,31874.491121391384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.62655803238655,3.5979430343332357,36292.04333008701,0.0,3785.853799788738,16.75634827347445,0.0,0.0,0.0,0.0,1.1381305538695239,0.0,78.42322894598108,26.078580686328944,214.73534633065307,6.25793060156727,1.8941806859083736,0.0,1824.0192381582053,0.0
1999,26479.27617838179,283.3403490200043,0.0,180.6498401692083,9396.488045283224,6963.618918151831,120.31897306226027,310.65607300575397,0.0,33458.159837797466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.190919411968,3.5979430343332357,34182.38054982033,0.0,3751.4144315640915,17.040406223307617,0.0,0.0,0.0,0.0,1.1381305538695239,0.0,76.05262688914524,25.604437897298745,218.81082315933156,4.456155319929125,1.9888678242781155,0.0,1829.8976650392956,0.0
2000,26959.709242489786,302.6141548855254,0.0,181.39994694917576,9427.954601049536,6956.883034807443,135.04452666131226,553.5131189397492,0.0,35046.06477977917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.8819827667196,3.7853711552204423,31807.760119714032,0.0,3722.6961902966377,17.2278360919284,0.0,0.0,0.0,0.0,1.1381305538695239,0.0,74.63011370175437,25.509610376493622,223.45160695456266,4.456155319929125,1.9888678242781155,0.0,1830.3717812915918,0.0
2001,27278.896905837155,320.7616670093209,0.0,182.05502274609412,9455.793377244212,6965.783193527967,138.8336251343228,601.1207663150775,0.0,35368.5498714867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.81117604254928,3.7853711552204423,31051.607374043844,0.0,3713.287265182799,16.753891501917703,0.0,0.0,0.0,0.0,0.8535979154021429,0.0,75.48382321749386,25.414782335984466,238.80061294211063,3.033946722565588,1.9888678242781155,0.0,1830.466033423694,0.0
2002,27432.378395176638,342.56419060227415,0.0,182.05502274609412,9457.586258910012,6959.972200471361,140.62970890289384,658.3325594223877,0.0,35531.89694565981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.31409636180263,2.647092716411408,30649.061957809794,0.0,3707.9146403375357,16.752846919596948,0.0,0.0,0.0,0.0,0.4742212349988114,0.0,80.70035892954812,26.837584957318203,252.8213557263728,1.2321126836099616,1.9888678242781155,0.0,1823.9207542159427,0.0
2003,27511.94424247074,361.09018153785325,0.0,182.05502274609412,9456.997220237798,6959.56336552721,141.48154626841426,683.0860974348491,0.0,35586.84713243536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.87951917797136,2.647092716411408,30459.482369552486,0.0,3706.784872683658,16.65690350325545,0.0,0.0,0.0,0.0,0.4742212349988114,0.0,83.07173950544168,29.208853688847686,266.54986906950825,0.5684673742837381,1.9888678242781155,0.0,1818.7035866192318,0.0
2004,27652.289009089873,374.3732660121778,0.0,182.42953163827826,9465.973698846079,6966.229295398767,143.1805703056961,777.1570353252879,0.0,35822.92489291441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.76766776215442,2.4585832318675047,29952.1865972762,0.0,3699.5406387745397,16.372464345064664,0.0,0.0,0.0,0.0,0.4742212349988114,0.0,85.25201547823993,31.010865876959713,279.03677984666984,0.5684673742837381,1.9888678242781155,0.0,1813.8667030528736,0.0
2005,27746.725316099633,385.05148958064046,0.0,182.4283695307682,9467.18579379443,6970.5582643217695,142.70808076884651,785.2787791312929,0.0,35861.33093184204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.41316361618797,2.2703526271402907,29766.24486862608,0.0,3699.913171800262,16.182836486485876,0.0,0.0,0.0,0.0,0.4742212349988114,0.0,84.77779965972034,31.39022478750282,307.24087635567145,0.5684673742837381,1.9888678242781155,0.0,1812.349296146686,0.0
2006,27794.99825703017,393.01131556718036,0.0,182.89756855387805,9463.134262430805,6975.458663355029,142.99260159677965,784.1805940388874,0.0,35874.75607418694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.24916169130577,2.2703526271402907,29674.216409570825,0.0,3699.249179311625,15.80357551710479,0.0,0.0,0.0,0.0,0.4742212349988114,0.0,83.35530180145425,31.674761524975995,328.54705677910493,0.5684673742837381,1.9888678242781155,0.0,1812.2544795919532,0.0
2007,28161.53514243474,448.0392100493703,0.0,182.89666853000983,9479.239978693018,6979.105463348972,143.75131955438331,798.8098896243771,0.0,35922.98679094742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.954472891783,2.2703526271402907,29151.309659529405,0.0,3698.679152513187,15.708802180551702,0.0,0.0,0.0,0.0,0.4742212349988114,0.0,83.73456729500816,32.054143841606894,346.14188254485896,0.5684673742837381,1.9888678242781155,0.0,1810.8321185693292,0.0
2008,28205.932336331687,458.4442066206312,0.0,182.99151972818856,9461.691839525238,6983.494261930792,143.18519696580898,833.2853114756999,0.0,36013.72198507397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.845984927692,2.175566332810007,28974.81176521211,0.0,3696.3164192897916,15.519173796474643,0.0,0.0,0.0,0.0,0.4742212349988114,0.0,89.235829137888,33.856105132326,360.52260413750156,0.5684673742837381,1.9888678242781155,0.0,1800.0195095565782,0.0
2009,28445.32993907561,519.0997361738877,0.0,182.8986078009552,9495.490868457313,7004.503911860088,143.75405885511543,857.8923001182458,0.0,36055.8340099433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.02201994596476,2.175566332810007,28536.855703128702,0.0,3693.6713220489014,15.04510894538999,0.0,0.0,0.0,0.0,0.4742212349988114,0.0,90.46864127124026,34.04581769850599,378.6926539153517,0.5684673742837381,1.9888678242781155,0.0,1797.269349603761,0.0
