year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,179.03157704111504,20.52602690397198,1.958212137027894,20.24700893743292,292.1919999076356,860.7809681248464,10656.23437598612,780.0210597431055,561.7448218092642,0.0,16187.11496259198,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,594.2868294728794,1677.7296053291489,1460.3192905291473,180.11855880030058,0.0,4414.728870706162,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.16951736269967227,98.34790509092466,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
1993,179.03157704111504,20.52602690397198,1.958212137027894,20.24700893743292,292.1919999076356,860.7809681248464,10656.23437598612,780.0210597431055,561.7448218092642,0.0,16187.11496259198,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,594.2868294728794,1677.7296053291489,1460.3192905291473,180.11855880030058,0.0,4414.728870706162,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.16951736269967227,98.34790509092466,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
1994,179.03157704111504,20.52602690397198,1.958212137027894,20.24700893743292,292.1919999076356,860.7809681248464,10656.23437598612,780.0210597431055,561.7448218092642,0.0,16187.11496259198,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,594.2868294728794,1677.7296053291489,1460.3192905291473,180.11855880030058,0.0,4414.728870706162,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.16951736269967227,98.34790509092466,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
1995,188.10630192023115,23.831188438724425,1.958212137027894,21.097063709295174,305.7546350370957,868.3956769952587,10645.16999087804,779.3436386844968,560.393205695083,0.0,16188.22143998629,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,598.7872907085226,1677.729430976543,1461.0532058025785,183.3482455901567,0.0,4384.517102507548,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.16951736269967227,97.67544404417163,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
1996,189.37825835914188,23.831188438724425,1.958212137027894,21.097063709295174,306.85601776003796,866.9463083787643,10723.31965504239,780.8746368706921,562.6034005894458,0.0,16196.721029702885,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,599.8036167598767,1677.897938393364,1375.1790494647867,184.0278681283713,0.0,4377.212385332081,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.16951736269967227,97.67544404417163,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
1997,190.22463414318622,23.91585779948798,1.958212137027894,21.097063709295174,315.6663138278107,869.6466523787079,10736.234574597058,779.7741586039389,562.9445589648366,0.0,16201.664976344864,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,601.1611120943604,1678.9988972592928,1340.4650587643093,185.89503820083522,0.0,4377.974855149395,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.25418245517494914,97.67544404417163,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
1998,189.46297520831666,23.91585779948798,1.958212137027894,21.097063709295174,317.0226166780714,868.5368940360096,10864.727926197565,780.8795017566239,565.2380391332341,0.0,16223.52258253717,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,603.4538542567888,1678.9987232362448,1185.3606097144964,186.49002096161925,0.0,4376.957086612451,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.25418245517494914,97.67544404417163,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
1999,189.54188495977698,24.50984373148319,1.958212137027894,21.18219364691593,332.77447697484234,882.7551129435157,11126.92742618263,780.7242027212093,568.3047243889586,0.0,16255.36693675916,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,607.9579715225306,1679.080252868984,852.8425935195345,186.2336357801957,0.0,4377.462495837644,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.25418245517494914,97.67544404417163,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2000,185.88778078878337,25.101737372589348,1.958212137027894,21.3522192393939,333.9513684613491,883.5006465497856,11425.650994723706,788.0456435192369,573.4035332560868,0.0,16308.42550356763,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,612.1254143118925,1681.7095945072,485.36104547477055,185.12876900765923,0.0,4376.019501057296,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.25418245517494914,97.67544404417163,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2001,187.07775657829026,26.715456400913393,1.958212137027894,22.54393999100866,340.14645041240095,879.2788073720372,11464.959491287815,778.1778473559924,573.0650237926709,0.0,16323.269865085893,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,616.8014609466619,1680.4433501491972,432.62817973362525,185.9781188819348,0.0,4374.578003848946,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.25418245517494914,97.67544404417163,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2002,186.73892618406708,26.715456400913393,1.958212137027894,22.2036610361118,339.89230385866495,869.0480836154596,11513.109614056784,781.0628799297906,574.5103474414154,0.0,16340.670569670947,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,618.4203265002669,1678.8298934154905,370.715085680468,185.72279188847952,0.0,4377.68757834852,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.25418245517494914,98.01167785417492,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2003,186.14499421791064,26.715456400913393,1.958212137027894,22.2036610361118,339.637891743543,859.4762486358643,11560.962507331094,783.6910963376158,575.6993109796222,0.0,16367.94708263275,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,620.0349572027811,1676.4679076572306,304.79846531144284,184.87275730066582,0.0,4376.675181239828,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.25418245517494914,98.01167785417492,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2004,185.46658581904947,26.630657207698402,1.958212137027894,22.2036610361118,339.0423750164757,851.7683752039472,11620.19718530429,785.0514980890028,577.9063858851706,0.0,16389.575735282066,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,624.8772539553185,1674.5154516646166,227.3090959406663,184.10807638313065,0.0,4376.675181239828,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.25418245517494914,98.01167785417492,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2005,185.46658581904947,26.630657207698402,2.297973792972605,22.2036610361118,339.04244273373024,846.9391568324482,11648.478236843886,786.4073956579089,578.9248029073975,0.0,16411.18938345352,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,624.8794850752744,1673.9248800406606,179.35521990211248,184.10807638313065,0.0,4377.437772478506,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.25418245517494914,98.01167785417492,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2006,185.29916208647026,26.630657207698402,2.3830995478511747,22.71425858379958,339.72339013095217,844.4046315170876,11657.983856005527,786.2343553421041,578.9248029073975,0.0,16419.575767351922,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,625.3903529722245,1673.5042855595957,162.6320589521798,184.10807638313065,0.0,4377.776975616464,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,0.9299357070853037,0.25418245517494914,98.01167785417492,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2007,185.29916208647026,26.630657207698402,2.3830995478511747,22.71425858379958,339.97890539822055,832.3832974705938,11670.781418928082,787.9278206264531,580.1124610096733,0.0,16437.19015796694,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,626.409848418237,1674.013036383476,140.08273157147795,184.36323556956827,0.0,4376.930687912165,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,1.0148871907915906,0.25418245517494914,98.01167785417492,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2008,184.79052352443435,26.631659648680873,2.3830995478511747,22.969554235577743,339.98001000144427,828.1527297861721,11668.731652930837,788.8623328495897,580.4493445613838,0.0,16446.330398660182,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,627.7703132703335,1670.0399334825895,138.56041874861816,184.6181195208394,0.0,4376.930687912165,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,1.0148871907915906,0.25418245517494914,98.01167785417492,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2009,184.79052352443435,26.71667007686346,2.638080355883739,23.0547071618186,341.00117442185103,828.5790573494995,11663.79825431334,788.691624729659,580.3644881376862,0.0,16445.233903954486,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,630.4064527841209,1671.9859915019929,137.62767431524694,184.78818655261304,0.0,4377.184600812905,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,1.2696086523685446,0.3388496818938185,98.01167785417492,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2010,184.96000928782982,26.631605537739592,2.638080355883739,23.139719691748905,341.6788362714338,828.2401220552376,11671.274138644183,788.6920758071712,580.533849866956,0.0,16446.511894841424,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,631.0009696602434,1672.0683489987443,127.77505773309414,184.3632374793568,0.0,4377.353443761351,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,1.2696086523685446,0.3388496818938185,98.01167785417492,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2011,184.96000928782982,26.546708774864467,2.638080355883739,23.139719691748905,341.3398318922589,827.9003606297819,11679.436199116893,789.0325023357971,581.5524694262455,0.0,16445.58751735192,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,632.0204709116601,1676.6438722640037,114.60180962050778,184.19317253254215,0.0,4376.428085659549,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,1.2696086523685446,0.3388496818938185,98.85225799508916,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2012,184.96000928782982,26.546708774864467,2.7229875277694164,23.646012621705697,341.8491301548152,828.7474157316442,11674.769765338204,788.188337678539,581.3839077205225,0.0,16442.29620383476,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,634.9034184400957,1679.9394138851105,114.85197705736825,184.78743613870466,0.0,4376.428085659549,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,1.2696086523685446,0.3388496818938185,98.85225799508916,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2013,184.96000928782982,26.63144420840259,2.7229875277694164,23.646012621705697,341.8491301548152,828.6628170024669,11674.514818069854,788.5291754459828,581.3839077205225,0.0,16441.70481542671,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,635.1581931566315,1680.3612808104347,114.1717135783697,184.78743613870466,0.0,4376.512514714284,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,1.6095809580884368,0.4234313631768903,98.85225799508916,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
2014,184.61969045501624,26.292239060084384,2.807875682551418,23.645210228339348,340.7469162300929,829.2541842434696,11675.113608405247,788.3607397639527,581.5568276879487,0.0,16436.145920710213,0.0,0.0,0.0,0.0,0.0,0.9289271464389441,635.9142942661755,1688.0480990023955,111.87510455136254,184.78743613870466,0.0,4376.258779253981,0.0,44.091081564720014,0.0,0.0,5.977043029772368,0.0,0.2545756198458625,1.6095809580884368,0.592761548127444,98.85225799508916,36.1953058544491,15.57133077682154,18.635479806808306,1346.1349127596468
