year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6362.1004255042735,12382.873160578269,0.6405972661089372,0.0,18393.311218086365,11901.480946383735,520257.3882291726,35480.73252470982,52031.32926663734,1672.3722719080322,0.0,0.0,0.0,4.623507319646,0.0,0.0,8.530728357508334,44026.02935941966,14958.535808684634,85496.72472150225,0.0,0.0,79055.08694553038,0.0,70477.35650279856,0.0,0.0,4129.07940266444,4837.02238741489,101.93579616817541,28093.540233744705,705.3290346064438,86603.95262544672,0.0,0.0,11140.357995161594,1040.7693595134308
1993,6488.922744487187,12383.654283370231,0.6405972661089372,0.0,18974.47286435869,12245.309239047996,516453.92072980135,35478.04216754091,52030.68996658114,1672.3722719080322,0.0,0.0,0.0,4.623507319646,0.0,0.0,8.530728357508334,44240.6124472783,15235.114140107962,85573.32493739686,0.0,0.0,79823.5945095635,0.0,70474.9814034216,0.0,0.0,4128.98832876664,4723.828763728926,100.35466029145131,28905.429043367283,722.8349410984888,86602.04237286653,0.0,0.0,11848.0490411403,1040.7693595134308
1994,6488.0119672218825,12381.562685668905,0.6405972661089372,0.0,18972.737337300685,12245.309239047996,516453.10251289903,35477.95154542899,52030.68996658114,1672.3722719080322,0.0,0.0,0.0,4.623507319646,0.0,0.0,8.530728357508334,44240.15359110878,15234.933483741996,85571.68829465752,0.0,0.0,79820.31652478808,0.0,70472.69966366596,0.0,0.0,4128.89729226489,4723.828763728926,100.35466029145131,28905.338149549567,737.6781234011241,86600.8637417282,0.0,0.0,11848.0490411403,1040.7693595134308
1995,6923.298302677155,17849.78294914575,0.6405972661089372,0.0,20078.055216182023,13360.009739353012,505753.6596665744,34522.25580398237,52033.150332192454,1640.2057377992408,0.0,0.0,0.0,4.531699376141292,0.0,0.0,8.530728357508334,44823.02760362596,15445.503830532021,86261.02023212392,0.0,0.0,80773.08476512764,0.0,69571.51129493993,0.0,0.0,4128.1386387355815,4680.429162133331,100.25910501608348,29679.577581560712,750.2978913640065,87518.56289054846,0.0,0.0,12214.79992045237,1040.7693595134308
1996,7113.23431188487,18605.30166147494,0.9150655779718884,0.0,20497.742253608107,13627.59460702471,503605.340844376,34367.06956956864,52034.68137996386,1631.747531867482,0.0,0.0,0.0,4.531699376141292,0.0,0.0,7.440392314824785,44967.79057467587,15474.272811803337,86268.67196956958,0.0,0.0,80770.63460776972,0.0,69524.88311916841,0.0,0.0,4130.798834249333,4662.320797309342,98.67298781047248,29970.548591388226,765.3470491413577,87538.17542014267,0.0,0.0,12452.617609000554,1040.7693595134308
1997,7349.425844892819,19354.582965225018,1.2810391164298796,0.0,21025.536407408363,13927.944563067807,501225.22868239775,34119.46979052381,52025.59807881902,1626.0951683020667,0.0,0.0,0.0,4.531699376141292,0.0,0.0,0.9108163432072475,45153.17210449673,15493.871168464208,86512.83114416192,0.0,0.0,80846.7785304249,0.0,69327.65895019416,0.0,0.0,4137.171786342578,4647.092712949176,98.11068538225884,30167.167318491618,777.3390480883396,87653.73917731403,0.0,0.0,12644.796007283348,1040.7693595134308
1998,7770.726824479245,20967.93670050977,1.2810391164298796,0.0,21514.778424487267,14308.50851443603,497640.59233459615,33418.8074511873,52007.4665954508,1603.4218202925247,0.0,0.0,0.0,4.531699376141292,0.0,0.0,0.0,45559.507360640884,15517.954990996483,87158.85270774215,0.0,0.0,80758.56829198897,0.0,69191.18176258395,0.0,0.0,4148.301431824616,4633.733779427388,97.55641146480241,30378.346824577548,791.585510442031,87752.36058691709,0.0,0.0,12894.332626530291,1040.7693595134308
1999,8227.361705033129,23488.72484359418,2.014124324096776,0.0,23478.36121907416,15368.249077520646,488145.66196463036,31576.43379818311,51912.14080655414,1546.058939165264,0.0,0.0,0.0,4.531699376141292,0.0,0.0,0.0,46829.595057639126,15802.551271361506,90470.2464201117,0.0,0.0,81972.36465115896,0.0,66744.15726444972,0.0,0.0,4130.489712857281,4632.34173474678,97.64911776420138,30587.699040448522,806.2103608930922,89303.30721165206,0.0,0.0,12994.183668528218,1040.7693595134308
2000,8417.063916337866,23812.20362152698,2.014124324096776,0.0,23984.762093620124,15578.975305992923,486066.20593941904,30923.775810169765,51841.276925519196,1531.1422467015905,0.0,0.0,0.0,4.531699376141292,0.0,0.0,0.0,47237.61880041085,15913.926932232158,91604.2681530208,0.0,0.0,82239.63499556693,0.0,66077.1813455282,0.0,0.0,4131.435643531184,4632.1603477983435,97.5569119909959,30784.71650462101,826.8112228938345,89409.37945076638,0.0,0.0,13003.783225229952,1040.67783199996
2001,8493.295403585174,24068.72221994898,2.014124324096776,0.0,23390.273711242797,15682.443631874976,485880.30306765554,30545.88602977008,51852.775931947486,1512.3681778512162,0.0,0.0,0.0,4.531699376141292,0.0,0.0,0.0,47840.36938327471,15983.99678066706,91908.22787977417,0.0,0.0,82292.83073863073,0.0,65654.70405511874,0.0,0.0,4132.827657913368,4634.85157021886,97.37299556802436,30840.94837828681,855.792569479371,89425.70525252623,0.0,0.0,13020.183957544348,1040.67783199996
