year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,4703.027797057254,2654.5122742122903,38.58060017095863,29.961965257565524,5443.505743452215,810.2094846195735,0.0,20048.153178015025,165.49134449260137,0.0,2837.937450492498,0.0,0.0,1.3900400660059336,0.0,0.0,5170.136010841547,2646.521104239038,56.229038214248455,572.8836501654222,0.0,0.0,4792.644895119732,0.0,29.51668447781539,0.0,0.0,0.0,0.0,0.0,60.367800826773134,225.8026593723666,0.3447477044738846,11.143824140278367,0.0,226.21860316522424,0.0
1993,4702.687119262435,2652.2677182173225,38.58060017095863,29.961965257565524,5443.437869886045,810.2094846195735,0.0,20048.08514527267,165.49134449260137,0.0,2837.937450492498,0.0,0.0,1.3900400660059336,0.0,0.0,5170.136010841547,2646.521104239038,56.229038214248455,572.8836501654222,0.0,0.0,4792.167429005062,0.0,29.51668447781539,0.0,0.0,0.0,0.0,0.0,60.367800826773134,229.06888824907804,0.3447477044738846,11.143824140278367,0.0,226.1509805014984,0.0
1994,4702.416374241959,2649.8769901996593,38.58060017095863,29.961965257565524,5443.301723363483,810.0719736903568,0.0,20047.539950633523,165.49134449260137,0.0,2837.937450492498,0.0,0.0,1.3900400660059336,0.0,0.0,5170.136010841547,2646.521104239038,56.229038214248455,572.8836501654222,0.0,0.0,4791.623342065561,0.0,29.51668447781539,0.0,0.0,0.0,0.0,0.0,60.367800826773134,233.09330031764352,0.3447477044738846,11.143824140278367,0.0,226.1509805014984,0.0
1995,4742.690372889057,2699.7382370124806,38.58060017095863,30.100333234612755,5465.582271563163,801.5358783084225,0.0,19795.777811248092,165.62664204033757,0.0,2830.0237013326237,0.0,0.0,1.1805731763156817,0.0,0.0,5175.032419480215,2716.065866774356,57.75085918813581,573.0916572853698,0.0,0.0,4860.072360932345,0.0,29.514936867230375,0.0,0.0,0.0,0.0,0.0,60.700878287789536,237.80038415868833,0.3447477044738846,11.764040825793545,0.0,231.60432362243276,0.0
1996,4769.769078313708,2736.063262556263,38.58060017095863,30.100333234612755,5488.999191320553,799.4556297267327,0.0,19677.08202930575,165.62664204033757,0.0,2828.785452001033,0.0,0.0,1.1805731763156817,0.0,0.0,5174.138134650795,2732.641836071525,57.819906003781405,573.0219181005184,0.0,0.0,4870.623971020656,0.0,29.514936867230375,0.0,0.0,0.0,0.0,0.0,59.306075659487966,242.92176247530261,0.3447477044738846,11.833205690762336,0.0,236.769610012102,0.0
1997,4801.8140547433095,2764.6395187455228,38.58060017095863,30.100333234612755,5522.799996265922,794.5275042738435,0.0,19538.458052490056,165.48690812331932,0.0,2832.595749443005,0.0,0.0,1.1805731763156817,0.0,0.0,5175.940357890708,2746.2109650221905,58.23523294336963,573.0911084608008,0.0,0.0,4894.757104197141,0.0,29.445679625261995,0.0,0.0,0.0,0.0,0.0,59.23789707428423,248.6674738359728,0.3447477044738846,11.833205690762336,0.0,236.63183299105728,0.0
1998,4977.035211385759,2820.942484428781,38.58060017095863,30.100333234612755,5655.51475062549,817.0214228938335,0.0,19061.737451660632,165.48690812331932,0.0,2833.300427121049,0.0,0.0,1.1805731763156817,0.0,0.0,5175.810137765709,2788.887529219111,59.68201024837877,572.6739903524048,0.0,0.0,4931.159349300314,0.0,29.307158776886325,0.0,0.0,0.0,0.0,0.0,59.23789707428423,257.21245955421455,0.3447477044738846,12.110084087861221,0.0,237.2533691984992,0.0
1999,5093.0209236105375,2900.828097317981,38.58060017095863,30.100333234612755,5818.735184070927,796.8817323834588,0.0,18579.36095034631,165.4179438374603,0.0,2841.743157835002,0.0,0.0,1.1805731763156817,0.0,0.0,5176.928274194911,2863.9550927989417,61.41261696707518,569.8137385968387,0.0,0.0,4979.933798963221,0.0,29.376005606518085,0.0,0.0,0.0,0.0,0.0,59.37497094453207,266.4306251799749,0.3447477044738846,12.041934642619717,0.0,239.1175945202019,0.0
2000,5190.819562892069,2927.2649489179876,38.58060017095863,30.16912401593155,6014.683592736189,822.5778757653363,0.0,18157.76466183565,165.28054862718005,0.0,2840.9219764290497,0.0,0.0,1.1805731763156817,0.0,0.0,5175.839737713342,2890.668240029821,65.26600394499867,569.9521129458071,0.0,0.0,5017.715518767684,0.0,29.238382847147633,0.0,0.0,0.0,0.0,0.0,59.994202883838376,274.6838581333692,0.3447477044738846,12.041934642619717,0.0,239.59069192312612,0.0
2001,5198.413915199665,2933.9834382190447,38.58060017095863,30.237908384963674,6034.83540702859,663.2582121323559,0.0,18224.986246327688,166.02997728880155,0.0,2844.29323160761,0.0,0.0,1.1805731763156817,0.0,0.0,5179.704797059101,2936.7567564023875,62.99444891161216,569.4663837976827,0.0,0.0,5021.292469691791,0.0,29.238382847147633,0.0,0.0,0.0,0.0,0.0,60.2680877764111,276.94247089216907,0.4829626228682077,12.041934642619717,0.0,239.59069192312612,0.0
2002,5209.377761526987,2937.0041927875827,38.58060017095863,30.237908384963674,6069.981006106027,639.0811875958024,0.0,18176.14248789405,166.37525497012058,0.0,2845.5424500116414,0.0,0.0,1.1805731763156817,0.0,0.0,5181.359594596555,2950.2060589159864,62.1763595838626,569.535810390274,0.0,0.0,5024.446864274785,0.0,29.168934912333633,0.0,0.0,0.0,0.0,0.0,60.2680877764111,281.79817383963666,0.4829626228682077,12.041934642619717,0.0,239.59069192312612,0.0
2003,5212.7523650085,2935.0653293140335,38.51115541310684,30.237908384963674,6082.19306854114,598.824539136936,0.0,18174.159431180593,166.64723514882382,0.0,2843.5996026551093,0.0,0.0,1.1805731763156817,0.0,0.0,5180.810187688463,2972.044817301003,60.66825778516699,570.0241614962797,0.0,0.0,5027.734930383303,0.0,29.168934912333633,0.0,0.0,0.0,0.0,0.0,60.33660861951278,288.3667007899372,0.6886185225510066,11.973778721698094,0.0,239.59069192312612,0.0
2004,5231.949200080894,2935.7124620438526,38.51115541310684,30.237908384963674,6177.5822769793,543.0242462457408,0.0,18020.99001339385,166.30425146330558,0.0,2844.242833950654,0.0,0.0,1.25064621380312,0.0,0.0,5180.265076251585,3045.9188553069407,61.54376037799475,568.4209105386608,0.0,0.0,5038.919650578887,0.0,28.896455471483996,0.0,0.0,0.0,0.0,0.0,61.64101782397842,297.051398258348,0.6886185225510066,11.837466879854851,0.0,239.59069192312612,0.0
2005,5231.652386480478,2927.64786524961,38.51115541310684,30.237908384963674,6169.227280993004,507.35710476231867,0.0,18054.667557539087,166.440633701611,0.0,2844.94099909615,0.0,0.0,1.25064621380312,0.0,0.0,5181.65273468491,3053.951648007244,60.731682859706225,568.4209105386608,0.0,0.0,5037.056242346545,0.0,28.82700436422902,0.0,0.0,0.0,0.0,0.0,62.052336059029166,308.5939690217488,0.6886185225510066,11.701161513691725,0.0,238.9690503504417,0.0
2006,5222.813094796593,2918.975661844862,38.51115541310684,30.237908384963674,6154.2204128057165,441.36987123746184,0.0,18129.960392314708,166.508569036954,0.0,2845.7627433031676,0.0,0.0,1.25064621380312,0.0,0.0,5184.058085381535,3075.948143714889,56.74334848291833,568.4209105386608,0.0,0.0,5028.784373544619,0.0,28.620231398451203,0.0,0.0,0.0,0.0,0.0,62.052336059029166,319.7942591715483,0.6886185225510066,11.564843196648711,0.0,238.29329074069773,0.0
