year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,19160.372536030798,2811.3843893760086,24.39351461552092,18.764595650050833,7333.298098044843,3065.318278166528,0.0,2072.295250938936,0.1810708848698907,34837.66798188783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10143.306181171542,5035.995412653331,452975.4570053909,0.0,141.93665967449164,37356.98685810842,0.0,568.2720213590321,0.0,0.0,1.6635430973445078,0.0,0.0,8112.342012233135,174.74076522429453,9084.648840946928,0.5364968001728108,178.119965072232,559.3144200127892,0.0
1993,19160.285799693007,2811.3843893760086,24.39351461552092,18.764595650050833,7333.298098044843,3065.229293920587,0.0,2072.295250938936,0.1810708848698907,34837.66798188783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10142.51751785435,5034.603982850756,452973.8858942701,0.0,141.93665967449164,37354.70111016191,0.0,568.2720213590321,0.0,0.0,1.6635430973445078,0.0,0.0,8112.342012233135,181.0423434373117,9084.559935504825,0.5364968001728108,178.119965072232,559.3144200127892,0.0
1994,19160.195173231245,2811.3843893760086,24.39351461552092,18.764595650050833,7333.298098044843,3065.1384325836257,0.0,2072.295250938936,0.1810708848698907,34837.579084856516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10141.471287015931,5033.388593709741,452972.4859708951,0.0,141.93665967449164,37353.044725965876,0.0,568.2720213590321,0.0,0.0,1.6635430973445078,0.0,0.0,8112.342012233135,186.98236524960984,9084.20822607302,0.5364968001728108,178.119965072232,559.3144200127892,0.0
1995,19161.81589708968,2811.3843893760086,24.39351461552092,18.764595650050833,7333.735396807547,3065.1384325836257,0.0,2071.2973455991214,0.1810708848698907,34837.93642438205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9955.754815980623,5032.808164324699,453151.58736896754,0.0,141.93665967449164,37355.16579799009,0.0,570.514599007055,0.0,0.0,1.6635430973445078,0.0,0.0,8110.900076689621,194.527679514322,9080.559604087424,0.5364968001728108,178.119965072232,558.2740591460703,0.0
1996,19166.856373540515,2811.5653594398127,24.39351461552092,18.764595650050833,7334.318821493143,3064.596006326991,0.0,2069.8534773961737,0.1810708848698907,34833.880316584444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9826.492025586127,5034.830252261514,453270.0490552045,0.0,141.93665967449164,37257.33720108124,0.0,671.3711756363109,0.0,0.0,1.6635430973445078,0.0,0.0,8111.987836284396,201.619430133749,9077.32830056373,0.5364968001728108,178.119965072232,559.3144200127892,0.0
1997,19170.97629196914,2812.4467316197815,24.39351461552092,18.764595650050833,7336.935122831176,3065.412454231085,0.0,2067.3593620774063,0.1810708848698907,34830.343427506254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9798.822667634668,5035.944985484475,453287.5596309091,0.0,141.93665967449164,37218.612183025936,0.0,711.8551093888951,0.0,0.0,1.6635430973445078,0.0,0.0,8113.432764042556,207.3267923656435,9074.120134730929,0.5364968001728108,179.05793878797496,559.3144200127892,0.0
1998,19190.702048866307,2814.8596460328636,24.39351461552092,18.764595650050833,7351.398478515409,3066.9637629681088,0.0,2045.3723540991095,0.1810708848698907,34803.533568956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9617.63093483726,5040.220362415824,453428.01613726333,0.0,141.93665967449164,37235.758371916345,0.0,714.8412825608752,0.0,0.0,1.6635430973445078,0.0,0.0,8127.955214484302,213.26717068039503,9080.716852936912,0.5364968001728108,179.05793878797496,559.2258912968554,0.0
1999,19262.736596265568,2825.175880513493,24.39351461552092,18.764595650050833,7537.240777620483,3051.525909981243,0.0,2097.4207825995345,0.1810708848698907,34874.34020220939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9454.977108078452,4896.605616395204,453499.9415170854,0.0,142.11488613136342,36981.085636527205,0.0,751.3072976356223,0.0,0.0,1.6635430973445078,0.0,0.0,8161.483107551931,219.98748072627762,9116.620310461456,0.8933911757196813,179.39930955305854,559.1373625809216,0.0
2000,19686.14773778247,2880.5737663080126,24.39351461552092,18.764595650050833,8117.311201646556,3018.6080199429516,0.0,3203.257203982976,0.1810708848698907,35157.31354870288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9259.01430243152,4115.862315405712,452797.5867613634,0.0,137.1428051244828,36255.32124817064,0.0,758.8350361762358,0.0,0.0,1.5745772534822666,0.0,0.0,8173.668101344742,226.71517513900025,9078.869478864513,0.8933911757196813,179.39930955305854,565.5627358214489,0.0
2001,19778.004133245777,2922.3817715652985,24.74684852005279,18.764595650050833,8113.570475401816,2987.3259317980765,0.0,3448.3620349056055,0.1810708848698907,35274.73434148229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9189.273735437495,3973.351237527571,452680.54453323025,0.0,136.96183143197757,36122.72457809106,0.0,721.5547443749603,0.0,0.0,1.5745772534822666,0.0,0.0,8182.598692195412,233.1648899068273,9101.320437887185,0.8933911757196813,179.39930955305854,565.5627358214489,0.0
