year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,158986.8077360812,906422.6502063365,31.85655456137768,92.85316140698629,504784.1232318106,266753.1921420913,4031755.2754360717,151592.66478120728,63053.37632023406,143901.6157447564,0.0,0.0,0.0,434.6169956290862,0.0,0.0,16.134209906809012,176489.69763373985,33125.20063624985,1315058.7017685594,0.0,0.0,385580.27301089995,0.0,1321.6391086264966,0.0,0.0,407.2964346507676,111275.13905993407,4793.083173171021,124970.54317266562,12936.49349574698,3592.2973988589674,0.0,0.0,145773.35179172026,0.0
1993,159017.7239744562,906667.5016205425,37.49794039565704,92.85316140698629,514606.71081644786,268236.5184904283,4010153.6008833074,150900.8055461162,63049.65374704886,143899.99973292463,0.0,0.0,0.0,410.9614224763651,0.0,0.0,16.134209906809012,176825.663995367,33217.37923794008,1317511.5151714752,0.0,0.0,385724.44239308505,0.0,1296.0899177279782,0.0,0.0,401.47072951830285,109529.48874767264,4743.887504494684,127659.34250162132,13331.828834219916,3593.591562898154,0.0,0.0,152224.2210634399,0.0
1994,158894.41590633313,906650.1797690042,37.49794039565704,92.85316140698629,514592.3106814326,268220.5769227829,4010148.840502565,150899.90519749536,63049.21473090516,143899.7137390262,0.0,0.0,0.0,410.9614224763651,0.0,0.0,16.134209906809012,176802.0565021292,33217.00562223117,1317414.869016429,0.0,0.0,385712.08000636165,0.0,1274.2552178322164,0.0,0.0,394.80479948556297,109528.72573384238,4743.887504494684,127656.25105797208,13679.130035306858,3592.0214483871036,0.0,0.0,152221.19207671468,0.0
1995,160006.6692669749,918109.4108086218,37.6859484461067,95.66392988492771,539074.4241769594,271998.42533463205,3967688.4544725292,146517.64433222753,63107.63406087955,143751.0048686703,0.0,0.0,0.0,404.17350944907014,0.0,0.0,16.134209906809012,178206.73241157393,33791.99549965319,1313827.5040201873,0.0,0.0,389422.04032789543,0.0,1233.898728644661,0.0,0.0,387.13416015571573,108702.21278279327,4745.549723669474,128980.82254367217,14065.00920949567,3554.448825908919,0.0,0.0,155424.210052094,0.0
1996,159892.40854391275,921654.0981237406,38.62592643199323,95.66392988492771,554871.319628062,274116.07104914996,3944386.3174822163,146405.20152474768,63298.62517841489,144262.55181970113,0.0,0.0,0.0,395.569141828247,0.0,0.0,11.664762518177824,178761.92013582474,34007.04114342765,1310160.3090322718,0.0,0.0,390354.97707685473,0.0,1212.6559103689683,0.0,0.0,378.3509868348583,108208.96740484424,4737.278411435933,129499.14317161051,14459.710803151569,3552.24211754138,0.0,0.0,158388.16990014823,0.0
1997,159811.87420442418,925798.1701787426,39.093124690358195,95.66392988492771,566608.9657658369,275949.0438982696,3924474.5335207977,146185.41629127762,63616.48603940225,144429.4852490343,0.0,0.0,0.0,395.0906476280378,0.0,0.0,10.938160971643901,179500.53201944567,34405.18505134448,1306179.7623416537,0.0,0.0,392472.19406786916,0.0,1194.3195274972857,0.0,0.0,371.0618424389072,107742.96193653211,4719.554862546316,130038.46365143533,14833.069838277874,3522.35279248558,0.0,0.0,160754.6642624364,0.0
1998,159952.6450382298,931606.3535276807,39.655984034307,95.98306421396858,583385.8799776653,278454.2499189011,3896235.934835258,144468.6381914384,63766.4761306101,144465.87721674598,0.0,0.0,0.0,390.59925279638173,0.0,0.0,7.189958741724434,180987.02084922208,34931.878473160374,1303787.1390285874,0.0,0.0,394770.5323215915,0.0,1177.0842939292584,0.0,0.0,367.6791598824268,107360.00560046048,4684.31355522856,129757.92286395736,15224.479411525566,3509.930171299143,0.0,0.0,163721.41437975748,0.0
1999,160185.48360445292,940225.3818185134,40.03193303032409,96.56138646746167,609280.7631356694,282307.8982899607,3852292.507065375,143478.88587522355,65288.77267376213,145311.55201131667,0.0,0.0,0.0,386.61265216459054,0.0,0.0,4.8232036573688575,184958.7374183467,35828.68509596344,1295988.873020538,0.0,0.0,398412.43985284306,0.0,1173.4011757799487,0.0,0.0,365.5164647539242,106608.61647855505,4644.584063395234,130526.05583512047,15635.185092860374,3489.13975922459,0.0,0.0,166618.37529793865,0.0
2000,159453.63325912436,942754.2035802165,40.87783451134652,96.9746646752583,612922.3523690188,283166.571879084,3841476.652145327,146163.30269196478,66202.86941299571,147099.38777538107,0.0,0.0,0.0,387.21355453763044,0.0,0.0,4.8232036573688575,187300.42254927085,36330.454347996245,1289223.682461477,0.0,0.0,400215.3140787884,0.0,1167.8627521710503,0.0,0.0,363.6072703305556,106488.29151420917,4648.108087136443,130781.62678832695,16061.591767240781,3426.548654884282,0.0,0.0,167372.51056259446,0.0
2001,159653.7014678487,947315.1331269685,41.25301970405439,97.05732610411671,617309.3058856408,284873.91295010835,3832435.735311138,141505.26576394617,66409.2730137829,147274.57202525303,0.0,0.0,0.0,386.5351251862818,0.0,0.0,4.8232036573688575,189169.585339737,36510.543999237954,1287514.8657483945,0.0,0.0,401478.15600937896,0.0,1142.972222195405,0.0,0.0,347.3945840367031,106439.17799162219,4645.52062481981,130672.35099727692,16982.039002456982,2879.8538788921246,0.0,0.0,168059.854587527,0.0
