year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,137.50336487818413,146.90607142706787,1.806813927784594,1.4266461672236215,673.9386939943882,459.37660002524717,5896.947724113263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80462150165154,0.0,0.0,0.0,0.0,2.1868677375932224,0.0,0.0,0.0,258.0401244392374,350.8385836950355,0.0,17.111297592651763,0.0,0.0,0.0,2799.6577475928466,0.0
1993,137.50336487818413,146.90607142706787,1.806813927784594,1.4266461672236215,673.9386939943882,459.37660002524717,5896.947724113263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80462150165154,0.0,0.0,0.0,0.0,2.1868677375932224,0.0,0.0,0.0,258.0401244392374,350.8385836950355,0.0,17.111297592651763,0.0,0.0,0.0,2799.6577475928466,0.0
1994,137.4083391183194,146.90607142706787,1.806813927784594,1.4266461672236215,673.9386939943882,459.37660002524717,5896.947724113263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80462150165154,0.0,0.0,0.0,0.0,2.1868677375932224,0.0,0.0,0.0,258.0401244392374,350.8385836950355,0.0,17.206323352516492,0.0,0.0,0.0,2799.6577475928466,0.0
1995,139.02476746691366,152.13627237098888,1.806813927784594,1.4266461672236215,648.6400549620113,456.145815741245,5919.299466987881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092408311792324,0.0,0.0,0.0,0.0,2.1868677375932224,0.0,0.0,0.0,259.751673388898,357.9665817347663,0.0,17.396479550945827,0.0,0.0,0.0,2791.6713087441312,0.0
1996,139.4050679269821,151.94611218597947,1.9970004543225253,1.4266461672236215,645.0234985323812,456.43053337636906,5923.201176183264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092408311792324,0.0,0.0,0.0,0.0,2.1868677375932224,0.0,0.0,0.0,260.4172771290027,357.8715096233888,0.0,17.776743977487214,0.0,0.0,0.0,2789.7703154863875,0.0
1997,139.11986051035043,151.66083840344115,1.9970004543225253,1.4266461672236215,651.1099164138393,462.9928268055667,5910.457375318517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092408311792324,0.0,0.0,0.0,0.0,2.1868677375932224,0.0,0.0,0.0,260.4172771290027,357.8715096233888,0.0,18.537437127891486,0.0,0.0,0.0,2789.6751930892447,0.0
1998,141.0218354681652,151.85119038447934,1.9970004543225253,1.4266461672236215,665.2799135596873,471.1720350297075,5886.871528681395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092408311792324,0.0,0.0,0.0,0.0,2.1868677375932224,0.0,0.0,0.0,260.3221724761162,357.6813320939805,0.0,19.107935018671185,0.0,0.0,0.0,2788.5342917090393,0.0
1999,142.73374483798668,154.7996263736209,2.1872120547924374,1.4266461672236215,669.9406687831879,483.72758698696543,5871.936353134966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6630178118129084,0.0,0.0,0.0,0.0,2.472183609258276,0.0,0.0,0.0,261.748381780385,363.4812721154907,0.0,19.678408984989666,0.0,0.0,0.0,2772.7500544514946,0.0
2000,142.35369463350372,155.1802081426923,2.1872120547924374,1.521768936510823,667.4675602687325,484.2992612775796,5873.267338026999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6630178118129084,0.0,0.0,0.0,0.0,2.3770785736549804,0.0,0.0,0.0,262.31906405554747,364.24166012967277,0.0,20.2489608432648,0.0,0.0,0.0,2771.418332337411,0.0
2001,141.1172560906795,155.1802105762452,2.1872120547924374,1.521768936510823,611.1587846601773,477.54838106340645,5933.664249079393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6630178118129084,0.0,0.0,0.0,0.0,2.3770785736549804,0.0,0.0,0.0,264.3162694756828,365.57308567055617,0.0,20.91457480174641,0.0,0.0,0.0,2771.323268297516,0.0
