year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,120574.68444185186,23188.950679908183,0.18455626314060858,1679.8566868273247,20916.50060511535,18861.291591714646,0.6544961057996059,30.38595963506149,42.04690891023585,5152.352166909143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.8476660688246,115.97964490209066,29974.687186586994,0.0,3610.0620714197707,45083.52787088994,0.0,835.3362918185685,0.0,1.1992859427373315,33.04946475339303,0.0,5.597551945030865,299.7935534967065,170.7097439720534,857.6140973594156,7.890059672456006,0.0,955.9755058733684,0.0
1993,120574.03195539821,23188.950679908183,0.18455626314060858,1679.7634185497286,20916.314189879708,18859.1459840103,0.6544961057996059,30.38595963506149,42.04690891023585,5152.352166909143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.8476660688246,115.5136472684226,29974.687186586994,0.0,3610.0620714197707,45080.91775070043,0.0,835.3362918185685,0.0,1.1992859427373315,33.04946475339303,0.0,5.597551945030865,299.70089903631015,176.95629392685552,857.6140973594156,7.890059672456006,0.0,955.9755058733684,0.0
1994,120573.84550745023,23188.950679908183,0.18455626314060858,1679.7634185497286,20916.034571495216,18857.18620211041,0.6544961057996059,30.38595963506149,42.04690891023585,5152.352166909143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.8476660688246,115.42044213379285,29974.687186586994,0.0,3610.0620714197707,45079.23963933991,0.0,835.3362918185685,0.0,1.1992859427373315,33.04946475339303,0.0,5.597551945030865,299.70089903631015,181.2473480594359,857.6140973594156,7.890059672456006,0.0,955.8816164683016,0.0
1995,121326.67573479848,23213.0678066656,0.18455626314060858,1694.726822275673,20966.115134420164,18912.03094515859,0.6544961057996059,30.38595963506149,42.04690891023585,5152.445749222631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.7544085800708,115.42044213379285,29128.05210763199,0.0,3610.0620714197707,45030.80025717467,0.0,834.0439759080475,0.0,1.1992859427373315,33.04946475339303,0.0,5.597551945030865,299.70089903631015,183.20517264719433,857.806498460946,7.890059672456006,0.0,953.2617791802534,0.0
1996,121800.86146583217,23246.436591695176,0.18455626314060858,1702.3673834079916,21015.92146907214,18964.539940362785,0.6544961057996059,30.38595963506149,42.04690891023585,5152.539331536119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.661151091317,115.70056338466468,28614.983513536834,0.0,3609.875074572994,44916.40865344383,0.0,836.9053238024278,0.0,1.1992859427373315,33.04946475339303,0.0,5.597551945030865,299.88802203351446,185.82062804857972,866.8647024672571,7.890059672456006,0.0,948.3959904264027,0.0
1997,122234.20328493338,23263.236233757536,0.18455626314060858,1708.5446766119708,21055.149188640415,19011.132421492766,0.6544961057996059,33.95972642377373,42.04690891023585,5160.062108550268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.5678926205714,115.70056338466468,28124.48000986736,0.0,3608.1875898586522,44851.90991707998,0.0,836.9053238024278,0.0,1.1992859427373315,33.04946475339303,0.0,5.597551945030865,299.7948538125877,189.46128061934732,866.8647024672571,7.890059672456006,0.0,948.3959904264027,0.0
1998,123071.62534444778,23345.29896537527,0.18455626314060858,1720.9140217261995,21174.48001270917,19146.445019140217,0.6544961057996059,35.84123365705973,42.04690891023585,5166.740944397744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.5678926205714,115.9817539560608,27206.714525444724,0.0,3607.905765519512,44522.04824783609,0.0,870.4609375288587,0.0,1.1992859427373315,33.234458006700464,0.0,5.597551945030865,300.16901424551156,190.57906308557955,887.2027423230645,7.890059672456006,0.0,945.3952870826107,0.0
1999,124000.71395568833,23358.14781486573,0.18455626314060858,1732.3369726254077,21281.196599556453,19255.793375862624,0.6544961057996059,60.35110697841462,42.04690891023585,5265.715364628463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.4742625735111,115.98440143547064,25931.055375871736,0.0,3603.1177040053803,44367.20415203879,0.0,938.3843552205929,0.0,1.1992859427373315,33.234458006700464,0.0,5.597551945030865,300.9183093272475,193.18609354756782,938.0623935880424,7.704164088003303,0.0,965.9144288668157,0.0
2000,125449.99034768404,23401.553928770758,0.18455626314060858,1752.1625719041672,21616.419073556972,19591.580066943443,0.6544961057996059,103.28816980190057,42.04690891023585,5411.885110711123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.4742625735111,115.99124605158501,23615.947860076834,0.0,3591.29755030524,44263.71525092497,0.0,974.2588135241019,0.0,1.1992859427373315,33.41924570067089,0.0,5.597551945030865,303.16571384222755,195.9783550061912,966.2635186576211,7.704164088003303,0.0,954.4000386517268,0.0
2001,126264.96436035084,23420.950475959064,0.18455626314060858,1761.3259942186419,21759.0781029252,19695.698844586183,0.6544961057996059,93.74474048410497,42.04690891023585,5474.431057955661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.28703116930336,115.71207166379963,22464.53127841979,0.0,3590.9151634486925,44237.76313483529,0.0,964.2053362793197,0.0,1.1992859427373315,33.326972289238626,0.0,5.597551945030865,303.4442239508841,227.04772156057248,968.6709583323774,7.89047946946841,0.0,965.5073408765975,0.0
