year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,44359.579963952805,5259.488355276365,361.03932708540447,8742.451612287108,3620.8387309873465,3932.985469405166,51899.56232843235,27170.687977583035,9.858432019554932,6.237225447351468,563.8977216029548,0.0,0.0,2.331961471998035,0.0,0.0,0.3712494574311759,18362.570022790125,13.28809791579931,3200.8301217663397,2656.462420314223,0.0,1099.136131201794,0.0,2.8023941760602296,0.0,0.0,0.0,26.223316180005405,422.4484870008875,4724.6079253214175,70.19822012878438,1.9609651196223017,1.0243865192889372,15.290064260413802,6475.64349432152,0.0
1993,44358.738735606,5259.488355276365,361.03932708540447,8742.17094686796,3620.7454833295546,3932.985469405166,51899.56232843235,27170.687977583035,9.858432019554932,6.237225447351468,563.8977216029548,0.0,0.0,2.331961471998035,0.0,0.0,0.3712494574311759,18362.570022790125,13.28809791579931,3200.8301217663397,2656.462420314223,0.0,1099.136131201794,0.0,2.8023941760602296,0.0,0.0,0.0,26.223316180005405,422.4484870008875,4724.6079253214175,71.41336155253772,1.9609651196223017,1.0243865192889372,15.290064260413802,6475.64349432152,0.0
1994,44357.245106205184,5259.488355276365,361.03932708540447,8741.70347456357,3620.7454833295546,3932.985469405166,51899.46962103511,27170.687977583035,9.858432019554932,6.237225447351468,563.8977216029548,0.0,0.0,2.331961471998035,0.0,0.0,0.3712494574311759,18362.570022790125,13.28809791579931,3200.8301217663397,2656.462420314223,0.0,1099.136131201794,0.0,2.8023941760602296,0.0,0.0,0.0,26.223316180005405,422.4484870008875,4724.6079253214175,73.56067697424281,1.9609651196223017,1.0243865192889372,15.290064260413802,6475.549988002265,0.0
1995,45243.19257712076,5345.48295367504,378.65971619236865,8800.81081054308,3837.1296691935304,4109.081235654456,50299.93740752493,26569.849668920746,9.301928521054379,6.1444863109083006,552.3267924127015,0.0,0.0,2.331961471998035,0.0,0.0,0.3712494574311759,18862.201226539342,14.68801666956379,3429.9240893265855,2679.6378242177025,0.0,1105.7084046643931,0.0,2.8023941760602296,0.0,0.0,0.0,26.223316180005405,425.5256446728181,4730.022453201875,75.05493578947741,1.9609651196223017,1.0243865192889372,14.91737933513359,6477.504908614259,0.0
1996,45526.5410011546,5379.9102027855215,383.0418860434559,8816.674247626777,3932.069072536834,4165.102036826654,49796.085571752556,26435.053974637653,9.301928521054379,6.1444863109083006,544.1230410515348,0.0,0.0,2.331961471998035,0.0,0.0,0.3712494574311759,18979.241631903657,14.68801666956379,3453.8705130205212,2690.0129156912217,0.0,1104.6766989765638,0.0,2.8023941760602296,0.0,0.0,0.0,26.223316180005405,425.7088935354211,4730.1157662445285,76.54858480795723,1.9609651196223017,1.0243865192889372,14.91737933513359,6483.2742796686925,0.0
1997,45895.55426402811,5424.939764873277,392.64262910927727,8830.198693906337,4080.6018403025055,4272.146753380209,48913.49775597205,26219.344072986416,8.745837598986984,6.1444863109083006,533.2251493898369,0.0,0.0,2.331961471998035,0.0,0.0,0.3712494574311759,19184.267854001988,14.780555842730523,3620.1904582046027,2705.3148088062076,0.0,1112.6152038386979,0.0,2.8023941760602296,0.0,0.0,0.0,26.223316180005405,425.98695076525036,4744.3426289591025,79.06788054550661,1.9609651196223017,1.0243865192889372,14.91737933513359,6488.577160943564,0.0
1998,46248.53107404555,5494.985912802978,395.9090599977828,8841.181570044564,4248.2652010154,4395.571377246692,47676.900202225064,25908.316331262937,8.745837598986984,6.1444863109083006,528.3740994888011,0.0,0.0,2.331961471998035,0.0,0.0,0.3712494574311759,19687.764852125572,14.967845405658247,3841.2750684345474,2746.8214771516496,0.0,1113.3633957033974,0.0,2.8023941760602296,0.0,0.0,0.0,25.94542438493901,425.8933251948029,4799.097122976767,81.02787861176216,2.14776596641363,1.0243865192889372,14.91737933513359,6489.139723070045,0.0
1999,47006.94247981407,5554.781794325009,404.76818639492245,8868.077853147135,4459.665742004157,4691.185980571107,45884.15561967537,25428.292583458297,8.466404242363794,6.1444863109083006,521.5471680695789,0.0,0.0,2.331961471998035,0.0,0.0,0.2785761911856256,20214.080954353747,14.967845405658247,3982.6592804777833,2830.3294155162216,0.0,1116.43255034801,0.0,2.8023941760602296,0.0,0.0,0.0,26.03842122786746,426.9228217385829,4960.5427929378275,82.80144167361577,2.14776596641363,1.0243865192889372,14.91737933513359,6489.510116672761,0.0
2000,47511.76638526829,5617.888027950768,419.60405451483865,8892.02375423278,4651.531636402812,4879.243173421335,44149.44887287042,25166.634345061964,7.907770976633186,5.958705686789095,513.3368406117787,0.0,0.0,2.426923705465324,0.0,0.0,0.2785761911856256,20764.39103704381,16.08498532474832,3943.2582861710553,2897.0772081697883,0.0,1117.0792625635238,0.0,2.8023941760602296,0.0,0.0,0.0,25.94553462940388,428.69642007342617,5391.305602742325,85.31913660658284,2.14776596641363,1.0243865192889372,14.91737933513359,6493.717935808515,0.0
2001,48103.74412659825,5690.511725387012,424.3585563611801,8910.854875100687,4899.148332265069,5111.38975343691,42723.540290906814,24779.69800627483,7.907770976633186,5.958705686789095,503.6051146106649,0.0,0.0,2.2414596326745935,0.0,0.0,0.2785761911856256,21404.78156742413,16.17787828768182,3783.492795392111,2982.7474940096486,0.0,1112.9975192822894,0.0,2.8023941760602296,0.0,0.0,0.0,26.03822883930006,426.5420011040711,5483.816793038798,87.46854750529803,2.14776596641363,1.0243865192889372,14.91737933513359,6493.624357716216,0.0
