year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,33649.72561303115,10521.519606283035,0.0,508.48862104564284,12426.603728972457,7633.146247796287,211925.49559445388,1666.629621433805,0.0,135233.3720624305,0.0,0.0,0.0,0.0,0.0,0.0,3.1792871213741063,3249.1088914702864,10418.50080371953,19046.42466801381,0.0,1547.076179330509,1623.4987411009013,0.0,1.713522558669172,0.0,0.0,0.0,149.4511431504144,2339.0087947459347,1036.1063469837752,343.42788628279806,34.42864566183464,2.7099857052320417,0.0,9085.152694585628,0.0
1993,33642.303617258745,10521.424491753149,0.0,508.48862104564284,12425.844457237448,7632.7676257239045,211924.82944634574,1666.629621433805,0.0,135233.0868260228,0.0,0.0,0.0,0.0,0.0,0.0,3.1792871213741063,3249.0136720557466,10418.405607748931,19045.283715699694,0.0,1547.076179330509,1622.5479721650943,0.0,1.713522558669172,0.0,0.0,0.0,149.4511431504144,2339.0087947459347,1036.1063469837752,355.50684217864637,34.42864566183464,2.7099857052320417,0.0,9084.962263950418,0.0
1994,33636.30867531131,10521.330692257447,0.0,508.39489216092187,12425.370433050515,7632.2938095147065,211924.73425890307,1666.629621433805,0.0,135232.89644750432,0.0,0.0,0.0,0.0,0.0,0.0,3.1792871213741063,3248.8232945270206,10418.405607748931,19044.61798530484,0.0,1547.076179330509,1622.2623114588532,0.0,1.713522558669172,0.0,0.0,0.0,149.4511431504144,2338.532821783758,1036.1063469837752,364.63565218129037,34.42864566183464,2.7099857052320417,0.0,9084.86707222486,0.0
1995,34109.01221100653,10545.853063344184,0.0,509.9064619818727,12488.548024620812,7644.371111734925,211782.0233341693,1543.1907466890132,0.0,135237.1401696394,0.0,0.0,0.0,0.0,0.0,0.0,3.1792871213741063,3249.203842475435,10419.255294466411,18747.96212309787,0.0,1551.9081429722244,1611.3753657390266,0.0,1.713522558669172,0.0,0.0,0.0,139.84865293563854,2343.0429205309933,1035.344499976762,376.0463141376392,31.788852142349782,2.803956047424565,0.0,9071.250788489648,0.0
1996,34248.81847470784,10550.749348142013,0.0,509.43631574655564,12502.932014899978,7649.663328060848,211736.6108344277,1510.0273814840205,0.0,135258.18928516883,0.0,0.0,0.0,0.0,0.0,0.0,3.1792871213741063,3250.3410801831105,10419.350423160051,18606.689493522103,0.0,1551.62487788449,1610.9944951270422,0.0,1.713522558669172,0.0,0.0,0.0,139.84865293563854,2340.0157856298188,1030.8185638596271,385.6517983736456,8.876166365284934,2.803956047424565,0.0,9126.433600471326,0.0
1997,34390.8234167793,10563.433479767496,0.0,509.43631574655564,12530.621704486208,7665.228452672655,211637.84399464517,1489.9679644232992,0.0,135263.447367345,0.0,0.0,0.0,0.0,0.0,0.0,3.1792871213741063,3250.721613589831,10419.542212120297,18513.916788007806,0.0,1552.2837150738135,1610.8072988418462,0.0,1.713522558669172,0.0,0.0,0.0,139.18425650990463,2337.449046137765,1031.4808202036818,391.8245824483619,7.178914744487318,2.803956047424565,0.0,9131.879976606426,0.0
1998,34622.67476230854,10602.744974677324,0.0,510.3795632913616,12609.45309552922,7757.490854919736,211399.2052159416,1440.198669101858,0.0,135218.6081140542,0.0,0.0,0.0,0.0,0.0,0.0,3.1792871213741063,3276.23731386919,10423.06389718607,18375.569562740573,0.0,1550.6635779300993,1612.0227363247316,0.0,1.713522558669172,0.0,0.0,0.0,139.18425650990463,2338.0192257480035,1031.5809991253022,399.32090707561485,7.178914744487318,2.803956047424565,0.0,9123.475279072023,0.0
1999,34861.06328505684,10708.67507393641,0.0,511.71010908048737,12770.56859097244,7976.965832100564,210892.546177695,1234.526316494397,0.0,135026.5685073982,0.0,0.0,0.0,0.0,0.0,0.0,3.1792871213741063,3313.2241255937593,10434.08935210806,18423.933032573466,0.0,1558.2991056371236,1641.6643918089771,0.0,1.713522558669172,0.0,0.0,0.0,139.18425650990463,2338.393461632971,1029.9063105617672,405.588715122171,6.424488940651291,2.803956047424565,0.0,9163.740786926493,0.0
2000,35063.4473912136,10789.779284558323,0.0,512.9325539659696,12903.984421492056,8118.4183468325955,210527.60937235126,1211.9775105355095,0.0,134988.73354067167,0.0,0.0,0.0,0.0,0.0,0.0,3.1792871213741063,3321.3059976764994,10443.401457887217,18256.30129135882,0.0,1556.972624079247,1649.0249866589186,0.0,1.713522558669172,0.0,0.0,0.0,139.18425650990463,2339.7934740981173,1030.4875049554962,414.4187279175515,7.736728112082429,2.803956047424565,0.0,9161.562449275054,0.0
2001,35114.14020974877,10810.133573515091,0.0,513.4062178281778,12925.069727795802,7916.878474633732,210657.34215118873,1170.8321747526861,0.0,135012.41456032623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3329.67225790757,10439.983302143883,18211.035544047816,0.0,1558.847767966571,1649.1958783668447,0.0,0.19039129084369902,0.0,0.0,0.0,138.8035651640524,2347.9796809030195,1029.9120694113642,458.3528062272898,7.736728112082429,2.803956047424565,0.0,9150.037648499265,0.0
