year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,117883.91094266031,17292.115097577247,0.0,14332.392100890771,35165.83661325424,40825.010325415074,79.17437940049523,2131.0356924142884,0.0,44596.736385653756,18.07524509847317,0.0,0.0,0.0,0.0,0.0,1.121975851680592,337.2769634119307,502.81580030673325,141431.5233565444,0.0,5126.250014705044,136380.0312802802,0.0,37266.056842247795,0.0,1320.1265475539606,28952.645159996027,0.0,162.39618323361745,3822.19733088813,189.16845033969363,644043.2495320941,79.191951933132,87.47902452808962,3365.3908241140525,0.0
1993,117883.16477291241,17292.115097577247,0.0,14331.737928253355,35165.83661325424,40824.91598498722,79.17437940049523,2131.0356924142884,0.0,44596.736385653756,18.07524509847317,0.0,0.0,0.0,0.0,0.0,1.121975851680592,337.2769634119307,502.81580030673325,141431.42898769618,0.0,5126.250014705044,136378.91160552483,0.0,37266.056842247795,0.0,1320.1265475539606,28952.645159996027,0.0,162.39618323361745,3822.19733088813,191.97154422683053,644043.2495320941,79.191951933132,87.47902452808962,3365.296456643684,0.0
1994,117882.7900205924,17292.115097577247,0.0,14331.271410278365,35165.743311797276,40824.53964850468,79.17437940049523,2131.0356924142884,0.0,44596.736385653756,18.07524509847317,0.0,0.0,0.0,0.0,0.0,1.121975851680592,337.2769634119307,502.81580030673325,141431.33490814513,0.0,5126.250014705044,136376.95214090587,0.0,37266.056842247795,0.0,1320.1265475539606,28952.645159996027,0.0,162.39618323361745,3822.19733088813,195.60755244331523,644042.9779762822,79.191951933132,87.47902452808962,3365.296456643684,0.0
1995,118749.55248090983,17341.166562938837,0.0,14377.159688327976,35421.65935795652,40887.69449032945,72.94621208044938,1259.028419305788,0.0,44594.37621138584,18.07524509847317,0.0,0.0,0.0,0.0,0.0,1.121975851680592,337.4657230876901,481.0625147746004,140920.9476165103,0.0,5138.1272070209425,136272.99737374604,0.0,37261.61750032195,0.0,1320.4944200810737,29057.3505898004,0.0,135.7671606459566,3831.4023668877203,200.0934866505769,644162.7642634803,79.191951933132,87.47902452808962,3381.6661767395335,0.0
1996,118750.05661385093,17361.645391299,0.0,14371.408337635296,35392.00759760053,40870.047714809785,69.41273183920589,1215.3410569243208,0.0,44600.78934159828,18.07524509847317,0.0,0.0,0.0,0.0,0.0,1.121975851680592,337.4657230876901,480.4441538658944,140720.90417281433,0.0,5141.490657041387,136013.40830248466,0.0,37434.720126541615,0.0,1320.5868508761175,29337.814821215718,0.0,129.3454236611901,3834.833972599605,205.13147243410447,644215.3268179458,79.37225661957602,87.47902452808962,3402.9782381703712,0.0
1997,119248.5127269457,17406.433914974623,0.0,14394.30373900724,35467.05862030043,40907.431890544285,69.41273183920589,1147.1329872992026,0.0,44601.547073102854,18.07524509847317,0.0,0.0,0.0,0.0,0.0,1.121975851680592,337.4657230876901,480.35024742047426,140195.34631261555,0.0,5143.084957443491,135829.2721380381,0.0,37446.861920459225,0.0,1320.6792977659616,29397.256639994797,0.0,128.78677967588945,3833.16852058408,208.2034234490982,644227.6563461518,79.27917433608667,87.47902452808962,3415.286609879793,0.0
1998,119721.49618131047,17467.170754315695,0.0,14447.570838660355,35685.258101208055,41039.94088964342,66.71736847573503,1113.5108865959678,0.0,44613.70309172069,18.07524509847317,0.0,0.0,0.0,0.0,0.0,1.121975851680592,338.77948381517376,481.2371720575046,139415.32790364668,0.0,5139.994511547861,135103.98387700474,0.0,37425.23678216202,0.0,1322.2416330069466,29636.17163826288,0.0,124.6725599505582,3834.650752743648,209.60326977105333,644582.9712469722,79.09301078929583,87.47902452808962,3435.1998212538842,0.0
1999,120285.96059405651,17573.502873649068,0.0,14553.498262693016,36104.55485574114,41360.176806645824,55.93660301872458,827.9212654939149,0.0,44629.30503996158,18.263324461739483,0.0,0.0,0.0,0.0,0.0,1.121975851680592,340.56154580254866,489.9758647331109,138275.13777272607,0.0,5145.672559381149,133825.6953957152,0.0,37803.83986289329,0.0,1326.7515961597946,30137.314874731383,0.0,121.39899408027335,3833.3523691709743,210.90715456612523,644836.8959654515,80.0327956269952,87.47902452808962,3465.9506432534754,0.0
2000,121377.39916873652,17626.49663091284,0.0,14690.43907631765,36635.521443358746,41814.684167569634,55.8452942690829,801.0328662156708,0.0,44630.9044451751,18.263324461739483,0.0,0.0,0.0,0.0,0.0,1.121975851680592,340.56154580254866,497.51885647412496,136040.01629462512,0.0,5114.109493259541,129312.73549612713,0.0,39110.27282583332,0.0,1396.2613083356332,32494.76308438676,0.0,122.80498561666468,3834.0013208154887,213.0540063024789,645629.6198797855,80.0327956269952,87.47902452808962,3466.2687100055614,0.0
2001,121319.94959275787,17672.569212895196,0.0,14734.068217722348,36740.14885009712,42034.82976941612,51.91501123540519,598.1865457717428,0.0,44635.82826772134,4.789028270787648,0.0,0.0,0.0,0.0,0.0,0.0,341.5899232618495,501.8252947923206,135482.9308866813,0.0,5099.042254308551,129318.49714080943,0.0,39272.61085164684,0.0,1396.8150339894175,32859.408277462935,0.0,123.6373907504993,3847.0018689390695,214.93834394274333,645506.1869062581,79.7635187583166,87.47902452808962,3467.1968083767847,0.0
2002,121503.43270029715,17705.856778837173,0.0,14760.884929307065,36802.902567477766,42110.89876424297,51.17074792125567,518.7446017490818,0.0,44638.85428901969,4.789028270787648,0.0,0.0,0.0,0.0,0.0,0.0,341.87119570016415,503.02855509772564,135181.0845172025,0.0,5098.284297864489,129243.86117822239,0.0,39233.33007423454,0.0,1398.1062655333858,32960.34807675284,0.0,125.68826068812004,3859.7253824051727,217.6723378271027,645521.3416204259,79.7635187583166,87.47902452808962,3442.0893080309424,0.0
2003,121867.45155227464,17758.79103550236,0.0,14795.20781956644,36946.14882272307,42263.71552848018,51.17074792125567,494.9666315852381,0.0,44681.70626353465,4.789028270787648,0.0,0.0,0.0,0.0,0.0,0.0,342.3384696521026,506.3048262699206,134427.7402733006,0.0,5091.444704813135,129078.64605562344,0.0,39162.30341701095,0.0,1398.2913291741088,33042.98635317271,0.0,125.96843367314213,3878.8628564971036,218.99167659104629,645674.8899457024,78.65566625789239,87.47902452808962,3412.357558269379,0.0
2004,122440.44443721065,17810.06744033793,0.0,14872.105922911443,37389.7036730742,42702.16996085045,50.04984616547031,437.8464907162026,0.0,44727.85174066459,1.971743365999195,0.0,0.0,0.0,0.0,0.0,0.0,343.4639593813107,506.59888928242765,132890.5778664292,0.0,5071.032597523625,128877.13171175019,0.0,39288.51206141167,0.0,1401.1524277074475,33111.543606234314,0.0,127.27192357898214,3880.2713621514567,219.74636122617653,645662.1711646676,78.55718941710035,87.47902452808962,3413.486619808474,0.0
2005,122656.9922643212,17844.77919644595,0.0,14893.676111131179,37437.4660260054,42744.79919440171,44.47832290482071,422.5708552525342,0.0,44772.346113185486,0.9403266267652772,0.0,0.0,0.0,0.0,0.0,0.0,344.7815979380729,493.1959674798723,132701.98070460046,0.0,5072.809013939432,128813.14151248362,0.0,39238.55060921459,0.0,1401.7952574861495,33152.1715975036,0.0,127.74128273048657,3891.697768600849,223.11533770912175,645533.8529685705,78.18876451917181,87.47902452808962,3412.6582028151033,0.0
2006,122778.70109961732,17881.22629062451,0.0,14921.250389402834,37456.649740587345,42822.6239325839,42.527745761956524,408.81616515855916,0.0,44832.482034878645,0.9403266267652772,0.0,0.0,0.0,0.0,0.0,0.0,345.9116354693577,494.5349006436333,132440.91014180775,0.0,5073.549417229782,128353.24516698587,0.0,39357.30440340141,0.0,1440.2377428795073,33294.29188770579,0.0,134.43578878560004,3900.3365544793764,225.64132742839507,645627.1630339093,78.18876451917181,87.47902452808962,3392.760505378564,0.0
2007,122996.23824779152,17922.969554381547,0.0,14955.898172864216,37587.412094000065,42957.856735062705,41.59739601523979,372.83537618000526,0.0,44832.36163387016,0.9403266267652772,0.0,0.0,0.0,0.0,0.0,0.0,345.9116354693577,492.5293910764177,131833.77599035524,0.0,5070.552143050822,128512.68995127645,0.0,39429.003248846464,0.0,1441.3378099572628,33363.513201099035,0.0,137.15068954101994,3901.264643403382,226.86044548159435,645410.7309141094,78.18876451917181,87.47902452808962,3392.110630886894,0.0
2008,123275.95897259757,18002.436120718612,0.0,14992.280344575393,37745.138471899765,43132.59812543565,40.668101376273974,415.4189660553852,0.0,44860.37448261078,0.18807936326631178,0.0,0.0,0.0,0.0,0.0,0.0,346.47588831986485,487.6848711445269,131140.7725505979,0.0,5044.40312403527,127992.49634824834,0.0,39788.50851322156,0.0,1443.0837415833942,33544.88067047471,0.0,141.63642968242254,3900.320098952869,228.17577514573495,645312.3537464322,78.18876451917181,87.47902452808962,3389.6868088744136,0.0
2009,123816.1907166272,18075.370297852944,0.0,15054.876395147627,38189.40037304911,43554.18099265404,40.668101376273974,358.20412640007595,0.0,44845.52394947139,0.18807936326631178,0.0,0.0,0.0,0.0,0.0,0.0,347.88195352138973,490.468177985976,129727.48900051427,0.0,5011.168562932316,127802.0463951189,0.0,40022.12829702498,0.0,1443.0827354042176,33635.371410329375,0.0,142.19717359207948,3899.948130098583,230.33466433163028,645148.6873455029,79.11233477734832,87.47902452808962,3389.2097827895172,0.0
2010,123886.74193805188,18143.123717687504,0.0,15063.080676300448,38166.36138420509,43589.233830558165,40.48210457521929,385.68778811218203,0.0,44843.73311484252,0.18807936326631178,0.0,0.0,0.0,0.0,0.0,0.0,348.81736383541596,496.2430735344561,129603.71478434425,0.0,5009.930082156639,127999.60752413602,0.0,40276.90082246548,0.0,1440.7695643608868,33574.55552064704,0.0,144.35093835875463,3900.7804246584756,233.230742783183,644686.7547948242,78.74211735045172,87.47902452808962,3390.698608713093,0.0
2011,124041.68374893673,18224.017400448585,0.0,15084.95435594519,38287.45047090404,43739.77680596718,39.7390548246974,359.15740765192555,0.0,44812.109963544295,0.18807936326631178,0.0,0.0,0.0,0.0,0.0,0.0,348.6343505325079,499.5512538736818,129178.27481977198,0.0,4989.745847497758,127986.91968813854,0.0,40991.56219435922,0.0,1440.4910581923461,33672.45717129757,0.0,145.93081754689157,3903.0091460577105,234.92120136156126,643857.1535384089,78.74211735045172,87.47902452808962,3387.2585038905872,0.0
2012,124069.26105805271,18288.112095203775,0.0,15092.243674025727,38274.3018844069,43762.734937727066,39.7390548246974,349.5026584604132,0.0,44799.54226205123,0.18807936326631178,0.0,0.0,0.0,0.0,0.0,0.0,348.6343505325079,501.9365435578951,129177.16308486766,0.0,4980.646438153613,128029.60796550289,0.0,41664.6588579281,0.0,1441.8757647778004,33627.10398502351,0.0,146.86077820109713,3901.705529762625,236.88876348737946,643104.1827089959,78.74211735045172,87.47902452808962,3388.096403606984,0.0
2013,124133.46071798782,18379.512906534983,0.0,15115.465432431689,38343.183486745445,43893.40429364203,40.38991415591065,361.16529047769103,0.0,44804.77973578361,0.18807936326631178,0.0,0.0,0.0,0.0,0.0,0.0,349.1024954004836,507.81548218887895,128876.13132439596,0.0,4960.540003198259,127906.234066259,0.0,41803.948531011134,0.0,1443.3530793814418,33643.4517056918,0.0,149.1957274545824,3894.0757664425455,244.00542743057386,642987.48700893,78.74211735045172,87.47902452808962,3388.096403606984,0.0
