year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,9266.971594231169,9187.812418337062,0.0,0.0,14363.613175021826,18261.530376303133,90680.03536747057,58810.798336125554,6341.95423087549,8958.850277925838,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18142.04033376825,41239.51277368416,1424.5587003703945,121195.40854349424,0.0,14.840828413728998,31244.715614554734,0.0,111331.61422298709,0.0,0.0,2232.935187170419,0.0,0.1350362250137351,1135.5213478491814,1223.4271793311882,139540.85056991622,0.0,0.0,100601.03613457025,29631.786810635444
1993,9265.003043719102,9186.726317352079,0.0,0.0,14363.154182122398,18261.457910119505,90679.95909239145,58810.725087059145,6341.95423087549,8958.850277925838,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18142.04033376825,41239.020440288456,1424.5587003703945,121178.92370442292,0.0,14.840828413728998,31244.63563542475,0.0,111322.22749355686,0.0,0.0,2232.935187170419,0.0,0.1350362250137351,1135.5213478491814,1258.3608628776278,139536.5138033283,0.0,0.0,100600.61873336458,29631.786810635444
1994,9261.797283254604,9185.654388039451,0.0,0.0,14362.788912782053,18260.92547743727,90679.8118274963,58810.725087059145,6341.95423087549,8958.850277925838,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18142.04033376825,41238.19567086858,1424.4796861296375,121161.82139723311,0.0,14.840828413728998,31243.793921926313,0.0,111312.85244614747,0.0,0.0,2232.850404962347,0.0,0.1350362250137351,1135.5213478491814,1298.446151098842,139531.07131808094,0.0,0.0,100599.60622105177,29631.786810635444
1995,9270.221147484119,9257.979088741384,0.0,0.0,14244.505368408269,18236.114415936252,90644.10972166935,58693.202706780394,6349.856688807111,8983.303808322082,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18148.66925468718,41271.31950413939,1407.3582325978257,121160.07371285156,0.0,14.840828413728998,31222.058109275466,0.0,111201.0211393442,0.0,0.0,2232.1380692449843,0.0,0.1350362250137351,1132.0780995034274,1337.4594511475668,139673.55835125528,0.0,0.0,100718.15951379054,29631.786810635444
1996,9271.603007962982,9263.946172558275,0.0,0.0,14196.536753946917,18205.08718723972,90603.47211807779,58679.0105094886,6352.48812243574,8990.94624744894,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18148.99439084136,41128.94108565589,1407.9704005971064,121138.1506486776,0.0,14.840828413728998,31219.683027633153,0.0,111395.29309148966,0.0,0.0,2232.4009863444307,0.0,0.1350362250137351,1131.6301892213428,1382.2530185437586,139591.56090285524,0.0,0.0,100843.21852296819,29631.786810635444
1997,9277.193129822914,9279.759131790155,0.0,0.0,14172.949896701026,18191.306333975754,90624.36852371642,58620.56452632528,6351.8884396163285,8996.281441533407,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18148.60370044752,41132.42259628847,1413.8226184959126,121115.86056509847,0.0,14.840828413728998,31213.056150585733,0.0,111321.0301584123,0.0,0.0,2232.156833243899,0.0,0.1350362250137351,1133.033074604075,1422.308081341521,139650.14491767448,0.0,0.0,100886.43626431293,29631.786810635444
1998,9291.324617683385,9305.126054633003,0.0,0.0,14167.883272546655,18172.750531249727,90598.25709832032,58563.506355723795,6357.540801196716,9000.947173643592,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18147.78762942781,41174.14249094776,1412.5510031542337,121075.14535721428,0.0,14.840828413728998,31219.066357450352,0.0,111414.41394864525,0.0,0.0,2232.1560253720095,0.0,0.1350362250137351,1130.2512005383146,1466.366525113961,139538.99066473875,0.0,0.0,100914.97927638631,29631.786810635444
1999,9338.444952570138,9502.101795268069,0.0,0.0,14032.691549684674,18140.32989178482,90421.04389311635,58410.438621603535,6368.176249139161,9024.869046751868,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18143.22739102337,41339.52399758333,1468.042867443322,121030.971863621,0.0,14.840828413728998,31275.29743400526,0.0,110609.80784466187,0.0,0.0,2230.8333566058086,0.0,0.1350362250137351,1135.4325693689561,1505.593729196007,140278.29769010597,0.0,0.0,100928.06164045315,29631.786810635444
2000,9343.298682272958,9521.970215889474,0.0,0.0,13967.621665298138,18036.847071336484,90507.86982501813,58403.98019337767,6378.853802041535,9038.862292518952,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18139.21250072718,41484.59621445298,1558.4271502594522,120851.41452153097,0.0,14.840828413728998,31396.09821398982,0.0,110732.71540829809,0.0,0.0,2229.8922470244615,0.0,0.1350362250137351,1146.2484382708983,1550.9726385025804,139936.86223063662,0.0,0.0,100957.44307254026,29631.786810635444
2001,9353.505541485678,9576.579578603534,0.0,0.0,13872.06676520751,17821.59244775263,90929.05726538946,58460.654987411,6403.380887777671,9087.282541889068,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18148.937079681735,41638.14896125571,1543.7664602253928,120572.6988947403,0.0,14.762685757901133,31411.58119220146,0.0,110684.2926146673,0.0,0.0,2228.005548145956,0.0,0.1350362250137351,999.1537065491007,1601.0863014942054,139925.71566785392,0.0,0.0,100925.75808431121,29631.786810635444
2002,9352.117533564904,9586.002446339007,0.0,0.0,13794.230568703495,17658.55092006694,91213.30396248665,58539.49022062983,6429.608117491413,9115.477255446258,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18153.39982551719,41700.92335835908,1497.2297805061064,120390.09995491238,0.0,14.762685757901133,31388.44875022576,0.0,110709.82628045707,0.0,0.0,2227.3341303718203,0.0,0.1350362250137351,914.6750379435093,1615.870633492006,139984.32170164134,0.0,0.0,100912.3540484879,29631.786810635444
2003,9344.180500881608,9597.04574882152,0.0,0.0,13702.885408578644,17522.654808536176,91516.41409877858,58596.579926920844,6463.436952036458,9139.912394989062,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18162.99444997084,41880.321924922944,1459.796153800101,120211.29105235568,0.0,14.762685757901133,31372.85786594566,0.0,110649.55665628504,0.0,0.0,2224.962444120011,0.0,0.1350362250137351,769.4398181779475,1624.2654351418955,140079.97316867768,0.0,0.0,100864.69571770242,29631.786810635444
2004,9327.856555893582,9598.613464051314,0.0,0.0,13474.29500203378,17144.220418183802,92369.75179605177,58714.966247870725,6535.646235377495,9172.75863845258,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18170.92499195384,42310.19941653558,1406.3707701347594,119635.55994914933,0.0,14.057641123411836,31375.336656850086,0.0,111065.65936739669,0.0,0.0,2224.607814536386,0.0,0.1350362250137351,476.38520470577566,1631.6213752690144,139710.5826135146,0.0,0.0,100838.61305331616,29631.786810635444
2005,9317.567886406443,9597.12242935064,0.0,0.0,13366.761141705805,17029.181573162332,92557.61453078639,58742.00717060582,6547.6774912892515,9190.82090026819,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18175.705979449456,42463.60983443114,1399.3067553018484,119538.07915581141,0.0,13.503547086518447,31376.75992161484,0.0,111119.02829480701,0.0,0.0,2222.8218753584633,0.0,0.1350362250137351,420.95744206653853,1639.9401872247465,139660.4442872191,0.0,0.0,100819.11680845467,29631.786810635444
2006,9308.496977454784,9598.262303136236,0.0,0.0,13244.82349420332,16862.55701024725,92768.73334968621,58802.414218789905,6571.021543540599,9198.921919927005,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18180.338021672447,42793.16088223005,1375.4422797500115,119242.4213196767,0.0,13.503547086518447,31355.28907382857,0.0,111216.38821498242,0.0,0.0,2221.9071682780195,0.0,0.1350362250137351,391.4024340640958,1706.9036831601213,139569.28531289942,0.0,0.0,100776.75445778691,29631.786810635444
2007,9283.002242137503,9594.945302927947,0.0,0.0,13138.126831297748,16673.64806541847,92867.60730259209,58818.15094100257,6587.407595449617,9205.047622841255,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18180.326559899284,42993.312374442976,1344.7754084666008,119212.21302476664,0.0,13.503547086518447,31365.470646420836,0.0,111534.45881739527,0.0,0.0,2221.7589084438396,0.0,0.1350362250137351,382.461788832327,1761.5447570554302,139254.43109070524,0.0,0.0,100765.83438521864,29631.786810635444
2008,9279.37416840573,9605.193492120414,0.0,0.0,12971.064911735893,16559.544036363674,93000.58879197309,58804.75086731487,6606.878301107692,9217.630870840836,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18178.396818233025,43153.93266747195,1232.2462771536116,119160.4204592676,0.0,13.503547086518447,31350.351849503426,0.0,111897.03877128844,0.0,0.0,2221.9915352153134,0.0,0.1350362250137351,326.23058406817614,1783.2490496611042,139086.8025098688,0.0,0.0,100748.83770372067,29631.786810635444
2009,9271.481358396275,9608.794972937676,0.0,0.0,12889.654674072763,16455.161319896357,93080.28414045593,58807.43900730928,6615.684272535166,9221.223377981049,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18176.547633112656,43201.28852442648,1218.8887775716912,119153.83643688238,0.0,13.269105843806676,31315.04801641059,0.0,112168.9397741477,0.0,0.0,2220.8148009164747,0.0,0.1350362250137351,307.442342572111,1835.5197943311953,138882.9587637788,0.0,0.0,100753.75011882227,29631.786810635444
2010,9246.961506371936,9615.591226687739,0.0,0.0,12823.49557583769,16488.275158369597,92966.61849472004,58797.944833034184,6616.338211864629,9219.063138896778,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18172.006952877957,43427.75068744332,1210.7391165398776,119084.17630766467,0.0,13.269105843806676,31297.01813781547,0.0,112292.75869395207,0.0,0.0,2219.6255450590265,0.0,0.1350362250137351,303.02272902232596,1896.8580458854012,138757.10641058584,0.0,0.0,100749.40733392828,29631.786810635444
2011,9242.402664960253,9628.097042317364,0.0,0.0,12811.5959981615,16563.844413037674,92842.46189032105,58728.46443917465,6609.4411247614335,9214.72908296512,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18171.206648944073,43534.56696277912,1204.6375014411472,119068.77761026696,0.0,13.269105843806676,31310.92066097258,0.0,113014.50480352441,0.0,0.0,2221.0342410499916,0.0,0.1350362250137351,301.7037814687759,1960.592401247135,138018.3527707327,0.0,0.0,100737.42406843108,29631.786810635444
2012,9236.187273190182,9632.848858553454,0.0,0.0,12791.28949396399,16553.45854230787,92826.76653504612,58707.28381038351,6604.359222825027,9215.850091183667,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18169.48915769593,43592.15819126846,1198.2997308391723,119060.31985291731,0.0,13.269105843806676,31336.505605206356,0.0,113657.43096694551,0.0,0.0,2219.9399383214736,0.0,0.1350362250137351,298.7328463741449,2006.3777855449646,137340.64361174326,0.0,0.0,100736.81659224628,29631.786810635444
2013,9214.120193430663,9625.743864845175,0.0,0.0,12776.395461354912,16544.526784615515,92825.44231370838,58695.806829008994,6601.294096089583,9215.535068598081,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18161.47711692069,43626.26082317794,1191.6943126663207,118986.1546630917,0.0,13.269105843806676,31330.01663892033,0.0,113698.25989288489,0.0,0.0,2219.3983641279565,0.0,0.1350362250137351,297.90764087418137,2150.2047718199997,137291.9883551464,0.0,0.0,100732.5309152752,29631.786810635444
2014,9206.582019821597,9625.749250047918,0.0,0.0,12748.944383439233,16544.96265239859,92687.27287941477,58679.80184032016,6581.610078798452,9210.600261452224,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18152.211307537178,43755.01202269021,1184.4386401461861,119027.94961335811,0.0,13.269105843806676,31325.423484360093,0.0,113750.74091131485,0.0,0.0,2219.638686404315,0.0,0.0,297.74831193163993,2223.7973285163553,137220.2754724855,0.0,0.0,100742.13399834454,29631.786810635444
2015,9203.070234593082,9625.674452828562,0.0,0.0,12747.32236473267,16544.77574542127,92686.64400777017,58678.2964495903,6581.530493159116,9210.24874580945,0.0,0.0,0.0,0.14500459337215477,0.0,0.0,18152.144787400357,43753.74582343336,1184.4386401461861,119009.97975308819,0.0,13.269105843806676,31325.818359992663,0.0,113747.69110197072,0.0,0.0,2219.310462573712,0.0,0.0,297.74831193163993,2258.3796203270454,137216.2336303602,0.0,0.0,100741.84015765315,29631.786810635444
