year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,45483.744027841385,21100.487813843065,19.446673352188913,0.0,34524.320906030334,38445.38729428913,729532.8881513132,8049.470066350852,0.7535498682795582,0.0,0.0,0.0,0.0,18.94529960240697,0.0,0.0,8.461074305114128,10850.682079569242,11493.579769672668,51654.45105859747,0.0,1.048314690030075,138719.22217212594,0.0,5500.099518401783,0.0,0.0,0.6579327598287992,13199.80080799442,3245.559828612121,23827.771967747238,1699.9980463229872,228.16921608448683,0.0,0.0,19579.16204855496,66.59164983369212
1993,45481.371333992734,21105.162602038337,19.446673352188913,0.0,34536.44301096974,38448.8350025967,728940.8966086258,8023.343931698538,0.7535498682795582,0.0,0.0,0.0,0.0,18.563680897188053,0.0,0.0,8.461074305114128,10861.757418613359,11492.16828171151,51756.46185932632,0.0,1.048314690030075,138723.12026243808,0.0,5499.628379704863,0.0,0.0,0.6579327598287992,13143.266423128267,3245.466144391195,23915.27020581313,1733.0741308687536,230.6463768879844,0.0,0.0,19998.264419251456,66.59164983369212
1994,45478.43357536256,21104.312220275446,19.446673352188913,0.0,34533.80466335865,38446.66417267574,728939.4707731402,8023.249869275657,0.7535498682795582,0.0,0.0,0.0,0.0,18.563680897188053,0.0,0.0,8.461074305114128,10860.901969920113,11488.654316199962,51755.61060380031,0.0,1.048314690030075,138711.58450817785,0.0,5498.596072519502,0.0,0.0,0.6579327598287992,13143.171369303482,3245.1851067236835,23914.6100279744,1762.2046393730645,230.55295562776848,0.0,0.0,19998.169548348425,66.59164983369212
1995,45716.59983020968,21338.151300726073,19.446673352188913,0.0,34064.49551122327,38527.95264008036,727094.4841076924,8017.8072818460105,0.7535498682795582,0.0,0.0,0.0,0.0,18.563680897188053,0.0,0.0,8.461074305114128,10993.43368442237,11533.749481601093,52124.008870445294,0.0,1.048314690030075,139626.86633860343,0.0,5479.174591058823,0.0,0.0,0.6579327598287992,13143.837755291126,3336.2318851271034,23843.022240344337,1791.5275359110435,238.5502656872302,0.0,0.0,20265.378168353487,66.49655326870639
1996,45732.86950213161,21349.069849081,19.446673352188913,0.0,33871.450438881926,38389.427020455805,726919.0068514434,8017.514406357579,0.7535498682795582,0.0,0.0,0.0,0.0,18.563454017146647,0.0,0.0,8.461074305114128,11014.103071015834,11536.216738123765,52166.634464264534,0.0,1.048314690030075,139677.1076799293,0.0,5477.125810967176,0.0,0.0,0.6579327598287992,13142.92904289162,3350.484159217154,23846.000641875788,1820.2089102850343,241.02701196576103,0.0,0.0,20584.096116615845,66.49655326870639
1997,45888.81280687243,21426.467048816325,19.636930370901993,0.0,33954.09494249413,38516.0710993047,725727.2427716812,8016.747760525737,0.7535498682795582,0.0,0.0,0.0,0.0,18.658796333089896,0.0,0.0,8.461074305114128,11069.810389481017,11548.208179716472,52455.70039666128,0.0,1.048314690030075,139867.10805054195,0.0,5478.194445026903,0.0,0.0,0.6579327598287992,13156.172942917505,3364.4722433205666,23862.400949994786,1847.9610095152202,242.35995425707043,0.0,0.0,20713.256220829928,66.40145747914752
1998,46186.053997364404,21530.34520729465,19.636930370901993,0.0,34262.12362171392,38970.28383088276,723537.7807919623,8007.185965252841,0.7535498682795582,0.0,0.0,0.0,0.0,18.658796333089896,0.0,0.0,8.461074305114128,11160.759850062848,11565.786939874282,53035.502800098475,0.0,1.048314690030075,140087.30866956277,0.0,5436.828694903774,0.0,0.0,0.6579327598287992,13159.310438932454,3376.573552280563,23882.610437548785,1879.4007931265214,242.5518739345756,0.0,0.0,20814.768560564167,66.30664407566948
1999,46310.28244605996,21813.70541039929,19.636930370901993,0.0,34536.44801307183,39342.58851335153,720655.51414122,8017.690901834579,0.7535498682795582,0.0,0.0,0.0,0.0,18.943105833000498,0.0,0.0,8.556075399500106,11341.403619617644,11601.972642670788,53488.802130114986,0.0,1.048314690030075,140640.0207466855,0.0,5414.322702065059,0.0,0.0,0.6579327598287992,13154.143003082594,3383.9704864494897,24026.867146280973,1914.4801686798546,247.31514619487763,0.0,0.0,21245.269496985376,66.30664407566948
2000,46347.13587612438,21929.827591065543,19.731934095781966,0.0,34491.94237271812,39410.084379108164,720185.8092426556,8024.173690299364,0.7535498682795582,0.0,0.0,0.0,0.0,19.038447546877318,0.0,0.0,8.556075399500106,11440.02493580692,11610.857107702454,53688.40645405712,0.0,1.048314690030075,140451.92448744542,0.0,5360.919009355156,0.0,0.0,0.6579327598287992,13218.761602581302,3389.8701588486715,24015.989182342397,1960.5437749775238,247.70039091018904,0.0,0.0,21360.73093093078,66.21182647230165
2001,46436.97031940336,22065.884198617045,19.731934095781966,0.0,34377.69662156745,39518.994124333876,719646.2891072019,8033.638526970129,0.7535498682795582,0.0,0.0,0.0,0.0,19.038447546877318,0.0,0.0,8.651076932834865,11544.095394124688,11619.489576979287,53870.03519967169,0.0,1.048314690030075,140459.28073585223,0.0,5315.535773705804,0.0,0.0,0.6579327598287992,13242.563643317775,3395.9401451570184,24019.878900215517,1977.654897023287,247.89077962993613,0.0,0.0,21362.768241624457,66.21182647230165
2002,46506.63427249473,22157.192769184112,19.922048412389717,0.0,34344.39635173951,39655.7496328688,718970.1109947013,8032.958029172219,0.7535498682795582,0.0,0.0,0.0,0.0,19.038447546877318,0.0,0.0,8.651076932834865,11663.935498455357,11625.684084528668,54085.3760127489,0.0,1.048314690030075,140478.07855540473,0.0,5314.4153920225845,0.0,0.0,0.6579327598287992,13249.178710893884,3405.70087103798,24045.874732322565,1993.176978130528,248.27107131598007,0.0,0.0,21357.682114057618,66.21182647230165
2003,46624.17964476218,22332.161324743294,20.112205420886912,0.0,34348.61468489921,39750.80714463668,717980.938093466,8032.175523451012,0.7535498682795582,0.0,0.0,0.0,0.0,18.848030905525945,0.0,0.0,8.651076932834865,11818.458545325706,11640.918104917884,54310.06207915621,0.0,1.048314690030075,140647.10618878985,0.0,5296.559117471306,0.0,0.0,0.6579327598287992,13233.579891337457,3407.3118104502782,24069.404966034406,2004.1109562228899,248.36797638026624,0.0,0.0,21389.66027866777,66.21182647230165
2004,46742.88228603203,22987.4080206837,20.112205420886912,0.0,34671.581645741455,40646.41411656307,712952.4365878736,8102.315373427526,1.0393227640791827,0.0,0.0,0.0,0.0,12.547762363845312,0.0,0.0,8.651076932834865,12862.023699725447,11674.984056899188,55083.954640899836,0.0,1.048314690030075,140851.68388225225,0.0,5221.970354613878,0.0,0.0,0.6579327598287992,12630.0008573291,3414.5202168776527,24459.983427852978,2032.9760195088138,252.74619348753578,0.0,0.0,22552.54944659031,66.21182647230165
2005,46731.090728037525,23059.92590896478,20.112205420886912,0.0,34380.45169650139,40502.67997263596,713000.1366101074,8104.282958685309,1.0393227640791827,0.0,0.0,0.0,0.0,12.641390620982067,0.0,0.0,8.651076932834865,13006.141701659828,11682.685583053977,55151.9316911899,0.0,1.048314690030075,140953.8230584433,0.0,5169.502033061427,0.0,0.0,0.5638338749011713,12628.335836608403,3417.7397865484145,24432.284232668084,2052.69057420979,253.50618465510564,0.0,0.0,22613.222739956178,66.21182647230165
2006,46716.83223813136,23115.715592910354,20.112205420886912,0.0,34145.49096302673,40439.5714098957,713004.0712158468,8121.8280998176715,1.0393227640791827,0.0,0.0,0.0,0.0,13.8601570033024,0.0,0.0,8.651076932834865,13080.204366735456,11678.029901116963,55200.84828522462,0.0,1.048314690030075,140996.06952864054,0.0,5121.715632868936,0.0,0.0,0.46973576074859413,12644.022486692491,3439.22421296583,24378.316184622618,2099.7407574500194,253.60332450356688,0.0,0.0,22704.02242826868,66.21182647230165
2007,46607.564153433574,23153.175732959193,20.207527025946444,0.0,33542.42861465881,40117.41331357998,713870.4988863025,8158.668004201656,1.0393227640791827,0.0,0.0,0.0,0.0,14.985196614287847,0.0,0.0,8.651076932834865,13220.875126242905,11673.284088551414,55020.865081510296,0.0,1.048314690030075,141002.74353518675,0.0,5121.816223026563,0.0,0.0,0.46973576074859413,12694.371428288508,3472.3536448963273,24391.355182020303,2148.7200062113375,254.1646835750988,0.0,0.0,22687.7885628576,66.21182647230165
2008,46526.605972005855,23231.97302764191,20.207527025946444,0.0,32989.60182977706,39906.331875324664,714277.3242835925,8173.761989590538,1.0393227640791827,0.0,0.0,0.0,0.0,16.017849416793492,0.0,0.0,8.651076932834865,13346.060000908752,11668.528863985583,55146.94985334967,0.0,1.048314690030075,140971.40976866471,0.0,5134.637132769534,0.0,0.0,0.46973576074859413,12722.455605762634,3497.2658826334196,24425.138954612114,2190.306768968277,255.01947693441377,0.0,0.0,22673.682328177623,66.21182647230165
2009,46454.72788837931,23294.354485672447,20.39751599160993,0.0,32627.635024784202,39736.10340866667,714713.9034678075,8186.514680876495,1.0393227640791827,0.0,0.0,0.0,0.0,16.29867497079316,0.0,0.0,8.368409171745736,13439.645359468439,11668.223526376332,55075.27938020516,0.0,1.048314690030075,141013.04280793178,0.0,5100.5584730211285,0.0,0.0,0.46973576074859413,12727.201669844499,3504.6931322148707,24435.367641251632,2230.5708805377967,255.87339204389988,0.0,0.0,22673.170248858332,66.21182647230165
2010,46404.46716444833,23390.938175636828,20.68254902558347,0.0,32444.722737180884,39627.36979559413,714827.3722202604,8196.060072768378,1.0393227640791827,0.0,0.0,0.0,0.0,17.423313226822582,0.0,0.0,8.273145172162028,13515.822487305606,11665.820335713175,55086.495080535205,0.0,1.048314690030075,141021.0552053597,0.0,5044.978854832026,0.0,0.0,0.46973576074859413,12752.79113813483,3512.885547459609,24455.039740650824,2269.890025083849,256.9125009195436,0.0,0.0,22662.929978766806,66.21182647230165
