year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,2797.2790675480674,269.69288943628777,0.5632306293454611,0.0,2864.1621866441615,10682.459837696717,30299.22579143869,3060.200204289501,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,0.5642985464194065,156.03172217929384,117.80459356420086,3.205072073281964,0.0,0.0,95.742327185952,0.0,0.0,0.0,0.0,0.0,114.66121200820459,329.65998811489635,34.384356564505865,206.6045225381306,23.176975410277688,0.0,0.0,3006.0767037911223,0.0
1993,2796.808749238001,269.69288943628777,0.5632306293454611,0.0,2863.410298695527,10679.734143040117,30298.567680527285,3060.200204289501,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,0.5642985464194065,153.58780405211238,116.01856516944677,3.205072073281964,0.0,0.0,95.46033907347696,0.0,0.0,0.0,0.0,0.0,114.66121200820459,329.65998811489635,34.29035174224946,215.81647382150007,23.176975410277688,0.0,0.0,3006.0767037911223,0.0
1994,2796.2449076048206,269.69288943628777,0.5632306293454611,0.0,2863.2223596620793,10677.008279419522,30298.003652846444,3060.106415889313,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,0.5642985464194065,152.83579695798076,114.23257987735234,3.205072073281964,0.0,0.0,94.70855526518108,0.0,0.0,0.0,0.0,0.0,114.66121200820459,329.65998811489635,34.29035174224946,223.33569761669676,23.176975410277688,0.0,0.0,3005.9827165587026,0.0
1995,2824.811903699821,271.2964217174533,0.5632306293454611,0.0,2855.1823191921944,10878.419488191357,30046.93696079028,3059.729015944743,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,0.5642985464194065,154.15582326965261,114.42201533636933,3.205072073281964,0.0,0.0,97.34682644928684,0.0,0.0,0.0,0.0,0.0,114.66066809197056,333.3248862777051,34.19634293705474,230.19770651167357,23.270691217934676,0.0,0.0,3019.2113087825014,0.0
1996,2824.5341893192463,271.48463285470046,0.5632306293454611,0.0,2823.15438017285,10901.51089743967,30029.765375876177,3059.72911415389,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,0.6582769436869033,155.0030259193565,113.67003585189718,3.205072073281964,0.0,0.0,96.97098001436098,0.0,0.0,0.0,0.0,0.0,114.75443848980305,335.9559522019975,34.10231667327058,237.15241680419086,23.270691217934676,0.0,0.0,3036.009953023399,0.0
1997,2833.3753260516405,272.33023175263895,0.5632306293454611,0.0,2827.458323794789,10964.826005092486,29936.306481946085,3061.4167134644626,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,0.6582769436869033,156.60064269874567,113.29428439154324,3.205072073281964,0.0,0.0,96.78292827785933,0.0,0.0,0.0,0.0,0.0,114.66057320303312,339.8078198511489,34.00829040948643,242.5096055715069,22.989458549191294,0.0,0.0,3040.7017149581357,0.0
1998,2832.1570128544886,272.23639565651985,0.5632306293454611,0.0,2737.3853690696733,10967.072347088524,30004.216666429456,3062.167495226721,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,0.6582769436869033,158.1040306604115,113.20027558634854,3.299414593279892,0.0,0.0,96.68892026886499,0.0,0.0,0.0,0.0,0.0,115.59874546957049,351.73743539668516,33.91414644486966,247.11479271098042,22.989458549191294,0.0,0.0,3042.39096608044,0.0
1999,2823.8889674890243,272.5182028466107,0.5632306293454611,0.0,2639.139846175752,10839.669654834506,30199.897622639197,3086.207348362895,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,1.1280655586078538,162.43269687224293,112.73035268626921,3.299414593279892,0.0,0.0,96.59491146367027,0.0,0.0,0.0,0.0,0.0,115.97545162146,354.93306470899194,33.91414644486966,251.7197341084324,23.177493645181023,0.0,0.0,3043.70477497874,0.0
2000,2814.594939321644,272.9892701632291,0.5632306293454611,0.0,2584.2595453526405,10594.918534458091,30456.237177032013,3121.1250247643957,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,1.503763335304061,168.44728019281735,112.91922304128919,3.299414593279892,0.0,0.0,97.34829101378891,0.0,0.0,0.0,0.0,0.0,117.01008834866319,357.3739348979026,33.63218073931796,257.4520834434321,23.083674609916308,0.0,0.0,3044.7373237220186,0.0
2001,2809.525936081023,274.59100221194507,0.5632306293454611,0.0,2546.0466873711316,10582.382661492036,30474.75033257161,3134.643468638825,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,1.503763335304061,166.84920829557163,109.6304753182811,3.393444019935666,0.0,0.0,96.87867669693355,0.0,0.0,0.0,0.0,0.0,117.66952285957957,357.9380190409707,32.78584938959167,284.4278640752669,23.083674609916308,0.0,0.0,3044.8311630218045,0.0
2002,2804.2644006496394,275.060129588315,0.5632306293454611,0.0,2499.0376711222225,10539.354847730046,30541.11643219691,3141.399311563409,0.0,0.0,0.0,0.0,0.0,0.658888093300005,0.0,0.0,1.5977377076567927,166.56501738563546,107.46861353373922,3.393444019935666,0.0,0.0,96.03292070011003,0.0,0.0,0.0,0.0,0.0,119.73860972419091,359.9111959695499,33.34907374211833,305.3883101817894,22.894464355459792,0.0,0.0,3044.3595688590094,0.0
2003,2802.0098540518543,275.62381977977475,0.5632306293454611,0.0,2468.164423530662,10416.010488566137,30662.19008688332,3161.8570607556644,0.0,0.0,0.0,0.0,0.0,0.8465456152684205,0.0,0.0,1.5977377076567927,170.97256931567392,107.65674081163091,3.393444019935666,0.0,0.0,95.47360289098015,0.0,0.0,0.0,0.0,0.0,121.43109176587187,360.66254635937986,33.1609065414176,314.13014036190117,22.894464355459792,0.0,0.0,3043.515113810418,0.0
2004,2804.7336776273946,277.50422974521354,0.5632306293454611,0.0,2364.686652770489,10176.249128109515,30899.179013151643,3239.44654652167,0.0,0.0,0.0,0.0,0.0,0.8465456152684205,0.0,0.0,1.5977377076567927,178.77081459752512,108.59605248105244,3.393444019935666,0.0,0.0,96.60162878110664,0.0,0.0,0.0,0.0,0.0,127.25720833437806,363.57244746799165,32.12967274210543,320.52186578902257,22.988857850616807,0.0,0.0,3043.515113810418,0.0
2005,2804.728656153268,277.59819607827626,0.5632306293454611,0.0,2242.3698450167867,10105.683192780729,31066.979724575092,3239.7287382237623,0.0,0.0,0.0,0.0,0.0,1.9736623437324317,0.0,0.0,1.5977377076567927,176.32658073020747,106.15199284216526,3.393444019935666,0.0,0.0,95.84983608216845,0.0,0.0,0.0,0.0,0.0,135.33362611950616,365.4506070923128,30.81196938091376,342.79952199608334,22.988857850616807,0.0,0.0,3041.8244481297947,0.0
2006,2801.247066432078,277.50426544766435,0.5632306293454611,0.0,2164.772417262075,10043.78317877123,31170.166760098145,3257.2484885121003,0.0,0.0,0.0,0.0,0.0,3.193958339609968,0.0,0.0,1.5977377076567927,177.8280764475719,106.99858570961442,3.299414593279892,0.0,0.0,95.28617170708554,0.0,0.0,0.0,0.0,0.0,140.02872407937673,366.95304754457084,32.21929410224354,359.2495597460787,23.08279412015821,0.0,0.0,3037.1310965024854,0.0
2007,2795.0445958713212,278.9138034205598,0.5632306293454611,0.0,2135.2134398059757,10000.256805524477,31222.672238162817,3262.4137657105084,0.0,0.0,0.0,0.0,0.0,3.7569579087250595,0.0,0.0,2.2558684750401463,180.64875822663018,107.1859378664974,4.896930559088204,0.0,0.0,95.09783193645407,0.0,0.0,0.0,0.0,0.0,142.09365497530962,368.2690660224667,32.96996047456753,371.93920391538643,23.27048365250581,0.0,0.0,3034.691334614687,0.0
2008,2790.810133189054,278.82048581434486,0.5632306293454611,0.0,1991.738479272354,9909.677938720124,31421.787587276336,3272.4602804735746,0.0,0.0,0.0,0.0,0.0,3.7569579087250595,0.0,0.0,2.4435798171333283,186.85432293064417,108.4089670814765,4.802444011252529,0.0,0.0,95.28577957037068,0.0,0.0,0.0,0.0,0.0,154.67487890219013,368.17512730628647,32.96981851589484,380.6804488872388,23.55207283133273,0.0,0.0,3034.691334614687,0.0
2009,2782.919826555582,279.0085782500523,0.5632306293454611,0.0,1866.8337987506818,9811.181016107392,31630.631775237533,3278.2738837749544,0.0,0.0,0.0,0.0,0.0,3.7569579087250595,0.0,0.0,2.5374609264786043,188.92061346073248,108.31519442367376,4.802444011252529,0.0,0.0,96.79153429221877,0.0,0.0,0.0,0.0,0.0,157.77268028354817,369.11487649786056,32.876167582657715,389.70382195059483,23.458672494413957,0.0,0.0,3034.691334614687,0.0
2010,2774.9280663404834,278.53694359938055,0.5632306293454611,0.0,1786.6816028884573,9772.017891304895,31743.10296472466,3279.9536515514137,0.0,0.0,0.0,0.0,0.0,3.7569579087250595,0.0,0.0,2.5374609264786043,191.1749396415035,110.47922568116773,4.802444011252529,0.0,0.0,97.07392378468028,0.0,0.0,0.0,0.0,0.0,160.39933612542788,369.679038813441,32.0328027459046,396.84754298653905,23.083139805749433,0.0,0.0,3034.502704282868,0.0
2011,2767.0262106595387,275.62255378861136,0.5632306293454611,0.0,1694.5427278780085,9706.26576744967,31908.241933515397,3275.445663831601,0.0,0.0,0.0,0.0,0.0,3.7569579087250595,0.0,0.0,2.4434696870918766,190.04462293518964,110.94931664372946,4.802444011252529,0.0,0.0,97.16776897103354,0.0,0.0,0.0,0.0,0.0,162.7456492601617,369.679038813441,32.12712823497805,403.05074102497747,23.175938226753473,0.0,0.0,3034.502704282868,0.0
2012,2761.479482318969,274.77669908134766,0.5632306293454611,0.0,1667.9736697608153,9688.451200738835,31954.224131825966,3270.088942080642,0.0,0.0,0.0,0.0,0.0,3.8508022547194,0.0,0.0,2.4434696870918766,190.7027004731101,111.04320687724007,4.802444011252529,0.0,0.0,97.73130022350973,0.0,0.0,0.0,0.0,0.0,163.4982518377005,369.679038813441,32.9717930502312,410.94490747961464,23.27049143896199,0.0,0.0,3033.6581051695807,0.0
2013,2751.426320547118,273.55593698622437,0.5632306293454611,0.0,1617.1340057570626,9615.172029141997,32074.494502442372,3268.5891131493395,0.0,0.0,0.0,0.0,0.0,3.8508022547194,0.0,0.0,2.4434696870918766,192.48183788030633,111.79383527431874,4.802444011252529,0.0,0.0,97.82492815706568,0.0,0.0,0.0,0.0,0.0,167.53114692802768,369.679038813441,32.783829033049486,421.942830922335,22.426460967730584,0.0,0.0,3033.6581051695807,0.0
2014,2735.9352705816673,269.41562521032955,0.5632306293454611,0.0,1440.540759901461,9352.787299662707,32526.71945659394,3262.019923743038,0.0,0.0,0.0,0.0,0.0,4.789702375466582,0.0,0.0,2.4434696870918766,195.10835978027308,111.79345606126648,4.141824345714715,0.0,0.0,98.10601430434657,0.0,0.0,0.0,0.0,0.0,170.53349399522622,369.8684059450399,32.689857948646875,429.83612009559687,22.330991726097192,0.0,0.0,3032.5306051651046,0.0
2015,2733.2089014846338,268.75756507656075,0.5632306293454611,0.0,1440.1648528879948,9351.659126105755,32526.249170669213,3261.8321670542805,0.0,0.0,0.0,0.0,0.0,4.789702375466582,0.0,0.0,2.4434696870918766,194.6383534556514,111.79345606126648,4.141824345714715,0.0,0.0,98.10601430434657,0.0,0.0,0.0,0.0,0.0,170.53349399522622,369.8684059450399,32.59586991455705,435.9466668690115,22.330991726097192,0.0,0.0,3032.5306051651046,0.0
