year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,25935.066853401357,3937.7527346065744,3.808014222329849,0.0,12319.039349012319,11674.361038599323,15176.562685268482,2204.1441197649565,0.0,0.0,1526.6769602885815,0.0,0.0,1.6817355264201173,0.0,0.0,16410.7106026224,1914.4439011636541,859.3827758663726,30.07261464394563,0.0,0.0,5005.9704389799435,0.0,7.527804565161653,0.0,0.0,0.0,9.651788009981162,3001.026096571964,1939.703352302246,530.7991232760418,3.9242335839518026,0.0,0.0,12718.88276666686,0.0
1993,25928.817438277023,3937.4893459356135,3.808014222329849,0.0,12318.068410593061,11673.743406581694,15176.474869654307,2204.1441197649565,0.0,0.0,1526.6769602885815,0.0,0.0,1.6817355264201173,0.0,0.0,16410.7106026224,1914.4439011636541,858.4113190925067,30.07261464394563,0.0,0.0,5004.821044401563,0.0,7.440016141622153,0.0,0.0,0.0,9.651788009981162,3001.026096571964,1939.5254288094284,541.8155278507609,3.9242335839518026,0.0,0.0,12718.442115207105,0.0
1994,25924.76680642339,3936.959024490149,3.7202803205711237,0.0,12316.566312293136,11672.946873085575,15176.38713757268,2204.1441197649565,0.0,0.0,1526.5014742923613,0.0,0.0,1.6817355264201173,0.0,0.0,16410.7106026224,1914.2683116197727,857.2589117054268,30.07261464394563,0.0,0.0,5003.05564741538,0.0,7.440016141622153,0.0,0.0,0.0,9.651788009981162,3001.026096571964,1939.169276297017,552.4956113550635,3.9242335839518026,0.0,0.0,12718.442115207105,0.0
1995,25959.037325011315,3939.962678027243,3.7202803205711237,0.0,12338.4759385667,11393.016381005258,15214.486845052765,2257.3672950219698,0.0,0.0,1535.3194065331236,0.0,0.0,1.6817355264201173,0.0,0.0,16482.54468704947,1920.5520434952837,857.1729855143053,30.07261464394563,0.0,0.0,5005.033544928478,0.0,7.440016141622153,0.0,0.0,0.0,9.741436880497496,3044.6407864794874,1927.3195969525148,561.0591768998603,3.9242335839518026,0.0,0.0,12718.619981308118,0.0
1996,25957.438950723797,3939.78598477503,3.7202803205711237,0.0,12338.931340818868,11341.266776963965,15225.11955165931,2260.7263206675984,0.0,0.0,1539.2893430609,0.0,0.0,1.6817355264201173,0.0,0.0,16500.750094512696,1922.4032725002453,856.818239466388,30.07261464394563,0.0,0.0,5001.755414924921,0.0,7.529653903711687,0.0,0.0,0.0,9.741436880497496,3046.1328819296655,1925.1267880778876,570.8719562517169,3.9242335839518026,0.0,0.0,12728.102117750805,0.0
1997,25952.932784947207,3939.4320164348064,3.6325445988872125,0.0,12337.336181327466,11289.241709057778,15236.529265685916,2264.386528545175,0.0,0.0,1545.0224357513275,0.0,0.0,1.6817355264201173,0.0,0.0,16522.649826089724,1925.8561607188226,856.4726305944325,30.07261464394563,0.0,0.0,5000.522068120568,0.0,7.4418382895378,0.0,0.0,0.0,9.741436880497496,3045.6019411527227,1922.1140235497155,582.0080705936247,3.9242335839518026,0.0,0.0,12734.588942850372,0.0
1998,25962.195095351777,3939.69766288719,3.6325445988872125,0.0,12345.110973303854,11195.067107272222,15246.954630084392,2273.827888597451,0.0,0.0,1554.1794349323145,0.0,0.0,1.6817355264201173,0.0,0.0,16542.09551754969,1932.5931839383459,856.120898789896,30.07261464394563,0.0,0.0,5001.429711810159,0.0,7.2661545805549315,0.0,0.0,0.0,10.0998671216729,3047.185126719219,1919.7072676312373,594.7452436159821,3.9242335839518026,0.0,0.0,12743.602096403745,0.0
1999,25973.569044761272,3942.5244135221014,3.6325445988872125,0.0,12348.101964726819,10892.385402450813,15384.931413374119,2299.533183708975,0.0,0.0,1562.3728589030693,0.0,0.0,1.6817355264201173,0.0,0.0,16617.012003893386,1961.9288649389011,856.6676791989978,30.07261464394563,0.0,0.0,4990.390150671853,0.0,7.2661545805549315,0.0,0.0,0.0,10.546007022953138,3062.643891769389,1900.6909042418376,607.7363052403839,2.848114448242283,0.0,0.0,12754.653736719994,0.0
2000,25966.665164957605,3941.9931415455676,3.544812517259787,0.0,12341.277571354512,10659.991461695208,15496.388968849962,2314.4990991678055,0.0,0.0,1569.233688924245,0.0,0.0,1.6817355264201173,0.0,0.0,16682.447978652333,1988.0560072117285,856.6712266066397,30.07261464394563,0.0,0.0,4989.336550941898,0.0,7.1777944260296875,0.0,0.0,0.0,11.170992845208538,3073.177070963553,1890.492520087122,621.1829916130774,2.3997069518398773,0.0,0.0,12763.727889460946,0.0
2001,25966.5824289264,3944.1226106750137,3.544812517259787,0.0,12334.938010603913,10481.147147944166,15604.041137029097,2322.7908459339383,0.0,0.0,1577.9560371684543,0.0,0.0,1.6817355264201173,0.0,0.0,16727.610260435078,2010.4140582858015,853.376225956857,28.838142966596006,0.0,0.0,4981.906035337955,0.0,6.999097248231342,0.0,0.0,0.0,11.886284466257681,3082.9964208673787,1869.613999878931,634.9492248692213,2.3997069518398773,0.0,0.0,12763.394765354078,0.0
