year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,928.9077038787359,184.61972672632828,227.4645030015213,144.9576149995559,285.8216000538244,551.5082739105828,0.0,0.23460577286634182,0.0,0.0,870.7303641014886,0.0,0.0,0.0,0.0,0.0,0.0,853.2496600290999,12.737248692910457,236.02862270802126,0.0,8.929957322627097,53.555934070482344,0.0,534.9492986412882,0.0,0.0,25.032213616514937,0.0,0.0,6.350718652406778,87.56627393179747,484.58972758031547,6.5785308916134,0.0,717.5187189622,0.0
1993,928.0472073614613,184.61972672632828,227.4645030015213,144.9576149995559,285.8216000538244,551.5082739105828,0.0,0.23460577286634182,0.0,0.0,870.7303641014886,0.0,0.0,0.0,0.0,0.0,0.0,853.2496600290999,12.737248692910457,236.02862270802126,0.0,8.929957322627097,53.555934070482344,0.0,534.9492986412882,0.0,0.0,25.032213616514937,0.0,0.0,6.350718652406778,91.47596156033404,481.5405364690534,6.5785308916134,0.0,717.5187189622,0.0
1994,927.1862645562921,184.61972672632828,227.4645030015213,144.9576149995559,285.8216000538244,551.5082739105828,0.0,0.23460577286634182,0.0,0.0,870.7303641014886,0.0,0.0,0.0,0.0,0.0,0.0,853.2496600290999,12.737248692910457,236.02862270802126,0.0,8.929957322627097,53.555934070482344,0.0,534.9492986412882,0.0,0.0,25.032213616514937,0.0,0.0,6.350718652406778,94.60656268217494,479.3493434554085,6.5785308916134,0.0,717.4402536591731,0.0
1995,927.9715824540274,184.6980839022247,227.62126223985274,144.9576149995559,286.68380617805104,550.7299473522196,0.0,0.23460577286634182,0.0,0.0,864.4569527246088,0.0,0.0,0.0,0.0,0.0,0.0,854.7360078355043,12.737248692910457,236.34239252821075,0.0,8.851782810199985,53.555934070482344,0.0,535.8899648987842,0.0,0.0,25.65943262847521,0.0,0.0,6.350718652406778,97.11066378059672,478.8030136232729,6.5785308916134,0.0,717.3617515083174,0.0
1996,927.4241415285046,184.6980839022247,227.542944696677,145.89613619407066,286.8402427239196,549.6338194074164,0.0,0.23460577286634182,0.0,0.0,865.3181045009256,0.0,0.0,0.0,0.0,0.0,0.0,855.2839368445352,12.737248692910457,236.34239252821075,0.0,8.851782810199985,53.555934070482344,0.0,536.1245839263042,0.0,0.0,25.65943262847521,0.0,0.0,6.350718652406778,98.98732197955596,478.3343380562842,6.500078758319403,0.0,715.0154498698914,0.0
1997,926.7198412526207,184.6980839022247,227.542944696677,145.89613619407066,286.8402427239196,548.6944215130316,0.0,0.23460577286634182,0.0,0.0,866.0226529217142,0.0,0.0,0.0,0.0,0.0,0.0,855.5187863181313,12.737248692910457,236.34239252821075,0.0,8.851782810199985,53.555934070482344,0.0,536.1245839263042,0.0,0.0,25.65943262847521,0.0,0.0,6.350718652406778,100.3963758248623,477.70785970633943,6.421803538841739,0.0,715.0154498698914,0.0
1998,925.8588808406545,184.6980839022247,227.542944696677,147.38221315107322,286.8402427239196,548.6158536472827,0.0,0.23460577286634182,0.0,0.0,866.0226529217142,0.0,0.0,0.0,0.0,0.0,0.0,855.9881065554532,12.737248692910457,236.34239252821075,0.0,8.851782810199985,53.555934070482344,0.0,536.1245839263042,0.0,0.0,25.65943262847521,0.0,0.0,6.350718652406778,102.50918814736141,477.3168113867235,6.50002843616229,0.0,712.1995920530785,0.0
1999,925.5448932617047,184.6980839022247,227.3863439894232,147.61685604425335,287.2312664840772,532.7246453265725,0.0,0.23460577286634182,0.0,0.0,873.2242055527472,0.0,0.0,0.0,0.0,0.0,0.0,865.7735352414076,12.737248692910457,235.71629988348715,0.0,8.851782810199985,53.555934070482344,0.0,536.0464891049612,0.0,0.0,25.81585857370859,0.0,0.0,6.350718652406778,105.09156338604566,477.0819019493659,6.578253333482842,0.0,709.070811511853,0.0
2000,924.4495668705158,184.6980839022247,227.1507744085685,147.61685604425335,287.1527485518478,523.1074634065183,0.0,0.23460577286634182,0.0,0.0,873.9282296389983,0.0,0.0,0.0,0.0,0.0,0.0,876.5662004558533,12.737248692910457,235.3255812946604,0.0,8.773610950871646,53.555934070482344,0.0,534.9503083874399,0.0,0.0,25.81585857370859,0.0,0.0,6.350718652406778,107.8307871152649,475.4376559094534,6.578253333482842,0.0,709.070811511853,0.0
2001,918.4209214582727,184.6980839022247,227.1507744085685,147.61685604425335,287.07460589602,512.7837200201243,0.0,0.23460577286634182,0.0,0.0,876.1161255410744,0.0,0.0,0.0,0.0,0.0,0.0,885.9529959462084,11.7996802718239,234.62185263900258,0.0,8.773610950871646,53.555934070482344,0.0,534.9503083874399,0.0,0.0,25.81585857370859,0.0,0.0,6.350718652406778,124.65808389029121,465.10749627320536,6.578253333482842,0.0,709.070811511853,0.0
2002,912.4714047458347,184.6980839022247,227.1507744085685,147.61685604425335,287.07460589602,511.7660698458979,0.0,0.23460577286634182,0.0,0.0,876.1161255410744,0.0,0.0,0.0,0.0,0.0,0.0,886.8142112244792,11.7996802718239,234.23095944077076,0.0,8.773610950871646,53.555934070482344,0.0,534.7160664953858,0.0,0.0,25.81585857370859,0.0,0.0,6.350718652406778,136.70757114838048,459.7890957137958,6.578253333482842,0.0,709.070811511853,0.0
2003,906.9155095275263,184.6980839022247,227.1507744085685,147.61685604425335,286.91848808719556,510.745986686174,0.0,0.23460577286634182,0.0,0.0,875.1789717355191,0.0,0.0,0.0,0.0,0.0,0.0,888.1467135611216,11.7996802718239,234.15164613405247,0.0,8.617169155245637,53.555934070482344,0.0,534.637947751189,0.0,0.0,25.81585857370859,0.0,0.0,6.350718652406778,148.2091243123812,455.0166161853999,6.499801200188846,0.0,709.070811511853,0.0
2004,899.7949726948127,184.6980839022247,226.99373328272088,147.61685604425335,286.7622612453506,499.70659747866785,0.0,0.23460577286634182,0.0,0.0,875.8053798580034,0.0,0.0,0.0,0.0,0.0,0.0,898.0202283783689,10.389964495764568,232.89854864700075,0.0,8.538907171811347,53.555934070482344,0.0,537.5275416879283,0.0,0.0,25.972064165833665,0.0,0.0,6.350718652406778,161.43437476703554,449.61629337821796,6.3434203385778565,0.0,709.070811511853,0.0
