year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6844.404537865352,27508.82693996482,81.2963607297109,0.0,6479.108583409033,1826.920959072087,0.0,3025.2885172006336,13.788588847375454,0.0,17843.784371062622,0.0,0.0,8.244033419919177,0.0,0.0,4775.6097977556055,4069.1348923272594,59.34048295234815,0.0,0.0,0.0,5946.434180524978,0.0,75.80472749926575,0.0,0.0,0.0,0.0,0.0,74.20898473707427,1730.570539545102,4.091388449825479,2.4378240535527507,0.0,592.0584466801026,0.0
1993,6841.457070902903,27485.488099286133,81.2963607297109,0.0,6477.810973847229,1825.2622054316942,0.0,3024.7970062111776,13.788588847375454,0.0,17841.09938801593,0.0,0.0,8.244033419919177,0.0,0.0,4774.80717511181,4068.518890563382,59.34048295234815,0.0,0.0,0.0,5945.160698675333,0.0,75.68113887111215,0.0,0.0,0.0,0.0,0.0,74.20898473707427,1765.9284912270434,4.091388449825479,2.4378240535527507,0.0,591.9353547630928,0.0
1994,6837.468219019814,27460.280078377098,81.2963607297109,0.0,6476.762223247307,1823.911638757158,0.0,3024.2492457098388,13.788588847375454,0.0,17839.318028569694,0.0,0.0,8.244033419919177,0.0,0.0,4774.561721329148,4068.2124474752295,59.34048295234815,0.0,0.0,0.0,5943.754354161648,0.0,75.43988847856961,0.0,0.0,0.0,0.0,0.0,74.20898473707427,1802.053293018235,4.091388449825479,2.4378240535527507,0.0,591.9353547630928,0.0
1995,6802.57688048051,27648.305303812045,81.41865523350474,0.0,6488.775480332689,1365.968929367463,0.0,3046.791675207977,13.788588847375454,0.0,17847.83792843836,0.0,0.0,8.244033419919177,0.0,0.0,4867.6789479348,4129.485977830066,59.651135393355766,0.0,0.0,0.0,6012.350751403248,0.0,75.13575201453236,0.0,0.0,0.0,0.0,0.0,73.89572351119386,1841.2302435060783,4.091388449825479,2.4378240535527507,0.0,591.6889368601535,0.0
1996,6748.027413589568,27634.412718635274,81.41865523350474,0.0,6470.911198106296,1175.2135094787113,0.0,3051.1880365132897,13.788588847375454,0.0,17988.630059148123,0.0,0.0,8.060884881068617,0.0,0.0,4918.3865667452765,4149.277674095572,60.01701245385185,0.0,0.0,0.0,6024.170889467122,0.0,78.06865510669206,0.0,0.0,0.0,0.0,0.0,73.89572351119386,1886.7124652834175,2.7832288864476937,2.4378240535527507,0.0,593.9530520603116,0.0
1997,6726.426014825584,27672.671586874894,81.41865523350474,0.0,6461.930690923403,1000.913137362654,0.0,3065.074707571815,15.677219734291072,0.0,17947.786947874287,0.0,0.0,8.060884881068617,0.0,0.0,4965.896397373816,4183.597251372798,61.060213125941,0.0,0.0,0.0,6073.896271407868,0.0,77.82473904715727,0.0,0.0,0.0,0.0,0.0,73.89296133429849,1943.8406038898768,2.7832288864476937,2.4378240535527507,0.0,596.1648203233859,0.0
1998,6679.811153528208,27638.73823996112,81.54038760254173,0.0,6445.421862346384,908.9492688629651,0.0,3081.8662746014556,17.08006684919778,0.0,17964.393415620285,0.0,0.0,8.060884881068617,0.0,0.0,5006.06446592303,4207.059323612688,60.93634682555013,0.0,0.0,0.0,6092.035052553681,0.0,77.64140984417324,0.0,0.0,0.0,0.0,0.0,74.01843387313397,2016.6620840403816,2.7832288864476937,2.4378240535527507,0.0,595.8544322307961,0.0
1999,6648.347950288491,27661.762918716922,81.96642416743384,0.0,6458.00144690997,643.7859572257837,0.0,3138.1866256466915,20.432682914926147,0.0,17889.74367307994,0.0,0.0,7.997925780626568,0.0,0.0,5083.641468121929,4277.0594933505845,61.31381205195398,0.0,0.0,0.0,6140.877624333918,0.0,77.15977887850015,0.0,0.0,0.0,0.0,0.0,75.40453386343627,2093.529254886929,2.9676615995908113,2.4378240535527507,0.0,596.7371002254691,0.0
2000,6611.273879872596,27604.269420714983,81.90558471136882,0.0,6457.866325909675,540.4135497303745,0.0,3175.5373431989365,21.407880946509188,0.0,17872.628343299413,0.0,0.0,7.997925780626568,0.0,0.0,5112.693062796372,4316.394437439307,61.68583376446114,0.0,0.0,0.0,6152.349393036405,0.0,77.15778017207822,0.0,0.0,0.0,0.0,0.0,76.09337965418489,2188.9176225349233,3.3288240033139562,2.4378240535527507,0.0,596.9957444775723,0.0
2001,6595.642245469959,27514.62923527473,81.96578754939635,0.0,6473.146597716253,484.60139144542956,0.0,3153.6056040425215,21.529666766216486,0.0,17787.885982278516,0.0,0.0,7.997925780626568,0.0,0.0,5120.747623531421,4356.727868724314,62.8547647227701,0.0,0.0,0.0,6172.178436219339,0.0,76.43456099829308,0.0,0.0,0.0,0.0,0.0,76.78176444790614,2375.2820071434858,3.0861860153625784,2.4378240535527507,0.0,593.8186839165337,0.0
2002,6568.243705467319,27337.159945459123,81.78047065213921,0.0,6476.5883669093555,460.6767498252843,0.0,3142.6893048517695,21.529666766216486,0.0,17741.15749145956,0.0,0.0,7.997925780626568,0.0,0.0,5118.632202367884,4374.677819383227,63.22382426168972,0.0,0.0,0.0,6168.509797909526,0.0,75.58969362824315,0.0,0.0,0.0,0.0,0.0,79.09505943150099,2648.5804590293283,3.0250014731542727,2.4378240535527507,0.0,589.7588473871497,0.0
2003,6531.551763773236,27070.639537343664,81.65815128133993,0.0,6478.845720770088,423.8870995927826,0.0,3141.1400285044188,21.529666766216486,0.0,17689.24917135035,0.0,0.0,7.997925780626568,0.0,0.0,5125.057209106019,4394.849177169582,64.02444600152906,0.0,0.0,0.0,6158.685549843273,0.0,73.10333570577998,0.0,0.0,0.0,0.0,0.0,79.72245653605778,3024.559101801011,2.9636430791870314,2.4378240535527507,0.0,589.452347637927,0.0
2004,6484.2657079622,26714.93830893733,81.65815128133993,0.0,6476.732762059455,404.6995151432538,0.0,3124.6764359544936,21.529666766216486,0.0,17628.13241498388,0.0,0.0,7.997925780626568,0.0,0.0,5120.131849672102,4432.433791383808,64.26995351608456,0.0,0.0,0.0,6151.712308328709,0.0,71.33973636249063,0.0,0.0,0.0,0.0,0.0,81.16228755782431,3501.2460771190317,2.9636430791870314,2.3771880082279964,0.0,589.0864322003839,0.0
2005,6487.660526075339,26719.492440641585,81.65815128133993,0.0,6478.64660597001,396.0025347687771,0.0,3118.3962068723977,21.529666766216486,0.0,17611.98181669421,0.0,0.0,7.997925780626568,0.0,0.0,5118.886401353731,4447.211697100201,64.5766842942604,0.0,0.0,0.0,6155.518384340669,0.0,70.37659547563621,0.0,0.0,0.0,0.0,0.0,81.2239148026845,3504.6929643725994,2.902600676984401,2.3771880082279964,0.0,590.2218508211595,0.0
2006,6480.810515609764,26719.870509184693,81.65815128133993,0.0,6473.474918707826,367.9446533885126,0.0,3124.496758590211,21.529666766216486,0.0,17617.14718019121,0.0,0.0,7.997925780626568,0.0,0.0,5123.407134216067,4471.562862813239,64.20195225452775,0.0,0.0,0.0,6152.574238256378,0.0,70.0768905279399,0.0,0.0,0.0,0.0,0.0,81.2239148026845,3507.5808271370893,2.902600676984401,2.3771880082279964,0.0,590.5162679031245,0.0
2007,6479.964423318441,26721.216611258045,81.65815128133993,0.0,6471.721835399094,347.2763373336801,0.0,3116.6792300936813,21.529666766216486,0.0,17590.672887550278,0.0,0.0,7.997925780626568,0.0,0.0,5120.646194684543,4515.348592732277,64.94001454303884,0.0,0.0,0.0,6162.958922266397,0.0,68.51255701736379,0.0,0.0,0.0,0.0,0.0,81.34664921964038,3511.95177896165,2.902600676984401,2.3771880082279964,0.0,591.6525892051467,0.0
2008,6481.744849595691,26708.41064721851,81.65815128133993,0.0,6485.329341234674,338.0193043365392,0.0,3106.1978700889917,21.529666766216486,0.0,17491.575930023802,0.0,0.0,7.997925780626568,0.0,0.0,5112.0644762509855,4577.589643064514,66.96783703835536,0.0,0.0,0.0,6179.728801113901,0.0,68.27089344001013,0.0,0.0,0.0,0.0,0.0,80.83945069064445,3556.742357710335,2.902600676984401,2.3771880082279964,0.0,591.4072217763169,0.0
2009,6473.3625067334415,26710.865024446404,81.65815128133993,0.0,6479.366789248277,302.63069888247463,0.0,3110.9510171623283,21.529666766216486,0.0,17485.15602684523,0.0,0.0,7.997925780626568,0.0,0.0,5115.340795461101,4622.182844554396,66.9019722087936,0.0,0.0,0.0,6179.8884409795355,0.0,68.21093157208509,0.0,0.0,0.0,0.0,0.0,80.83945069064445,3557.7184231619194,2.902600676984401,2.3771880082279964,0.0,591.4737016366332,0.0
2010,6477.0123713785415,26716.958666862298,81.65815128133993,0.0,6490.6276812537835,299.9832325869717,0.0,3093.801954311246,21.529666766216486,0.0,17436.97569533251,0.0,0.0,7.997925780626568,0.0,0.0,5105.4606004847565,4662.084802436308,69.05546376069832,0.0,0.0,0.0,6193.025881975908,0.0,68.03195946680297,0.0,0.0,0.0,0.0,0.0,81.02705211064706,3558.9528752524343,2.902600676984401,2.3771880082279964,0.0,591.890386370381,0.0
2011,6478.614028835023,26722.116134878404,81.65815128133993,0.0,6497.529468229891,296.88823857841214,0.0,3088.666917198382,21.529666766216486,0.0,17408.713820380854,0.0,0.0,7.997925780626568,0.0,0.0,5101.24950211187,4678.673078075648,69.17835046203946,0.0,0.0,0.0,6202.76252436459,0.0,68.15225715922195,0.0,0.0,0.0,0.0,0.0,80.08551497926052,3560.3020076634543,2.902600676984401,2.3771880082279964,0.0,591.9567806662301,0.0
2012,6479.584208173578,26735.420001355422,81.78020051721859,0.0,6503.000777400077,297.67846251528556,0.0,3072.205861043154,21.529666766216486,0.0,17381.48651332039,0.0,0.0,7.997925780626568,0.0,0.0,5089.8224346101015,4697.240633896182,69.60846008176695,0.0,0.0,0.0,6210.0283294012515,0.0,68.15225715922195,0.0,0.0,0.0,0.0,0.0,80.21213098275948,3568.675340045711,2.902600676984401,2.3771880082279964,0.0,591.6511643625141,0.0
2013,6479.40747008285,26739.94039904646,81.78020051721859,0.0,6507.227626175166,297.5000504907216,0.0,3066.071823723691,21.529666766216486,0.0,17372.213380125482,0.0,0.0,7.997925780626568,0.0,0.0,5085.349760634364,4704.860745967989,69.79381666448133,0.0,0.0,0.0,6213.71010504491,0.0,67.96909083035875,0.0,0.0,0.0,0.0,0.0,80.02496435160867,3569.046176846807,2.902600676984401,2.3771880082279964,0.0,591.6511643625141,0.0
2014,6482.165350194142,26745.23559072886,81.78053908857869,0.0,6539.5815218941625,296.4080105428727,0.0,3030.130985610225,21.406073476581277,0.0,17307.578751220095,0.0,0.0,7.997925780626568,0.0,0.0,5059.17121772704,4777.634164653452,70.35080439303928,0.0,0.0,0.0,6226.888675134888,0.0,67.96909083035875,0.0,0.0,0.0,0.0,0.0,80.02873674819634,3570.0966667495113,2.902600676984401,2.3771880082279964,0.0,591.6502626388308,0.0
2015,6481.91905047814,26745.17256559473,81.78053908857869,0.0,6539.5815218941625,296.4080105428727,0.0,3030.130985610225,21.406073476581277,0.0,17307.028318312066,0.0,0.0,7.997925780626568,0.0,0.0,5059.17121772704,4777.634164653452,70.35080439303928,0.0,0.0,0.0,6226.888675134888,0.0,67.96909083035875,0.0,0.0,0.0,0.0,0.0,80.02873674819634,3570.9564245076685,2.902600676984401,2.3771880082279964,0.0,591.6502626388308,0.0
