year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,71996.46181466515,76563.81141907972,210.04517738799476,6745.470746273298,60452.38830755177,51506.34687441958,1042094.1861305321,215433.21411059127,14971.334362539084,414788.99611439835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45920.02410238993,6441.9626575135535,50334.18017904171,0.0,89.7190364940021,30660.155592055606,0.0,57.93117554191548,0.0,0.0,0.0,152867.51826184322,2902.1640865830886,48561.44347774435,972.4358889943034,267.0444212950295,1.046983465256393,0.0,40439.11382570062,0.0
1993,71994.36586941207,76562.95772513568,210.04517738799476,6745.470746273298,60451.722803309836,51504.44648305392,1042093.5195303545,215433.02424266722,14971.334362539084,414787.1907392668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45914.23736672906,6440.8239089708895,50331.99708187653,0.0,89.7190364940021,30658.925175948534,0.0,57.93117554191548,0.0,0.0,0.0,152867.51826184322,2901.6880176331197,48560.78308111152,992.5649182249222,266.9492603436377,1.046983465256393,0.0,40438.732798517514,0.0
1994,71992.37021981104,76562.29357778867,210.04517738799476,6745.3757760077615,60449.91728670197,51502.264639577865,1042093.3293777445,215432.92918106623,14971.334362539084,414785.6727025106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45909.86977334799,6440.347591382811,50329.90456556633,0.0,89.7190364940021,30657.879379440823,0.0,57.93117554191548,0.0,0.0,0.0,152867.51826184322,2901.5928487286988,48560.123544215865,1010.1311686229382,266.85583813873023,1.046983465256393,0.0,40438.542278176574,0.0
1995,73405.99923259826,77391.83894311679,214.97926389780983,6746.221636862786,61449.78822240282,48506.177319179806,1041520.8751099968,215794.04761127173,15003.093010170007,414338.3044390413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46156.13456786691,6475.873296189603,50308.503471957,0.0,90.0047108951133,30568.263645854397,0.0,51.554858733765364,0.0,0.0,0.0,152995.8184484333,2909.882022979983,48498.88349939723,1023.3265254239257,266.95121588765977,1.046983465256393,0.0,40559.426710475425,0.0
1996,73727.40859530513,77568.00225521356,216.02048012208326,6745.939048856158,61749.37175038202,46919.684468643856,1041744.0593900633,216044.01388345961,15013.066946853862,414322.97393375466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46204.370792195215,6478.735438990318,50228.54289902461,0.0,90.00458637750374,30571.53899643698,0.0,37.56395586780444,0.0,0.0,0.0,153061.85300071453,2904.7244328653533,48467.710518348904,1039.5736714563368,266.95121588765977,1.046983465256393,0.0,40873.837501816546,0.0
1997,74477.46895411413,78011.05671504422,221.79323933044688,6752.073501363316,62413.49210641414,46196.8428865591,1040421.5655532188,216028.2838777033,15028.060859865356,413773.456145231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46317.17323369158,6513.577961376089,50614.874924745665,0.0,94.38341003991813,30614.95390646939,0.0,31.946702571668112,0.0,0.0,0.0,153074.92659707542,2933.864648756971,48501.082607400494,1052.2945266253055,266.95121588765977,1.046983465256393,0.0,40935.82418915082,0.0
1998,75372.29043917505,79118.07704884687,225.21659690128266,6760.5598247224725,63711.79606682724,44691.30782595765,1037855.8303286945,216369.83008612713,15037.271990996433,413685.24954505736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46472.30697124653,6511.5750340663135,50525.602875048025,0.0,95.52031856218755,30687.799636279313,0.0,30.80448083340455,0.0,0.0,0.0,153133.81159166846,2934.1382218421368,48527.35344405535,1066.2606448211345,267.6158603323642,1.046983465256393,0.0,41195.72893057103,0.0
1999,76364.35124007313,80927.90082680731,245.2082310245058,6822.987525331027,65272.34654471585,41384.445768341655,1034298.5701991359,216782.9266271184,15053.986381161121,414296.65451211506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47076.704713314095,6531.722301028248,50694.14104856586,0.0,96.27898141599569,30955.14392397191,0.0,28.51456359861643,0.0,0.0,0.0,153386.83163460295,2945.091366704484,48745.914959901515,1080.8919174500152,271.24095082032636,0.76148254972705,0.0,41014.37904635137,0.0
2000,76746.02247714852,82550.82197392058,249.58401708157675,6872.080781053744,66308.30725824111,38507.806145115406,1031685.2692482732,217359.31809896824,15061.207159913516,415314.973741143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47531.29422344329,6535.943539007469,50517.84211603097,0.0,96.7462025662149,31086.179496229706,0.0,26.610099108844828,0.0,0.0,0.0,153585.6469994439,2942.5077004997,48745.7737842961,1101.219605440716,270.76467776176673,0.76148254972705,0.0,41180.31391886137,0.0
2001,77050.8866933959,84529.72285976325,261.9331942382541,6909.188852081708,67491.2036635597,36416.010796105955,1029140.1220503631,217348.96738125736,15065.105657963508,415463.41591200855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48130.21112061931,6507.191881285451,50481.32445454496,0.0,97.02981326927984,31200.38970775302,0.0,24.799481524853803,0.0,0.0,0.0,153713.63236676218,2952.8940553322136,48894.15858693222,1166.0685314113023,270.8582644298531,0.76148254972705,0.0,41161.11793894754,0.0
