year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1037.7197744888485,34093.64204962555,0.0,0.0,2361.6400873658613,1222.8975094316686,0.0,74245.9808876211,547.5089812642618,0.0,3581.4119960770004,0.0,0.0,1315.6155361586846,0.0,0.0,192.19104177177513,328.221733422657,91.70829918591431,110.98969220536291,92.36542064047529,518.6370304290368,534.6217261902831,0.5742940116781075,537.44907245524,0.0,0.0,0.0,8.559345137508833,0.0,48.13522456665497,606.7684503311004,281.01151730210063,0.0,0.0,3750.713868335289,0.0
1993,1037.7197744888485,34089.82585524165,0.0,0.0,2361.6400873658613,1222.8975094316686,0.0,74245.90926490807,547.5089812642618,0.0,3580.972391977693,0.0,0.0,1315.542162689997,0.0,0.0,192.19104177177513,327.19147883790373,91.70829918591431,110.98969220536291,92.36542064047529,518.5658620784149,533.7456856811499,0.5742940116781075,537.00458683684,0.0,0.0,0.0,8.559345137508833,0.0,48.13522456665497,615.5000128915398,279.5436726062734,0.0,0.0,3750.27289419851,0.0
1994,1037.6470140980298,34085.336988807074,0.0,0.0,2361.6400873658613,1222.8975094316686,0.0,74245.61933770045,547.5089812642618,0.0,3580.825867160245,0.0,0.0,1315.468854347854,0.0,0.0,192.19104177177513,326.08251600981345,91.70829918591431,110.91903472121652,92.36542064047529,518.4946906462272,532.5664075009062,0.5742940116781075,536.1950465029126,0.0,0.0,0.0,8.559345137508833,0.0,48.13522456665497,624.7682843655045,278.8072315471899,0.0,0.0,3750.0520612348223,0.0
1995,1027.7595226824753,34203.11913662439,0.0,0.0,2330.047104206167,1163.3675348076056,0.0,74226.45443687441,548.3955320273401,0.0,3578.4472340110856,0.0,0.0,1315.911879916111,0.0,0.0,192.19104177177513,325.936361631738,91.70829918591431,110.1837065939485,92.21570131028665,518.4192121709526,530.0516625825151,0.5742940116781075,527.7347202381058,0.0,0.0,0.0,8.559345137508833,0.0,47.91306271966501,635.9544142745542,279.9614507233291,0.0,0.0,3753.457884516455,0.0
1996,1023.4810962625447,34235.87505513052,0.0,0.0,2326.352286903026,1156.72334106098,0.0,74212.97575741314,548.3955320273401,0.0,3573.624331362931,0.0,0.0,1316.4155014825851,0.0,0.0,192.19104177177513,324.0416663525974,89.69117878174188,110.2550964443013,92.1453650244743,518.122865695118,531.1687089436625,0.5742940116781075,514.5398639759883,0.0,0.0,0.0,8.559345137508833,0.0,47.76368885335958,646.7087593845548,277.9679377068549,0.0,0.0,3760.790824291335,0.0
1997,1024.2516422753954,34281.88626684756,0.0,0.0,2327.6174241300373,1155.190653420414,0.0,74145.41625796274,548.3955320273401,0.0,3560.7644639672462,0.0,0.0,1316.3437928336768,0.0,0.0,192.19104177177513,321.4416429129186,89.69117878174188,110.10592560045013,92.21992241848528,518.1309981226001,535.9931094719366,0.5742940116781075,521.1262614418204,0.0,0.0,0.0,8.559345137508833,0.0,47.76368885335958,657.9491865845052,284.55929228191786,0.0,0.0,3768.191617162905,0.0
1998,1023.396181476213,34447.8365207014,0.0,0.0,2327.5750231401753,1149.2220858095254,0.0,73995.20805084358,548.6204291376862,0.0,3555.084593573994,0.0,0.0,1316.5514408376346,0.0,0.0,192.19104177177513,318.2230390100144,89.32397649937249,109.59030900048349,92.4436754448382,517.9667436787283,540.8989838428863,0.5742940116781075,504.0271421309007,0.0,0.14518495212571786,0.0,8.559345137508833,0.0,47.689406606983766,669.9793599244243,282.8751088786424,0.0,0.0,3770.3816016074093,0.0
1999,994.2485899664596,35114.88781568206,0.0,0.0,2315.3292922327746,1147.8225425379514,0.0,73353.25828344295,549.6743116731126,0.0,3500.977904794837,0.0,0.0,1316.1089491024425,0.0,0.0,192.19104177177513,322.8452464637298,93.67447916700897,112.73642439113118,93.40929921749728,525.3221388640824,553.9657906981528,0.5742940116781075,504.3517771288129,0.0,0.14518495212571786,0.0,8.559345137508833,0.0,48.39875882610735,685.0993128284317,277.98507134989853,0.0,0.0,3796.797683777483,0.0
2000,1025.0639181823794,35961.09622472896,0.0,0.2915528774923485,2388.9597675877912,1193.1637318695548,0.0,72314.44859539659,549.455292934454,0.0,3483.074657014956,0.0,0.0,1315.6840803199102,0.0,0.0,192.19104177177513,325.2397709782016,98.90435864933562,118.8936247154087,94.90270229067193,540.5129088341639,570.006000480355,0.5742940116781075,503.11209253855685,0.0,0.14518495212571786,0.0,8.559345137508833,0.0,49.33284724797272,699.1341875526064,274.93537469714727,0.0,0.0,3800.68198324842,0.0
2001,1025.32266979194,36214.44929711515,0.0,0.2915528774923485,2369.313160609899,1189.4012922814024,0.0,72136.81399779316,549.6119815131552,0.0,3447.679502371869,0.0,0.0,1314.9535430512426,0.0,0.0,192.19104177177513,323.81383587539875,91.89442279765755,119.75480672754745,95.86209724026534,543.2016848261554,572.4702018477548,0.5742940116781075,483.7146282142561,0.0,0.14518495212571786,0.0,8.559345137508833,0.0,49.767849854739026,699.564496080435,274.9263092206602,0.0,0.0,3804.086342054658,0.0
