year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6548.8666892295405,15343.805135252549,0.21494108639658355,0.0,4433.78952590303,204.3719297495316,0.0,987.7638802995623,0.7586644053121742,0.0,1659.1138890098375,0.0,0.0,1.0258671495988012,0.0,0.0,579.4065748500827,1148.9735700070419,310.7551748545778,0.0,0.0,0.0,2301.608391605817,0.0,12.055429245244191,0.0,0.0,0.0,0.0,0.0,542.4418837520129,855.6762369988048,38.73289392632164,6.367235811403097,8.768811497733918,7599.184466333979,0.0
1993,6548.23307351573,15326.847116846871,0.21494108639658355,0.0,4433.043338772882,202.76919247982138,0.0,987.278065485641,0.7586644053121742,0.0,1658.6301584640375,0.0,0.0,1.0258671495988012,0.0,0.0,579.4065748500827,1148.436442936667,310.7551748545778,0.0,0.0,0.0,2301.4476792611013,0.0,11.841005604444318,0.0,0.0,0.0,0.0,0.0,542.230928115984,878.086296514356,38.73289392632164,6.367235811403097,8.768811497733918,7598.807729389415,0.0
1994,6547.645628602965,15308.865758844864,0.21494108639658355,0.0,4432.723621200403,201.32451621698888,0.0,987.1714857216207,0.7586644053121742,0.0,1657.932883694681,0.0,0.0,1.0258671495988012,0.0,0.0,579.3005712991928,1148.006406055148,310.7551748545778,0.0,0.0,0.0,2301.4476792611013,0.0,11.787255945804818,0.0,0.0,0.0,0.0,0.0,542.1230670277635,900.0810271851517,38.73289392632164,6.367235811403097,8.768811497733918,7598.647701181353,0.0
1995,6557.463859691347,15350.25558695098,0.21494108639658355,0.0,4414.461309704989,196.31654074714544,0.0,990.8069037973429,0.7586644053121742,0.0,1603.3463929960183,0.0,0.0,1.0258671495988012,0.0,0.0,567.9927342799668,1156.2675864329897,311.1712129201373,0.0,0.0,0.0,2305.7723441744147,0.0,11.787255945804818,0.0,0.0,0.0,0.0,0.0,541.6479678698809,922.4653149191564,39.22411447463716,6.367235811403097,8.768811497733918,7597.5665461131175,0.0
1996,6555.737085716751,15337.447829108325,0.21494108639658355,0.0,4373.216984673703,176.73903264197074,0.0,995.1159435892476,0.7586644053121742,0.0,1569.9335546779255,0.0,0.0,1.0258671495988012,0.0,0.0,566.2654237237397,1157.70450014005,311.0148801560001,0.0,0.0,0.0,2306.6878630680085,0.0,11.787255945804818,0.0,0.0,0.0,0.0,0.0,541.5995033344444,943.3770839611775,38.63967214778597,6.367235811403097,8.768811497733918,7681.2790581329955,0.0
1997,6549.084221643658,15323.045996592382,0.21494108639658355,0.0,4361.521458550728,174.36684513228673,0.0,998.5111442143938,0.7586644053121742,0.0,1573.6288316077737,0.0,0.0,1.0258671495988012,0.0,0.0,568.9067175615817,1160.9197780915113,310.80228779928166,0.0,0.0,0.0,2306.9555807213274,0.0,11.787255945804818,0.0,0.0,0.0,0.0,0.0,540.8066436842539,961.4104645497393,38.320804008647116,6.367235811403097,8.768811497733918,7686.477640914565,0.0
1998,6548.310576341832,15310.937797827979,0.21494108639658355,0.0,4359.101566868019,172.1958300700424,0.0,997.5496610188181,0.7586644053121742,0.0,1567.5993400158316,0.0,0.0,1.0258671495988012,0.0,0.0,563.3493424888791,1164.5705499567641,310.80228779928166,0.0,0.0,0.0,2307.6559887556214,0.0,11.787255945804818,0.0,0.0,0.0,0.0,0.0,539.8489402138891,984.0794265214456,38.320804008647116,6.367235811403097,8.768811497733918,7690.436303185088,0.0
1999,6501.86214659997,15317.144142379555,0.21494108639658355,0.0,4162.878384695949,145.61457262045283,0.0,1034.360817194903,1.084651578758178,0.0,1669.8482363328294,0.0,0.0,1.0258671495988012,0.0,0.0,612.727581980948,1209.1117170513778,310.07206344143236,0.0,0.0,0.0,2310.054902186694,0.0,11.787255945804818,0.0,0.0,0.0,0.0,0.0,537.2686018674751,1001.0527864415468,37.887912569373135,6.367235811403097,8.717284576842864,7704.600089457073,0.0
2000,6501.558192287194,15307.895035082714,0.21494108639658355,0.0,4161.746530971612,143.85318072881347,0.0,1039.1797287926229,1.084651578758178,0.0,1653.4744345966494,0.0,0.0,1.0258671495988012,0.0,0.0,610.4084393706836,1213.313881311257,310.78632674212156,0.0,0.0,0.0,2310.258480201792,0.0,11.787255945804818,0.0,0.0,0.0,0.0,0.0,538.2832062415416,1018.4143545214454,37.887912569373135,6.367235811403097,8.61247285893412,7707.529063119666,0.0
2001,6500.631560424779,15264.227100654669,0.21494108639658355,0.0,4164.2116865675125,129.0885202240656,0.0,1017.0332673801092,1.084651578758178,0.0,1639.7090830394536,0.0,0.0,1.0258671495988012,0.0,0.0,602.4834611693914,1224.3417269044899,311.5482462469685,0.0,0.0,0.0,2308.601423017415,0.0,11.464130322360857,0.0,0.0,0.0,0.0,0.0,538.0657762068772,1107.3979433235652,37.887912569373135,6.367235811403097,8.61247285893412,7709.684184432262,0.0
