year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,12110.986985465657,2115.0954384695665,4.674450881551426,0.0,11614.739437653108,12774.807792081347,164036.55030601585,130.22938431901176,264.6840144162184,942.0355302956092,0.0,0.0,0.0,10.019772276106213,0.0,0.0,41.485209734194484,2951.222230568791,2985.860946914295,23906.638769070767,0.0,0.285935515145822,8661.734119671617,0.0,257.53391230995356,0.0,0.0,0.4771591872566747,924.2131618182111,1311.419305850036,696.7153171629888,580.2523496497375,234.227765459818,0.0,0.0,5254.73594899423,124.41523055951498
1993,12107.83953452024,2115.3812969573196,4.674450881551426,0.0,11614.548306415567,12775.187864860924,163993.63419947313,130.22938431901176,264.6840144162184,942.0355302956092,0.0,0.0,0.0,10.019772276106213,0.0,0.0,41.485209734194484,2950.6492879698553,2982.9032911725553,23915.785307950126,0.0,0.285935515145822,8656.391245515964,0.0,257.4385543182838,0.0,0.0,0.4771591872566747,921.3514124305823,1310.7517924765139,698.813277765532,599.9979415583487,234.704466011368,0.0,0.0,5281.356007759599,124.41523055951498
1994,12103.261234700416,2114.999845971819,4.674450881551426,0.0,11612.83158289253,12774.615683380945,163992.20485205142,130.22938431901176,264.6840144162184,942.0355302956092,0.0,0.0,0.0,10.019772276106213,0.0,0.0,41.485209734194484,2949.504578931297,2979.277584525547,23911.396064962606,0.0,0.285935515145822,8644.844505635592,0.0,257.4385543182838,0.0,0.0,0.4771591872566747,921.3514124305823,1310.3703588860483,698.6225554670006,630.5267368658627,234.704466011368,0.0,0.0,5280.783770124604,124.41523055951498
1995,12108.69302265819,2121.7632775380475,4.674450881551426,0.0,11546.599895560266,12801.391804578578,163941.80692181885,130.22938431901176,264.5888078395042,940.8929135273296,0.0,0.0,0.0,10.019772276106213,0.0,0.0,41.485209734194484,2941.5812442384895,2985.5539967312734,23945.303179121565,0.0,0.285935515145822,8637.296811772796,0.0,257.0570944474339,0.0,0.0,0.4771591872566747,919.4423214705764,1323.3378070881636,696.3343993036459,670.5011584468324,234.704466011368,0.0,0.0,5286.604209714882,124.41523055951498
1996,12099.81985059023,2121.9544658421614,4.674450881551426,0.0,11508.256772306642,12801.768575766528,163944.4866178664,128.41947548248768,264.5888078395042,940.8929135273296,0.0,0.0,0.0,10.019772276106213,0.0,0.0,41.485209734194484,2940.6271034521988,2982.307668192544,23942.82015798663,0.0,0.285935515145822,8623.367397127435,0.0,256.67593097471445,0.0,0.0,0.4771591872566747,919.4422854192703,1329.6322472158317,696.1436637108474,712.004135009579,234.60904709905287,0.0,0.0,5305.865600777326,124.41523055951498
1997,12089.135498303307,2124.9061924578655,4.674450881551426,0.0,11443.123269439277,12795.563293023677,163971.7734491903,128.03850574347763,264.4935584051364,940.4167726129756,0.0,0.0,0.0,10.019772276106213,0.0,0.0,41.485209734194484,2941.3898947757843,2985.2611303046374,23943.29372533619,0.0,0.285935515145822,8620.788223671774,0.0,256.67593097471445,0.0,0.0,0.4771591872566747,920.0134162986959,1341.1699654905901,695.2851646816744,740.7211811973291,234.60904709905287,0.0,0.0,5317.024497180235,124.41523055951498
1998,12085.513747909994,2128.240394417915,4.674450881551426,0.0,11384.406838421168,12808.049972375222,163945.45402804855,126.70459287562136,264.4935584051364,939.7499138181757,0.0,0.0,0.0,10.210310342702282,0.0,0.0,41.485209734194484,2940.1475378986033,2991.4464646281504,23961.125533252056,0.0,0.285935515145822,8623.071687369713,0.0,256.5804520461347,0.0,0.0,0.4771591872566747,922.8711266852898,1346.1272387789609,696.3338632570269,755.3123324420164,233.94183419175843,0.0,0.0,5343.921061298772,124.41523055951498
1999,12110.309351929853,2150.7441317285143,4.674450881551426,0.0,11377.609036542179,12848.089963657048,163618.79840524285,126.70409410487889,264.5887737898795,938.8927741173428,0.0,0.0,0.0,10.114881997646204,0.0,0.0,41.389795437873644,2949.684167382955,3011.356969831429,24058.94419180849,0.0,0.285935515145822,8634.979958534552,0.0,256.2943182165807,0.0,0.0,0.4771591872566747,918.6748077494947,1367.6812698342542,696.2369835618894,770.7632362826342,235.18096121578276,0.0,0.0,5418.149625231023,124.41523055951498
2000,12091.234342640577,2151.21832802715,4.674450881551426,0.0,11213.142799606167,12800.964527075232,163579.26558185185,125.7513604483246,264.5887737898795,938.8927741173428,0.0,0.0,0.0,10.01945365259013,0.0,0.0,41.389795437873644,2954.6408188841633,3040.627439908296,24173.298756933636,0.0,0.285935515145822,8713.681912068914,0.0,257.1528847679462,0.0,0.0,0.4771591872566747,918.9608581583506,1374.6449180993234,699.1938479220273,784.8790463547334,234.799481326323,0.0,0.0,5436.839997126401,124.41523055951498
2001,12102.208704982857,2184.215463367161,4.674450881551426,0.0,11235.298304740076,12825.098037850597,163443.6611454409,83.56094685544288,264.5887737898795,938.6070990347373,0.0,0.0,0.0,10.01945365259013,0.0,0.0,41.38965639615721,2961.6837599492965,3041.4836366063673,24227.079456607647,0.0,0.285935515145822,8729.893200467526,0.0,257.1528847679462,0.0,0.0,0.4771591872566747,918.7690905275529,1384.1807903790116,694.7187818333346,784.9744460342315,233.84532215395043,0.0,0.0,5442.758742759792,124.41523055951498
