year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,2884.534033197774,144.0829321082807,0.0,0.0,1372.188407514487,2503.4926303551024,2382.869607995806,9900.693769442058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3181011106164,8.801209564796112,179.26458009167789,0.0,0.0,39.9504176268816,0.0,0.0,0.0,0.0,0.0,0.3714602396598251,399.7438239365197,18.35554990900556,205.26333133303595,13.07528465937316,0.0,0.0,869.830646320109,0.0
1993,2883.2361640254117,144.0829321082807,0.0,0.0,1371.7249563829319,2502.843948640129,2382.035146225683,9900.41565164198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.13264687274712,8.615766269122002,179.26458009167789,0.0,0.0,39.57956940107203,0.0,0.0,0.0,0.0,0.0,0.3714602396598251,399.7438239365197,18.170136212366472,209.71307237812076,13.07528465937316,0.0,0.0,869.830646320109,0.0
1994,2881.1039756111936,143.99046916622555,0.0,0.0,1370.5199970088806,2502.5659170760896,2381.015332399927,9899.952105881095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.03992084743383,8.337726223729232,179.26458009167789,0.0,0.0,39.48697061699844,0.0,0.0,0.0,0.0,0.0,0.3714602396598251,399.7438239365197,17.891966302634458,215.6456090236363,13.07528465937316,0.0,0.0,869.830646320109,0.0
1995,2880.456947125819,142.41658328980057,0.0,0.0,1370.242057873012,2372.4287530296197,2476.196826158716,9922.861309979979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18551422668303091,56.77993681926531,8.337726223729232,179.45021760831887,0.0,0.0,39.20888267190121,0.0,0.0,0.0,0.0,0.0,0.3714602396598251,402.8086838046765,17.799256710742654,219.2606094757378,13.07528465937316,0.0,0.0,876.9557355081505,0.0
1996,2879.4390260573036,139.73269710842135,0.0,0.0,1369.9660029406466,2337.9660883221036,2503.4403262819615,9927.40711349909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18551422668303091,56.965748156577135,8.523536503341077,179.45021760831887,0.0,0.0,39.58152204118801,0.0,0.0,0.0,0.0,0.0,0.3714602396598251,403.0880528843161,17.799256710742654,223.0606332591383,13.07528465937316,0.0,0.0,878.7833049063181,0.0
1997,2877.770127897658,139.36208641394708,0.0,0.0,1369.0384875751586,2307.4581250149035,2521.6155370836395,9937.23843595015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18551422668303091,56.965748156577135,8.430888695621874,179.45021760831887,0.0,0.0,39.30366333313542,0.0,0.0,0.0,0.0,0.0,0.3714602396598251,402.9028855678755,17.799256710742654,227.51019156024617,13.07528465937316,0.0,0.0,880.3578747114939,0.0
1998,2875.916217483712,139.4541058886643,0.0,0.0,1368.2965547970396,2208.3979955647383,2580.2749516694985,9969.93981158702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18551422668303091,57.983066851893724,8.430888695621874,179.45021760831887,0.0,0.0,39.48978466468104,0.0,0.0,0.0,0.0,0.0,0.3714602396598251,408.10418350118863,17.706537101735496,231.49634901278446,13.07528465937316,0.0,0.0,880.2628618525703,0.0
1999,2870.6346946508575,139.17642595402367,0.0,0.0,1364.6820673175735,1991.9030618938714,2630.1409272472133,10132.846619682992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18551422668303091,59.46494923896711,8.245809094052646,179.45021760831887,0.0,0.0,39.02668296084568,0.0,0.0,0.0,0.0,0.0,0.3714602396598251,415.8099104129635,17.150824128182066,235.57508990240967,13.07528465937316,0.0,0.0,881.0962461871991,0.0
2000,2843.2710252569923,138.99118417476828,0.0,0.0,1338.2442637984752,1266.232843917193,2853.067969841707,10669.35913937232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18551422668303091,65.94950097735162,8.245809094052646,179.45021760831887,0.0,0.0,38.93400859060158,0.0,0.0,0.0,0.0,0.0,0.46437647221548933,423.51533031366495,16.779640735409682,240.67526972397647,13.07528465937316,0.0,0.0,882.3944066420792,0.0
2001,2838.545972251229,139.54707740556717,0.0,0.0,1332.9616926836813,1200.7014785465497,2874.4753100117223,10720.529394715211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18551422668303091,64.27489451189555,8.060469189683,179.35768748582072,0.0,0.0,38.84144572493584,0.0,0.0,0.0,0.0,0.0,0.46437647221548933,426.95016894043016,16.316099385183886,244.56864389532896,13.07528465937316,0.0,0.0,879.9802752996734,0.0
