year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,172.15439836309596,416.0374637568865,0.0,0.0,1108.0836281036177,84.03247423916264,22337.286300127438,0.0,0.0,145.4695440480888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.92930994604005,0.8584733185605437,8.584611640543127,0.0,0.0,0.9538319024273196,0.0,0.0,0.0,0.0,0.0,0.0,288.0268686276162,7.440454893287851,10.110897840848983,0.0,0.0,0.0,2653.86078934165,0.0
1993,172.15439836309596,416.0374637568865,0.0,0.0,1108.0836281036177,84.03247423916264,22337.286300127438,0.0,0.0,145.4695440480888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.92930994604005,0.8584733185605437,8.584611640543127,0.0,0.0,0.9538319024273196,0.0,0.0,0.0,0.0,0.0,0.0,288.0268686276162,7.440454893287851,10.110897840848983,0.0,0.0,0.0,2653.86078934165,0.0
1994,172.15439836309596,416.0374637568865,0.0,0.0,1108.0836281036177,84.03247423916264,22337.286300127438,0.0,0.0,145.4695440480888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.92930994604005,0.8584733185605437,8.489230368616358,0.0,0.0,0.9538319024273196,0.0,0.0,0.0,0.0,0.0,0.0,288.0268686276162,7.440454893287851,10.206279112775754,0.0,0.0,0.0,2653.86078934165,0.0
1995,172.15439836309596,416.0374637568865,0.0,0.0,1107.9882393038285,82.41087091345565,22338.90790359219,0.0,0.0,145.5649327088266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.92930994604005,0.8584733185605437,8.489230368616358,0.0,0.0,0.9538319024273196,0.0,0.0,0.0,0.0,0.0,0.0,288.0268686276162,7.440454893287851,10.206279112775754,0.0,0.0,0.0,2653.86078934165,0.0
1996,172.15439836309596,416.0374637568865,0.0,0.0,1107.9882393038285,82.02934148235813,22338.90790359219,0.0,0.0,144.99263863696834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.92930994604005,0.8584733185605437,8.10770034208471,0.0,0.0,0.9538319024273196,0.0,0.0,0.0,0.0,0.0,0.0,288.0268686276162,7.440454893287851,11.541632642263169,0.0,0.0,0.0,2653.86078934165,0.0
1997,172.15439791724418,416.41899422948774,0.0,0.0,1107.9882393038285,81.8385781827334,22338.717138653163,0.0,0.0,143.94343073129733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.92930994604005,0.8584733185605437,8.012317723878356,0.0,0.0,0.9538319024273196,0.0,0.0,0.0,0.0,0.0,0.0,287.7406591813558,7.440454893287851,12.686221378044545,0.0,0.0,0.0,2654.146998787911,0.0
1998,173.01280459855943,418.4219844366524,0.0,0.0,1111.4218371909756,83.74618161333258,22332.04065579162,0.0,0.0,142.32193426539644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.92930994604005,0.8584733185605437,8.012317723878356,0.0,0.0,0.9538319024273196,0.0,0.0,0.0,0.0,0.0,0.0,287.7406591813558,7.440454893287851,12.87698301540433,0.0,0.0,0.0,2654.051618271768,0.0
1999,187.3182102993994,467.1589397861366,0.0,0.0,1228.3503858815966,133.628714305179,22102.47337385668,0.0,0.0,142.0357737675449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.92930994604005,0.8584733185605437,8.012317723878356,0.0,0.0,0.9538319024273196,0.0,0.0,0.0,0.0,0.0,0.0,287.7406591813558,7.440454893287851,12.972362464044034,0.0,0.0,0.0,2653.9562388231284,0.0
2000,192.65940904596943,522.7642431254375,0.0,0.0,1306.3702681323623,173.11592586597925,21926.022976986947,0.0,0.0,139.17408099046506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.833929278290825,0.8584733185605437,8.2984627408397,0.0,0.0,1.0492220803803092,0.0,0.0,0.0,0.0,0.0,0.0,287.2636262336646,7.535836014504899,13.258528802318207,0.0,0.0,0.0,2654.624063533536,0.0
2001,193.51784231359952,541.8403136722453,0.0,0.0,1335.2702252492113,171.30281150752205,21877.57100980146,0.0,0.0,138.1247790731965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.643167035856731,0.8584733185605437,7.726175863493778,0.0,0.0,1.0492220803803092,0.0,0.0,0.0,0.0,0.0,0.0,287.0727975524258,7.535836014504899,16.501500452021613,0.0,0.0,0.0,2654.8148922147748,0.0
