year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,4206.583520202804,1869.9819999478177,3.974815732801795,0.0,2682.873315513362,528.1469756953784,0.0,8418.565850301502,171.8655861310898,0.0,6623.155157797102,0.0,0.0,5.43513595644081,0.0,0.0,10515.934383769254,2124.641701478185,9.523294916180435,0.04874790592240652,0.0,0.0,1582.2544400397135,0.0,26.68005685790623,0.0,2.940506547082573,0.0,0.10009655813445356,0.0,1765.9960315276808,149.48488106123608,3.6100592912464218,0.729013578701275,0.5441485849696617,3752.498127380114,0.0
1993,4206.385959631775,1869.1474959025927,3.974815732801795,0.0,2682.873315513362,527.903703056034,0.0,8418.27034019322,171.8655861310898,0.0,6622.618939135805,0.0,0.0,5.43513595644081,0.0,0.0,10515.885898629213,2124.4953037224273,9.523294916180435,0.04874790592240652,0.0,0.0,1582.2544400397135,0.0,26.534501815015084,0.0,2.940506547082573,0.0,0.10009655813445356,0.0,1765.8974319256383,152.03098462714507,3.6100592912464218,0.729013578701275,0.5441485849696617,3752.498127380114,0.0
1994,4205.892567260669,1867.7131384102686,3.974815732801795,0.0,2682.7747519652426,527.8050163971772,0.0,8418.074073327445,171.8655861310898,0.0,6622.081922682157,0.0,0.0,5.43513595644081,0.0,0.0,10515.7377949838,2124.3967362299086,9.523294916180435,0.04874790592240652,0.0,0.0,1582.205895134974,0.0,26.485976828990495,0.0,2.940506547082573,0.0,0.10009655813445356,0.0,1765.8974319256383,155.23300904567046,3.6100592912464218,0.729013578701275,0.5441485849696617,3752.498127380114,0.0
1995,4338.679746775902,1994.5224898644044,4.175586812618839,0.0,2729.8874639567202,477.50959359856694,0.0,8206.681852664791,172.31687799786764,0.0,6625.86054868099,0.0,0.0,5.43513595644081,0.0,0.0,10419.370997400607,2136.057477096241,9.523294916180435,0.04874790592240652,0.0,0.0,1619.833814944764,0.0,26.140313817266104,0.0,2.940506547082573,0.0,0.14880865968895204,0.0,1765.3176220767489,157.73552959700592,3.707085353723039,0.729013578701275,0.5441485849696617,3748.4011899874213,0.0
1996,4348.282494776555,2004.4423915516,4.175586812618839,0.0,2733.7053552583816,472.7388148060098,0.0,8175.586713645873,172.31687799786764,0.0,6623.365597428915,0.0,0.0,5.43513595644081,0.0,0.0,10418.509471190811,2136.95994616918,9.523294916180435,0.04874790592240652,0.0,0.0,1624.6322078209118,0.0,25.73594065443343,0.0,2.940506547082573,0.0,0.14880865968895204,0.0,1765.519451417677,160.37603385632337,3.707085353723039,0.729013578701275,0.5441485849696617,3756.14422188476,0.0
1997,4371.752349296869,2018.7755769596506,4.175586812618839,0.0,2745.004300770272,473.92035547886115,0.0,8118.1446978156555,172.31687799786764,0.0,6620.831816244432,0.0,0.0,5.43513595644081,0.0,0.0,10410.51979951776,2139.704187127346,9.523294916180435,0.04874790592240652,0.0,0.0,1634.1470227465172,0.0,25.39463392089354,0.0,2.940506547082573,0.0,0.14880865968895204,0.0,1767.6307333483396,162.59286405910254,3.707085353723039,0.729013578701275,0.5441485849696617,3757.5803031757305,0.0
1998,4507.829642917555,2075.8205129489597,4.175586812618839,0.0,2835.8547715540867,484.8031074724124,0.0,7774.2386731326405,172.16736617458037,0.0,6618.015891227227,0.0,0.0,5.532623815103664,0.0,0.0,10370.625749615845,2165.926239524913,9.523294916180435,0.04874790592240652,0.0,0.0,1693.6571866155598,0.0,25.492969025687938,0.0,2.940506547082573,0.0,0.19746107397674453,0.0,1771.1265466478715,165.92985129039937,4.145780717362338,0.680448758099921,0.5441485849696617,3756.2907394955696,0.0
1999,4774.523572695993,2210.538561695173,4.225428112716418,0.0,2995.2159818848236,496.9958993712518,0.0,7222.7243115730735,172.1175801206705,0.0,6616.305721982897,0.0,0.0,5.532623815103664,0.0,0.0,10191.638458665098,2214.7663920218565,9.572764819001398,1.1715800884225083,0.0,0.0,1782.3318484098263,0.0,23.790249823704148,0.0,3.681310383993554,0.0,0.24751920175121161,0.0,1807.16062327916,169.1178642565338,6.48880550672534,0.680448758099921,0.5441485849696617,3736.1961517237796,0.0
2000,4895.217036982603,2248.4127910993375,4.225428112716418,0.0,3114.1987278921342,516.8230915082913,0.0,6866.4193766807375,171.66734019681988,0.0,6601.344964720783,0.0,0.0,5.532623815103664,0.0,0.0,10098.457122328959,2283.0011569767435,9.621659816396523,1.2203200410484414,0.0,0.0,1865.563171901902,0.0,23.011214303697336,0.0,3.681310383993554,0.0,0.24751920175121161,0.0,1818.1270316298048,173.00560248068408,6.878760917738706,0.680448758099921,0.5441485849696617,3737.6869984403024,0.0
2001,4929.911582456949,2256.612866793034,4.57765305892571,0.0,3156.6906954653655,511.0018295681899,0.0,6760.178087227591,171.32010017768602,0.0,6600.496346667136,0.0,0.0,5.483609673517083,0.0,0.0,10067.097939288025,2310.9583032901783,9.469273989741874,1.2203200410484414,0.0,0.0,1888.3476874200276,0.0,22.57289325387691,0.0,3.583802642833904,0.0,0.2977544683407523,0.0,1821.170398207689,179.7922985656004,6.878760917738706,0.680448758099921,0.5441485849696617,3736.6810462580547,0.0
