year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,122620.8380399966,20029.69031693932,0.0,5086.015174781623,50726.37115741017,83185.64643575028,40803.25394468555,3149.406976081755,0.0,146976.7977741616,195.94171849766238,0.0,0.0,0.0,0.0,0.0,91.86820402188509,17614.325009103573,15769.186177112671,474505.78762725036,0.0,2841.4171253769596,60674.38226990207,0.0,7949.39418676734,0.0,428.0149478548453,74.3625668699201,0.0,812.0004857432455,1596.192629087771,318.76628606351784,68766.34823488555,5762.288317889236,1.1207185654545393,7478.693037333287,0.0
1993,122618.86066218218,20029.69031693932,0.0,5084.992816960796,50725.71378805182,83185.27069495477,40803.25394468555,3149.406976081755,0.0,146976.7977741616,195.94171849766238,0.0,0.0,0.0,0.0,0.0,91.86820402188509,17613.853748109836,15769.186177112671,474503.8124094294,0.0,2841.4171253769596,60672.78142336065,0.0,7949.2991967200705,0.0,428.0149478548453,74.3625668699201,0.0,812.0004857432455,1596.192629087771,327.22417844439076,68766.34823488555,5762.005586700759,1.1207185654545393,7478.693037333287,0.0
1994,122617.16355098289,20029.69031693932,0.0,5084.436020892703,50724.95849987759,83184.04791630921,40803.25394468555,3149.406976081755,0.0,146976.6097330776,195.94171849766238,0.0,0.0,0.0,0.0,0.0,91.86820402188509,17613.57101764963,15768.903502196285,474501.73566682497,0.0,2841.4171253769596,60670.715909209466,0.0,7949.109208657535,0.0,427.9202119287889,74.3625668699201,0.0,812.0004857432455,1596.0974247404774,337.1057326989845,68766.16157044955,5761.911341758614,1.1207185654545393,7478.59999809619,0.0
1995,122979.32243704605,20090.4716468245,0.0,5114.016108203284,50827.25972020374,82927.94483936598,40983.52839898965,2580.9549916977926,0.0,147275.2241992497,195.94171849766238,0.0,0.0,0.0,0.0,0.0,91.86820402188509,17621.49092446292,15767.044171190024,474278.6329162293,0.0,2846.767077788854,60837.47625473858,0.0,7948.437917580742,0.0,428.8696834548069,74.3625668699201,0.0,802.8823802092816,1590.8852196150333,347.54622664025413,68568.40217050524,5773.026955093355,1.1207185654545393,7504.631915087352,0.0
1996,123200.84183143967,20136.98592617568,0.0,5144.7574365254595,50889.56697990701,82466.50561281996,41317.88688170948,2516.9366242777514,0.0,148202.48956780325,195.94171849766238,0.0,0.0,0.0,0.0,0.0,91.86820402188509,17629.18974050855,15756.461721914375,473258.44505745714,0.0,2849.0315242318343,60912.38261788944,0.0,7945.95974867557,0.0,429.2496825580378,73.98281296099816,0.0,806.99087768415,1590.234131316733,356.40583242671255,68433.51896429439,5774.969356163818,1.1207185654545393,7476.385792306732,0.0
1997,123362.83591922575,20162.70369941689,0.0,5145.979680167414,50949.65656353783,82421.52701190382,41395.39060394031,2464.9196472450512,0.0,148481.1334083589,195.94171849766238,0.0,0.0,0.0,0.0,0.0,91.86820402188509,17636.530151085535,15764.674527927562,472747.48106187023,0.0,2847.1321228137376,60939.782562961555,0.0,7931.762582582712,0.0,429.0602101482554,73.98281296099816,0.0,807.1627223803325,1589.9519840727507,364.8912409957304,68391.43336956667,5776.3587605869825,1.1207185654545393,7484.828077298039,0.0
1998,123739.91053375271,20225.59022555072,0.0,5182.25696390065,51107.31294624714,82423.86719868703,41414.4172458379,2271.5003190523666,0.0,148796.09382154257,196.22360180055287,0.0,0.0,0.0,0.0,0.0,91.86820402188509,17647.06323884317,15763.674072188398,472017.6355439689,0.0,2846.7673464326153,61104.85395261068,0.0,7894.768461580868,0.0,429.34505608079144,73.98281296099816,0.0,810.8991463444389,1595.8175841369648,375.8866646897939,68116.7534674894,5780.147487563316,1.1207185654545393,7550.352748282588,0.0
1999,124469.63565671093,20395.994025431417,0.0,5216.825782089065,51173.0729151802,81247.34655584613,42482.00472860422,2780.671418699945,0.0,150864.11693151866,206.95048775205308,0.0,0.0,0.0,0.0,0.0,91.86820402188509,17690.381245989935,15817.265998778319,468571.22498378047,0.0,2839.8194243971375,62111.570641349485,0.0,7752.562890999151,0.0,430.20044260534223,73.70176914288456,0.0,825.1148066940027,1594.000757342657,387.7209640350517,67045.06946824018,5789.817233810679,1.1207185654545393,7600.051310546471,0.0
2000,124696.68422118432,20457.191213865128,0.0,5242.791523117083,51258.695803112234,80786.12786255048,43019.96557208932,3516.4167265002247,0.0,152372.8887253563,209.3687922102555,0.0,0.0,0.0,0.0,0.0,91.9628454874298,17799.147564075764,15965.611747745425,466097.404707566,0.0,2836.731252393823,63860.50796566761,0.0,6626.4354101339495,0.0,424.11997024134905,72.94172234818546,0.0,830.7404025412425,1587.7617040860014,405.2634173044847,65931.55022409337,5769.301910985525,1.1207185654545393,7597.377358909815,0.0
2001,124957.56803752732,20513.805840483037,0.0,5258.945260339647,51269.524746460425,80508.43104650351,43237.83623021571,3061.2254109130918,0.0,152853.4736235124,145.80499041117943,0.0,0.0,0.0,0.0,0.0,72.21641670171984,17799.267254084658,16083.373002223936,465794.99030394503,0.0,2849.3731966921837,65293.93128537819,0.0,5521.56322814661,0.0,418.71102404308505,72.6565444775659,0.0,830.4548095509085,1590.2222540928449,406.0186638522098,65593.59269434058,5768.139614579776,1.1207185654545393,7555.863165089911,0.0
