year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,952014.2407649772,1036554.6971068437,96082.22718893671,42439.490576375945,250372.92541945764,160342.06368207408,0.0,582448.4651803037,3374.14394211913,0.0,942178.6398262114,8.02543112743144,0.0,700.3973561213156,0.0,0.0,213987.20376695768,259910.36519686796,84122.19175479299,53415.22136851764,0.0,3709.908619384264,462108.7588484257,13646.549842158309,126067.43483922325,0.0,1925.8040971077294,4257.7860452673585,1830.1818606953575,0.30834458623127,130717.22465432915,78864.19199552233,72385.56834511587,5583.919666241656,383.9442427163454,346341.0617564622,45121.45541658386
1993,951628.709197104,1035678.1468456453,96061.07124577409,42434.62009794896,250309.77017029596,160230.4609959034,0.0,582398.0224805195,3374.0170433541116,0.0,942086.0550794351,7.955060454757964,0.0,700.3365772831484,0.0,0.0,213973.96131826605,259864.90371939557,84112.26737963562,53414.00866037929,0.0,3709.908619384264,461951.57424956636,13646.383132136218,126037.63370960436,0.0,1925.7132193865841,4256.983271714301,1830.1818606953575,0.30834458623127,130699.8340714014,80901.30485925997,72246.84776776427,5583.792968603711,383.806596221298,346324.3631772018,45121.45541658386
1994,951191.8567811277,1034699.8577073494,96033.91461865291,42429.993221012744,250250.99005949465,160134.30268706777,0.0,582342.7822794127,3373.953357369573,0.0,941986.1821585926,7.955060454757964,0.0,700.3365772831484,0.0,0.0,213959.97074943056,259826.13195683583,84104.3401386306,53411.71617152541,0.0,3709.908619384264,461774.84894016985,13646.22903656324,126009.01871917589,0.0,1925.62787497636,4256.400887490571,1830.1818606953575,0.30834458623127,130685.79061864405,83111.81392380947,72094.24945051772,5583.315576917321,383.6669489087536,346307.2973928404,45121.45541658386
1995,953621.670854622,1038653.1577185437,96427.35936630414,42548.333257623395,249903.9240949828,147787.81496312024,0.0,581032.3262638007,3427.982757887673,0.0,942698.3454338443,7.955060454757964,0.0,698.3206776637727,0.0,0.0,217462.4131647016,260985.6912335459,84150.7029328577,53701.050019697774,0.0,3716.7053855457307,462790.48942252056,13646.104175738858,125411.12557315754,0.0,1927.3431945778989,4277.40886166999,1819.183568639619,0.30834458623127,129493.13987933949,85493.54529983956,71962.89936068603,5599.7545769313865,384.5003568547879,346143.38591918215,45121.45541658386
1996,952668.943041981,1038471.1851242372,96583.41274025221,42548.563946640985,249033.637459846,143418.64498380237,0.0,581684.4340375436,3436.2906568015555,0.0,942101.6918941652,7.889552647880414,0.0,698.3993165033268,0.0,0.0,218871.70245494836,261791.143573031,84278.3447794014,53662.254176403556,0.0,3722.4486271890582,462661.7613675507,13646.062559630347,125325.65922678741,0.0,1932.4266281486712,4277.9586321172965,1821.6939939102392,0.30834458623127,129076.17855317445,87931.77363130977,71844.52079877087,5631.377214864964,385.0820320933064,348259.15237058233,45121.45541658386
1997,952629.7048892806,1038525.9788556367,96674.44436195385,42557.386894080344,248913.4940186505,140227.69146551075,0.0,581131.3486454514,3444.592161955377,0.0,942237.4987307305,7.889552647880414,0.0,697.3937896185065,0.0,0.0,219878.95243936218,262493.95297342783,84263.34830964584,53694.88214895615,0.0,3725.571700952166,462276.285469044,13646.020947684436,125204.02219703053,0.0,1934.6721928288007,4278.068693148231,1817.1725570262201,0.30834458623127,128601.77586857349,90455.31868064281,71714.02241320992,5645.772787526681,385.5034738952869,348709.8671558614,45121.45541658386
1998,953196.3849091491,1038431.0313282469,96797.72927743502,42570.262134464065,249453.4347286913,138748.43186679622,0.0,577559.5075298102,3448.627063095876,0.0,939801.1933881154,7.819269544351583,0.0,686.4329618733316,0.0,0.0,220092.61950282386,263621.91115306783,84420.43812978314,53730.05146278132,0.0,3727.6241934849772,463816.6895288165,13645.807921843449,125060.03551113862,0.0,1940.7971593813227,4276.484978025619,1816.5349358237306,0.30834458623127,128742.48629046275,93431.99859861797,71533.16252399787,5661.282282221009,385.45042638076603,349168.40431845834,45121.45541658386
1999,954726.6716490046,1040989.6166983843,97153.96638240303,42670.3582533698,249633.33897958405,130095.72128635566,0.0,572395.2304755787,3484.252597342545,0.0,939896.1729307721,7.878693554329713,0.0,683.435461646358,0.0,0.0,222011.92517168017,268073.20578679175,85164.49677430709,54055.528256693506,0.0,3744.3943257650158,466960.80195422564,13645.453526522697,124411.91023640061,0.0,1953.1127389844914,4251.890548050147,1816.1272174227959,0.30834458623127,124837.93613160316,96477.36852061714,71541.38236897861,5709.31988182517,390.06199117151584,348991.0745352978,45121.45541658386
2000,955856.3227067789,1040714.6136552158,97286.5682130072,42681.706672838314,250538.271296701,127633.05991196487,0.0,569595.5779649247,3489.705524969433,0.0,937028.4693677903,7.878693554329713,0.0,682.3770300119119,0.0,0.0,221684.25851936277,271097.0135320346,85526.0051902638,54081.519513880776,0.0,3749.6097367483353,468068.2243578306,13645.227344011177,123591.65846931175,0.0,1969.2003079785445,4239.325051383144,1810.0773768021497,0.30834458623127,124376.26344978018,99651.47393106334,71446.6369462577,5724.980932543235,390.82816871899774,349205.7795086048,45121.45541658386
2001,954491.8867456258,1037759.6948508858,97504.34734898825,42718.305818364846,250519.56476604682,123283.72646573887,0.0,570257.1798617236,3514.939270444094,0.0,937023.3224021872,7.878693554329713,0.0,680.665864967426,0.0,0.0,221764.61314024226,272622.1405714211,85709.10569498218,54164.9582851029,0.0,3752.8282603509506,468033.17868273833,13645.227344011177,123133.188682053,0.0,1974.3384970787065,4228.85726338762,1817.3669465829137,0.30834458623127,122764.47645049554,108014.31217438052,71153.38067396078,5732.019969847333,391.11787368691694,349110.0107754818,45121.45541658386
