year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,261.0646332555018,205.1222771479858,219.18138926280582,0.8214905863531793,2956.6962080828202,673.9891243251882,9905.69518612857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181798928416963,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,126.87801505563897,425.8541239608444,0.0,22.324813893558094,0.0,0.0,0.0,4526.209733920972,0.0
1993,261.0646332555018,205.1222771479858,219.18138926280582,0.8214905863531793,2956.6962080828202,673.9891243251882,9905.69518612857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181798928416963,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,126.87801505563897,425.8541239608444,0.0,22.324813893558094,0.0,0.0,0.0,4526.209733920972,0.0
1994,261.0646332555018,205.1222771479858,219.18138926280582,0.8214905863531793,2956.6962080828202,673.9891243251882,9905.69518612857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181798928416963,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,126.87801505563897,425.8541239608444,0.0,22.324813893558094,0.0,0.0,0.0,4526.209733920972,0.0
1995,261.0646332555018,205.1222771479858,219.18138926280582,0.8214905863531793,2956.6962080828202,673.9891243251882,9905.69518612857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181798928416963,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,126.87801505563897,425.8541239608444,0.0,22.324813893558094,0.0,0.0,0.0,4526.209733920972,0.0
1996,261.0646332555018,205.1222771479858,219.18138926280582,0.8214905863531793,2956.6962080828202,673.9891243251882,9905.69518612857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181798928416963,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,126.87801505563897,425.8541239608444,0.0,22.324813893558094,0.0,0.0,0.0,4526.209733920972,0.0
1997,261.0646332555018,205.1222771479858,219.18138926280582,0.8214905863531793,2956.6962080828202,673.9891243251882,9905.69518612857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181798928416963,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,126.87801505563897,425.8541239608444,0.0,22.324813893558094,0.0,0.0,0.0,4526.209733920972,0.0
1998,261.0646332555018,205.1222771479858,219.18138926280582,0.8214905863531793,2956.6962080828202,673.9891243251882,9905.69518612857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181798928416963,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,126.87801505563897,425.8541239608444,0.0,22.324813893558094,0.0,0.0,0.0,4526.209733920972,0.0
1999,261.0646332555018,205.1222771479858,219.18138926280582,0.8214905863531793,2956.6962080828202,673.9891243251882,9905.69518612857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181798928416963,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,126.87801505563897,425.8541239608444,0.0,22.324813893558094,0.0,0.0,0.0,4526.209733920972,0.0
2000,261.0646332555018,205.1222771479858,219.18138926280582,0.8214905863531793,2956.6962080828202,673.9891243251882,9905.69518612857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181798928416963,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,126.87801505563897,425.8541239608444,0.0,22.324813893558094,0.0,0.0,0.0,4526.209733920972,0.0
2001,261.3375242041988,205.2132941974603,221.4644733181356,0.8214905863531793,2947.9660633748244,674.2621459405691,9911.869216592293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181798928416963,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,127.42373205823583,427.3996307371674,0.0,22.324813893558094,0.0,0.0,0.0,4523.754610717443,0.0
2002,261.5194298832035,207.12253073487574,221.83063310647745,0.8214905863531793,2939.6869808795277,674.0798313434094,9919.324688278593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7270376764215386,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,127.88057417218394,427.582554241038,0.0,22.324813893558094,0.0,0.0,0.0,4523.754610717443,0.0
2003,263.1557590955267,208.39522392147074,222.7387055784922,0.8214905863531793,2942.498443609384,674.5324958259677,9914.334893153826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,127.97151860290197,430.94794461631136,0.0,22.324813893558094,0.0,0.0,0.0,4518.933886629293,0.0
2004,263.3375292723787,208.39522392147074,223.1936160215213,0.8214905863531793,2941.8600868539766,674.8054718633683,9914.336796630527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,128.06234024534191,433.5025679524366,0.0,22.41577513340095,0.0,0.0,0.0,4515.924277032307,0.0
2005,264.2474629900195,208.48621868815658,223.6480675417345,0.8214905863531793,2937.857864207952,674.075587512921,9917.249807642705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.251021883688566,0.0,0.0,0.0,128.42605622509728,433.5025679524366,0.0,22.41577513340095,0.0,0.0,0.0,4515.924277032307,0.0
