year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,0.4749448204762931,14.727531326088714,0.0,0.0,18.06238729068806,16.82327331162741,82954.93545022374,40.5860201217751,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,158.53683855512529,24.23669030414389,13.780317088772563,0.0,0.0,47.61064731066557,0.0,0.0,0.0,0.0,0.0,522.459551005758,810.768205307771,189.13138059984317,49.13900863890125,0.0,0.0,0.0,784.2370241045074,0.0
1993,0.4749448204762931,16.343726150503663,0.0,0.0,21.29490914158322,17.013438245081282,82898.74582655614,40.5860201217751,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,158.82211946056864,25.472332247852115,14.065562916763975,0.0,0.0,48.08590419362176,0.0,0.0,0.0,0.0,0.0,522.2691191566441,804.4965292980073,195.88304697958228,52.27589554624772,0.0,0.0,0.0,829.6798951750292,0.0
1994,0.4749448204762931,16.24875225616343,0.0,0.0,21.29490914158322,16.918462541657657,82898.65080936825,40.5860201217751,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,158.82211946056864,25.472332247852115,14.065562916763975,0.0,0.0,48.08590419362176,0.0,0.0,0.0,0.0,0.0,522.2691191566441,804.4965292980073,195.7880767140461,52.750801953529994,0.0,0.0,0.0,829.5849258189456,0.0
1995,0.47502280628949267,17.484396383316902,0.0,0.0,23.86160153153092,20.150660016948326,82726.74035166601,40.5860201217751,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,162.8137472075309,26.803361702421817,15.016303923800239,0.0,0.0,48.94103979384901,0.0,0.0,0.0,0.0,0.0,517.705394877673,802.3103406419939,206.82568796074133,55.12602193664292,0.0,0.0,0.0,980.6693194393438,0.0
1996,0.47502280628949267,18.909474567342375,0.0,0.0,26.71349287924574,21.196324045610588,82642.98056661464,40.5860201217751,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,164.6196395496859,26.89837240277631,16.346956538254993,0.0,0.0,49.416141815034194,0.0,0.0,0.0,0.0,0.0,517.5147100104026,799.1752337493025,219.3776063482057,58.070769756856144,0.0,0.0,0.0,1043.22893880443,0.0
1997,0.3800534502060597,24.043625299870982,0.0,0.0,32.13279124366198,23.28760055848606,82552.36755243514,40.5860201217751,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,165.76035659471282,26.89837240277631,16.537043083219213,0.0,0.0,50.84206557507617,0.0,0.0,0.0,0.0,0.0,516.3730147334302,795.5631241739568,231.1706783281204,59.87593618968689,0.0,0.0,0.0,1109.6910358197479,0.0
1998,0.3800534502060597,24.899042048353834,0.0,0.0,35.270323445099805,25.759315590127652,82487.89183009382,40.5860201217751,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,167.0911486882313,26.89837240277631,16.91734492520427,0.0,0.0,51.22214066146834,0.0,0.0,0.0,0.0,0.0,516.3730147334302,791.6658714503905,233.45722283182778,62.15610970683426,0.0,0.0,0.0,1164.9414598603678,0.0
1999,0.3800534502060597,31.07918493703854,0.0,0.0,42.3047853738388,29.08622102710641,82371.03379686916,39.636013131884816,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,175.1707059712417,27.56344139971622,14.82680741303323,0.0,0.0,54.73816294104404,0.0,0.0,0.0,0.0,0.0,513.9943482768379,786.3420776157603,237.83206970367826,64.81671754308334,0.0,0.0,0.0,1256.7048843562766,0.0
2000,0.3800534502060597,31.74493631930068,0.0,0.0,43.350510887661926,29.84678127875409,82358.9596471036,39.73129448655039,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,176.8817032399156,28.323812323687555,15.20691467210699,0.0,0.0,54.83321795922422,0.0,0.0,0.0,0.0,0.0,513.9943482768379,785.2972372139642,237.35784540019927,68.04674617418429,0.0,0.0,0.0,1261.5542212237124,0.0
2001,0.3800534502060597,32.030319080912314,0.0,0.0,43.92126208427575,30.227673426580502,82351.06807384161,39.73129448655039,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,177.73730567840977,28.323812323687555,15.206737468130866,0.0,0.0,54.83321795922422,0.0,0.0,0.0,0.0,0.0,514.1846250366422,784.4420894272416,238.11906476124,70.70894100560099,0.0,0.0,0.0,1264.594799979604,0.0
2002,0.3800534502060597,31.935223510409887,0.0,0.0,44.11144017581103,30.798493061873312,82352.20635318432,39.73129448655039,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,181.44457762899367,27.563341958917867,13.7810877430249,0.0,0.0,54.83321795922422,0.0,0.0,0.0,0.0,0.0,514.1846250366422,785.5818077360118,236.97835168075557,71.46960820747533,0.0,0.0,0.0,1260.5097941896975,0.0
2003,0.6650813248060916,32.50577542197498,0.0,0.0,46.0131746325194,31.463713782795615,82343.08119663184,39.82629426259948,0.0,0.0,0.0,0.0,0.0,0.2849062477040917,0.0,0.0,0.0,182.11007589045852,27.563341958917867,13.590905897144106,0.0,0.0,55.30843164878259,0.0,0.0,0.0,0.0,0.0,514.1846250366422,782.3510957952765,237.83362401832414,72.42015531905153,0.0,0.0,0.0,1266.5917783887724,0.0
2004,0.8550546026853747,54.277014493873914,0.0,0.0,103.05452809669771,61.61022718343361,81943.98027273719,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.4752708210929866,0.0,0.0,0.0,311.8688276760309,30.70000892344097,15.681934946509823,0.0,0.0,63.197532080244855,0.0,0.0,0.0,0.0,0.0,527.0307245833997,721.6021319465236,334.1993434732431,111.48046747943744,0.0,0.0,0.0,1327.0975449844577,0.0
2005,0.8550546026853747,54.08688722600889,0.0,0.0,102.10383720691843,61.32509302363772,81947.87675572772,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.4752708210929866,0.0,0.0,0.0,312.05882289219386,30.604945289508457,14.921606255239974,0.0,0.0,63.197532080244855,0.0,0.0,0.0,0.0,0.0,527.0307245833997,722.362331727125,334.1046310619282,114.0470798921166,0.0,0.0,0.0,1322.060311638426,0.0
2006,0.8550546026853747,53.896819163152884,0.0,0.0,101.91366950090287,61.134913915454376,81947.87672000841,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.4752708210929866,0.0,0.0,0.0,313.29416137753947,30.41487722665245,14.066094948681764,0.0,0.0,63.197532080244855,0.0,0.0,0.0,0.0,0.0,527.0307245833997,724.8334566003579,333.6296940327396,115.9485344779486,0.0,0.0,0.0,1318.5433606889842,0.0
2007,0.8550546026853747,53.896819163152884,0.0,0.0,101.91366950090287,60.94485126897476,81945.9758772378,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.4752708210929866,0.0,0.0,0.0,313.1041204321329,30.41487722665245,13.780871614021189,0.0,0.0,63.197532080244855,0.0,0.0,0.0,0.0,0.0,527.0307245833997,725.1186234660582,333.53460057475905,117.37428567362942,0.0,0.0,0.0,1319.4937057827685,0.0
2008,0.8550546026853747,53.896819163152884,0.0,0.0,101.81858544983069,60.65957712542658,81945.78639686684,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.855187614171628,0.0,0.0,0.0,312.91394174511004,30.41487722665245,13.685781668561722,0.0,0.0,63.197532080244855,0.0,0.0,0.0,0.0,0.0,527.0307245833997,728.537907182436,334.20034766721767,118.03991250073211,0.0,0.0,0.0,1315.2182385517967,0.0
2009,0.8550546026853747,53.896819163152884,0.0,0.0,101.723501004262,60.65957712542658,81944.74123776489,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.855187614171628,0.0,0.0,0.0,312.91390827653646,30.31981684811254,13.59078718572998,0.0,0.0,63.197532080244855,0.0,0.0,0.0,0.0,0.0,527.0307245833997,728.0627261082105,335.2462826034166,118.80040381721038,0.0,0.0,0.0,1315.2173252508073,0.0
2010,0.8550546026853747,53.896819163152884,0.0,0.0,101.723501004262,60.65957712542658,81944.45615181595,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.855187614171628,0.0,0.0,0.0,312.5336404433923,30.31981684811254,13.59078718572998,0.0,0.0,63.197532080244855,0.0,0.0,0.0,0.0,0.0,527.0307245833997,728.3476761644005,335.1512374672173,119.65588520621206,0.0,0.0,0.0,1314.8372927239018,0.0
2011,0.8550546026853747,53.896819163152884,0.0,0.0,101.62841458942756,60.65957712542658,81943.9808794398,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.855187614171628,0.0,0.0,0.0,312.5336404433923,30.31981684811254,13.495743298779466,0.0,0.0,63.197532080244855,0.0,0.0,0.0,0.0,0.0,527.0307245833997,729.1074316632368,335.7217033123783,120.22627146726481,0.0,0.0,0.0,1313.602087796796,0.0
2012,0.8550546026853747,54.1819806373579,0.0,0.0,101.62838439666012,60.65957712542658,81943.03034984635,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.855187614171628,0.0,0.0,0.0,311.9633244910353,30.985186210720695,13.400700663088234,0.0,0.0,63.76779586696999,0.0,0.0,0.0,0.0,0.0,527.0307245833997,729.5822204146172,335.6267122384245,120.51150626981253,0.0,0.0,0.0,1313.0321790675423,0.0
2013,0.8550546026853747,54.1819806373579,0.0,0.0,101.62838439666012,60.65957712542658,81941.41496401839,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.855187614171628,0.0,0.0,0.0,311.3935015362559,30.985186210720695,13.115699535847748,0.0,0.0,63.76779586696999,0.0,0.0,0.0,0.0,0.0,527.0307245833997,734.2361661445249,335.2469318646118,120.89169260439472,0.0,0.0,0.0,1310.8480372868548,0.0
2014,0.8550546026853747,54.1819806373579,0.0,0.0,101.62838439666012,60.56453240539632,81941.3198027187,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.855187614171628,0.0,0.0,0.0,311.2984174851837,30.985186210720695,13.020704168567631,0.0,0.0,64.14782300154019,0.0,0.0,0.0,0.0,0.0,527.0307245833997,734.1411541426565,334.8669047300416,121.36699004431546,0.0,0.0,0.0,1310.8480372868548,0.0
2015,0.8550546026853747,54.1819806373579,0.0,0.0,101.62838439666012,60.56453240539632,81941.3198027187,38.68329222934546,0.0,0.0,0.0,0.0,0.0,0.855187614171628,0.0,0.0,0.0,311.2984174851837,30.985186210720695,13.020704168567631,0.0,0.0,64.14782300154019,0.0,0.0,0.0,0.0,0.0,527.0307245833997,734.1411541426565,334.8669047300416,121.36699004431546,0.0,0.0,0.0,1310.8480372868548,0.0
