year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,2685.8968427860013,2527.1000817953013,0.0,0.0,4165.1775522753205,2094.6960609376656,229225.6132390287,88.41679523069973,0.0,6105.9879658341715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2384.6589276210766,668.9833092262431,3710.267286079392,0.0,0.0,3289.312399801649,0.0,0.5725780937213184,0.0,0.0,0.0,237.0813363386707,2644.4302834522737,292.49664915487926,88.25473158310129,0.0,0.0,0.0,10546.704708245907,0.0
1993,2685.6106516741797,2527.1000817953013,0.0,0.0,4165.082123079028,2094.5052021070132,229225.51780918866,88.41679523069973,0.0,6105.7016782468645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2384.6589276210766,668.9833092262431,3709.217561980657,0.0,0.0,3289.0261116529064,0.0,0.5725780937213184,0.0,0.0,0.0,237.0813363386707,2644.4302834522737,292.49664915487926,90.54494039669997,0.0,0.0,0.0,10546.704708245907,0.0
1994,2685.133748466125,2527.1000817953013,0.0,0.0,4164.986696162563,2094.3143433425307,229225.42237937867,88.41679523069973,0.0,6105.510820134213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2384.6589276210766,668.9833092262431,3708.4541254441065,0.0,0.0,3288.5489643702513,0.0,0.5725780937213184,0.0,0.0,0.0,237.0813363386707,2644.4302834522737,292.49664915487926,92.83500102755208,0.0,0.0,0.0,10546.704708245907,0.0
1995,2712.1182937759036,2535.3962115546356,0.0,0.0,4182.7216163864505,2030.7745575538502,229181.31182396194,88.41679523069973,0.0,6080.808282835185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.6854830583598,677.0907528501782,3759.4615907953744,0.0,0.0,3299.8043257427576,0.0,0.5725780937213184,0.0,0.0,0.0,237.0813363386707,2642.5220609508046,288.58765111919763,94.55252432438066,0.0,0.0,0.0,10543.744862912834,0.0
1996,2717.2689554793674,2537.972726404061,0.0,0.0,4187.300303343295,2047.5711097554972,229130.65732885344,88.41679523069973,0.0,6057.341555473028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2408.9849593841845,677.3769548664903,3764.705964435772,0.0,0.0,3302.7621474902558,0.0,0.5725780937213184,0.0,0.0,0.0,237.0813363386707,2557.8026076775923,260.64808864581767,95.888151096089,0.0,0.0,0.0,10683.299184916792,0.0
1997,2724.9928452188765,2555.0471564151476,0.0,0.0,4203.991940163639,2090.503969306469,228996.8542458443,89.37105797903483,0.0,5998.199349233679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2429.3991962994687,677.5677090639964,3791.01753726339,0.0,0.0,3302.189688629901,0.0,0.5725780937213184,0.0,0.0,0.0,237.0813363386707,2508.0960669401843,218.71163845582,97.60527870820235,0.0,0.0,0.0,10834.449153530251,0.0
1998,2837.1323889601704,2610.5455110859098,0.0,0.0,4349.696060894938,2225.5678819091986,228483.53964167731,89.08476274872451,0.0,5865.518427129719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.366996800874,679.2848745471575,3916.027083090569,0.0,0.0,3310.4910603663916,0.0,0.5725780937213184,0.0,0.0,0.0,237.0813363386707,2476.132570191415,199.2669227756056,100.75316058432328,0.0,0.0,0.0,10905.589490290207,0.0
1999,2919.8228799382387,2739.3214490425316,0.0,0.0,4607.519866135774,2320.0995469149034,227894.3671347118,91.94548582684449,0.0,5788.542414363722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499.697080493923,679.0945135033905,3980.2947993743473,0.0,0.0,3311.63702447572,0.0,0.5725780937213184,0.0,0.0,0.0,236.89050547774542,2469.4546948989937,196.7886757308374,102.66121548434576,0.0,0.0,0.0,10916.94088301804,0.0
2000,2961.3212428161332,2866.20797982719,0.0,0.0,4757.488633266968,2377.641415043108,227511.05182119142,93.75711229704848,0.0,5733.495089576148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2529.455584890144,678.5223594145745,4000.9868214992466,0.0,0.0,3304.770259556736,0.0,0.5725780937213184,0.0,0.0,0.0,236.89050547774542,2460.77190224607,196.31220297811242,105.33251636665756,0.0,0.0,0.0,10941.07272294403,0.0
2001,2986.983601779065,2923.257644658233,0.0,0.0,4839.9114005870215,2307.255931234462,227401.6163400044,63.24302266277404,0.0,5707.556911128161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2548.1495333339667,688.7272210892637,4026.5294690079936,0.0,0.0,3308.2983608483423,0.0,0.09542968752058073,0.0,0.0,0.0,236.89050547774542,2461.2484484528773,196.21686590825874,122.5098119328527,0.0,0.0,0.0,10937.160249692031,0.0
2002,3003.292127398445,2976.6798687489877,0.0,0.0,4903.3464138786685,2238.01965104189,227315.46830105223,50.375226966109935,0.0,5699.827362778177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.214731515585,688.25052829696,4057.418528083011,0.0,0.0,3307.821665258879,0.0,0.09542968752058073,0.0,0.0,0.0,236.89050547774542,2464.4917945195125,192.4971737044136,135.29682350377576,0.0,0.0,0.0,10924.66461557293,0.0
2003,3014.647647036779,3012.1683323012157,0.0,0.0,4950.953854142856,2169.4491657048843,227274.13209146482,46.46534339469358,0.0,5688.859546452007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2563.3126276515973,688.1550054850693,4071.149888915925,0.0,0.0,3308.584511772575,0.0,0.09542968752058073,0.0,0.0,0.0,236.98593050199403,2466.59125552467,192.4971737044136,151.9960220105662,0.0,0.0,0.0,10919.60692173326,0.0
2004,3026.671528607908,3058.340729289851,0.0,0.0,5030.616651368471,2054.645703943427,227224.65762405997,47.323630048759895,0.0,5696.2947587835515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.95412298944,686.533729811129,4074.1068642074656,0.0,0.0,3308.298944946128,0.0,0.09542968752058073,0.0,0.0,0.0,236.69967647611986,2465.6370129101747,189.6373080151133,156.3852050113035,0.0,0.0,0.0,10920.751827328573,0.0
2005,3026.289885122673,3072.2705961617335,0.0,0.0,5039.9678336197385,1947.8392744019714,227293.96941688622,46.56033957611684,0.0,5703.354275835421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580.4801027643875,686.6290917520705,4075.8227537253388,0.0,0.0,3308.0127183381205,0.0,0.09542968752058073,0.0,0.0,0.0,236.69967647611986,2466.4958816907447,189.82813435495777,162.1104731086869,0.0,0.0,0.0,10919.224863982983,0.0
2006,3024.4774923687464,3077.2330294208514,0.0,0.0,5035.681398258886,1878.1316199954301,227347.3588349246,47.60934519462345,0.0,5712.79546135072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.482614671059,686.7243943740965,4076.8723626905353,0.0,0.0,3307.9172878195473,0.0,0.09542968752058073,0.0,0.0,0.0,236.69967647611986,2469.071436251462,190.01874008016208,166.21357507391383,0.0,0.0,0.0,10916.268048846681,0.0
2007,3019.5189533629855,3085.8229011030962,0.0,0.0,5029.293817744841,1804.2086384899462,227385.59625091718,46.75058850182397,0.0,5739.69635156504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2589.8262517028857,686.9151212490933,4078.875270570086,0.0,0.0,3307.821922382489,0.0,0.09542968752058073,0.0,0.0,0.0,236.69967647611986,2481.380505770565,190.11412343845907,169.45765893946793,0.0,0.0,0.0,10903.577285583398,0.0
2008,3016.46980482611,3073.725909175346,0.0,0.0,5021.399296568298,1722.8787795857038,227433.88754858356,52.854467046306326,0.0,5774.885615456384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.6998937779367,686.3428244273554,4080.8788553633653,0.0,0.0,3306.0097954065027,0.0,0.09542968752058073,0.0,0.0,0.0,236.69967647611986,2483.766017293364,190.01898639342494,172.60636097147437,0.0,0.0,0.0,10902.431486445996,0.0
