year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,22749.318419662388,126717.40089782306,2151.4334477699877,0.0,17152.233047673613,5538.535192523263,0.0,24832.40320457804,1.8971722202500918,0.0,53964.16547675809,0.0,0.0,26.753191053925296,0.0,0.0,16794.636108376748,15233.260970086581,830.7993851241279,0.0,0.0,0.0,46722.48116761683,0.0,293.53448886861577,0.0,0.0,0.0,0.0,0.0,1170.9409079424063,13216.811856841843,56.06052933973117,21.71898280883078,7.042097191241684,8745.625789068874,0.0
1993,22722.80569531188,126534.31877887055,2148.1927677634026,0.0,17141.860256343793,5495.609185670265,0.0,24821.69988395521,1.8971722202500918,0.0,53938.74291819704,0.0,0.0,26.753191053925296,0.0,0.0,16791.091033987817,15226.377477027323,830.7993851241279,0.0,0.0,0.0,46703.08023695969,0.0,291.80171758842397,0.0,0.0,0.0,0.0,0.0,1170.8272321107147,13552.241507767887,56.06052933973117,21.65838607190559,7.042097191241684,8744.192880773251,0.0
1994,22696.95100862008,126316.46443844905,2144.0773463633295,0.0,17131.583741165327,5455.81770179759,0.0,24811.351065659437,1.8971722202500918,0.0,53913.52159514649,0.0,0.0,26.753191053925296,0.0,0.0,16786.55424450255,15218.884890144343,830.7993851241279,0.0,0.0,0.0,46678.818157062204,0.0,289.57639080219747,0.0,0.0,0.0,0.0,0.0,1170.5414731708065,13925.346458813268,56.06052933973117,21.65838607190559,7.042097191241684,8743.353060630583,0.0
1995,22277.023501726937,126901.88610636634,2144.1322311553918,0.0,16946.929422522957,4510.884511167204,0.0,24780.21286584128,1.960512886372257,0.0,53796.974849928694,0.0,0.0,26.879043176238117,0.0,0.0,17150.865453881514,15416.538738813471,841.8956164003876,0.0,0.0,0.0,46845.089699243545,0.0,285.52990081852823,0.0,0.0,0.0,0.0,0.0,1172.755260831636,14318.473455922234,53.68722656531158,21.662150011605213,7.042097191241684,8726.629688877607,0.0
1996,21946.730890559236,126755.67120871684,2140.8861741187384,0.0,16676.20032022679,4097.130496402689,0.0,24896.54930961716,1.960512886372257,0.0,54272.24904114264,0.0,0.0,26.879043176238117,0.0,0.0,17349.226975748777,15464.34845781422,843.32388499115,0.0,0.0,0.0,46778.39578110833,0.0,285.5255869355368,0.0,0.0,0.0,0.0,0.0,1174.6451273966238,14704.213660753701,53.213057374539076,21.46885610786409,7.042097191241684,8731.391851059854,0.0
1997,21857.259146594657,126636.38305094368,2136.7731274877906,0.0,16511.661550116354,3710.982831543783,0.0,24994.55868691174,2.1514742026481852,0.0,54317.30587470633,0.0,0.0,26.879043176238117,0.0,0.0,17505.450680606886,15535.376173825125,848.0051288580961,0.0,0.0,0.0,46780.6999527338,0.0,276.71896255941294,0.0,0.0,0.0,0.0,0.0,1173.8719386179514,15098.897523339607,52.46154070313369,21.46885610786409,7.1608438119371245,8732.985946481453,0.0
1998,21830.533215016094,126452.78145718049,2132.404301218262,0.0,16418.507151792888,3644.2899691909693,0.0,24967.780636149895,2.1514742026481852,0.0,54127.53649992123,0.0,0.0,26.879043176238117,0.0,0.0,17544.751695676743,15591.730414376716,851.3054432192964,0.0,0.0,0.0,46820.682133783106,0.0,274.5778865284461,0.0,0.0,0.0,0.0,0.0,1174.5475833659425,15553.903171531783,52.22363475971119,21.46885610786409,7.1608438119371245,8731.836922318216,0.0
1999,21415.111026139853,126623.87599715508,2135.908829101883,0.0,15791.792942129456,3165.1818165511286,0.0,25340.826890751578,2.214481963668499,0.0,53883.80865197804,0.0,0.0,26.91073205597957,0.0,0.0,17869.425752584983,15885.308617389803,867.945956350268,0.0,0.0,0.0,46935.188604048926,0.0,253.76064670431697,0.0,0.0,0.0,0.0,0.0,1170.8735416718116,16051.955294131338,50.4592274028209,21.663545352807127,7.398362410412007,8727.441417454393,0.0
2000,21253.696743752393,126379.81631502022,2138.0415273865146,0.0,15671.41013365723,3076.7610575473573,0.0,25390.94032623874,2.214481963668499,0.0,53646.010977832564,0.0,0.0,26.846363348260653,0.0,0.0,17901.115255814075,16023.360305922468,877.7997080538262,0.0,0.0,0.0,47059.304063767726,0.0,252.36632170826644,0.0,0.0,0.0,0.0,0.0,1170.3737699631333,16538.585053804505,51.052456874636064,21.994501351108013,7.398362410412007,8737.964606911282,0.0
2001,21068.135088208077,125805.15262976447,2129.870428592622,0.0,15619.844221636138,2803.314895878621,0.0,25250.207558098624,2.3351098182147383,0.0,53372.37113748925,0.0,0.0,26.731023258035925,0.0,0.0,17894.93670530032,16093.370634359431,886.4460642619036,0.0,0.0,0.0,47066.90163236327,0.0,241.56565691446283,0.0,0.0,0.0,0.0,0.0,1171.3440153563909,17976.527746820342,50.92520899744193,21.994501351108013,7.342207240186526,8737.73586761941,0.0
2002,20882.453969149123,124662.26984202757,2116.6066299266627,0.0,15577.720090051413,2626.750289904512,0.0,25222.15608023485,2.3351098182147383,0.0,53200.207415643985,0.0,0.0,26.615964739820946,0.0,0.0,17886.344164519967,16129.273973556448,889.2476104545641,0.0,0.0,0.0,46970.27158737114,0.0,226.4689728299989,0.0,0.0,0.0,0.0,0.0,1170.268760186372,19830.742292071478,50.75807426185179,21.934914571960658,7.3454615964327825,8727.281130411884,0.0
2003,20705.99506009742,123368.06989764706,2102.3628633051026,0.0,15522.573366578124,2501.320670973519,0.0,25243.569279016967,2.3351098182147383,0.0,53065.36547218871,0.0,0.0,26.55918668924693,0.0,0.0,17887.072116512747,16156.119093563531,890.1524242329873,0.0,0.0,0.0,46825.231503167764,0.0,224.33210708479587,0.0,0.0,0.0,0.0,0.0,1170.2194865120214,21730.609014772996,50.63963214652735,21.81450915816098,7.408313805589774,8725.303226056785,0.0
2004,20484.863535411427,121937.90258632666,2094.1334698909905,0.0,15447.758156474125,2394.922081735691,0.0,25264.823661314425,2.3351098182147383,0.0,52849.35989219267,0.0,0.0,26.38782739426182,0.0,0.0,17888.95051848008,16263.90413815394,896.5105836580132,0.0,0.0,0.0,46649.51975667878,0.0,217.05804801770142,0.0,0.0,0.0,0.0,0.0,1172.8281895568027,23834.490910462813,49.979011525706326,21.69618370482092,7.408313805589774,8722.220358725737,0.0
2005,20492.214942876668,121960.79780413714,2094.705860771897,0.0,15458.53199836188,2375.957559726667,0.0,25223.510506636005,2.3351098182147383,0.0,52750.196974157334,0.0,0.0,26.38782739426182,0.0,0.0,17882.492749103214,16324.50082431149,898.6453468441324,0.0,0.0,0.0,46674.073317235336,0.0,208.75586100109035,0.0,0.0,0.0,0.0,0.0,1172.9387368004736,23877.948926355653,50.18568823298057,21.918482479292607,7.408313805589774,8723.545503279129,0.0
2006,20499.57077613239,121974.57695786127,2095.229309384674,0.0,15462.878810061164,2372.8848351897445,0.0,25140.471430374084,2.3351098182147383,0.0,52611.794697145,0.0,0.0,26.38782739426182,0.0,0.0,17874.558367214333,16443.849861069706,906.8273715603392,0.0,0.0,0.0,46722.871577679936,0.0,207.44362488790964,0.0,0.0,0.0,0.0,0.0,1173.9469812074663,23909.636160129518,50.18568823298057,21.918482479292607,7.408313805589774,8722.276151700473,0.0
2007,20514.58651677722,122020.87189102596,2102.3280242512847,0.0,15485.73893328697,2373.2722220346986,0.0,24982.813915283754,2.2076792784220554,0.0,52287.147177590974,0.0,0.0,26.19511099801523,0.0,0.0,17839.39080285841,16760.614897021893,917.7598896068537,0.0,0.0,0.0,46787.40678644172,0.0,201.5395865933726,0.0,0.0,0.0,0.0,0.0,1179.495022181183,23942.142155672573,49.71025303800107,21.918482479292607,7.408313805589774,8724.50467310228,0.0
2008,20494.31041552469,122022.89745964538,2102.9061289843603,0.0,15498.96989491654,2348.8584130808063,0.0,24908.508833309173,2.2076792784220554,0.0,51940.03775504974,0.0,0.0,26.19511099801523,0.0,0.0,17812.771690636462,17039.96804360462,926.2737771479301,0.0,0.0,0.0,46831.17049888286,0.0,198.42196899570018,0.0,0.0,0.0,0.0,0.0,1181.7314022229446,24087.369034623873,50.432907405005395,21.910370467394543,7.408313805589774,8724.702634748895,0.0
2009,20461.043144300053,122041.16135763303,2103.7546927939084,0.0,15489.89339862235,2313.0426325855683,0.0,24864.094092348012,2.2076792784220554,0.0,51856.900081162916,0.0,0.0,26.25264856520514,0.0,0.0,17806.530181160168,17189.388974818794,929.3073047470833,0.0,0.0,0.0,46858.163135984425,0.0,195.88447171623648,0.0,0.0,0.0,0.0,0.0,1184.975608733252,24099.488874803017,50.373270046792555,21.910370467394543,7.408313805589774,8725.272099756216,0.0
