year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.284337802585,6128.25682754839,8406.245173052883,0.0,14.671384125521989,26494.08830292308,25907.63833382546,249625.49729497332,0.0,0.0,0.0,0.0,0.0,1025.258722954223,0.16152094705956913,6105.756552961799,67.56294094860775,0.0,120003.77985421059,1745102.5535298404
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.284337802585,6128.25682754839,8406.245173052883,0.0,14.671384125521989,26494.08830292308,25907.63833382546,249625.45090128446,0.0,0.0,0.0,0.0,0.0,1025.258722954223,0.2079146359020559,6105.756552961799,67.56294094860775,0.0,120003.77985421059,1745102.5535298404
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.284337802585,6128.25682754839,8406.245173052883,0.0,14.671384125521989,26494.08830292308,25907.63833382546,249625.40450355352,0.0,0.0,0.0,0.0,0.0,1025.258722954223,0.2543123668460233,6105.756552961799,67.56294094860775,0.0,120003.77985421059,1745102.5535298404
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.284337802585,6128.25682754839,8406.245173052883,0.0,14.671384125521989,26494.08830292308,25907.63833382546,249625.40450355352,0.0,0.0,0.0,0.0,0.0,1025.258722954223,0.2543123668460233,6105.756552961799,67.56294094860775,0.0,120003.77985421059,1745102.5535298404
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.284337802585,6128.25682754839,8406.245173052883,0.0,14.671384125521989,26494.08830292308,25907.63833382546,249625.40450355352,0.0,0.0,0.0,0.0,0.0,1025.258722954223,0.2543123668460233,6105.756552961799,67.56294094860775,0.0,120003.77985421059,1745102.5535298404
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.284337802585,6128.25682754839,8406.245173052883,0.0,14.671384125521989,26494.08830292308,25907.63833382546,249625.40450355352,0.0,0.0,0.0,0.0,0.0,1025.258722954223,0.2543123668460233,6105.756552961799,67.56294094860775,0.0,120003.77985421059,1745102.5535298404
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.284337802585,6128.25682754839,8406.245173052883,0.0,14.671384125521989,26494.08830292308,25907.63833382546,249625.40450355352,0.0,0.0,0.0,0.0,0.0,1025.258722954223,0.2543123668460233,6105.756552961799,67.56294094860775,0.0,120003.77985421059,1745102.5535298404
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.284337802585,6128.25682754839,8406.19877532194,0.0,14.671384125521989,26494.08830292308,25907.63833382546,249625.40450355352,0.0,0.0,0.0,0.0,0.0,1025.258722954223,0.3007100977899908,6105.756552961799,67.56294094860775,0.0,120003.77985421059,1745102.5535298404
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.284337802585,6128.25682754839,8406.19877532194,0.0,14.671384125521989,26494.08830292308,25907.63833382546,249625.35811795478,0.0,0.0,0.0,0.0,0.0,1025.258722954223,0.34709569654983663,6105.756552961799,67.56294094860775,0.0,120003.77985421059,1745102.5535298404
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.284337802585,6128.25682754839,8406.19877532194,0.0,14.671384125521989,26494.08830292308,25907.63833382546,249625.35811795478,0.0,0.0,0.0,0.0,0.0,1025.258722954223,0.34709569654983663,6105.756552961799,67.56294094860775,0.0,120003.77985421059,1745102.5535298404
