year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1863.3841639528302,431.7469275640472,8.046023751662693,0.0,1585.3028242592638,1503.168901366893,2464.300450437928,22.740644077710968,0.0,0.0,5.6180831988801,0.0,0.0,0.0,0.0,0.0,986.9500521898251,94.96118240289795,41.49883460547229,2.8081925774270315,0.0,0.0,13334.349624298771,0.0,58.82460139142577,0.0,0.0,0.0,54.07155065396166,121.96805485516995,2822.4532099459116,171.946726782868,0.09047013057510667,0.0,0.0,3057.6552703380094,0.0
1993,1862.6609640126292,431.7469275640472,8.046023751662693,0.0,1585.121944457701,1503.0782012502175,2464.300450437928,22.740644077710968,0.0,0.0,5.6180831988801,0.0,0.0,0.0,0.0,0.0,986.9500521898251,94.96118240289795,41.49883460547229,2.8081925774270315,0.0,0.0,13334.168651671791,0.0,58.64413469449535,0.0,0.0,0.0,54.07155065396166,121.96805485516995,2820.7395516455217,175.0166042656092,0.09047013057510667,0.0,0.0,3057.6552703380094,0.0
1994,1862.3000764835106,431.5659918024437,8.046023751662693,0.0,1585.0314640258714,1502.8978925030642,2464.300450437928,22.740644077710968,0.0,0.0,5.6180831988801,0.0,0.0,0.0,0.0,0.0,986.8595658753775,94.96118240289795,41.49883460547229,2.8081925774270315,0.0,0.0,13334.078169768482,0.0,58.55415585308863,0.0,0.0,0.0,54.07155065396166,121.96805485516995,2819.2075763267308,177.811783244998,0.09047013057510667,0.0,0.0,3057.475626206279,0.0
1995,1858.317827396745,432.11023291479205,7.955472960122716,0.0,1585.7460161968431,1475.4163392388139,2422.476503217473,22.740644077710968,0.0,0.0,5.6180831988801,0.0,0.0,0.0,0.0,0.0,995.618184921377,94.96118240289795,41.49883460547229,2.8081925774270315,0.0,0.0,13382.97805183366,0.0,63.4374063300004,0.0,0.0,0.0,54.97574743876999,122.05859102940684,2826.7074973395315,180.25064420964523,0.09047013057510667,0.0,0.0,3056.1198667613894,0.0
1996,1857.8663545633472,432.8352546092288,7.865641520800501,0.0,1584.7533424874237,1452.8944907873931,2419.836574494651,22.740644077710968,0.0,0.0,5.6180831988801,0.0,0.0,0.0,0.0,0.0,998.148193961172,95.05179871138078,41.679877665351675,2.8081925774270315,0.0,0.0,13404.614918027792,0.0,63.70890934225807,0.0,0.0,0.0,54.97574743876999,122.68667644504482,2825.897797997705,181.69295398323362,0.0,0.0,0.0,3056.2103368919647,0.0
1997,1856.510230964876,433.37810350289936,7.594030073316617,0.0,1583.123468883976,1427.9319390032676,2425.2614030639625,23.01220866229705,0.0,0.0,5.6180831988801,0.0,0.0,0.0,0.0,0.0,999.1362218497611,96.13829859495168,41.679877665351675,2.8081925774270315,0.0,0.0,13411.043821479014,0.0,64.52264888870711,0.0,0.0,0.0,57.41159927467946,123.76560841578785,2832.880761108784,184.4893730342855,0.0,0.0,0.0,3055.579918539311,0.0
1998,1859.1355116944467,434.46501934800295,7.413664021115009,0.0,1584.5716014340771,1408.7120883307482,2399.5594067037614,23.736473126084487,0.0,0.0,5.6180831988801,0.0,0.0,0.0,0.0,0.0,1003.830023322766,96.95322496657296,41.77043575806386,2.8081925774270315,0.0,0.0,13415.749032483249,0.0,64.43214348177654,0.0,0.0,0.0,58.134605041797826,124.03644381748566,2851.534596105695,187.28592533881914,0.0,0.0,0.0,3062.1393180307673,0.0
1999,1850.098315796708,435.1896913546302,7.323127846878114,0.0,1572.9891416850228,1278.29917908906,2514.0553912157134,25.541745548130983,0.0,0.0,5.6180831988801,0.0,0.0,0.0,0.0,0.0,1028.8772974480814,99.21721181011112,41.77043575806386,2.8081925774270315,0.0,0.0,13395.416625547352,0.0,64.43214348177654,0.0,0.0,0.0,74.82990723252382,127.27502516113992,2851.2388270129018,190.0855176349298,0.0,0.0,0.0,3066.8199293822013,0.0
2000,1848.747004486748,435.55244596763526,7.232979196720156,0.0,1577.6094171134596,1246.5640463368836,2529.903096865973,27.261079693074205,0.0,0.0,5.6180831988801,0.0,0.0,0.0,0.0,0.0,1026.319540616282,102.65659274901942,41.77043575806386,2.8081925774270315,0.0,0.0,13391.560132834249,0.0,66.14183504032522,0.0,0.0,0.0,78.08111753502426,128.35510663463774,2856.0013041808133,193.2448992304189,0.0,0.0,0.0,3066.4584787658946,0.0
2001,1841.7792853838703,436.09542121299773,7.232979196720156,0.0,1572.003308731507,1208.7523893905766,2551.23024343916,29.247454268106818,0.0,0.0,5.6180831988801,0.0,0.0,0.0,0.0,0.0,1027.3977486393628,104.19618988248924,43.845445866855705,2.8081925774270315,0.0,0.0,13402.08896488398,0.0,66.05186236745458,0.0,0.0,0.0,79.89004988310712,128.80793743258528,2849.851705710979,208.44083481985015,0.0,0.0,0.0,3066.5476918956215,0.0
