year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,18987.85630101881,41795.63283521745,1029.5681132374195,117.84355929874772,2869.12294688155,1364.2757623106302,0.0,13035.965550016452,5.4232069947069546,0.0,689.1009096434276,0.0,0.0,0.0,0.0,0.0,859.2067434821208,1220.6237085529976,3.580966636132927,0.0,0.0,0.0,6557.972453040534,0.0,19.286363311322038,0.0,0.0,0.0,0.0,0.0,529.1188244307618,1787.7705871478565,11.318269872078767,8.78637206595726,0.0,1369.5722358294015,0.0
1993,18982.11311773243,41763.04809619442,1028.5243230388348,117.84355929874772,2868.803276434112,1363.6958533454815,0.0,13033.45120628334,5.4232069947069546,0.0,688.3879830502029,0.0,0.0,0.0,0.0,0.0,859.0780062075414,1220.2372607199309,3.580966636132927,0.0,0.0,0.0,6557.195033199042,0.0,19.221507703541345,0.0,0.0,0.0,0.0,0.0,528.9225703569005,1833.2120248966107,11.318269872078767,8.78637206595726,0.0,1369.1830749583296,0.0
1994,18977.675377508393,41730.17239640868,1027.5423846926099,117.84355929874772,2868.673897230458,1363.2447198979937,0.0,13031.645785415696,5.4232069947069546,0.0,688.0629823734181,0.0,0.0,0.0,0.0,0.0,858.8199787194902,1220.1727793788107,3.580966636132927,0.0,0.0,0.0,6556.611023061022,0.0,19.15751564443188,0.0,0.0,0.0,0.0,0.0,528.7265994875798,1875.7097274698601,11.318269872078767,8.78637206595726,0.0,1368.85816683229,0.0
1995,18948.94483125112,41810.327789990086,1029.2679260871992,117.84355929874772,2841.6764600865677,945.5155062364382,0.0,13290.020076482937,5.4232069947069546,0.0,696.8992512589792,0.0,0.0,0.0,0.0,0.0,903.3618591992371,1245.4691072851042,3.580966636132927,0.0,0.0,0.0,6564.156074554759,0.0,19.028865086389033,0.0,0.0,0.0,0.0,0.0,525.8171786849892,1922.1318022996581,4.637630001713778,8.78637206595726,0.0,1379.1372454876068,0.0
1996,18941.535356372726,41781.8482049719,1029.4625457038612,117.84355929874772,2829.8578467034563,860.396625778754,0.0,13347.879919941386,5.4232069947069546,0.0,701.0194125534905,0.0,0.0,0.0,0.0,0.0,912.2691215916068,1251.8508975790762,4.2128873470093735,0.0,0.0,0.0,6566.324454079856,0.0,18.899293418307643,0.0,0.0,0.0,0.0,0.0,525.3130972405082,1966.3854044152445,1.6182833525133553,8.78637206595726,0.0,1391.0992195792214,0.0
1997,18946.014956790623,41774.76270722886,1029.0723810473123,117.84355929874772,2831.522313425357,822.757290208773,0.0,13325.063348489159,5.622249252190519,0.0,703.5790282832497,0.0,0.0,0.0,0.0,0.0,915.8610667632777,1254.9211101112674,4.2128873470093735,0.0,0.0,0.0,6572.170252062494,0.0,18.705334133809934,0.0,0.0,0.0,0.0,0.0,525.0520267196466,2012.2020316942546,1.6182833525133553,8.78637206595726,0.0,1392.2585107138511,0.0
1998,18934.307041900047,41730.20449458883,1028.0902327580743,117.84355929874772,2820.4183829260787,730.1920098539509,0.0,13405.265641076423,5.685513752747874,0.0,707.8073922264952,0.0,0.0,0.0,0.0,0.0,925.4731769348093,1263.641940335859,4.2128873470093735,0.0,0.0,0.0,6572.252862457105,0.0,18.5770482587078,0.0,0.0,0.0,0.0,0.0,524.5247523372751,2068.5251955208073,1.6182833525133553,8.78637206595726,0.0,1394.5989219969006,0.0
1999,18888.243702961638,41738.61974383063,1027.04518284434,117.84355929874772,2724.6355810466594,546.9357642358144,0.0,13541.82982924807,5.877180820373052,0.0,757.538773244727,0.0,0.0,0.0,0.0,0.0,952.4164943933608,1304.2769854136602,4.2128873470093735,0.0,0.0,0.0,6576.080781979138,0.0,18.44640076615189,0.0,0.0,0.0,0.0,0.0,523.6914166498206,2126.4546440819436,1.6182833525133553,8.78637206595726,0.0,1397.4721254077785,0.0
2000,18880.504364050576,41703.964296637794,1026.6522389901188,117.84355929874772,2716.9490205303873,480.3547021164672,0.0,13578.754698119696,6.003699422425838,0.0,760.5603789454577,0.0,0.0,0.0,0.0,0.0,958.3611962297873,1313.6875039545992,4.2128873470093735,0.0,0.0,0.0,6580.958666170281,0.0,18.31759590485692,0.0,0.0,0.0,0.0,0.0,522.7824983982184,2182.254417828122,1.6182833525133553,8.78637206595726,0.0,1399.4593296253156,0.0
2001,18830.18287689781,41530.08944936019,1023.9258602704346,117.84355929874772,2694.8269206037794,383.68836572635394,0.0,13671.600375447331,6.003699422425838,0.0,765.4663887763857,0.0,0.0,0.0,0.0,0.0,963.8210730636173,1331.8905805377037,3.580966636132927,0.0,0.0,0.0,6576.1213708837995,0.0,17.348866701612522,0.0,0.0,0.0,0.0,0.0,521.6344420046016,2412.831004618069,1.6182833525133553,8.78637206595726,0.0,1400.765253320892,0.0
