year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,59796.870662058565,50477.872843656885,35088.52721751958,1051.9710510061575,228626.51106731154,192484.5281682418,970900.0047711858,0.0,0.0,0.0,0.0,0.0,0.0,14.12486164034742,0.0,0.0,0.0,2934.459165584118,5481.872055164448,1420.5995118402336,1.145114061433743,0.0,396.5289675371597,0.0,13498.964652486611,0.0,0.0,0.0,105989.1054335304,31317.51349827215,0.0,8642.400790422214,0.0,0.0,0.0,119642.03497755925,0.0
1993,59660.05646083076,50389.188623450726,35086.915761358396,1042.8649275306468,228599.4924309226,192482.53746174573,970895.820714401,0.0,0.0,0.0,0.0,0.0,0.0,13.178156156205006,0.0,0.0,0.0,2934.459165584118,5481.872055164448,1419.3659316773446,1.145114061433743,0.0,396.5289675371597,0.0,13490.345931858428,0.0,0.0,0.0,105989.1054335304,31314.4751689166,0.0,8929.823596146407,0.0,0.0,0.0,119637.85890820653,0.0
1994,59534.25182492385,50306.49632770514,35085.115156796375,1034.9921614517962,228575.12136107348,192478.84069312748,970889.541508818,0.0,0.0,0.0,0.0,0.0,0.0,12.515460451753253,0.0,0.0,0.0,2934.459165584118,5481.7767638509,1418.0365272980607,1.145114061433743,0.0,396.5289675371597,0.0,13481.917825225464,0.0,0.0,0.0,105988.9146302169,31312.387212245732,0.0,9199.31442960264,0.0,0.0,0.0,119633.67967910855,0.0
1995,59795.26074329854,50867.17195238895,35587.908633074745,1030.8306477442159,227338.02131031136,195662.40434652084,966170.7308532603,0.0,0.0,0.0,0.0,0.0,0.0,11.568748556338228,0.0,0.0,0.0,2932.9005417244093,5494.258354467628,1383.2836362233174,1.145114061433743,0.0,396.5280616517502,0.0,13635.023564316889,0.0,0.0,0.0,106870.26166263317,31673.102932911657,0.0,9495.120775515623,0.0,0.0,0.0,119419.5129304179,0.0
1996,59768.448467578804,50925.77298831113,35675.867955069,1027.0422619863689,226337.8926903381,196265.12745462684,965734.1653501613,0.0,0.0,0.0,0.0,0.0,0.0,11.568748556338228,0.0,0.0,0.0,2937.527384480219,5494.078723737488,1365.712061854109,1.145114061433743,0.0,396.5280616517502,0.0,13653.28147496766,0.0,0.0,0.0,107129.15573335491,31757.209033899795,0.0,9771.169895690287,0.0,0.0,0.0,119513.3414087536,0.0
1997,59882.8339854352,51119.01993458455,35894.23838023974,1023.6299490382405,226505.6568122216,197526.7384595936,963085.0584975265,0.0,0.0,0.0,0.0,0.0,0.0,11.47407474488521,0.0,0.0,0.0,2936.9442288020973,5508.453633923798,1338.8695852605822,1.145114061433743,0.0,396.43355180018494,0.0,13743.94276824105,0.0,0.0,0.0,107296.10111098994,31865.582731480026,0.0,10019.122950547982,0.0,0.0,0.0,119609.78904058831,0.0
1998,60024.78371224878,51228.07999742035,36142.122534496826,1021.5446976984991,228422.37114747532,200518.33193342332,957143.7991110883,0.0,0.0,0.0,0.0,0.0,0.0,11.284790039260841,0.0,0.0,0.0,2934.4660433907993,5512.2093366379395,1330.963694826533,1.145114061433743,0.0,394.91322228918034,0.0,13840.196542115009,0.0,0.0,0.0,107390.42469503562,31910.567346474498,0.0,10274.784540092576,0.0,0.0,0.0,119663.04635026533,0.0
1999,60076.47476370087,51332.80429020799,36346.076743051155,1021.5540426013406,228505.465413541,202337.36793395586,954251.1479634513,0.0,0.0,0.0,0.0,0.0,0.0,11.379158887477532,0.0,0.0,0.0,2941.0394775644236,5519.92327182791,1346.8540324953765,1.145114061433743,0.0,396.5364565894122,0.0,13928.647213558277,0.0,0.0,0.0,107539.75442133739,31959.81623733771,0.0,10489.566684689895,0.0,0.0,0.0,119759.48159022148,0.0
2000,59876.6531404466,51322.7874526996,36384.73840430815,1018.8957576043714,227184.50469700905,202886.68199280798,954715.570419272,0.0,0.0,0.0,0.0,0.0,0.0,11.378446749338083,0.0,0.0,0.0,2958.7891406090284,5546.497773932153,1346.5512962692187,1.145114061433743,0.0,400.1636434681468,0.0,13949.922559055572,0.0,0.0,0.0,107619.56588272016,31980.61875208761,0.0,10741.128754725754,0.0,0.0,0.0,119819.44158125343,0.0
2001,59714.7958545269,51317.750182279044,36525.13233969924,1002.9623837080139,224595.6591139965,203138.04416134488,956283.4522853111,0.0,0.0,0.0,0.0,0.0,0.0,11.378446749338083,0.0,0.0,0.0,2960.9855492804595,5541.866945663048,1252.6954515868847,0.9542687308793691,0.0,398.541147213373,0.0,13992.693694204849,0.0,0.0,0.0,107954.0068245453,31931.88782693854,0.0,11201.225731338905,0.0,0.0,0.0,119941.00260196274,0.0
2002,59762.770997623214,51403.83446778279,36753.63112848797,1001.2699693168449,224573.0260084493,203930.45746421188,954855.7212126302,0.0,0.0,0.0,0.0,0.0,0.0,11.853931688692693,0.0,0.0,0.0,2974.0174293647365,5543.163479439995,1210.2243982044233,0.9542687308793691,0.0,392.14291529025405,0.0,14045.091809351325,0.0,0.0,0.0,108049.82593329085,31943.656132996482,0.0,11381.732871108277,0.0,0.0,0.0,119931.66039111199,0.0
2003,59987.35962717784,51544.266582843586,36961.94977133975,998.4235744129046,224814.43029055078,205430.30844446813,952378.2295483898,0.0,0.0,0.0,0.0,0.0,0.0,11.853931688692693,0.0,0.0,0.0,3007.376031948488,5525.883807914423,1156.0157047638152,0.9542687308793691,0.0,391.57722190949534,0.0,14146.424397770832,0.0,0.0,0.0,108076.50336193938,31965.225922346493,0.0,11474.650580374942,0.0,0.0,0.0,119893.60174050822,0.0
2004,60199.95453628769,51706.76168951416,37064.11725118056,1001.5624955301167,224447.86078698942,206521.68523083688,951002.9304042328,0.0,0.0,0.0,0.0,0.0,0.0,11.948672625281954,0.0,0.0,0.0,3026.1919898134015,5534.124015436564,1003.6291078045824,0.9542687308793691,0.0,391.57722190949534,0.0,14258.096105303342,0.0,0.0,0.0,108175.84947832041,32016.45297428153,0.0,11541.857940611137,0.0,0.0,0.0,119859.48063967095,0.0
2005,60448.32152234857,51865.10135889734,37276.955831797655,998.899368630939,225831.54030168202,208417.65279157725,946829.4637032081,0.0,0.0,0.0,0.0,0.0,0.0,14.238783066354813,0.0,0.0,0.0,3048.316970205237,5524.785191277545,885.8205504378649,0.9542687308793691,0.0,391.6725119652843,0.0,14396.81540771013,0.0,0.0,0.0,108162.30955344654,32035.58820880043,0.0,11793.709031314276,0.0,0.0,0.0,119842.88945398197,0.0
2006,60693.791192326746,52130.29884485329,37572.129312778896,1007.9210310617267,227452.79073223975,210134.5623061923,942377.9710149425,0.0,0.0,0.0,0.0,0.0,0.0,14.618965841242028,0.0,0.0,0.0,3074.061102036505,5541.430515198559,863.7552277179662,0.9542687308793691,0.0,391.5774470621947,0.0,14519.61424195681,0.0,0.0,0.0,108096.10640308398,32075.96317804431,0.0,12037.764939727977,0.0,0.0,0.0,119779.72408528393,0.0
2007,60835.59046383926,52568.7529599693,37876.61688461738,1019.2419479968316,229422.6603771456,213129.96832283158,936196.505453513,0.0,0.0,0.0,0.0,0.0,0.0,14.904755397509586,0.0,0.0,0.0,3100.036177515648,5550.315672579839,846.9428171416342,0.9542687308793691,0.0,392.0500457839047,0.0,14730.916902230512,0.0,0.0,0.0,107923.91195574902,32205.891740851133,0.0,12246.153195868606,0.0,0.0,0.0,119703.62086731783,0.0
2008,60925.63916981292,53012.97038149847,38174.65281229209,1038.5122461582985,230101.624674404,215459.05957754503,932024.4326488622,0.0,0.0,0.0,0.0,0.0,0.0,15.379440774103664,0.0,0.0,0.0,3153.4974075891,5580.198705801499,843.2972530920066,0.9542687308793691,0.0,391.19351308514103,0.0,14895.770054131546,0.0,0.0,0.0,107777.4088457349,32321.595743920003,0.0,12438.046441329156,0.0,0.0,0.0,119610.80162431637,0.0
2009,60871.95470426913,53419.30085920599,38347.86174261352,1038.430176839065,228339.71810248485,215890.05090729563,932388.6182071312,0.0,0.0,0.0,0.0,0.0,0.0,15.474494187411786,0.0,0.0,0.0,3149.03448904561,5566.134654797016,886.630289627831,0.9542687308793691,0.0,386.91142766354426,0.0,15122.746811635134,0.0,0.0,0.0,107713.40639172058,32450.184323592555,0.0,12639.783881100277,0.0,0.0,0.0,119537.83907713817,0.0
2010,60838.85794788296,54142.00057457053,38642.964093136725,1042.8381152606582,229936.26309619233,218041.56643402376,927919.7905931659,0.0,0.0,0.0,0.0,0.0,0.0,16.140090751802397,0.0,0.0,0.0,3153.660700069871,5566.599255072746,890.1742233355285,0.9542687308793691,0.0,387.8649180350993,0.0,15306.588748099495,0.0,0.0,0.0,107026.21047307734,32475.350191238453,0.0,12843.769978486602,0.0,0.0,0.0,119533.441107947,0.0
2011,60797.1925887313,54739.33099087524,38838.41672588697,1046.5628204812401,231113.92702506442,219470.71815152816,924749.9997721744,0.0,0.0,0.0,0.0,0.0,0.0,16.14047264161611,0.0,0.0,0.0,3212.152591871684,5611.5283646931275,905.4447612188744,0.9542687308793691,0.0,388.7168553233347,0.0,15596.577732848828,0.0,0.0,0.0,106219.74315083199,32501.834488890858,0.0,13065.955321052616,0.0,0.0,0.0,119489.83872623238,0.0
2012,60709.365333708614,55393.652416109704,39009.081911587884,1048.4842318193632,232200.87641471042,220842.21145617287,921812.7981556598,0.0,0.0,0.0,0.0,0.0,0.0,17.950401137939618,0.0,0.0,0.0,3279.2000126616103,5655.213273759913,907.3529427088221,0.9542687308793691,0.0,389.1933155742724,0.0,15769.293736548418,0.0,0.0,0.0,105402.17770404302,32522.086296931804,0.0,13354.832814897161,0.0,0.0,0.0,119450.3101223151,0.0
2013,60492.237036309954,55784.46969883799,39114.926356977994,1046.1299261793731,232391.93735875204,221288.87968232328,920646.4740905999,0.0,0.0,0.0,0.0,0.0,0.0,17.287767797756427,0.0,0.0,0.0,3274.4386958320565,5649.803944826161,905.0642843688813,0.9542687308793691,0.0,388.5274939308993,0.0,15913.471802589676,0.0,0.0,0.0,104956.05543912943,32513.707407968806,0.0,13937.26683363556,0.0,0.0,0.0,119443.4027202867,0.0
2014,60269.04717238936,56254.80127018558,39365.94641713833,1087.970101188739,231493.7093235501,222181.71762312215,919668.0520485041,0.0,0.0,0.0,0.0,0.0,0.0,52.00025405946436,0.0,0.0,0.0,3240.373834053549,5653.863020871609,923.4729301061682,0.9542687308793691,0.0,374.8239538012661,0.0,16207.347429168753,0.0,0.0,0.0,104492.52906122472,32791.78640724416,0.0,14684.004385412049,0.0,0.0,0.0,119022.63530832801,0.0
2015,60113.43061947426,56137.361140558576,39361.853074168714,1082.9401425468518,231441.06179049634,222172.99127886587,919664.5355088563,0.0,0.0,0.0,0.0,0.0,0.0,51.71624369625808,0.0,0.0,0.0,3240.373834053549,5653.863020871609,923.4729301061682,0.9542687308793691,0.0,374.8239538012661,0.0,16193.438146936944,0.0,0.0,0.0,104492.43363016781,32788.08190441267,0.0,15055.42945502657,0.0,0.0,0.0,119016.27386630826,0.0
