year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,125252.6540373086,92194.563779308,0.3070439363877891,5616.4314292789195,20897.97267410095,43244.0390969736,0.0,16374.068657666132,0.6901529063146602,0.0,194.54568765835472,0.0,0.0,6.0031398172259385,0.0,0.0,6.134001202309775,4666.58099751743,2238.5289005560817,50029.397767709175,0.0,2344.2399673783198,41302.06684887954,0.0,143547.63196262764,0.0,0.0,17855.419683361426,0.0,10.622346712863747,770.4728310630906,2399.0345557993305,1027238.649047823,1953.0949188077354,1273.5666257634898,19729.07246514547,0.0
1993,125246.7501891388,92193.69538130767,0.3070439363877891,5616.262152706957,20897.741680928488,43242.76217190063,0.0,16373.992558116039,0.6901529063146602,0.0,194.46909400549583,0.0,0.0,6.0031398172259385,0.0,0.0,6.134001202309775,4666.19695212934,2238.5289005560817,50029.243425650624,0.0,2344.1556854405703,41301.60545010128,0.0,143545.33864515665,0.0,0.0,17854.631143865052,0.0,10.622346712863747,770.4728310630906,2460.452377795564,1027190.3090521448,1953.0949188077354,1273.5666257634898,19728.76269814662,0.0
1994,125240.69251919801,92192.74115024006,0.3070439363877891,5615.7610864786775,20896.5633528359,43240.85052504187,0.0,16373.916584379109,0.6901529063146602,0.0,194.39250587141697,0.0,0.0,6.0031398172259385,0.0,0.0,6.134001202309775,4665.659980804722,2238.5289005560817,50029.243425650624,0.0,2344.1556854405703,41300.7585597617,0.0,143541.32886837338,0.0,0.0,17854.391742646094,0.0,10.622346712863747,770.4728310630906,2529.1557553705343,1027138.3115548498,1953.0949188077354,1273.5666257634898,19728.44536159319,0.0
1995,125558.50966957411,93364.73021337143,0.3070439363877891,5855.229724654277,20938.51322980004,42631.449112190465,0.0,15671.394670431906,0.6901529063146602,0.0,176.73413824123713,0.0,0.0,6.0031398172259385,0.0,0.0,6.517429865998059,4591.177076548732,2206.698097599691,50030.748393829046,0.0,2346.2005508427787,41290.06421460868,0.0,142017.5249926496,0.0,0.0,17913.163975373645,0.0,10.622346712863747,777.2827613208556,2590.069425124815,1028508.8851802687,1999.1084169475012,1277.1852879637852,19376.979374717328,0.0
1996,125818.3763511684,93905.47738015621,0.3070439363877891,5879.260771203149,20983.671105471727,42644.32740713499,0.0,15639.214864745032,0.6901529063146602,0.0,177.14193725194124,0.0,0.0,6.683757478260174,0.0,0.0,6.517429865998059,4575.183576849969,2140.6010020752574,49852.13736132562,0.0,2342.9660675843197,41259.49942352318,0.0,140950.60355961707,0.0,0.0,17944.05546748743,0.0,11.302271525706992,785.1948666900885,2654.297400041447,1029233.0800127134,2037.8271602381908,1286.214516568054,19011.157731738025,0.0
1997,126078.27419548237,94389.534304775,0.3070439363877891,5951.950263049487,21035.884177545056,42671.99104882854,0.0,15551.593873065509,0.6901529063146602,0.0,178.18610011217658,0.0,0.0,6.683757478260174,0.0,0.0,6.517429865998059,4565.054797975489,2069.6829565146522,49841.301756565466,0.0,2345.3246475481774,41236.02640662421,0.0,139709.0510739987,0.0,0.0,17949.15413787786,0.0,11.302271525706992,785.1948666900885,2717.562371185957,1030044.0634506649,2043.8769275673485,1296.7935286176448,18659.787078895482,0.0
1998,126480.52035571869,95307.52154534592,0.3070439363877891,6047.290704659942,21112.56311110636,42736.38094391755,0.0,15421.15354259266,0.6901529063146602,0.0,183.8991745874841,0.0,0.0,6.683757478260174,0.0,0.0,6.517429865998059,4562.482377864856,2067.2295886214174,49666.8543885743,0.0,2343.514984535091,41292.03843136554,0.0,137529.44386220348,0.0,0.0,17960.6525700998,0.0,11.726805267272036,794.9084913477716,2792.6452723331554,1030921.5214860869,2049.2427075715877,1322.7484843626935,18527.25140694734,0.0
1999,128311.18557658057,97992.18508691805,0.38380560756200593,6288.740130950096,21384.898738221073,43169.84614563086,0.0,15037.68150791606,0.6901529063146602,0.0,191.62536301142816,0.0,0.0,6.939018514694483,0.0,0.0,7.426289980080485,4599.778270104386,2102.5965483765026,49514.976470618785,0.0,2341.487434986634,41586.02927238328,0.0,129804.30127071249,0.0,0.0,17967.591092973744,0.0,12.406750794491238,859.2684734353304,2860.31639048725,1033703.4046634465,2069.3138862831433,1355.4131139203744,17977.303164538072,0.0
2000,129110.65812189065,98822.44223406797,0.38380560756200593,6299.051603324574,21505.636529058378,43393.03799508573,0.0,14692.029318797617,0.6901529063146602,0.0,188.63146042447698,0.0,0.0,6.939018514694483,0.0,0.0,8.267852507851075,4585.257102393538,1913.4023417903943,49518.32499867332,0.0,2342.139880957413,41837.24466207753,0.0,121022.79042255184,0.0,0.0,17962.406368710977,0.0,12.406750794491238,859.4322211348458,2931.3316995492532,1041106.8114312731,2103.6186941528676,1360.315518739852,17562.538434313832,0.0
2001,129980.0919228074,99562.31102251723,0.38380560756200593,6311.728396391168,21635.613478365387,43567.41611035989,0.0,14582.7162442277,0.6901529063146602,0.0,186.85997620186893,0.0,0.0,6.939018514694483,0.0,0.0,8.419903513440401,4563.440257159253,1731.9484050288056,49501.0176253005,0.0,2341.891677403785,42048.25821904737,0.0,115529.73515348631,0.0,0.0,17995.55109942445,0.0,12.406750794491238,859.5175550255021,3093.6194272275275,1044795.7400387592,2112.6320713245063,1362.2041318790848,17354.656176024902,0.0
2002,130908.30686942553,100278.44375041804,0.38380560756200593,6328.856363830798,21748.068587833517,43718.944092879334,0.0,14479.018898356198,0.6901529063146602,0.0,186.00560660625464,0.0,0.0,6.939018514694483,0.0,0.0,8.495675196645305,4547.22830169388,1564.1828405867775,49497.495366638854,0.0,2341.891677403785,42071.41354843208,0.0,113208.73120900006,0.0,0.0,18005.012862352232,0.0,12.406750794491238,859.362285558172,3204.2164176928286,1045348.2448355902,2122.212763724292,1362.1983448238643,17337.038593430705,0.0
2003,131376.135933438,100762.51836406757,0.38380560756200593,6340.1947645431455,21814.855827738582,43739.3404629973,0.0,14446.6271446623,0.6901529063146602,0.0,186.16326639136824,0.0,0.0,6.939018514694483,0.0,0.0,8.495675196645305,4555.749751177984,1502.5053947816507,49492.517702378245,0.0,2341.5859852520975,42126.55195003114,0.0,109853.71415317038,0.0,0.0,18002.383144499985,0.0,12.406750794491238,859.362285558172,3282.960950116876,1047589.1571473788,2130.8518115628153,1362.8872783531604,17350.809898177482,0.0
2004,132656.13624365468,101737.9096872811,0.38380560756200593,6374.103682959091,22047.443989211846,44065.84153231724,0.0,14298.155500852328,0.6901529063146602,0.0,192.44749147744523,0.0,0.0,6.939018514694483,0.0,0.0,8.571460941594266,4583.597496265114,1479.8780520574524,49485.24473433396,0.0,2341.662171260854,42523.69211690699,0.0,107667.96172421474,0.0,0.0,17999.077178264684,0.0,12.406750794491238,860.8095567481266,3339.94415735778,1046647.0898444507,2137.6731001848384,1357.5534109394428,17320.57575979482,0.0
2005,132903.65835893268,101958.55964081206,0.38380560756200593,6461.621114375425,22114.37472318929,44133.679655115964,0.0,14239.697760584198,0.6901529063146602,0.0,186.3182758765857,0.0,0.0,6.939018514694483,0.0,0.0,9.407420514241972,4579.6024735475785,1461.107266883024,49480.77425996659,0.0,2341.5791789097198,42560.769225775526,0.0,106653.4796352542,0.0,0.0,17998.560022840808,0.0,12.406750794491238,860.7328908932348,3571.6222480244037,1046830.1271079417,2143.1798769999805,1356.490351522883,17280.02740351496,0.0
2006,133154.8554540646,102155.21445200763,0.38380560756200593,6465.326394924574,22166.264289444018,44201.740381307456,0.0,14199.845484399679,0.6901529063146602,0.0,183.47853482811627,0.0,0.0,6.939018514694483,0.0,0.0,9.938602351191621,4581.759023213546,1315.5895196347724,49466.24338481238,0.0,2341.5791789097198,42578.382737398686,0.0,103475.16331932192,0.0,0.0,17953.85179828708,0.0,12.406750794491238,862.266236208515,3747.568474431675,1049468.028627242,2307.1250306323136,1356.490351522883,17134.657616531236,0.0
