year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,61934.221724089184,21807.339390329522,0.0,165.441196195668,3409.4088716050715,7115.992935487838,0.0,8.280544326773784,0.0,0.0,108.1905053760778,0.0,0.0,0.0,0.0,0.0,6.594173057972509,238.54730591631716,74.16693577239872,1251.728404243496,0.0,142.40924642959172,2721.794977192053,0.0,9394.456564820672,0.0,0.0,228.07056467586392,0.0,0.0,212.8034390125293,763.6108878213694,319493.4624238651,932.1596148527964,0.9605931473960778,7567.861958644089,0.0
1993,61931.795002622246,21807.187099426526,0.0,165.441196195668,3409.4088716050715,7115.992935487838,0.0,8.280544326773784,0.0,0.0,108.1905053760778,0.0,0.0,0.0,0.0,0.0,6.594173057972509,238.54730591631716,74.16693577239872,1251.728404243496,0.0,142.40924642959172,2721.794977192053,0.0,9394.456564820672,0.0,0.0,228.07056467586392,0.0,0.0,212.8034390125293,778.2443055975599,319481.40801845887,932.1596148527964,0.9605931473960778,7567.861958644089,0.0
1994,61928.287535588584,21806.952945653407,0.0,165.441196195668,3409.4088716050715,7115.916590952857,0.0,8.280544326773784,0.0,0.0,108.1905053760778,0.0,0.0,0.0,0.0,0.0,6.594173057972509,238.54730591631716,74.16693577239872,1251.728404243496,0.0,142.40924642959172,2721.794977192053,0.0,9394.299899620844,0.0,0.0,228.07056467586392,0.0,0.0,212.8034390125293,793.113643036735,319470.5133115611,932.1596148527964,0.9605931473960778,7567.861958644089,0.0
1995,61881.020309005406,21942.307173998186,0.0,165.91462544733363,3368.456128008064,6776.542546529787,0.0,8.280544326773784,0.0,0.0,99.71593731433116,0.0,0.0,0.0,0.0,0.0,6.675412470913721,238.9534884143889,70.83425697608034,1252.0480011373168,0.0,142.57258583186228,2740.9975470034697,0.0,9265.303570301574,0.0,0.0,228.6116842331724,0.0,0.0,213.93822792411916,806.8864263555039,320114.1886924775,944.2506748589633,0.9605931473960778,7309.043831098879,0.0
1996,61908.86901629236,22002.808750938755,0.0,166.8040465947541,3324.2488771712656,6784.1664054478715,0.0,8.280544326773784,0.0,0.0,57.51025461906443,0.0,0.0,0.0,0.0,0.0,7.000880938930391,239.1161222189845,71.58008920028558,1252.2047831801476,0.0,142.57258583186228,2763.9620585281227,0.0,9121.694287177419,0.0,0.0,228.76549845507958,0.0,0.0,216.49146219752754,819.7366743791833,320322.02170861943,949.2198275142196,0.9605931473960778,7189.487790081641,0.0
1997,61909.089955588606,22026.295263996148,0.0,167.12221441188763,3316.7849099325626,6784.728019966077,0.0,8.280544326773784,0.0,0.0,57.89124038640728,0.0,0.0,0.0,0.0,0.0,7.082328423764979,239.27902441888332,72.62835057449936,1252.7002686824792,0.0,142.57258583186228,2768.46433970437,0.0,9014.65250856351,0.0,0.0,228.76549845507958,0.0,0.0,216.97403720163751,834.7853355306956,320464.7172065794,949.2198275142196,0.9605931473960778,7114.50820362498,0.0
1998,61919.19248405875,22074.308706902233,0.0,168.09942768946408,3294.251683147692,6786.130448492752,0.0,8.280544326773784,0.0,0.0,57.24154123933395,0.0,0.0,0.0,0.0,0.0,7.082328423764979,239.1978092927331,73.274341149844,1252.8588863005075,0.0,142.57258583186228,2771.1814362607624,0.0,8827.787069392512,0.0,0.0,228.76549845507958,0.0,0.0,219.59290001713788,853.1779595468696,320638.9349603391,949.7859497887873,0.9605931473960778,7064.825103057957,0.0
1999,61931.900776477865,22172.560286171854,0.0,172.97918143330784,3216.6615986261068,6773.656007824697,0.0,8.606054240635796,0.0,0.0,45.355535747949936,0.0,0.0,0.0,0.0,0.0,7.082328423764979,241.95067707657338,89.33234923027109,1254.1844872929832,0.0,142.57258583186228,2868.94263500886,0.0,8049.07169212788,0.0,0.0,233.2227910729227,0.0,0.0,251.6065496952971,873.7567196652685,322258.1011762211,950.1893148530244,1.040933796321217,6034.728576042656,0.0
2000,61899.60609284256,22197.611350011866,0.0,174.19095487047753,3185.08704190843,6778.329348341283,0.0,8.850213257430344,0.0,0.0,39.97738250090542,0.0,0.0,0.0,0.0,0.0,7.245158255232907,243.98582889006627,102.70447314038759,1258.0734972400223,0.0,142.57258583186228,2887.3670630596685,0.0,7628.459534187425,0.0,0.0,237.24125565004806,0.0,0.0,260.70312698816053,898.2935042582454,322899.0455361901,960.9574519680879,1.281905781358912,5765.918951688024,0.0
2001,61908.130583971295,22262.30012864139,0.0,176.04434178393436,3146.945923794369,6758.743557562926,0.0,8.850213257430344,0.0,0.0,40.053518328424346,0.0,0.0,0.0,0.0,0.0,7.245158255232907,244.14844593638276,68.45301360858649,1225.870924736774,0.0,142.57258583186228,2879.4177010972803,0.0,5558.329979301867,0.0,0.0,237.72261874346722,0.0,0.0,262.9559565182395,1022.7366225739067,324999.93298196985,962.424085951942,2.8065952072894267,5661.8173197890255,0.0
