year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,10.672741047028273,2568.4817662478167,0.0,0.0,1719.7610510983873,326.8665950512737,0.0,70.67746661919657,0.0,0.0,2082.281940784257,0.0,0.0,0.663294404929786,0.0,0.0,1.377507953071024,2202.6626441240956,2099.387940348762,0.46165750272122885,0.0,0.0,39286.55669444135,0.0,68.48277573906839,0.0,0.0,0.0,0.0,0.0,4056.631690614889,367.10090805165675,171.7671073958989,0.16835326121029204,0.5094122382145627,3223.4830995273496,0.0
1993,10.672741047028273,2566.7556164199004,0.0,0.0,1719.5288697422982,326.8665950512737,0.0,70.67746661919657,0.0,0.0,2082.224865665796,0.0,0.0,0.663294404929786,0.0,0.0,1.377507953071024,2201.802954933271,2099.3300637692682,0.46165750272122885,0.0,0.0,39281.206667530634,0.0,68.48277573906839,0.0,0.0,0.0,0.0,0.0,4056.5746414545115,376.5350351230397,170.67302846840656,0.16835326121029204,0.5094122382145627,3223.4830995273496,0.0
1994,10.672741047028273,2564.8601716306625,0.0,0.0,1719.4123285925384,326.8665950512737,0.0,70.67746661919657,0.0,0.0,2082.1659789796017,0.0,0.0,0.663294404929786,0.0,0.0,1.377507953071024,2201.5171383279053,2099.3300637692682,0.46165750272122885,0.0,0.0,39274.311224367666,0.0,68.36879620528072,0.0,0.0,0.0,0.0,0.0,4056.5746414545115,387.22047189498494,169.41261215703747,0.16835326121029204,0.5094122382145627,3223.4241909940824,0.0
1995,10.672741047028273,2563.0181087396204,0.0,0.0,1719.4121033851588,326.97963732849206,0.0,70.7347010545003,0.0,0.0,2077.5161337111035,0.0,0.0,0.663294404929786,0.0,0.0,1.377507953071024,2201.5709123924207,2097.677565919731,0.46165750272122885,0.0,0.0,39243.211759298276,0.0,68.48211580176522,0.0,0.0,0.0,0.0,0.0,4069.362862904845,397.7871587504475,168.78266696926525,0.16835326121029204,0.5094122382145627,3239.6059537884003,0.0
1996,10.672741047028273,2561.0178251913753,0.0,0.0,1719.3555039886387,326.8059553082104,0.0,70.7347010545003,0.0,0.0,2092.22906397914,0.0,0.0,0.663294404929786,0.0,0.0,1.377507953071024,2203.356082193833,2095.5931157806767,0.46165750272122885,0.0,0.0,39198.74865253115,0.0,68.42505181030255,0.0,0.0,0.0,0.0,0.0,4071.2941179715594,409.217639856069,168.2673787810315,0.16835326121029204,0.5094122382145627,3259.0965915975157,0.0
1997,10.672741047028273,2559.351761079636,0.0,0.0,1718.1708021086579,326.6339352973869,0.0,70.73566752095752,0.0,0.0,2147.829968487994,0.0,0.0,0.663294404929786,0.0,0.0,1.377507953071024,2209.595159528496,2088.092211772863,0.46165750272122885,0.0,0.0,39113.03641071437,0.0,68.36799152641004,0.0,0.0,0.0,0.0,0.0,4068.4953977261616,419.88930148061957,167.70195926790726,0.16835326121029204,0.5094122382145627,3286.2411135325356,0.0
1998,10.672741047028273,2557.582085731366,0.0,0.0,1717.768281286578,326.46124707363396,0.0,70.6801426740762,0.0,0.0,2142.0024450079327,0.0,0.0,0.663294404929786,0.0,0.0,1.377507953071024,2209.538069577614,2087.3463590722545,0.46165750272122885,0.0,0.0,39096.05734398921,0.0,68.25391175690999,0.0,0.0,0.0,0.0,0.0,4074.625248955393,429.4740823067536,167.18681196271132,0.16835326121029204,0.5094122382145627,3297.165650649566,0.0
1999,11.014627234664049,2583.046922802127,0.0,0.0,1724.2240199317716,330.05252479168695,0.0,70.90838389692655,0.0,0.0,2183.211117111892,0.0,0.0,0.663294404929786,0.0,0.0,1.377507953071024,2220.423910658176,2082.934519416078,0.46165750272122885,0.0,0.0,38993.196076040564,0.0,68.25523090588261,0.0,0.0,0.0,0.0,0.0,4078.6190448076063,439.089702030763,167.18681112171421,0.16835326121029204,0.5094122382145627,3302.6515303411647,0.0
2000,11.749795146456934,2660.1473361342037,0.0,0.0,1738.124328316441,337.1646156053383,0.0,71.25334674586274,0.0,0.0,2219.5100900034136,0.0,0.0,0.663294404929786,0.0,0.0,1.377507953071024,2231.0018824824906,2078.6610818709646,0.46165750272122885,0.0,0.0,38840.86983752981,0.0,68.19625687631085,0.0,0.0,0.0,0.0,0.0,4077.3284141487015,449.0682810391834,166.67067118209314,0.16835326121029204,0.5094122382145627,3305.0684840097683,0.0
2001,11.749572492617954,2659.243349273467,0.0,0.0,1736.57509049897,334.3630141854908,0.0,71.36805227766693,0.0,0.0,2232.4738621745596,0.0,0.0,0.663294404929786,0.0,0.0,1.5497993546660047,2220.7962159157496,2077.613293549329,0.46165750272122885,0.0,0.0,38779.01791917443,0.0,67.91244691768777,0.0,0.0,0.0,0.0,0.0,4076.5679327527437,519.1146295616645,163.69196620998227,0.16835326121029204,0.5094122382145627,3304.1547847050633,0.0
