year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,631.819111490356,29.845906561627036,0.8145573415801117,0.0,328.94808319635035,379.0514876361717,4996.424832740802,466.40713278554625,0.0,0.0,1.0899023204416693,0.0,0.0,1.3625723541034962,0.0,0.0,3010.451038936195,5.44587792676016,2.9040968486160836,0.45393457536354315,0.0,0.0,508.1301865458807,0.0,1.8157708119897988,0.0,0.0,0.0,12.139703564073917,90.59208116024683,64.77437472302574,182.64809060546065,0.0,0.0,0.0,1790.4188189076654,0.0
1993,630.0063574121642,29.755086339595913,0.7240592741236649,0.0,328.6758207222693,378.96072870922825,4995.4269451801165,466.40713278554625,0.0,0.0,1.0899023204416693,0.0,0.0,1.3625723541034962,0.0,0.0,3010.451038936195,5.44587792676016,2.9040968486160836,0.45393457536354315,0.0,0.0,507.9486429893274,0.0,1.8157708119897988,0.0,0.0,0.0,12.139703564073917,90.59208116024683,64.2297297260887,186.72926048834117,0.0,0.0,0.0,1790.4188189076654,0.0
1994,628.5555811796218,29.664267539162747,0.7240592741236649,0.0,328.1312486575713,378.5981053248147,4994.519254198016,466.40713278554625,0.0,0.0,1.0899023204416693,0.0,0.0,1.3625723541034962,0.0,0.0,3010.451038936195,5.44587792676016,2.9040968486160836,0.45393457536354315,0.0,0.0,507.6765630910769,0.0,1.8157708119897988,0.0,0.0,0.0,12.139703564073917,90.50129795254074,63.77579087712273,191.08420423229467,0.0,0.0,0.0,1790.237158582822,0.0
1995,656.8776283550648,30.934493437373487,0.7240592741236649,0.0,336.75284790682775,381.95490698561633,4935.791239576492,466.40713278554625,0.0,0.0,0.0,0.0,0.0,1.3625723541034962,0.0,0.0,3009.183555150656,5.44587792676016,2.9040968486160836,0.45393457536354315,0.0,0.0,524.380282445282,0.0,1.8157708119897988,0.0,0.0,0.0,12.139703564073917,90.31972586881193,62.77758483547791,195.25631129260356,0.0,0.0,0.0,1790.055837037473,0.0
1996,668.2271642927932,32.65907888627509,0.7240592741236649,0.0,340.4746861533308,383.1351583450927,4908.92160706918,466.40713278554625,0.0,0.0,0.0,0.0,0.0,1.3625723541034962,0.0,0.0,3009.183555150656,5.44587792676016,2.9040968486160836,0.45393457536354315,0.0,0.0,531.18864095325,0.0,1.8157708119897988,0.0,0.0,0.0,12.139703564073917,90.138091451152,62.05152374073066,198.3399481091163,0.0,0.0,0.0,1789.9649587401022,0.0
1997,673.4936296701122,33.657621166357636,0.7240592741236649,0.0,341.3830537883736,385.4051812991272,4896.848892740475,466.40713278554625,0.0,0.0,0.0,0.0,0.0,1.3625723541034962,0.0,0.0,3009.183555150656,5.44587792676016,2.9040968486160836,0.45393457536354315,0.0,0.0,531.370376398372,0.0,1.7249861783271874,0.0,0.0,0.0,12.049080002327354,90.0473439705125,61.96136494628646,201.42200977501068,0.0,0.0,0.0,1789.6927921818055,0.0
1998,730.4916828470333,36.198393448709915,0.7240592741236649,0.0,358.35039681874946,393.3885004705565,4755.33895130072,466.40713278554625,0.0,0.0,0.0,0.0,0.0,1.3625723541034962,0.0,0.0,3007.188040042382,5.44587792676016,2.9040968486160836,0.45393457536354315,0.0,0.0,587.1215849063832,0.0,1.6342086785398633,0.0,0.0,0.0,12.049080002327354,89.95653796821236,62.41520134017491,204.77736664562306,0.0,0.0,0.0,1789.3299427983316,0.0
1999,766.6145511739547,40.918024578503946,0.7240592741236649,0.0,368.417728833439,398.2870964389301,4692.089490098522,466.40713278554625,0.0,0.0,0.0,0.0,0.0,1.3625723541034962,0.0,0.0,3006.1913694251325,5.44587792676016,2.9040968486160836,0.45393457536354315,0.0,0.0,591.3879816180415,0.0,1.6342086785398633,0.0,0.0,0.0,12.049080002327354,89.68417273068015,62.95924091363924,208.94880986579454,0.0,0.0,0.0,1789.0581329102374,0.0
2000,830.0119059919801,48.81365048218123,0.7240592741236649,0.0,423.1078687727939,444.09168967926064,4413.30307568627,466.40713278554625,0.0,0.0,0.0,0.0,0.0,1.3625723541034962,0.0,0.0,2999.026957963026,5.355153381644863,2.9040968486160836,0.45393457536354315,0.0,0.0,694.4825741076794,0.0,1.6342086785398633,0.0,0.0,0.0,12.049080002327354,89.59335393024699,70.76192841227127,212.48670966051517,0.0,0.0,0.0,1788.967608445767,0.0
2001,863.0415640014443,59.342182415853436,0.7240592741236649,0.0,445.05998979881707,465.7819857283168,4293.243460261926,466.40713278554625,0.0,0.0,0.0,0.0,0.0,1.3625723541034962,0.0,0.0,2995.304683906875,5.355153381644863,2.813335061738619,0.45393457536354315,0.0,0.0,726.9816630993638,0.0,1.6342086785398633,0.0,0.0,0.0,12.049080002327354,90.1379301807667,72.84846381574872,215.93462770838835,0.0,0.0,0.0,1787.0615340013683,0.0
