year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,34196.82957072247,7386.546710874919,0.0,23048.363295093965,8782.341213260856,17291.703675646688,51.65112660129329,123565.14135674131,2601.948283728021,0.4264146907722737,105879.20536917869,0.0,0.0,341.8023905228853,0.0,0.0,975.2414386245239,8494.159240140338,91.32704962954352,0.0,0.0,0.0,296.05320551409505,0.0,98.18694709181713,0.0,0.0,0.0,0.0,0.0,701.628428258328,11708.923090228514,49.748034717322135,0.0,0.0,58955.24772214243,0.0
1993,34135.76080073264,7288.616042551667,0.0,22912.445599174374,8775.378828569703,17288.97410756346,51.65112660129329,123549.4736463078,2601.948283728021,0.4264146907722737,105873.48060221011,0.0,0.0,341.72423990225104,0.0,0.0,975.2414386245239,8493.225835179432,91.32704962954352,0.0,0.0,0.0,289.8225204921814,0.0,93.6773842946605,0.0,0.0,0.0,0.0,0.0,701.5506056250074,12055.488067486887,48.42660576443889,0.0,0.0,58947.835364279956,0.0
1994,34078.287619573646,7193.795592804619,0.0,22796.123839364955,8769.765298771548,17286.604659133693,51.65112660129329,123536.37201573084,2601.948283728021,0.4264146907722737,105868.18911864623,0.0,0.0,341.5024370262752,0.0,0.0,975.2414386245239,8492.991471037376,91.32704962954352,0.0,0.0,0.0,285.92359630008,0.0,90.79147095100893,0.0,0.0,0.0,0.0,0.0,701.4708087173931,12364.887285257058,47.407348020606086,0.0,0.0,58941.76768879917,0.0
1995,34069.924266517846,7340.336045536588,0.0,23588.646340726023,8716.47833525955,17060.16915210235,52.293638275089656,123927.85591726177,2603.482128221696,0.4264146907722737,104605.7450137834,0.0,0.0,336.99032422804635,0.0,0.0,839.2754168580926,8553.736753679515,92.29358032582374,0.0,0.0,0.0,285.3197164821351,0.0,89.53459014631949,0.0,0.0,0.0,0.0,0.0,706.6341414921391,12657.452293238937,47.40418488852756,0.0,0.0,58942.476309694,0.0
1996,33955.43329694326,7264.977135814427,0.0,23583.26227001549,8705.107906611998,17054.559441929487,52.37249129776982,124028.63131783472,2603.1310481112755,0.4264146907722737,104434.89718563421,0.0,0.0,336.91031050099195,0.0,0.0,835.9594374331571,8561.975119211309,92.29358032582374,0.0,0.0,0.0,282.9677346716367,0.0,89.45744812422177,0.0,0.0,0.0,0.0,0.0,706.9981914106709,12912.627592975035,47.01389014824772,0.0,0.0,58967.47274972427,0.0
1997,34100.29655123023,7205.656074368369,0.0,23650.229009252624,8732.176387346546,17099.606526755557,52.37249129776982,123980.88608875025,2601.7776546971227,0.4264146907722737,104041.55384544627,0.0,0.0,335.05189486501024,0.0,0.0,831.6666096685714,8575.028349479146,92.29358032582374,0.0,0.0,0.0,281.60685511891705,0.0,89.37977305020699,0.0,0.0,0.0,0.0,0.0,708.6018415840865,13124.708730134074,46.9357209422018,0.0,0.0,58966.220164405284,0.0
1998,34235.51107618709,7128.011125838245,0.0,23680.05211549257,8761.380713942448,17170.573873240075,52.294396476426805,123877.32416270667,2600.2311346064903,0.4264146907722737,103723.19980411262,0.0,0.0,333.7346797245782,0.0,0.0,828.066713145886,8601.172566714826,95.57914801024539,0.0,0.0,0.0,284.1784726523891,0.0,89.30191027209999,0.0,0.0,0.0,0.0,0.0,722.5305364227685,13316.971535135399,46.846934963388684,0.0,0.0,58969.08724907401,0.0
1999,35887.1811128439,7236.094857813493,0.0,23912.540200449923,8979.456697624159,17590.97706001968,52.21629899666046,122622.29756482766,2524.808028724771,0.4264146907722737,102171.41054526293,0.0,0.0,332.66665086367635,0.0,0.0,791.2175402910256,8669.873240278614,96.76269326884868,0.0,0.0,0.0,293.3713131767528,0.0,92.15183951873689,0.0,0.0,0.0,0.0,0.0,741.7264678573928,13500.69017329839,47.24368755163447,0.0,0.0,58973.36217604958,0.0
2000,36026.15656081326,7165.732794950146,0.0,23894.785219944006,9046.510332493031,17835.479232410424,52.137391287016236,122378.05005444957,2518.763727697182,0.28428161124717943,101829.36736178189,0.0,0.0,332.36080593807696,0.0,0.0,764.431781654993,8723.031964015927,111.13267262303415,0.0,0.0,0.0,302.00316584565405,0.0,92.15183951873689,0.0,0.0,0.0,0.0,0.0,749.097889302148,13675.957834538909,47.08769885051903,0.0,0.0,58971.95195368279,0.0
2001,36127.96787834576,7158.016873168425,0.0,23850.191399524098,9073.282950789493,17429.117503660415,52.137391287016236,122399.0694796645,2509.798298955032,0.28428161124717943,101988.35492942976,0.0,0.0,334.9525160512564,0.0,0.0,739.6555752313892,8774.17756783589,115.13291332030356,0.0,0.0,0.0,301.2715049154761,0.0,91.6163635288429,0.0,0.0,0.0,0.0,0.0,749.0126274201289,13802.050885117376,47.08769885051903,0.0,0.0,58973.295924701604,0.0
2002,36198.16798509337,7127.650702031827,0.0,23806.590860281973,9094.134222586592,17421.007047695733,52.137391287016236,122344.40471871664,2507.4513610907916,0.28428161124717943,101919.17001775099,0.0,0.0,334.87877963252026,0.0,0.0,722.6190447566274,8790.245216149358,117.55781171944228,0.0,0.0,0.0,299.85280538135794,0.0,91.86356067967114,0.0,0.0,0.0,0.0,0.0,748.7678545103277,13919.720587806674,47.08769885051903,0.0,0.0,58972.882615776216,0.0
2003,36275.51421299164,7091.465940876853,0.0,23784.604607208144,9101.290499589726,17293.797550482563,52.137391287016236,122397.63684119735,2505.702048841358,0.21321198016371945,101865.85848224514,0.0,0.0,335.91962276422447,0.0,0.0,710.0018074609342,8808.275312027139,117.904114651532,0.0,0.0,0.0,302.475319996722,0.0,92.10649147212463,0.0,0.0,0.0,0.0,0.0,751.7467344463188,14010.78129459092,47.08769885051903,0.0,0.0,58971.95538044815,0.0
2004,36529.58860818622,7078.888942223858,0.0,23774.664432494763,9196.47444197712,17315.407837109302,52.137391287016236,122253.64838206401,2492.938773808144,0.14214234908025947,101547.06537621432,0.0,0.0,335.69099475293376,0.0,0.0,675.6142813022445,8872.010316024202,119.8882674221967,0.0,0.0,0.0,315.43760657065894,0.0,92.83552604206047,0.0,0.0,0.0,0.0,0.0,758.8596616783683,14087.878604982812,47.63428006158295,0.0,0.0,58969.668696857654,0.0
2005,36464.09060449536,6764.3203182584475,0.0,23509.546742739283,9182.518147926952,17247.572418297477,52.137391287016236,122274.82968936583,2490.81697459347,0.14214234908025947,101529.1309979097,0.0,0.0,336.3130314198505,0.0,0.0,672.7316386771529,8881.447642847561,121.14213058649052,0.0,0.0,0.0,307.3692668233197,0.0,89.54001673359403,0.0,0.0,0.0,0.0,0.0,758.4051145132146,14823.924846066431,47.10236249900164,0.0,0.0,58963.39308601933,0.0
2006,36424.99551056196,6564.502932900347,0.0,23380.61093964447,9170.84257984906,17178.12559060141,52.290731703195526,122321.85840005324,2489.3119932528552,0.14214234908025947,101500.5894175964,0.0,0.0,337.7713434769653,0.0,0.0,670.7490462998836,8893.521617948863,122.39373558676886,0.0,0.0,0.0,303.7226914424165,0.0,87.82851381219561,0.0,0.0,0.0,0.0,0.0,760.7306096815444,15250.697244012532,46.86879774355212,0.0,0.0,58958.920724891796,0.0
2007,36333.953509939405,6032.592328860042,0.0,22962.382432747578,9158.833133184875,17091.43149362831,52.36641328738204,122337.88597737173,2486.253165145488,0.14214234908025947,101444.9863481384,0.0,0.0,339.529717761669,0.0,0.0,664.6921786297963,8915.24906827104,124.57737822545414,0.0,0.0,0.0,298.65431933459075,0.0,82.69952510472167,0.0,0.0,0.0,0.0,0.0,762.6453291690716,16428.31777215498,45.887449635869835,0.0,0.0,58953.39488046911,0.0
2008,36242.60549864287,5711.351777851513,0.0,22732.442323837364,9146.271420105331,16979.888913489347,53.143827671749925,122390.70728300953,2483.3565771584113,0.14214234908025947,101429.28347763285,0.0,0.0,342.4565206115259,0.0,0.0,660.3894851362633,8943.721793847395,129.36666134875153,0.0,0.0,0.0,293.79291492298245,0.0,80.70062899860027,0.0,0.0,0.0,0.0,0.0,765.9641451598537,17139.7127630645,44.44532399224919,0.0,0.0,58946.73108457851,0.0
2009,36129.610469306535,5228.879486394763,0.0,22351.792900963497,9134.36923901333,16855.018909641887,53.06435854152307,122428.07509909339,2480.9186987053677,0.14214234908025947,101418.65554354888,0.0,0.0,347.11417850976795,0.0,0.0,652.0881320621637,8968.562243364424,133.49326221332507,0.0,0.0,0.0,287.46231731305716,0.0,75.73245548232394,0.0,0.0,0.0,0.0,0.0,772.1180714578137,18217.623838821808,43.51834526986524,0.0,0.0,58938.23487135621,0.0
2010,36034.76412143935,4766.755499228939,0.0,21973.41858911172,9126.373593947907,16862.259763653,53.1427157174195,122353.76929005994,2479.8295623002455,0.0710727179967995,101310.74443662088,0.0,0.0,346.41189533419856,0.0,0.0,647.09787491367,8982.230092004243,144.2346434481873,0.0,0.0,0.0,281.5181421043789,0.0,65.98162147261424,0.0,0.0,0.0,0.0,0.0,775.4591343913845,19345.64374683608,41.416615238428385,0.0,0.0,58925.35215286826,0.0
2011,35936.31934775571,4473.814534996723,0.0,21717.840368056648,9117.952062167145,16867.179453248602,53.37289251822447,122300.26362196126,2479.391957737573,0.0710727179967995,101262.79199554745,0.0,0.0,344.92288819852104,0.0,0.0,639.0735550910266,8983.842734380765,145.76844635385774,0.0,0.0,0.0,274.62259979454024,0.0,62.12658185193991,0.0,0.0,0.0,0.0,0.0,779.0662842969098,20128.08911486141,40.16566880218876,0.0,0.0,58909.79938307023,0.0
