year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,257869.27121942557,23145.095137679087,0.0,69004.34772582384,55960.43432188223,108913.08812516299,0.0,5404.25622165053,458.0341908220481,0.0,34473.3405049291,0.0,0.0,3609.4550022599296,0.0,0.0,2747.7694431386676,5333.748878957224,7543.271998549121,171538.27418973416,0.0,1.6001722967834326,833996.6438852138,0.0,669918.0983111046,0.0,0.0,0.0,4.585141899016292,0.0,10743.08505218147,1655.679553044151,376502.3557812155,460.5572947641298,3553.3847436795895,78036.82952932364,922.7482488153381
1993,257861.25095783104,23144.41782799581,0.0,69003.2485423258,55959.91938445316,108910.83663265534,0.0,5404.25622165053,458.0341908220481,0.0,34473.103348960474,0.0,0.0,3609.4550022599296,0.0,0.0,2747.7147530677926,5333.60992603389,7543.202493522279,171538.00831441183,0.0,1.6001722967834326,833978.6204433572,0.0,669910.0373616812,0.0,0.0,0.0,4.585141899016292,0.0,10743.08505218147,1699.0463084684766,376645.58299311454,460.5572947641298,3553.1158944335302,77889.91816655091,922.7482488153381
1994,257851.9667280708,23143.358260069526,0.0,69002.20169618656,55959.391847776686,108909.44967100007,0.0,5404.13454987137,458.0341908220481,0.0,34472.9254784413,0.0,0.0,3609.4550022599296,0.0,0.0,2747.7147530677926,5333.60992603389,7543.001979730027,171537.88152622603,0.0,1.6001722967834326,833962.8356304053,0.0,669900.5509183382,0.0,0.0,0.0,4.585141899016292,0.0,10743.08505218147,1741.923561881693,377032.820186779,460.5572947641298,3557.5921088788327,77494.53074775661,922.7482488153381
1995,258579.27824937803,23380.4152518379,0.0,69302.15436052391,56167.964263727896,108949.95462060506,0.0,5153.269776612633,459.4489838003788,0.0,34353.10027821996,0.0,0.0,3685.3009549556177,0.0,0.0,2745.2316215380547,5358.150555539587,7508.4978163665255,171547.00994689777,0.0,1.486694304654959,834227.0688811158,0.0,668606.8283767849,0.0,0.0,0.0,4.585141899016292,0.0,10748.484748902418,1787.4796534294178,377263.90718636825,462.53839627309145,3559.028970378222,77022.02169528019,922.7482488153381
1996,259670.75249348857,23749.90300059754,0.0,69559.10068192316,56628.40612105818,109665.34999837872,0.0,5130.58999521786,460.8117864937959,0.0,34290.77534808153,0.0,0.0,3717.6518985760836,0.0,0.0,2748.0749224591023,5373.758211193177,7488.19306867333,171550.76128728993,0.0,1.486694304654959,833946.686780001,0.0,666511.3008476105,0.0,0.0,0.0,4.585141899016292,0.0,10753.177810378618,1831.1664864905883,379697.1753788593,463.53353942286515,3825.532200617862,73804.43273172578,922.7482488153381
1997,262278.6975642596,24593.980727217997,0.0,69973.39716415027,57959.70971131688,111576.30716418636,0.0,5078.589593631916,461.33262171891346,0.0,34218.29556380225,0.0,0.0,3766.387295294166,0.0,0.0,2754.376698360898,5385.388458673797,7440.841267423235,171554.07261692188,0.0,1.486694304654959,832868.5658938654,0.0,661257.0782004563,0.0,0.0,0.0,4.585141899016292,0.0,10755.556756363347,1875.5183735846256,379283.64015608723,465.18728387320556,3894.723210661613,73425.48826668701,922.7482488153381
1998,263721.150393315,24955.195683526395,0.0,70100.55100939404,58894.11064312315,113249.4715082927,0.0,5034.568356303435,461.9771570068241,0.0,34166.29130744849,0.0,0.0,3797.9109824292937,0.0,0.0,2760.7821905636147,5396.271594495956,7402.444792635616,171556.6946867603,0.0,1.486694304654959,832290.0697562664,0.0,658489.5690379057,0.0,0.0,0.0,4.585141899016292,0.0,10755.153853791831,1919.835695230607,378536.9384806999,465.00518324749424,3999.8655134179035,72913.27676268021,922.7482488153381
1999,270074.8652197247,27212.451939084724,0.0,71033.93911548627,61762.975743156734,118600.27230467873,0.0,4906.418781698028,465.68891904663656,0.0,34224.82417913951,0.0,0.0,3969.053941500871,0.0,0.0,2795.5008393202597,5462.250748094756,7275.138390742467,171566.2554050978,0.0,1.486694304654959,827426.3575707454,0.0,647832.4026030292,0.0,0.0,0.0,4.585141899016292,0.0,10767.935892887888,1961.9889630017835,376789.1156858953,466.35244827343365,4160.696197722226,72112.64970021132,922.7482488153381
2000,280664.81961946166,32466.412984519193,0.0,72561.3714823569,70220.71808789198,131408.23555458026,0.0,4927.988582405007,467.5517786292263,0.0,34304.45416740555,0.0,0.0,4181.6057977359615,0.0,0.0,2807.413691529142,5495.604517134206,6938.847729673914,171568.4968223613,0.0,1.486694304654959,817265.1733525922,0.0,622021.5019566646,0.0,0.0,0.0,4.585141899016292,0.0,10770.011833862623,2012.0574549832513,373744.52816643304,466.97269112143505,4182.719466814352,72390.6488503832,922.7482488153381
2001,281971.0987755294,34864.74826556583,0.0,73593.33296950732,71723.42562788998,134455.40556926397,0.0,4947.152954135261,469.04603983828264,0.0,34410.377288287564,0.0,0.0,4317.88438440862,0.0,0.0,2815.6510278006376,5527.842523677109,6731.377331737076,171571.33631137223,0.0,1.486694304654959,814748.0877190756,0.0,616963.1683903966,0.0,0.0,0.0,4.585141899016292,0.0,10765.29315792883,2293.4005224368752,371834.7423307528,467.0851973010544,4214.4040780882215,72182.27412354664,922.7482488153381
