year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,70230.21622830299,30032.21598275697,347.2553288617288,2885.1586210691607,17651.870494214338,20890.158558393174,8382.04523743631,4561.0480412020825,92.05430623724902,10836.053480727713,58.49776803721129,0.0,0.0,0.0,0.0,0.0,8350.222071041251,62034.192519011885,53665.33974964392,167903.46398364514,0.0,144.23111777745956,79378.21050349766,0.0,3692.196170539764,0.0,440.2973188791531,26.301795397964003,211.80663980325463,189.57818415457936,9151.205608579497,57.07445780696659,23146.23817605841,5809.461619794489,19.71185891296829,13388.828769089752,0.0
1993,70230.12103265757,30032.21598275697,347.2553288617288,2885.1586210691607,17651.77529500404,20890.158558393174,8382.04523743631,4561.0480412020825,92.05430623724902,10836.053480727713,58.49776803721129,0.0,0.0,0.0,0.0,0.0,8350.222071041251,62033.526156075124,53665.14913472083,167903.36878930277,0.0,144.23111777745956,79378.21050349766,0.0,3692.196170539764,0.0,440.2973188791531,26.301795397964003,211.80663980325463,189.57818415457936,9151.205608579497,58.40741419617065,23146.047786727133,5809.461619794489,19.71185891296829,13388.828769089752,0.0
1994,70230.02583377021,30032.21598275697,347.2553288617288,2885.1586210691607,17651.77529500404,20890.063366012113,8382.04523743631,4561.0480412020825,92.05430623724902,10836.053480727713,58.49776803721129,0.0,0.0,0.0,0.0,0.0,8350.222071041251,62033.24057536942,53665.05394794045,167903.08293423877,0.0,144.23111777745956,79378.0201141608,0.0,3692.196170539764,0.0,440.2973188791531,26.301795397964003,211.80663980325463,189.57818415457936,9151.205608579497,59.83623430158393,23145.76156411943,5809.461619794489,19.71185891296829,13388.73357474739,0.0
1995,70337.44681186565,30042.609962093462,348.11420197108487,2885.8264920375345,17667.320280014064,20869.179852728863,8350.940580400189,4579.559167989656,93.48556570393548,10827.560982125968,32.636343728451116,0.0,0.0,0.0,0.0,0.0,8355.756397774361,61930.0276151574,53687.798226266306,167955.26329511,0.0,144.23111777745956,79433.47217968426,0.0,3706.309143704328,0.0,440.48808381818185,26.301795397964003,211.9973863976555,189.76857836860944,9157.211233053245,61.456343064275686,23049.052362045873,5817.284511048965,19.71185891296829,13354.12422263234,0.0
1996,70365.39669686154,30043.65823788102,348.11420197108487,2887.352804432868,17680.486107644698,20920.22846387507,8353.13638367036,4607.5175452067415,94.43977437913547,10826.893066972849,32.636343728451116,0.0,0.0,0.0,0.0,0.0,8364.154031072623,61614.94083574665,53837.77173541083,168033.74969870967,0.0,144.23111777745956,80134.19339396726,0.0,3721.282454092568,0.0,443.5408745524893,26.301795397964003,211.9973863976555,189.76857836860944,9221.617576466952,63.93576401149556,22236.671483718575,5808.328899391537,19.71185891296829,13342.877480253866,0.0
1997,70411.38682235585,30046.61884487115,348.11420197108487,2890.5967961875517,17700.13619838125,21049.61887467678,8344.3588375806,4617.822812461007,94.72605091679833,10826.129769973048,22.616182976834985,0.0,0.0,0.0,0.0,0.0,8369.59317220953,61504.46685101943,53892.54268172837,168061.8849951006,0.0,144.23111777745956,81406.51800765963,0.0,3723.7614558700393,0.0,444.20861960553225,26.301795397964003,211.42490195471888,189.76857836860944,9237.742642361163,66.89294191468919,20780.06614099543,5782.221061375151,19.71185891296829,13361.472376269754,0.0
1998,70606.29157584699,30067.993487675714,348.11420197108487,2898.6907319807574,17726.17674406997,21083.3862056108,8338.155951637626,4631.942908195058,94.72605091679833,10815.634648184146,14.886345383818671,0.0,0.0,0.0,0.0,0.0,8374.937512316637,60368.18222273367,54331.21033733279,168420.2519948714,0.0,144.23111777745956,82405.59080723474,0.0,3721.160309662105,0.0,444.3994558049089,26.301795397964003,211.71118803133234,189.48251980182775,9269.892291637338,70.89892901122163,19819.17846291953,5775.07623234193,19.71185891296829,13356.718703612121,0.0
1999,70691.45908317818,30033.8737306632,348.01877228356426,2924.0641507073465,17795.527485663948,20990.752958495286,8359.905180245007,4798.68178581396,95.10761898342228,10814.203167134276,12.119005698469854,0.0,0.0,0.0,0.0,0.0,8419.688552828064,57584.85904071786,55112.38436886901,169532.39558473576,0.0,144.23111777745956,84139.58712898035,0.0,3770.9331295842085,0.0,448.97879516159645,27.159582102072036,214.47765421710358,190.91395355987143,9450.69799039883,74.23667219330655,18550.205202909194,5764.207569210586,19.71185891296829,13266.553449848147,0.0
2000,70782.51263144604,30022.611011125595,348.01877228356426,2952.5798344487853,17841.49506267695,21279.47139787256,8386.046552469355,4866.40727723585,95.48923659701798,10823.553565743498,11.546437559664692,0.0,0.0,0.0,0.0,0.0,8462.050312463989,54488.73524796535,56612.55453005263,170482.8769923536,0.0,144.23111777745956,86322.9819689534,0.0,3200.0958281567814,0.0,451.6496531699336,27.349878107800336,214.47765421710358,191.00937949164708,9592.29986743765,80.33882527850297,16861.990398690737,5752.673056324853,19.71185891296829,13260.176242059972,0.0
2001,71157.65990022532,30829.495774735755,352.4083643281044,2979.4142708510376,17864.188729138466,21647.674561555934,8388.140154891053,3890.7770087139866,96.53846350334415,10827.558039986596,8.588312197503704,0.0,0.0,0.0,0.0,0.0,8499.822715910046,53684.798083381575,56748.353104647205,170653.74749991018,0.0,144.23111777745956,86906.46244658591,0.0,3028.342769351948,0.0,451.077056116474,27.349878107800336,214.5730807015609,191.00937949164708,9625.31406071126,89.38698526044448,16254.252168305233,5726.345358333018,19.71185891296829,13267.71344724108,0.0
