year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,20914.556117915963,1674.6641732437474,0.0,1319.1428455200528,5866.22154684941,8725.531814414288,81847.43210033585,3227.0022621765333,282.17754937358666,0.1851874931509549,4671.299582779424,0.0,0.0,0.8192382406056232,0.0,0.0,0.0,33841.322307075745,74.41636392988072,27840.368034932148,35930.42517367052,0.0,543.5140148471305,0.0,0.0,0.0,0.0,0.0,1.202231345081147,28.843768634409233,855.9010314810408,35.881460537085495,0.0,0.0,0.0,2152.205830724235,0.0
1993,20914.011451498627,1674.6641732437474,0.0,1319.1428455200528,5866.22154684941,8725.531814414288,81847.43210033585,3227.0022621765333,282.17754937358666,0.1851874931509549,4671.299582779424,0.0,0.0,0.8192382406056232,0.0,0.0,0.0,33841.322307075745,74.41636392988072,27840.368034932148,35930.42517367052,0.0,543.5140148471305,0.0,0.0,0.0,0.0,0.0,1.202231345081147,28.843768634409233,855.9010314810408,36.42612695442454,0.0,0.0,0.0,2152.205830724235,0.0
1994,20913.82960541518,1674.6641732437474,0.0,1319.1428455200528,5866.22154684941,8725.531814414288,81847.43210033585,3227.0022621765333,282.17754937358666,0.1851874931509549,4671.299582779424,0.0,0.0,0.8192382406056232,0.0,0.0,0.0,33841.322307075745,74.41636392988072,27840.368034932148,35930.42517367052,0.0,543.5140148471305,0.0,0.0,0.0,0.0,0.0,1.202231345081147,28.843768634409233,855.9010314810408,36.6079730378723,0.0,0.0,0.0,2152.205830724235,0.0
1995,21284.403955521633,1693.733127060801,0.0,1334.728657210795,5926.101765357362,8883.084138847335,81322.97482288102,3151.772246390997,282.26857337436655,0.1851874931509549,4639.200829698252,0.0,0.0,0.8192382406056232,0.0,0.0,0.0,34060.76067672002,74.41636392988072,27579.236147727046,35993.30261670728,0.0,527.9188998761857,0.0,0.0,0.0,0.0,0.0,1.202231345081147,29.74809462801422,856.8108773029707,36.78956650077933,0.0,0.0,0.0,2153.6546187062913,0.0
1996,21492.776867291093,1700.853768810161,0.0,1338.3443233695016,5963.913304539676,8927.680996386156,83605.14705092381,3132.5636172941754,284.35366136926564,0.1851874931509549,4685.9229884226515,0.0,0.0,0.8192382406056232,0.0,0.0,0.0,34223.67690528605,74.41636392988072,24982.882179804994,35811.308474685706,0.0,534.392543304592,0.0,0.0,0.0,0.0,0.0,1.202231345081147,31.91745481870217,845.8797322067041,36.881458572844586,0.0,0.0,0.0,2157.994287425071,0.0
1997,21948.76013046474,1722.766608447399,0.0,1351.5491678349158,6058.31770125877,9039.653563572465,85491.33817214388,3092.0689709348208,284.985667768131,0.1851874931509549,4727.764001681247,0.0,0.0,0.8192382406056232,0.0,0.0,0.0,34431.4513975734,74.41636392988072,22274.25985028189,35714.81885618456,0.0,539.6592684426163,0.0,0.0,0.0,0.0,0.0,1.202231345081147,32.73162874401202,842.5309164270265,37.42666613440763,0.0,0.0,0.0,2166.407046616928,0.0
1998,22080.010833491546,1728.1484146424464,0.0,1354.2597523391373,6118.929538272221,9118.862602139485,85839.65302100031,3058.4587325064676,284.7981396081004,0.1851874931509549,4731.010785057243,0.0,0.0,0.8192382406056232,0.0,0.0,0.0,34601.96335329251,74.59841193218085,21469.3037056937,35735.81864122451,0.0,544.1938082034666,0.0,0.0,0.0,0.0,0.0,1.202231345081147,33.00258525628379,842.4427477241749,37.78889860633622,0.0,0.0,0.0,2177.662007450912,0.0
1999,22566.267740836985,1765.9668406597386,0.0,1365.7736795301676,6329.431491041979,9341.07617670439,86100.82148407506,2985.6324198879333,284.7953730934019,0.1851874931509549,4757.866216814896,0.0,0.0,0.8192382406056232,0.0,0.0,0.0,35020.28422993554,76.23720011801471,19742.898895272738,35852.40532924819,0.0,549.8178590684133,0.0,0.0,0.0,0.0,0.0,1.202231345081147,34.71956526487974,843.6301104860778,38.243648847189114,0.0,0.0,0.0,2175.0377175554613,0.0
2000,22618.76723079468,1768.7029322782469,0.0,1367.856986351888,6357.546030809642,9394.772328571764,86776.08841948367,2971.0409057249462,284.7028524095082,0.1851874931509549,4789.950181179735,0.0,0.0,0.8192382406056232,0.0,0.0,0.0,35389.645508054826,76.23720011801471,18447.886836680183,35940.372278401264,0.0,550.1821162144425,0.0,0.0,0.0,0.0,0.0,1.202231345081147,35.98606562464764,845.9696953925476,38.79065610332001,0.0,0.0,0.0,2176.4077542475825,0.0
2001,22761.70961856783,1779.174722315634,0.0,1379.1360573841162,6447.246941305092,9542.656778453951,86033.2713809053,2730.6994416988214,282.61111668424525,0.1851874931509549,4766.254072973108,0.0,0.0,0.8192382406056232,0.0,0.0,0.0,35903.26413497383,80.14926944194605,18206.275705347216,36257.60723192721,0.0,554.1834958623367,0.0,0.0,0.0,0.0,0.0,1.2947034404234656,36.1667047936024,849.765282995153,43.23928514161585,0.0,0.0,0.0,2177.402265574673,0.0
