year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6983.672673706146,5274.871797401886,9.199254044017167,0.0,5055.252136989472,571.2068424977508,0.0,13693.472047859019,52.21911020029059,0.0,10056.794879882202,0.0,0.0,11.10536948817353,0.0,0.0,11448.878142511096,3331.4639955862,15.879787345638603,0.0,0.0,0.0,3878.9951308812338,0.0,0.8343660332711424,0.0,0.0,0.0,0.0,0.0,1062.7583589866042,199.8752956813057,2.2308926080850426,0.0,0.9819496670060894,1982.7707315921705,0.0
1993,6983.143740671558,5274.0360266634025,9.199254044017167,0.0,5055.0935408265095,570.842218047537,0.0,13693.36566831086,52.21911020029059,0.0,10055.331394776878,0.0,0.0,11.10536948817353,0.0,0.0,11448.825692194241,3331.4639955862,15.879787345638603,0.0,0.0,0.0,3878.9431685602335,0.0,0.8343660332711424,0.0,0.0,0.0,0.0,0.0,1062.5506473278733,203.64520901762046,2.2308926080850426,0.0,0.9819496670060894,1982.7707315921705,0.0
1994,6982.72137106513,5272.933960353433,9.199254044017167,0.0,5055.040862679446,570.2175491568128,0.0,13693.262614469077,52.21911020029059,0.0,10054.546642529518,0.0,0.0,11.10536948817353,0.0,0.0,11448.773249611482,3331.4639955862,15.879787345638603,0.0,0.0,0.0,3878.9431685602335,0.0,0.8343660332711424,0.0,0.0,0.0,0.0,0.0,1062.4971387693297,206.89268047618114,2.2308926080850426,0.0,0.9819496670060894,1982.7188003182375,0.0
1995,7276.326056018073,5489.877538091337,9.199254044017167,0.0,5178.841981282585,390.7374902280851,0.0,13121.188668166371,52.84555401693142,0.0,10097.77150089939,0.0,0.0,11.264793952863831,0.0,0.0,11383.38301427595,3372.1047183047167,16.09059246853097,0.0,0.0,0.0,3965.6806551675013,0.0,1.0443914189757142,0.0,0.0,0.0,0.0,0.0,1062.0662387655486,210.96919249181914,1.137973014018505,0.0,0.9819496670060894,1990.9512006878526,0.0
1996,7292.934429321553,5497.38064965694,9.199254044017167,0.0,5186.743102252238,379.05725189337716,0.0,13070.302653823372,52.84555401693142,0.0,10076.879897116478,0.0,0.0,11.264793952863831,0.0,0.0,11375.976372941095,3375.9719282945143,16.09059246853097,0.0,0.0,0.0,3973.413166145634,0.0,1.0443914189757142,0.0,0.0,0.0,0.0,0.0,1062.116854336099,214.47933663422913,1.137973014018505,0.0,0.9819496670060894,2034.6426119636885,0.0
1997,7350.129759219357,5526.525561612136,9.199254044017167,0.0,5223.800379922536,375.94282616113077,0.0,12952.522983449302,52.84555401693142,0.0,10070.902215216456,0.0,0.0,11.159727170073404,0.0,0.0,11342.653363535814,3386.7066951815614,16.09059246853097,0.0,0.0,0.0,3993.47754062753,0.0,1.0443914189757142,0.0,0.0,0.0,0.0,0.0,1062.483964648997,218.81537557318958,1.137973014018505,0.0,0.9304305330517849,2036.094175147967,0.0
1998,7385.389983084196,5543.302626227644,9.199254044017167,0.0,5264.489780776603,371.9284655362433,0.0,12841.417409386862,52.84555401693142,0.0,10062.933546165255,0.0,0.0,11.159727170073404,0.0,0.0,11317.451309128835,3402.1915921650575,16.142737049690343,0.0,0.0,0.0,4019.7391711438513,0.0,1.0443914189757142,0.0,0.0,0.0,0.0,0.0,1069.2186097125793,223.94164708490632,1.137973014018505,0.0,0.9304305330517849,2037.998555302778,0.0
1999,7561.230752180532,5620.125593086739,9.199254044017167,0.0,5424.772658563036,379.3263947060623,0.0,12340.182203665456,52.6910784053891,0.0,10007.276885886626,0.0,0.0,10.949955438574648,0.0,0.0,11223.162387158187,3473.0437028542983,17.141348137716424,0.0,0.0,0.0,4127.956134033653,0.0,1.0443914189757142,0.0,0.0,0.0,0.0,0.0,1097.143216653778,228.22812414694593,1.137973014018505,0.0,0.8795047625926701,2056.9712048049673,0.0
2000,7790.560470925484,5706.264578654181,9.354025580315673,0.0,5669.225494442285,425.8155435316964,0.0,11554.660015699,52.587239153515476,0.0,9968.681559111612,0.0,0.0,10.844641585640579,0.0,0.0,11024.304270126115,3639.3287458534123,21.10089176647293,0.0,0.0,0.0,4360.671702998012,0.0,1.0443914189757142,0.0,0.0,0.0,0.0,0.0,1106.0667591992215,232.7288462145438,1.0864421944928149,0.0,0.8795047625926701,2057.257639744002,0.0
2001,7826.254076857653,5721.018008412615,9.354025580315673,0.0,5709.037116536027,417.19688143233213,0.0,11438.926816866047,52.587239153515476,0.0,9952.988782208657,0.0,0.0,10.897049377438979,0.0,0.0,10982.42407872261,3674.9537594095905,19.912783228223752,0.0,0.0,0.0,4395.79904574735,0.0,1.0443914189757142,0.0,0.0,0.0,0.0,0.0,1106.7374314664173,251.0785407457169,1.0864421944928149,0.0,0.8795047625926701,2060.2867888409974,0.0
