year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,9134.823596367767,17710.761528585906,0.0,0.0,12379.107525920435,3162.535594548778,48402.900107653484,8.262567195046854,0.0,154.04807808320786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.7556054503128,12.060334767486943,231.62164600493185,0.0,0.4728787203227637,12.430235797764484,0.0,0.0,0.0,0.0,0.0,0.47308065102407887,274.3674954453042,36.23384841549604,152.48924176056735,0.0,0.0,0.0,6733.859168046927,0.0
1993,9134.538935712286,17710.761528585906,0.0,0.0,12378.917980569844,3162.345872423403,48402.80524681317,8.262567195046854,0.0,153.76344740928926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.37606080550134,11.7757671835123,231.3370834704674,0.0,0.4728787203227637,12.240534421645998,0.0,0.0,0.0,0.0,0.0,0.47308065102407887,273.51374918403155,36.044152656033916,155.99905600498082,0.0,0.0,0.0,6733.574591608299,0.0
1994,9134.254374049666,17710.761528585906,0.0,0.0,12378.917980569844,3162.061238745802,48402.80524681317,8.262567195046854,0.0,153.38388860095625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.90183273128628,11.6808967815475,230.6734108201669,0.0,0.4728787203227637,11.576488449811423,0.0,0.0,0.0,0.0,0.0,0.47308065102407887,273.03949953207615,35.85454354290673,159.5084860169325,0.0,0.0,0.0,6733.574591608299,0.0
1995,9306.811748008888,17746.030401079115,0.0,0.0,12569.712596719737,2993.124489587406,48177.38775083578,8.262567195046854,0.0,153.66818274531138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.56544639912974,11.6808967815475,230.58012559636887,0.0,0.4728787203227637,11.38676274405726,0.0,0.0,0.0,0.0,0.0,0.47308065102407887,273.32186065122573,30.926565924300615,163.11240794652676,0.0,0.0,0.0,6729.684771828974,0.0
1996,9382.67177232098,17755.30418054566,0.0,0.0,12600.51586179292,2919.5645447714273,48131.782962429,8.262567195046854,0.0,153.19434018399224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.28069272579336,11.586059939547834,231.1529031643209,0.0,0.4728787203227637,10.912434845944427,0.0,0.0,0.0,0.0,0.0,0.47308065102407887,266.49135344397314,30.83172753571618,166.52690579176445,0.0,0.0,0.0,6737.178267357342,0.0
1997,9480.3419157986,17810.657819847307,0.0,0.0,12719.884281053935,2916.4093316022418,47859.882001965605,5.027769563012407,0.0,151.7678965321371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.84643598355865,11.776078244044298,236.38567518071943,0.0,0.4728787203227637,10.817568460093836,0.0,0.0,0.0,0.0,0.0,0.47308065102407887,265.16302156967606,30.83172753571618,169.08745774784703,0.0,0.0,0.0,6735.377592958931,0.0
1998,9667.57131970545,17900.449415550996,0.0,0.0,12850.208742334542,2916.0173872000946,47448.751408030184,4.932920915606096,0.0,151.0074062021243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.9326726377991,11.966397972647336,239.71503673813544,0.0,0.4728787203227637,10.912998726519078,0.0,0.0,0.0,0.0,0.0,0.47308065102407887,259.36476773850205,31.116909070768283,171.93159826110607,0.0,0.0,0.0,6735.377592958931,0.0
1999,9718.385037207907,17993.083265334102,0.0,0.0,12960.624428541903,2911.7399231007557,47195.56666551225,5.31054575494202,0.0,150.627471631868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.8794661579782,11.871683967180378,239.24124817828277,0.0,0.4728787203227637,10.913004249977817,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,259.36476773850205,31.116909070768283,175.2496870150009,0.0,0.0,0.0,6735.187889034715,0.0
2000,10058.275408997933,18938.465368504763,0.0,0.0,13846.173871508381,3039.378097964326,44884.49597079639,7.208769461101248,0.0,152.14213866385802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1253160567532,11.871683967180378,239.5292641670705,0.0,0.4728787203227637,10.818135854243199,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,258.98467602510595,28.652940086716537,178.28319607146904,0.0,0.0,0.0,6735.757154370808,0.0
2001,10157.915891684243,19490.441733162213,0.0,0.0,14220.272968789865,3090.8766691274786,43805.477956501774,6.7343465434496155,0.0,150.1495336484849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0672524562652,11.492188246507807,239.43611942471563,0.0,0.4728787203227637,10.53357818620406,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,258.03457760102253,26.755966873134742,183.31091165549736,0.0,0.0,0.0,6735.66229859525,0.0
2002,10193.103570225003,19670.8749759199,0.0,0.0,14327.824736280085,3110.2311361756806,43460.00616645815,7.018959752984467,0.0,149.86464185185287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.4909657526465,11.492188246507807,240.67292628927822,0.0,0.4728787203227637,10.723588377498077,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,255.85256732750037,26.471388399204265,185.87188284456226,0.0,0.0,0.0,6735.66229859525,0.0
2003,10211.35068350431,19710.658102524707,0.0,0.0,14378.175565417017,3022.471325595712,43436.25428463379,7.018959752984467,0.0,149.86491116625987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.71881987982846,11.492188246507807,240.86318551751023,0.0,0.4728787203227637,10.53385008055429,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,256.4219399069712,24.66505642604429,187.01082124864857,0.0,0.0,0.0,6735.66229859525,0.0
2004,10284.567286107376,20724.514684759037,0.0,0.0,14773.98199647086,3066.133556032686,41904.58623549905,7.207921510104669,0.0,150.24150553141868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.3708039449602,11.492188246507807,241.05514591778373,0.0,0.4728787203227637,10.53385008055429,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,256.6114483740292,23.053567321756926,188.14950410475436,0.0,0.0,0.0,6735.66229859525,0.0
2005,10288.560037866991,20734.541067452,0.0,0.0,14792.967272890068,3046.3834946717743,41888.01091071093,7.207921510104669,0.0,149.48252178333985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.225778275644,11.11276109797113,240.77112477741616,0.0,0.4728787203227637,10.059559167174116,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,256.42177365846845,22.95871304306445,193.93434946841793,0.0,0.0,0.0,6734.524706122807,0.0
2006,10289.991184235525,20686.419956725083,0.0,0.0,14804.091001382863,3029.5539641370137,41936.141398247964,6.162454048813696,0.0,149.1976643399226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.03011136031364,10.638520495444958,239.73158817084663,0.0,0.4728787203227637,9.869849139368688,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,254.9987291567556,22.57928646604515,201.3264388022756,0.0,0.0,0.0,6734.429845787929,0.0
2007,10292.561250625446,20717.972045745995,0.0,0.0,14824.954893464352,3030.79249057174,41873.94147596874,5.3097550882242475,0.0,147.11424895061083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.30944949277597,10.164284457818916,237.64748777242622,0.0,0.4728787203227637,9.680008629508988,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,256.04217126948,22.294727316830183,211.2758304722475,0.0,0.0,0.0,6733.101872669953,0.0
2008,10298.727399505107,20711.714732144104,0.0,0.0,14834.50675594636,3032.620337002939,41853.456317020726,4.929540583993206,0.0,146.73223440551303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.76356807907706,10.164284457818916,238.21838090916225,0.0,0.4728787203227637,9.585154377708038,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,255.09357348445639,22.104286327632693,215.82299337956488,0.0,0.0,0.0,6732.72243487197,0.0
2009,10306.790031993349,20709.838984705144,0.0,0.0,14844.052475129287,3041.832458710792,41822.82552992741,4.8346661800994415,0.0,144.26723431418043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.9909022086449,10.164284457818916,240.78650393562762,0.0,0.4728787203227637,9.680021768946613,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,254.52457144858778,22.29369182429804,220.65298750923588,0.0,0.0,0.0,6732.627648382705,0.0
2010,10319.03914225637,20871.028110628737,0.0,0.0,14881.685249342558,3056.899626233194,41593.36898363261,4.169739556487397,0.0,143.03400062201064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.32078096947197,10.164284457818916,239.93650543960766,0.0,0.4728787203227637,9.680021768946613,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,254.05013981951055,22.957205765871425,225.2005536202434,0.0,0.0,0.0,6732.627648382705,0.0
2011,10321.414897660092,20914.676962033936,0.0,0.0,14897.147430684885,3059.837661261985,41527.715333580396,3.3157085656499907,0.0,143.4133993499209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.8963866613963,10.164284457818916,238.89681988282322,0.0,0.4728787203227637,9.680021768946613,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,256.51546346011463,23.1471772012275,229.65266783298355,0.0,0.0,0.0,6729.687778093947,0.0
2012,10321.127306433542,20924.110831649876,0.0,0.0,14894.953173960263,3059.170353205521,41520.58437789056,4.169517585805991,0.0,143.60382317190022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.27049367909706,10.258997896709399,235.8615686590321,0.0,0.4728787203227637,9.585150865917209,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,256.99002004808466,23.4314403692515,232.30600590291334,0.0,0.0,0.0,6728.738931177672,0.0
2013,10319.51014256406,20957.55564650814,0.0,0.0,14894.555483470469,3058.5964296622165,41485.27056317307,6.255429804277036,0.0,145.50152194662388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.12498806248146,10.164130505470824,231.50363016773176,0.0,0.4728787203227637,9.490279962887806,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,256.2312455038346,24.189835791128953,236.66344421943623,0.0,0.0,0.0,6728.549221154326,0.0
2014,10319.221244492273,21078.66483715599,0.0,0.0,14901.626001346138,3071.955149822205,41338.06080863869,6.064608461711321,0.0,144.74243487445798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.5833312945559,10.258852418854515,230.74512228077086,0.0,0.4728787203227637,9.585001876271496,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,254.6165966797154,27.130709855900147,240.5477821595755,0.0,0.0,0.0,6728.359511139006,0.0
2015,10318.652930971706,21078.66483715599,0.0,0.0,14901.436864152745,3071.4821932534173,41337.87135510764,6.064608461711321,0.0,144.64797113453938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.2984105391379,10.258852418854515,230.46061486804885,0.0,0.4728787203227637,9.585001876271496,0.0,0.0,0.0,0.0,0.0,0.5676621982997537,254.33188238571543,27.130709855900147,243.0110181641495,0.0,0.0,0.0,6728.264742150289,0.0
