year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,3597.133234663733,3066.211859100997,185.35854108128822,331.9898414024032,962.7589185114058,2766.338000826614,0.0,8484.608151607308,0.2836636578964826,0.0,258.2711729724477,0.0,0.0,0.0,0.0,0.0,102.13886850929752,1490.5167542883798,0.285338128902579,94.22648623459972,0.0,0.0,2801.5752241996315,104.25752019419777,32.877139187097754,0.0,0.0,0.5717772733154335,0.0,0.0,9.819039607581274,187.2975940790807,96.87983247743863,4.695139712746703,0.0,455.9620222128545,0.0
1993,3594.5682917259473,3065.641716984988,185.35854108128822,331.91826763261037,962.4024472581815,2766.338000826614,0.0,8484.608151607308,0.2836636578964826,0.0,258.2711729724477,0.0,0.0,0.0,0.0,0.0,102.13886850929752,1490.5167542883798,0.285338128902579,94.22648623459972,0.0,0.0,2801.290040466775,104.25752019419777,32.877139187097754,0.0,0.0,0.5717772733154335,0.0,0.0,9.819039607581274,192.42900636512542,95.59673400106362,4.695139712746703,0.0,455.9620222128545,0.0
1994,3592.5030982023,3065.4285968003574,185.35854108128822,331.91826763261037,962.4024472581815,2766.267160149554,0.0,8484.536949360201,0.2836636578964826,0.0,258.12752773366475,0.0,0.0,0.0,0.0,0.0,102.13886850929752,1490.4458578332371,0.285338128902579,94.22648623459972,0.0,0.0,2800.8621238368128,104.25752019419777,32.877139187097754,0.0,0.0,0.5717772733154335,0.0,0.0,9.819039607581274,195.99086543672377,95.09768988579792,4.695139712746703,0.0,455.9620222128545,0.0
1995,3605.5940666337674,3066.0758827650125,185.28765701708264,335.2886542526988,970.6109058323455,2774.2320574780565,0.0,8404.392552442423,0.2836636578964826,0.0,244.9486756813825,0.0,0.0,0.0,0.0,0.0,102.280729531441,1502.7569602282772,0.285338128902579,94.65645972992938,0.0,0.0,2844.2489292007954,104.25752019419777,32.87278446727373,0.0,0.0,0.5717772733154335,0.0,0.0,9.819039607581274,199.76761995096362,95.16768393027527,4.695139712746703,0.0,455.9620222128545,0.0
1996,3603.534095085548,3065.2218726916667,185.0737338991729,335.86415386967445,970.3263188432102,2765.5955560838115,0.0,8410.678934753525,0.2836636578964826,0.0,244.51122813479162,0.0,0.0,0.0,0.0,0.0,102.77662048197077,1503.6200730246205,0.285338128902579,94.65645972992938,0.0,0.0,2844.605706542437,104.25752019419777,32.87278446727373,0.0,0.0,0.5717772733154335,0.0,0.0,9.819039607581274,204.82227856411228,94.67106350734684,4.695139712746703,0.0,455.3127616754868,0.0
1997,3604.198527207771,3065.8014980067564,184.85952500593095,336.4418692027101,975.3274078742335,2747.689665652202,0.0,8396.292053553538,0.2836636578964826,0.0,249.52928536781155,0.0,0.0,0.0,0.0,0.0,104.83485782217362,1507.3322105385055,0.285338128902579,94.51321124712352,0.0,0.0,2854.7213549390285,104.25752019419777,32.944039059637255,0.0,0.0,0.5717772733154335,0.0,0.0,10.32150809490808,209.81245603359665,94.03044968074693,4.695139712746703,0.0,455.3127616754868,0.0
1998,3607.250129279586,3064.3004748173466,184.85952500593095,339.9885114512396,979.9664555778917,2729.070596101759,0.0,8371.417465023482,0.2836636578964826,0.0,254.4461450415696,0.0,0.0,0.0,0.0,0.0,105.61698109048264,1516.909904674672,0.285338128902579,94.44199975711273,0.0,0.0,2866.788325847579,104.0444943532102,33.015431979495524,0.0,0.0,0.5717772733154335,0.0,0.0,10.749347170165084,216.43892179087842,93.60273051847173,4.695139712746703,0.0,455.3127616754868,0.0
1999,3617.277462600921,3065.8858843383546,184.78804005367658,349.6855476494947,991.5728677540467,2582.088692368943,0.0,8396.460048012848,0.2836636578964826,0.0,266.4336076192324,0.0,0.0,0.0,0.0,0.0,106.61013099782035,1553.3860231102246,0.285338128902579,92.86766197292104,0.0,0.0,2897.0768664876437,103.69009903245775,33.229112645377455,0.0,0.0,0.5717772733154335,0.0,0.0,14.911895912406484,224.35139694589003,93.24136251597513,4.695139712746703,0.0,454.6635011381191,0.0
2000,3622.3513599205144,3066.3129644911332,185.14704190437803,354.5920084433054,999.3133454322025,2489.603015776581,0.0,8382.499664698473,0.2836636578964826,0.0,277.32379727148964,0.0,0.0,0.0,0.0,0.0,107.32195420580818,1607.689592301728,0.285338128902579,92.08160312000919,0.0,0.0,2912.9839252996203,103.54789653775553,33.229112645377455,0.0,0.0,0.5717772733154335,0.0,0.0,15.910493655092202,231.05083758707633,92.74026612186621,4.55296031857396,0.0,454.6635011381191,0.0
2001,3627.275821477845,3069.3768861443577,185.21834571939715,358.01539008970457,1001.9543809579884,2445.3606832622363,0.0,8388.49622502203,0.2836636578964826,0.0,279.03212230571023,0.0,0.0,0.0,0.0,0.0,108.24817830145699,1623.0596137853488,0.285338128902579,92.0108027568908,0.0,0.0,2915.96717131165,103.54789653775553,33.229112645377455,0.0,0.0,0.5717772733154335,0.0,0.0,17.487193433025894,233.25094011168102,92.23932087678541,4.481754991741995,0.0,454.6635011381191,0.0
