year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,703.1065259485612,89.5770190852815,59.51238466175637,34.107251408147164,311.83398416174657,573.9923069024189,0.0,0.23394891801126122,0.0,0.0,128.22079736803042,0.0,0.0,0.0,0.0,0.0,0.0,190.94571350985674,3.041954577098915,96.7891203819534,0.0,1.4040079480584038,2.491362484324113,0.0,750.9018908126302,0.0,0.0,31.13004626011387,0.0,0.0,0.15607521244798603,27.61081308392202,259.39401221416284,0.46792627464720493,0.0,517.3187724424099,0.0
1993,702.8725771128394,89.5770190852815,59.51238466175637,34.107251408147164,311.83398416174657,573.9923069024189,0.0,0.23394891801126122,0.0,0.0,128.22079736803042,0.0,0.0,0.0,0.0,0.0,0.0,190.94571350985674,3.041954577098915,96.7891203819534,0.0,1.4040079480584038,2.491362484324113,0.0,750.9018908126302,0.0,0.0,31.13004626011387,0.0,0.0,0.15607521244798603,28.390471781425838,258.8483023523807,0.46792627464720493,0.0,517.3187724424099,0.0
1994,702.7166618553964,89.5770190852815,59.51238466175637,34.107251408147164,311.83398416174657,573.9923069024189,0.0,0.23394891801126122,0.0,0.0,128.22079736803042,0.0,0.0,0.0,0.0,0.0,0.0,190.94571350985674,3.041954577098915,96.7891203819534,0.0,1.4040079480584038,2.491362484324113,0.0,750.9018908126302,0.0,0.0,31.13004626011387,0.0,0.0,0.15607521244798603,28.85837484005018,258.53631455119927,0.46792627464720493,0.0,517.3187724424099,0.0
1995,717.246362807853,90.89756605288531,59.51238466175637,34.107251408147164,320.2267736811935,564.8684392896436,0.0,0.23394891801126122,0.0,0.0,103.28423176137045,0.0,0.0,0.0,0.0,0.0,0.0,199.11140475206994,3.041954577098915,97.17809095070987,0.0,1.4040079480584038,2.491362484324113,0.0,752.3805036411297,0.0,0.0,31.13004626011387,0.0,0.0,0.15607521244798603,29.170047626907486,264.2190515817056,0.46792627464720493,0.0,511.1084837655055,0.0
1996,720.2751910997473,91.20835666501861,59.51238466175637,34.107251408147164,322.561803903641,564.3978895977652,0.0,0.23394891801126122,0.0,0.0,88.10423113256634,0.0,0.0,0.0,0.0,0.0,0.0,205.49413825352264,3.041954577098915,99.82528225917542,0.0,1.4040079480584038,2.491362484324113,0.0,752.9254842426892,0.0,0.0,31.13004626011387,0.0,0.0,0.15607521244798603,29.716160118119127,274.26084003997926,0.46792627464720493,0.0,500.9215785987495,0.0
1997,720.1188095658089,91.20835666501861,59.74591948365469,34.107251408147164,322.79535210322166,562.6846326100483,0.0,0.23394891801126122,0.0,0.0,86.8606015269925,0.0,0.0,0.0,0.0,0.0,0.0,207.28344829212702,3.041954577098915,99.43608342260318,0.0,1.4040079480584038,2.491362484324113,0.0,752.9254842426892,0.0,0.0,31.13004626011387,0.0,0.0,0.15607521244798603,30.57400709448094,274.64906696733556,0.46792627464720493,0.0,500.9215785987495,0.0
1998,719.8068031426307,91.20835666501861,59.74591948365469,34.107251408147164,322.79535210322166,559.1033569349341,0.0,0.23394891801126122,0.0,0.0,88.33993273817698,0.0,0.0,0.0,0.0,0.0,0.0,209.3853927560567,3.041954577098915,99.43608342260318,0.0,1.4040079480584038,2.491362484324113,0.0,752.9254842426892,0.0,0.0,31.13004626011387,0.0,0.0,0.15607521244798603,31.509804690079484,274.0252757949157,0.46792627464720493,0.0,500.9215785987495,0.0
1999,719.80596901452,91.20835666501861,59.74591948365469,34.18509545689787,322.79535210322166,524.8488425550249,0.0,0.23394891801126122,0.0,0.0,88.732267488192,0.0,0.0,0.0,0.0,0.0,0.0,241.76752450326188,3.041954577098915,98.34732037223299,0.0,1.4040079480584038,2.491362484324113,0.0,752.9254842426892,0.0,0.0,31.13004626011387,0.0,0.0,0.15607521244798603,32.13381999484184,276.04816397849856,0.46792627464720493,0.0,500.76647612282324,0.0
2000,720.1936030075716,91.28592677168992,59.74591948365469,34.18509545689787,322.79535210322166,514.417012524078,0.0,0.23394891801126122,0.0,0.0,90.91287914239334,0.0,0.0,0.0,0.0,0.0,0.0,249.8632928371461,3.041954577098915,97.80214989607087,0.0,1.4040079480584038,2.491362484324113,0.0,752.8475199416914,0.0,0.0,31.13004626011387,0.0,0.0,0.15607521244798603,33.06946300332155,276.1240326498123,0.46792627464720493,0.0,500.06834516332816,0.0
2001,719.5695739800111,91.28592677168992,59.74591948365469,34.18509545689787,322.79535210322166,512.0040032436217,0.0,0.23394891801126122,0.0,0.0,90.91287914239334,0.0,0.0,0.0,0.0,0.0,0.0,252.12047529543057,3.041954577098915,97.1781074816054,0.0,1.4040079480584038,2.491362484324113,0.0,752.9253211441974,0.0,0.0,31.13004626011387,0.0,0.0,0.15607521244798603,38.29544978562122,272.22414292920456,0.46792627464720493,0.0,500.06834516332816,0.0
