year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,9904.677512132195,3601.043193982563,2.3042770594847233,12027.581856538216,4510.247732767161,12380.170863812904,9200.36378220863,16904.327210507934,9819.475647737692,0.0,33048.59186990847,0.0,0.0,0.0,0.0,0.0,0.3366552740156299,1996.7921852616,5386.672073683491,580.790134692861,145.36068537012696,2.010951801637134,23347.87869697603,0.0,139.28217809402133,0.0,0.0,0.0,0.0,0.0,22.935957459255675,140.98533462101233,1903.439774616207,68.57341721415865,90.15844545874478,298.4748304371413,5465.963640061508
1993,9903.916983915231,3600.6197902946806,2.3042770594847233,12027.581856538216,4509.994303406927,12379.83284615322,9200.36378220863,16904.327210507934,9819.475647737692,0.0,33048.59186990847,0.0,0.0,0.0,0.0,0.0,0.3366552740156299,1996.7921852616,5386.672073683491,580.790134692861,145.36068537012696,2.010951801637134,23347.62525255341,0.0,139.28217809402133,0.0,0.0,0.0,0.0,0.0,22.935957459255675,143.01415796839902,1903.439774616207,68.57341721415865,90.15844545874478,298.4748304371413,5465.963640061508
1994,9903.49491861274,3600.366268446093,2.3042770594847233,12027.581856538216,4509.825335437717,12379.579311441337,9200.36378220863,16904.158178041802,9819.475647737692,0.0,33048.50737624233,0.0,0.0,0.0,0.0,0.0,0.3366552740156299,1996.7921852616,5386.588112903355,580.790134692861,145.36068537012696,2.010951801637134,23347.540767491304,0.0,139.28217809402133,0.0,0.0,0.0,0.0,0.0,22.935957459255675,144.53421977508592,1903.439774616207,68.57341721415865,90.15844545874478,298.4748304371413,5465.963640061508
1995,10003.664541298012,3619.166585931694,2.3042770594847233,12202.506641853404,4547.814734826396,11723.185381345962,9378.479052120034,16634.710998984447,9858.832677227465,0.0,33474.903058792705,0.0,0.0,0.0,0.0,0.0,0.3366552740156299,2010.6904415030344,5374.384174674033,547.8634677142188,146.29626843663786,2.010951801637134,23341.827733329304,0.0,139.28217809402133,0.0,0.0,0.0,0.0,0.0,22.935957459255675,146.22150195983906,1887.8512948199277,68.57341721415865,90.15844545874478,298.4748304371413,5465.963640061508
1996,10016.964931716615,3624.062614863524,2.3042770594847233,12225.318409941698,4557.767943367008,11618.433871137879,9430.906703705074,16588.59685035182,9863.39419188833,0.0,33540.710957114454,0.0,0.0,0.0,0.0,0.0,0.3366552740156299,2011.536122729319,5375.47840226435,520.5267164328693,146.29626843663786,2.010951801637134,23343.236722898175,0.0,139.28217809402133,0.0,0.0,0.0,0.0,0.0,22.935957459255675,147.40192819007737,1887.7659197792696,68.57341721415865,90.15844545874478,298.4748304371413,5465.963640061508
1997,10049.342964390367,3642.747050106192,2.3042770594847233,12274.68819784287,4573.091330412079,11604.371874355886,9447.30407356934,16465.787297672945,9865.614216633516,0.0,33568.8084411222,0.0,0.0,0.0,0.0,0.0,0.3366552740156299,2013.7333291716586,5377.228345533667,488.5343330739026,146.29626843663786,2.010951801637134,23344.340764059998,0.0,139.28217809402133,0.0,0.0,0.0,0.0,0.0,23.101678850955665,148.66751636404615,1887.6768306800977,68.57341721415865,90.15844545874478,298.4748304371413,5465.963640061508
1998,10087.674131734475,3674.7380949826734,2.3042770594847233,12283.165035997969,4603.66335503712,11633.093826754213,9460.497864374644,16319.976392388815,9864.947806222452,0.0,33569.27645065112,0.0,0.0,0.0,0.0,0.0,0.3366552740156299,2015.6779966907338,5376.796082228153,480.54121436026304,146.46467797970652,2.010951801637134,23343.535894324374,0.0,139.28217809402133,0.0,0.0,0.0,0.0,0.0,23.101678850955665,151.5317732458577,1886.6522364528512,68.57341721415865,90.15844545874478,298.4748304371413,5465.963640061508
1999,10377.25566750442,3979.8318174128535,2.3042770594847233,12349.148460056353,4982.252132004804,12470.650139063657,9430.367522118355,14718.15495871798,9805.088461315161,0.0,33320.90240778735,0.0,0.0,0.0,0.0,0.0,0.3366552740156299,2043.7366676125157,5387.199580796715,493.9752909450189,147.30790255153207,2.010951801637134,23360.76002628844,0.0,139.36466789857192,0.0,0.0,0.0,0.0,0.0,23.101678850955665,154.56616819229708,1876.9531412533843,68.57341721415865,90.15844545874478,298.4748304371413,5465.963640061508
2000,10393.03850192876,4010.1417707850014,2.3042770594847233,12358.30935773706,5004.838820462771,12536.151316064146,9430.372541175273,14593.416592088377,9796.339449009572,0.0,33305.758833215674,0.0,0.0,0.0,0.0,0.0,0.3366552740156299,2049.4822670293815,5388.389078608594,494.0841786206517,147.39237254707777,2.010951801637134,23354.449240753238,0.0,139.36466789857192,0.0,0.0,0.0,0.0,0.0,23.101678850955665,159.28228991422222,1876.7037336810258,68.57341721415865,90.15844545874478,298.4748304371413,5465.963640061508
2001,10407.04697662106,4049.0371151937297,2.5597880166555345,12374.046855175924,5042.66449238584,12629.655915951247,9421.105375318473,14388.199889813433,9784.80045877529,0.0,33282.762676478975,0.0,0.0,0.0,0.0,0.0,0.3366552740156299,2068.6690663872682,5377.559880944538,508.4716984090194,151.04750728053804,2.010951801637134,23374.129457342446,0.0,139.44735474858902,0.0,0.0,0.0,0.0,0.0,23.101678850955665,185.05259724746173,1853.5621824883624,68.57341721415865,90.15844545874478,298.4748304371413,5465.963640061508
