year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,2460.0620707511944,9018.455438475332,2.2835156751509587,0.0,2616.706935034715,1025.7359600126024,0.0,386.9978269237066,0.17615354333115726,0.0,1703.8494559490446,0.0,0.0,3.6078663475891055,0.0,0.0,369.85187566781315,972.1123863473879,116.18545943013413,0.0,0.0,0.0,11631.105129651316,0.0,11.79151948995835,0.0,0.0,0.0,0.0,0.0,664.6283818582294,1862.1006877925413,46.97791529947857,0.6463071405552492,15.027780750427294,6901.034646326836,0.0
1993,2454.6371009732748,8986.480988147881,2.2835156751509587,0.0,2610.2819372077474,1015.518713605355,0.0,386.82295276195714,0.17615354333115726,0.0,1697.918919164659,0.0,0.0,3.6078663475891055,0.0,0.0,369.79313107396405,970.9928519723079,116.18545943013413,0.0,0.0,0.0,11613.937214174695,0.0,11.614246014686348,0.0,0.0,0.0,0.0,0.0,663.5684879713291,1942.2420666200705,46.97791529947857,0.6463071405552492,15.027780750427294,6900.623704592736,0.0
1994,2450.2877251847613,8949.613750918683,2.2835156751509587,0.0,2603.4791366302256,1007.7736419917024,0.0,386.7063333306776,0.17615354333115726,0.0,1692.6863523798918,0.0,0.0,3.6078663475891055,0.0,0.0,369.73439013050904,969.9276454753198,116.18545943013413,0.0,0.0,0.0,11591.282049804091,0.0,11.32030494376407,0.0,0.0,0.0,0.0,0.0,662.869793388664,2028.539629263396,46.97791529947857,0.6463071405552492,15.027780750427294,6900.211560838993,0.0
1995,2448.716937581901,8960.287012243567,2.2835156751509587,0.0,2602.2228170365424,974.2655989568547,0.0,388.16582166482544,0.17615354333115726,0.0,1685.1966096547292,0.0,0.0,3.6078663475891055,0.0,0.0,372.8900600090704,970.2697126649165,118.05508010386944,0.0,0.0,0.0,11541.639534108574,0.0,11.260651047326602,0.0,0.0,0.0,0.0,0.0,663.1650867756613,2119.061936260454,46.97791529947857,0.5875771340885477,14.969525985518956,6885.537900373893,0.0
1996,2445.1094200323273,8961.736865498153,2.2835156751509587,0.0,2596.0286141647025,927.5667007128019,0.0,388.63227087594726,0.17615354333115726,0.0,1686.3157792405307,0.0,0.0,3.6078663475891055,0.0,0.0,378.8739806248956,969.9081296473072,118.22558194340974,0.0,0.0,0.0,11518.888506046926,0.0,11.26010627276341,0.0,0.0,0.0,0.0,0.0,663.283405217284,2203.4579985843366,46.97791529947857,0.5287778659973955,14.911590563610407,6871.564134310799,0.0
1997,2440.8869520975536,8930.201502817868,2.2835156751509587,0.0,2592.1498642609913,900.2701071713411,0.0,388.81036391672023,0.17615354333115726,0.0,1696.544799424734,0.0,0.0,3.666578117973563,0.0,0.0,383.278873792028,971.0244743965828,118.10853848471886,0.0,0.0,0.0,11506.214205608136,0.0,11.26010627276341,0.0,0.0,0.0,0.0,0.0,662.5173468973561,2268.1956008276734,46.97791529947857,0.5287778659973955,14.911590563610407,6871.330045433325,0.0
1998,2438.3098160743752,8900.561781008717,2.2835156751509587,0.0,2586.1478944256723,881.0798591854855,0.0,387.9930004810403,0.17615354333115726,0.0,1699.003541510374,0.0,0.0,3.666578117973563,0.0,0.0,385.7907770545891,971.5489471623316,119.85495679813512,0.0,0.0,0.0,11501.39636153877,0.0,11.26010627276341,0.0,0.0,0.0,0.0,0.0,661.4590726886423,2324.5999918261186,46.91906138323594,0.4700332721482857,14.853339462508712,6871.962524985969,0.0
1999,2432.192072873485,8886.57019449349,2.2835156751509587,0.0,2576.381344390936,587.2914359054528,0.0,429.75311715104567,0.17615354333115726,0.0,1828.5243461716668,0.0,0.0,3.666578117973563,0.0,0.0,431.0211985999939,1013.3590785721238,120.14044249530053,0.0,0.0,0.0,11498.882519351917,0.0,11.200627978243404,0.0,0.0,0.0,0.0,0.0,654.2188863284913,2378.373480473619,47.03488889924428,0.4700332721482857,14.853339462508712,6892.94405871121,0.0
2000,2422.37674746151,8853.334276218584,2.2835156751509587,0.0,2566.6231341325424,529.1195274689334,0.0,434.24103023208244,0.17615354333115726,0.0,1821.3730832372096,0.0,0.0,3.666578117973563,0.0,0.0,433.8683797281156,1017.4944072861326,122.06268364100052,0.0,0.0,0.0,11548.571384459101,0.0,11.081321611651022,0.0,0.0,0.0,0.0,0.0,653.5120662625767,2432.231390441436,46.97738456008051,0.4700332721482857,14.853339462508712,6895.020875655268,0.0
2001,2395.6806436257957,8713.597090676078,2.2835156751509587,0.0,2533.094038695226,449.30104880304896,0.0,411.5611871822476,0.17615354333115726,0.0,1769.8126699453253,0.0,0.0,3.666578117973563,0.0,0.0,432.81724122924277,1014.8204059840509,124.10201215320939,0.0,0.0,0.0,11499.595175894123,0.0,10.965685726454241,0.0,0.0,0.0,0.0,0.0,654.1256640370334,2845.8560531188778,47.15381151850539,0.5288908648755697,14.736599841541826,6885.462845835252,0.0
2002,2365.924096775431,8492.015916096301,2.2835156751509587,0.0,2510.616966326365,418.32211576162194,0.0,409.3558637132608,0.17615354333115726,0.0,1752.2962207766832,0.0,0.0,3.666578117973563,0.0,0.0,432.11186734577166,1011.8314151038336,123.86610091792313,0.0,0.0,0.0,11422.766197121318,0.0,10.613340167021411,0.0,0.0,0.0,0.0,0.0,651.4712289540664,3259.247965188857,47.09500860723719,0.4700915967844175,14.736599841541826,6880.4700708368655,0.0
2003,2345.816077123485,8315.371359184097,2.2835156751509587,0.0,2500.064928880946,398.78848095894426,0.0,409.689587681062,0.17615354333115726,0.0,1738.6073700073912,0.0,0.0,3.666578117973563,0.0,0.0,433.1553941636351,1014.006821901148,122.85465501947677,0.0,0.0,0.0,11375.140468180527,0.0,9.964717036504217,0.0,0.0,0.0,0.0,0.0,649.3854764648515,3550.4318274353877,47.036161973616146,0.4700915967844175,14.736599841541826,6877.691047681481,0.0
2004,2330.220224378753,8179.1828299029285,2.2835156751509587,0.0,2491.521502046868,380.08829082733854,0.0,408.4230119552276,0.17615354333115726,0.0,1730.2666834569682,0.0,0.0,3.5528993404591036,0.0,0.0,433.27051085910074,1018.4706625845994,122.97698593724535,0.0,0.0,0.0,11334.86543996589,0.0,9.609172034566457,0.0,0.0,0.0,0.0,0.0,647.2215532941469,3778.281741009114,46.743959424708635,0.4700915967844175,14.736599841541826,6876.975484792615,0.0
2005,2331.551031864239,8177.9973322676915,2.2835156751509587,0.0,2491.695249849695,375.6198616111234,0.0,402.5943677939378,0.17615354333115726,0.0,1723.639553298359,0.0,0.0,3.5528993404591036,0.0,0.0,432.5117799668381,1023.2670530783304,123.16688885583032,0.0,0.0,0.0,11337.535863254365,0.0,9.55030354973904,0.0,0.0,0.0,0.0,0.0,647.7291955852216,3790.06528252207,46.685112791087604,0.4700915967844175,14.736599841541826,6874.50917618154,0.0
2006,2331.089102500313,8175.3963503833575,2.2835156751509587,0.0,2490.5867220059845,370.49508449853624,0.0,399.97258840936956,0.17615354333115726,0.0,1719.580315206346,0.0,0.0,3.5528993404591036,0.0,0.0,432.21746763969617,1031.561842682635,123.46118363431891,0.0,0.0,0.0,11336.229255115502,0.0,9.491413218686297,0.0,0.0,0.0,0.0,0.0,647.906832196327,3800.9933739788203,46.62564173136485,0.4700915967844175,14.736599841541826,6872.510879268811,0.0
2007,2330.913066461039,8175.985020964405,2.2835156751509587,0.0,2486.6757320412544,369.6329122995692,0.0,398.09758302265664,0.17615354333115726,0.0,1707.8340285881732,0.0,0.0,3.5528993404591036,0.0,0.0,431.1005353779514,1041.9554849652418,125.4491648560005,0.0,0.0,0.0,11338.814746112083,0.0,9.491413218686297,0.0,0.0,0.0,0.0,0.0,648.1637532770008,3807.986899109847,46.623082602655245,0.4700915967844175,14.736599841541826,6869.394629573502,0.0
2008,2329.7460679707415,8167.442922605822,2.2835156751509587,0.0,2484.630094031276,358.1360048856186,0.0,399.7115072355863,0.17615354333115726,0.0,1704.8039660857137,0.0,0.0,3.5528993404591036,0.0,0.0,431.3881551260454,1052.0529053874068,127.14658456764501,0.0,0.0,0.0,11335.651834784247,0.0,9.374501074492047,0.0,0.0,0.0,0.0,0.0,644.8287938169514,3828.769459026687,46.56423961555457,0.3525550307630293,14.561133234347148,6868.164019429498,0.0
