year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,428.8510323197784,504.00658372504716,3.384444647310872,11.007020345288801,1837.7541416021134,1197.413560630282,9197.450535850267,0.0,0.0,0.0,0.0,0.0,0.0,1.5125150924988895,0.0,0.0,0.0,10.437204157829338,61.3964804117265,619.0506495105631,0.2657918589605857,0.0,0.3562622561099764,0.0,825.8244363752269,0.0,0.0,0.0,269.87640399687814,508.7513146180327,0.0,9.2137619851569,0.0,0.0,0.0,7799.768985009727,0.0
1993,428.8510323197784,504.00658372504716,3.384444647310872,11.007020345288801,1837.7541416021134,1197.413560630282,9197.450535850267,0.0,0.0,0.0,0.0,0.0,0.0,1.5125150924988895,0.0,0.0,0.0,10.437204157829338,61.3964804117265,619.0506495105631,0.2657918589605857,0.0,0.3562622561099764,0.0,825.8244363752269,0.0,0.0,0.0,269.87640399687814,508.7513146180327,0.0,9.2137619851569,0.0,0.0,0.0,7799.768985009727,0.0
1994,428.8510323197784,504.00658372504716,3.384444647310872,11.007020345288801,1837.7541416021134,1197.413560630282,9197.450535850267,0.0,0.0,0.0,0.0,0.0,0.0,1.5125150924988895,0.0,0.0,0.0,10.437204157829338,61.3964804117265,619.0506495105631,0.2657918589605857,0.0,0.3562622561099764,0.0,825.8244363752269,0.0,0.0,0.0,269.87640399687814,508.7513146180327,0.0,9.2137619851569,0.0,0.0,0.0,7799.768985009727,0.0
1995,437.5315112346233,517.4726146665898,3.384444647310872,11.095569779111681,1821.5047597526102,1201.9416292402987,9243.692039076537,0.0,0.0,0.0,0.0,0.0,0.0,1.5125150924988895,0.0,0.0,0.0,10.437204157829338,61.39685584513377,617.4515608498282,0.2657918589605857,0.0,0.3562622561099764,0.0,840.5456059924177,0.0,0.0,0.0,269.9647798732365,511.7907667528065,0.0,9.2137619851569,0.0,0.0,0.0,7726.763451331731,0.0
1996,440.3714990669504,520.5794429056593,3.384444647310872,11.095569779111681,1802.3453356773343,1203.097084698559,9265.437230438796,0.0,0.0,0.0,0.0,0.0,0.0,1.5125150924988895,0.0,0.0,0.0,10.437204157829338,61.574665048061306,616.7094294804313,0.2657918589605857,0.0,0.3562622561099764,0.0,845.6182124580967,0.0,0.0,0.0,270.22987955760954,512.3216791335814,0.0,9.2137619851569,0.0,0.0,0.0,7711.771116150739,0.0
1997,442.32192878623044,524.3027398668381,3.384444647310872,11.095569779111681,1805.0035972665416,1205.1426100213232,9259.477365843964,0.0,0.0,0.0,0.0,0.0,0.0,1.6016208191882246,0.0,0.0,0.0,10.437204157829338,62.02132015866246,619.6431543806084,0.2657918589605857,0.0,0.3562622561099764,0.0,852.9783725095992,0.0,0.0,0.0,270.22987955760954,513.4763204766413,0.0,9.2137619851569,0.0,0.0,0.0,7695.36918002111,0.0
1998,447.6522345276266,530.0664942985755,3.384444647310872,11.626955860673117,1812.03958789278,1214.2184486489289,9224.398987197104,0.0,0.0,0.0,0.0,0.0,0.0,1.6016208191882246,0.0,0.0,0.0,10.793432927129189,64.52144644899798,633.6946875915107,0.2657918589605857,0.0,0.3562622561099764,0.0,869.8555145651862,0.0,0.0,0.0,270.22987955760954,519.0597911168993,0.0,9.2137619851569,0.0,0.0,0.0,7663.34178219305,0.0
1999,457.67617870061855,545.3314158569538,3.384444647310872,13.13792623019684,1837.0945499287175,1240.963021182521,9119.389292942342,0.0,0.0,0.0,0.0,0.0,0.0,1.6016208191882246,0.0,0.0,0.0,11.061237362618137,67.54800200693681,656.2556605946343,0.2657918589605857,0.0,0.3562622561099764,0.0,896.8797631500995,0.0,0.0,0.0,270.22987955760954,524.3001039618642,0.0,9.2137619851569,0.0,0.0,0.0,7631.632211350956,0.0
2000,462.82695242395494,548.0794699623584,3.6503285231428246,13.403125371258215,1895.6322581455356,1279.7657266155193,8985.82177828052,0.0,0.0,0.0,0.0,0.0,0.0,1.6016208191882246,0.0,0.0,0.0,11.061237362618137,70.5713260160408,679.7515539558365,0.2657918589605857,0.0,0.5328353808870592,0.0,905.0539289826453,0.0,0.0,0.0,270.22987955760954,527.2269963858419,0.0,9.2137619851569,0.0,0.0,0.0,7621.632552765723,0.0
2001,463.7136788872524,549.4092669299428,4.093748459008387,13.668137616388671,1915.1889946340725,1296.1867604271117,8926.59292127087,0.0,0.0,0.0,0.0,0.0,0.0,1.424947739971771,0.0,0.0,0.0,11.14960101273789,72.07671922214958,692.1846776522548,0.2657918589605857,0.0,0.5328353808870592,0.0,910.9993872864325,0.0,0.0,0.0,270.22987955760954,528.0303364103205,0.0,9.655363234257564,0.0,0.0,0.0,7620.918076812571,0.0
2002,464.42741478608633,555.7013598913064,4.093748459008387,13.668137616388671,1919.1695438660668,1302.6613640933708,8923.732787071125,0.0,0.0,0.0,0.0,0.0,0.0,1.424947739971771,0.0,0.0,0.0,11.23886479551494,72.16508287226934,665.1774746603996,0.2657918589605857,0.0,0.5328353808870592,0.0,921.9026122661661,0.0,0.0,0.0,270.22987955760954,528.8286984746951,0.0,10.891959131605383,0.0,0.0,0.0,7620.208621871366,0.0
2003,463.9012574504152,556.7701628294786,4.0043414901975165,13.668137616388671,1850.2855876495491,1296.7868088374485,9004.480346008113,0.0,0.0,0.0,0.0,0.0,0.0,1.5144449803282949,0.0,0.0,0.0,11.23886479551494,72.96111273418734,651.7459882503576,0.2657918589605857,0.0,0.5328353808870592,0.0,926.239633863223,0.0,0.0,0.0,270.8546482775556,529.2846074812805,0.0,15.838857786085613,0.0,0.0,0.0,7615.947697102821,0.0
2004,464.7956192239854,556.0666537377377,4.0043414901975165,13.844959124232641,1790.7036078597193,1297.2115220089318,9074.52351226609,0.0,0.0,0.0,0.0,0.0,0.0,1.5144449803282949,0.0,0.0,0.0,12.387889911563972,73.75694579583526,629.5831278233418,0.2657918589605857,0.0,0.5328353808870592,0.0,933.2557583195845,0.0,0.0,0.0,271.2113595449745,528.8446943719879,0.0,18.40079846500435,0.0,0.0,0.0,7615.417262229431,0.0
2005,466.12838231925554,556.2446132541716,4.0043414901975165,13.844959124232641,1738.6002163055646,1289.9739304654563,9147.486852938717,0.0,0.0,0.0,0.0,0.0,0.0,1.5144449803282949,0.0,0.0,0.0,12.564657364718089,74.02351829333507,608.6744101610618,0.2657918589605857,0.0,0.5328353808870592,0.0,937.7016879288216,0.0,0.0,0.0,271.47814470912425,528.9341739323976,0.0,18.930901656134406,0.0,0.0,0.0,7615.417262229431,0.0
2006,467.28205369058475,558.2016511489978,4.0043414901975165,13.844959124232641,1672.2919839987435,1277.4874996519666,9233.617940752827,0.0,0.0,0.0,0.0,0.0,0.0,1.603336962903482,0.0,0.0,0.0,13.626134964164219,75.25701466204546,589.6399985039153,0.2657918589605857,0.0,0.5328353808870592,0.0,941.8624962259531,0.0,0.0,0.0,272.01251103807766,529.8239826654429,0.0,19.549330043466288,0.0,0.0,0.0,7615.417262229431,0.0
2007,470.4897713677227,560.2447339927451,4.0043414901975165,14.02356274268182,1617.9512498465099,1269.5649130251545,9305.779500831668,0.0,0.0,0.0,0.0,0.0,0.0,1.603336962903482,0.0,0.0,0.0,13.98043970962439,76.41048337698706,564.9867031106814,0.2657918589605857,0.0,0.5328353808870592,0.0,948.0882124602113,0.0,0.0,0.0,272.1904439472418,530.1780948015959,0.0,20.609447257592368,0.0,0.0,0.0,7615.417262229431,0.0
2008,469.50913661297875,560.2457678353315,4.0043414901975165,13.93502050231461,1537.3048424391677,1256.8728569881218,9412.83545551512,0.0,0.0,0.0,0.0,0.0,0.0,1.7811913802799069,0.0,0.0,0.0,13.887520820713346,74.88975938053855,549.4261009926269,0.2657918589605857,0.0,0.5328353808870592,0.0,949.5904907740638,0.0,0.0,0.0,272.5472240076911,532.1359268788182,0.0,21.13959930555101,0.0,0.0,0.0,7615.417262229431,0.0
2009,468.6227490834717,559.5342152919987,4.0043414901975165,13.93502050231461,1422.5836667796975,1229.6710725844077,9578.20142774279,0.0,0.0,0.0,0.0,0.0,0.0,1.8700445929595266,0.0,0.0,0.0,16.018700843753763,62.65209572949997,538.7828662586713,0.2657918589605857,0.0,0.5328353808870592,0.0,945.5670315633479,0.0,0.0,0.0,272.81441471597867,533.9127633304528,0.0,21.934824413972073,0.0,0.0,0.0,7615.417262229431,0.0
2010,471.4656207522009,559.2694348816823,4.0043414901975165,14.200889056325115,1422.3113034076991,1229.8411188687867,9572.66705675905,0.0,0.0,0.0,0.0,0.0,0.0,1.8700445929595266,0.0,0.0,0.0,16.370110628222818,61.93448671298779,540.1726527069804,0.2657918589605857,0.0,0.5328353808870592,0.0,947.3378310170827,0.0,0.0,0.0,272.81441471597867,533.3815847299448,0.0,22.55322479865979,0.0,0.0,0.0,7615.3283820341885,0.0
2011,471.20059625674264,559.3590364160615,4.0043414901975165,14.200889056325115,1417.494572332167,1233.1848975456678,9566.614283767962,0.0,0.0,0.0,0.0,0.0,0.0,1.8700445929595266,0.0,0.0,0.0,16.370110628222818,62.02358083861739,545.3038546854963,0.2657918589605857,0.0,0.5328353808870592,0.0,949.4658696547782,0.0,0.0,0.0,272.81441471597867,533.2043423659543,0.0,23.08328077163111,0.0,0.0,0.0,7615.3283820341885,0.0
2012,470.8471592158627,559.62620083626,4.0043414901975165,14.11255164161307,1416.4282666204858,1234.9627848990908,9561.826315859907,0.0,0.0,0.0,0.0,0.0,0.0,1.7809206575817227,0.0,0.0,0.0,16.370110628222818,62.02358083861739,548.4007678315631,0.35491579433838977,0.0,0.5328353808870592,0.0,950.4440172307136,0.0,0.0,0.0,272.81441471597867,532.761902067395,0.0,23.701656649894275,0.0,0.0,0.0,7615.3283820341885,0.0
