year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,4519.790207897744,609.7539223482773,1.492725247358185,0.0,3977.537849522263,27166.271980480713,61664.46571280306,12370.368049370829,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,2153.410391731189,749.8683501490758,174.64278522725684,0.0,0.0,3137.8255508960956,0.0,1.7672053877364233,0.0,0.0,0.0,30.368980838689957,873.4173787153748,308.645285886318,171.52507162637718,23.409954517592908,0.0,0.0,12144.817101615918,0.0
1993,4517.645008430761,609.7539223482773,1.492725247358185,0.0,3975.8593481678427,27165.80612046215,61663.99909876655,12370.27464230604,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,2153.317088330529,749.6824514170036,174.64278522725684,0.0,0.0,3137.7326052006692,0.0,1.7672053877364233,0.0,0.0,0.0,30.368980838689957,873.4173787153748,308.365251276286,177.02683600582557,23.409954517592908,0.0,0.0,12144.817101615918,0.0
1994,4516.245635001889,609.6606530914372,1.492725247358185,0.0,3975.6726834592832,27165.619706645703,61663.34743748214,12370.27464230604,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,2153.317088330529,749.589173354479,174.64278522725684,0.0,0.0,3137.6392496478543,0.0,1.7672053877364233,0.0,0.0,0.0,30.368980838689957,873.4173787153748,308.1786863658397,180.01101291227837,23.409954517592908,0.0,0.0,12144.723505730373,0.0
1995,4534.672887571832,615.245521584778,1.492725247358185,0.0,4023.4864440381866,27766.715301683627,60937.62307893686,12368.620488774315,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,2159.8245983715624,755.7985404264559,174.64278522725684,0.0,0.0,3143.9380157677033,0.0,1.7672053877364233,0.0,0.0,0.0,31.116846828218918,879.4314072311928,308.5480562108477,182.52711545708283,23.409954517592908,0.0,0.0,12170.517530999332,0.0
1996,4534.107560618322,617.6679035112254,1.492725247358185,0.0,4041.5719230141094,28010.39906778201,60646.69687829291,12368.620488774315,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,2156.4992953445358,756.166483850364,174.64278522725684,0.0,0.0,3144.121760107704,0.0,1.7672053877364233,0.0,0.0,0.0,31.116846828218918,878.7808393034569,308.2688226030465,185.97616540702532,23.316970151952674,0.0,0.0,12198.164782810312,0.0
1997,4532.23766907038,618.9721302330823,1.492725247358185,0.0,4066.3370162977585,28499.26276391703,60092.12598802707,12381.288480160607,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,2122.9665710239365,769.749431502446,175.47352812231745,0.0,0.0,3161.303243611932,0.0,1.7672053877364233,0.0,0.0,0.0,31.116846828218918,880.2733798590887,315.7536801443704,188.02766097001032,23.316970151952674,0.0,0.0,12217.913213706615,0.0
1998,4531.855972207252,619.8092343666093,1.492725247358185,0.0,4109.674705110917,28983.547124814235,59518.74579156569,12380.271544157544,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,2041.0723895017613,807.019125298443,176.58543826252236,0.0,0.0,3202.147153716507,0.0,1.7672053877364233,0.0,0.0,0.0,31.116846828218918,880.0909412608728,327.77145551059897,191.29088338887843,23.501782142029278,0.0,0.0,12251.618185494743,0.0
1999,4521.208450613599,620.7329891527684,1.492725247358185,0.0,4106.059055506672,29741.7474394429,58612.02078265763,12430.671402245212,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,1859.8529570616288,857.7851618501302,182.7920260802108,0.0,0.0,3362.724453070999,0.0,1.7672053877364233,0.0,0.0,0.0,33.26642929285642,893.0483968848387,357.15868264265026,195.85896866594913,24.242789657169023,0.0,0.0,12276.94858880159,0.0
2000,4485.703027039015,622.9514805621296,1.492725247358185,0.0,4099.008197082138,30407.190619911125,57776.75695100725,12565.377433528354,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,1773.590612595189,881.5269140100611,187.88532444103458,0.0,0.0,3473.4256781770246,0.0,1.7672053877364233,0.0,0.0,0.0,33.54680272480444,899.2027684052124,367.8719153312832,200.3337149986449,24.42732398628108,0.0,0.0,12277.3198098273,0.0
2001,4483.177224326976,626.6638893358497,1.492725247358185,0.0,4057.9888460009442,31203.715040776664,56941.14785607499,12601.70373811484,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,1711.4670980498322,890.0478396085683,189.92270474798886,0.0,0.0,3556.911972647777,0.0,1.7672053877364233,0.0,0.0,0.0,33.73362479201869,905.4435952772559,371.3785865718206,202.85150732461125,24.055382359915193,0.0,0.0,12275.909667616774,0.0
2002,4480.366128283015,628.431796873179,1.492725247358185,0.0,4039.9030936318986,31631.307835792482,56490.928573809404,12610.11122367254,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,1682.3303877710387,899.9790624465228,191.49930165028587,0.0,0.0,3600.444436038582,0.0,1.7672053877364233,0.0,0.0,0.0,34.66756787682685,921.0966238709315,373.41334670205686,206.0185075664314,24.33363574287973,0.0,0.0,12261.287051898757,0.0
2003,4472.994619636176,631.3179120548009,1.492725247358185,0.0,4020.668230642996,32106.53406363526,55987.34095586109,12634.187899008812,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,1678.6778181782092,909.7367574272057,194.00626377253,0.0,0.0,3614.7189607149653,0.0,1.7672053877364233,0.0,0.0,0.0,35.13492752707719,925.0121717434463,373.04414784354935,206.85529721892425,25.168745418190785,0.0,0.0,12260.719802943522,0.0
2004,4473.1662384588135,638.5709411182489,1.492725247358185,0.0,3976.9596134904245,32402.545915910207,55533.97203175007,12709.504762740411,0.0,0.0,0.0,0.0,0.0,0.0923415126933898,0.0,0.0,1.662410901464256,1751.3924785795837,917.8819743705731,198.08745612023804,0.0,0.0,3649.571024646488,0.0,1.7672053877364233,0.0,0.0,0.0,35.6957087429127,928.0768682334664,372.3902054665893,208.06663845890682,25.355860933110833,0.0,0.0,12254.880854606743,0.0
2005,4474.647466573056,641.9245887488458,1.492725247358185,0.0,3955.5053019014613,32510.814912526672,55408.26551394843,12708.016373833527,0.0,0.0,0.0,0.0,0.0,0.18505329874192378,0.0,0.0,1.662410901464256,1761.2282615672877,919.0808396099288,199.01939586349758,0.0,0.0,3668.113058231825,0.0,1.7672053877364233,0.0,0.0,0.0,37.0977882980125,928.7282232858962,372.85027332653794,211.88853892708644,25.263184354764903,0.0,0.0,12253.582140843931,0.0
2006,4467.947265910856,643.3221662280682,1.492725247358185,0.0,3919.4640875181803,32576.314137955982,55334.74610805442,12734.174899136404,0.0,0.0,0.0,0.0,0.0,0.7394226310026675,0.0,0.0,1.7550464930735123,1777.0191907485412,918.6095929734335,199.7612487518309,0.0,0.0,3677.6448793851437,0.0,1.8602487408424793,0.0,0.0,0.0,37.0977882980125,934.3852181325638,373.12980671134966,214.49697406571858,26.004428907144202,0.0,0.0,12241.16802078616,0.0
2007,4462.445816392852,645.73822203265,1.492725247358185,0.0,3890.4740852928744,32987.18353600487,54842.9915718728,12749.189323284643,0.0,0.0,0.0,0.0,0.0,0.7394226310026675,0.0,0.0,1.7550464930735123,1846.4615848973986,925.6488575394295,200.96720155566013,0.0,0.0,3702.2538317760186,0.0,2.6978052343315855,0.0,0.0,0.0,37.284814774187,939.2141618838411,373.3117122414579,217.29212145996001,26.65584347959419,0.0,0.0,12227.335572582078,0.0
2008,4457.959407977917,649.4559752319259,1.492725247358185,0.0,3770.0997078014434,33034.94776438356,54796.72068010609,12764.046541160005,0.0,0.0,0.0,0.0,0.0,0.9248615362825446,0.0,0.0,1.7550464930735123,1880.8831063782009,932.1173901955933,201.70908784388297,0.0,0.0,3755.2680501715486,0.0,2.6978052343315855,0.0,0.0,0.0,39.23989389955204,945.6324105246628,374.13945338480244,220.83551099425782,26.84150590150227,0.0,0.0,12224.366332210031,0.0
2009,4449.283458963044,651.1288055565244,1.5861066361634188,0.0,3739.4458615272797,33021.482272066125,54773.833464097435,12782.69768418006,0.0,0.0,0.0,0.0,0.0,0.9248615362825446,0.0,0.0,1.7550464930735123,1920.1556829034885,934.5317604442191,200.50467686674895,0.0,0.0,3762.958711825761,0.0,3.4422434986502175,0.0,0.0,0.0,40.17419966353937,947.3079263234973,374.3263673589773,224.5645373256292,27.214510437875187,0.0,0.0,12223.81507897168,0.0
2010,4425.348866371156,658.3902234541483,1.5861066361634188,0.0,3725.6526537238146,33203.39952252535,54571.12014546359,12793.760252074933,0.0,0.0,0.0,0.0,0.0,2.0367678299304877,0.0,0.0,1.7550464930735123,1943.6392031040327,933.5967958425122,199.57798946708417,0.0,0.0,3770.8167690542223,0.0,3.9078218905273525,0.0,0.0,0.0,40.17419966353937,950.5589867112068,374.50996912060054,230.8995608421953,27.307049611041922,0.0,0.0,12223.095326796949,0.0
2011,4423.475839425468,664.5452653693541,1.5861066361634188,0.0,3710.45244356854,33202.48151000037,54512.88929979243,12787.618172796227,0.0,0.0,0.0,0.0,0.0,2.0367678299304877,0.0,0.0,1.7550464930735123,1999.7322355217188,936.9311094544229,199.6706872401231,0.0,0.0,3782.752238441346,0.0,3.9078218905273525,0.0,0.0,0.0,40.17419966353937,950.5584955006111,376.6480726373867,235.65286125084,27.307049611041922,0.0,0.0,12220.958033552895,0.0
2012,4408.451221427126,668.5566606791623,1.30625779624823,0.0,3699.4424518983983,33160.03493510605,54558.930340745486,12792.665777846141,0.0,0.0,0.0,0.0,0.0,2.0367678299304877,0.0,0.0,1.7550464930735123,2000.2028057875739,938.3299618153915,199.76406001278562,0.0,0.0,3787.738927435849,0.0,4.18723307732661,0.0,0.0,0.0,40.174330750641076,951.9522591119744,376.55469122584714,242.27020413425268,27.307049611041922,0.0,0.0,12219.472273891799,0.0
2013,4397.451806815964,673.0359104877607,1.30625779624823,0.0,3687.8827122603516,33228.05574825378,54488.6956357414,12796.10174943666,0.0,0.0,0.0,0.0,0.0,2.0367678299304877,0.0,0.0,1.7550464930735123,2000.8563168242715,939.1739404662545,199.6713361759624,0.0,0.0,3790.3298184290334,0.0,4.280276430432666,0.0,0.0,0.0,40.08100699263343,951.7653513511173,376.6480419765049,253.9198681474563,27.307049611041922,0.0,0.0,12220.778615156232,0.0
