year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,51671.02025033038,2746.4199518172913,0.0,3843.649723239777,24371.34541188611,20661.231246375584,540.8159511359532,77.58262250568175,1.4879443483800963,52.69430933552073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.2819440931073,3496.0535246816175,5934.063710731424,0.0,27.19802695218488,141794.45112855136,0.0,61401.66548024733,0.0,226.61303200941484,65864.7867806002,0.0,96.90937074043926,8575.31206221114,87.4049886166513,788762.5449380161,2358.7689773630464,69.0312860503766,1768.4191155169156,0.0
1993,51671.02025033038,2746.4199518172913,0.0,3843.649723239777,24371.34541188611,20661.231246375584,540.8159511359532,77.58262250568175,1.4879443483800963,52.69430933552073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.2819440931073,3495.589902836819,5933.970928117063,0.0,27.19802695218488,141793.33787504345,0.0,61401.573251849644,0.0,226.61303200941484,65864.7867806002,0.0,96.90937074043926,8575.31206221114,89.44188056226676,788762.2699324351,2358.7689773630464,69.0312860503766,1768.4191155169156,0.0
1994,51670.92747313182,2746.4199518172913,0.0,3843.649723239777,24371.25262278028,20661.231246375584,540.8159511359532,77.58262250568175,1.4879443483800963,52.69430933552073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.2819440931073,3495.2187583419286,5933.970928117063,0.0,27.19802695218488,141791.94643612768,0.0,61401.48047790304,0.0,226.61303200941484,65864.7867806002,0.0,96.90937074043926,8575.31206221114,91.66269819067819,788762.0900384684,2358.7689773630464,69.0312860503766,1768.4191155169156,0.0
1995,51728.568347997745,2755.511125542538,0.0,3916.0702364353792,24369.82258231184,20640.000103508028,528.54853591974,78.04745118578583,1.4879443483800963,52.69430933552073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1378.973287963965,3004.054829761745,5930.706368485214,0.0,27.19802695218488,140808.53573011453,0.0,61288.76663231109,0.0,226.25497558366402,66205.54656831837,0.0,93.4678770252227,8608.288198677381,95.65215993505377,789828.0618128253,2445.8829891741498,69.0312860503766,1739.5803975918843,0.0
1996,51797.99579372236,2765.158661608462,0.0,3948.9199089756535,24366.459279650775,20632.586255429793,530.4100178766869,78.32638760926767,1.4879443483800963,52.69430933552073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.2758478150297,2925.6370555075237,5930.242159896879,0.0,27.19802695218488,141303.28571863647,0.0,60924.49255745397,0.0,226.71269259727686,66354.66151354811,0.0,94.6761860768888,8616.644895730255,99.82790559883699,789526.8673449022,2446.783711204683,69.0312860503766,1725.3763168307532,0.0
1997,51834.575185860245,2769.7976023012284,0.0,3976.5987825952247,24381.31764715467,20632.96115637613,481.69907678866406,78.69837890102843,1.4879443483800963,52.69430933552073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.3323906292153,2882.0364005429547,5929.680964287849,0.0,27.19802695218488,141343.26745700318,0.0,60866.67761347362,0.0,226.43292485461046,66468.2666189523,0.0,92.90876697046299,8654.850657612898,101.40311416260778,789400.3727333436,2448.4119570052044,69.0312860503766,1727.050781855503,0.0
1998,51901.685284446656,2788.034164496705,0.0,4032.665759070731,24400.995713784087,20637.07670964395,449.9941560509392,78.69837890102843,1.4879443483800963,52.69430933552073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.794889098064,2549.278953479878,5908.33212020505,0.0,27.19802695218488,141979.19057488386,0.0,59897.04718426355,0.0,226.79744026360896,66607.76137212991,0.0,93.55996723579771,8675.296962542185,102.60732953056791,789755.1707968886,2493.021796328006,69.0312860503766,1735.3306574261599,0.0
1999,51959.964308454895,2799.0633039369945,0.0,4105.549161554035,24423.99532403975,20640.308851279402,379.04244773216345,79.34891704038381,1.4879443483800963,52.601278341647756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.612406619984,2361.268363045043,5906.93192886736,0.0,27.19802695218488,142006.83793537584,0.0,59610.299337390716,0.0,226.7070618317557,66660.06596262977,0.0,94.58143278291281,8698.70895542117,104.27165543818427,789969.3530930876,2502.2525798543807,69.0312860503766,1784.270215283105,0.0
2000,52020.81275221344,2815.734207658111,0.0,4120.998761787689,24471.8463978853,20635.140422166107,347.2351241258572,79.44178023473175,1.4879443483800963,52.601278341647756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.0242485102192,2305.40204868881,5914.422995182751,0.0,27.19802695218488,142098.9471796707,0.0,59609.138510645535,0.0,227.5261892401499,66887.44415433817,0.0,95.8823649178071,8710.794013029468,105.10737874070209,789677.5477043117,2507.4568934591484,69.0312860503766,1799.530114857731,0.0
2001,52073.666852177856,2834.198552223793,0.0,4131.912212685071,24488.752853930957,20619.95937173348,295.2950847387777,27.943886100182606,1.4879443483800963,52.508225739430046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.9330846611876,2050.0548974164303,5913.20779364382,0.0,27.476218149498504,142197.26064038905,0.0,59486.733531652506,0.0,227.0637962360418,66985.50770386822,0.0,98.29930177836546,8819.190815303113,106.7766870559632,789765.5615944547,2517.7463564502073,69.0312860503766,1797.18308656879,0.0
