year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,334803.9267876871,58901.39508723607,0.0,6245.1145078688,77980.06570054159,63330.63669359641,39877.65213083999,1366.359942370739,0.0,118198.4656773189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.8829795416364,201.61334565918168,130092.28017898653,0.0,11992.914787835436,33161.407349061614,0.0,109.15616134707793,0.0,0.8362834823080885,312.63004865977354,0.0,9081.047594418322,422.2313321163808,2440.2244278422995,218.65850717797454,24.612067051796902,0.0,17416.708365165632,0.0
1993,334783.29773090675,58898.74282719306,0.0,6245.020310677121,77974.87530652067,63320.62625794066,39877.46221404053,1366.359942370739,0.0,118198.18123135375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.366023675262,200.7641823250476,130089.06121493962,0.0,11992.25029407978,33151.320657070384,0.0,109.15616134707793,0.0,0.8362834823080885,312.63004865977354,0.0,9073.930644473152,422.1365040758717,2503.582159511703,218.65850717797454,24.612067051796902,0.0,17415.949386932596,0.0
1994,334765.0436342787,58895.99464337213,0.0,6244.927329435722,77968.64409203824,63310.916241786595,39877.082255779984,1366.170356920544,0.0,118197.51761913029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2849.322467712582,199.81881747119812,130085.0854687334,0.0,11990.542379027578,33144.54702047242,0.0,109.15616134707793,0.0,0.8362834823080885,312.63004865977354,0.0,9066.3381615626,422.0416167644486,2564.933282109125,218.65850717797454,24.612067051796902,0.0,17415.001501491413,0.0
1995,338695.96959552966,59335.181827549975,0.0,6392.373312330256,78425.46185691307,63048.34402665396,40076.49782266209,1310.5844386916917,0.0,118200.78208758272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2853.988591293685,199.34417081600793,125774.04052162792,0.0,11985.365147379032,32661.067213758048,0.0,109.3401966643015,0.0,0.8362834823080885,312.63004865977354,0.0,9076.66076622006,411.4072927066892,2614.9989797803564,214.73487352139549,24.517817023096647,0.0,17305.69308495987,0.0
1996,341481.48574232793,59438.482247251915,0.0,6467.7709656474635,78679.40452501934,62866.36731804156,40334.339271461744,1345.7192423943798,0.0,118800.44394600735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.8820477986064,199.25226115258525,122087.97231803142,0.0,11978.27326132993,32396.258542185595,0.0,111.01183744061254,0.0,0.8362834823080885,316.9004144751626,0.0,9064.886647220957,408.3900602553312,2666.1082909502197,202.20850341486528,24.517817023096647,0.0,17298.308412893246,0.0
1997,343477.16089981294,59518.56431588496,0.0,6519.372277116844,79017.44910662391,62858.95598094952,40368.57224666461,1398.9334019954536,0.0,119783.11953058378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2866.169579023777,198.59300649140917,118859.00211995936,0.0,11976.411847376236,32036.301298798113,0.0,111.47621517669737,0.0,0.8362834823080885,318.9436858773,0.0,8871.440994144865,392.38340702119496,2711.74720057628,147.61632845574638,24.517817023096647,0.0,17572.252412766855,0.0
1998,344682.2168383081,59595.16350035358,0.0,6578.411577667255,79163.66791599023,62843.33389368497,40311.95006562857,1438.674127924085,0.0,120255.22548937588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2869.965065487256,197.92920917017352,117367.6725715325,0.0,11969.495757094872,31578.718335103735,0.0,110.36179990576105,0.0,0.8362834823080885,319.96396459154965,0.0,8859.364261537832,388.42461483765504,2755.7266620874525,140.0916959796374,24.517817023096647,0.0,17578.10850903894,0.0
1999,346670.15787711,59664.12765943944,0.0,6639.43264122164,79326.7429265927,62928.27280126979,40319.65131755452,2102.3034364787472,0.0,123313.0645333847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2919.3136916922303,196.89037590873292,111579.09126365857,0.0,11908.26908243086,31252.883177204814,0.0,111.57330503272999,0.0,0.8362834823080885,321.26258472924815,0.0,8833.401500418544,371.0985921452008,2793.318538524838,106.94672976293789,24.61265334918126,0.0,17646.568984413454,0.0
2000,349530.09986287676,59771.105226514825,0.0,6655.315210943964,79765.87165154719,62724.455663384106,40372.763985306694,2567.463107100498,0.0,125531.12072696898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2979.2772701143194,197.1693154073127,105742.55731557384,0.0,11841.35955206688,31123.78473091933,0.0,110.83047631699232,0.0,0.8362834823080885,320.8909821573331,0.0,8821.257786911658,369.4985101960156,2831.264547483218,103.5870787328239,25.08516564851369,0.0,17644.225506152157,0.0
2001,351029.86368195596,59959.32605601082,0.0,6678.333614894522,80010.58108102779,62569.154548028615,40195.24577783156,2305.2771586544186,0.0,126389.23876721688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3002.1166820594644,191.87504303995604,103577.90170630689,0.0,11820.90870701445,30826.355487919827,0.0,111.10991772613073,0.0,0.8362834823080885,320.8909821573331,0.0,8823.900997554696,369.3135302078034,3099.822322680638,105.18914650432302,25.08516564851369,0.0,17617.493297882032,0.0
