year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6418.637934871798,809.0187634686386,0.0,0.0,1842.2647276922585,2774.4631173596617,0.0,30050.094142713613,0.0,0.0,78310.90870408091,0.0,0.0,7.442490321930208,0.0,0.0,5199.2821773523965,11761.405162494353,31704.438540297782,468.66047965979703,0.0,2771.632890609883,287.79467402461466,1223.7806891464702,60054.67650403902,0.0,852.2471537830654,0.0,12.104470882277242,0.0,29964.794440717655,1518.6428680863446,32127.989188950974,396.99573620193513,0.5294746210767007,64504.84267415477,31833.788073810214
1993,6406.594417796613,808.2945906774493,0.0,0.0,1839.380719902011,2768.5667628365463,0.0,30038.187777993953,0.0,0.0,78302.96135776209,0.0,0.0,7.442490321930208,0.0,0.0,5197.91035259175,11760.128942753914,31703.329932342876,468.66047965979703,0.0,2771.632890609883,287.79467402461466,1223.7806891464702,60050.29809007305,0.0,852.1993557456419,0.0,12.104470882277242,0.0,29961.004409099984,1573.1997330974968,32127.821073456464,396.99573620193513,0.5294746210767007,64503.82858393336,31833.788073810214
1994,6391.973045603104,807.3507258319079,0.0,0.0,1836.6317064874147,2762.2897279061494,0.0,30020.531475048232,0.0,0.0,78293.5653247391,0.0,0.0,7.442490321930208,0.0,0.0,5196.1174456461995,11758.659920659084,31701.92858575104,468.66047965979703,0.0,2771.632890609883,287.79467402461466,1223.7806891464702,60047.34385623422,0.0,852.1140113354179,0.0,12.104470882277242,0.0,29956.7628832621,1638.0979379423147,32127.661902407093,396.99573620193513,0.5294746210767007,64502.677551209854,31833.788073810214
1995,6389.441954331979,806.2331241783402,0.0,0.0,1828.096840633431,2729.9081744508057,0.0,30216.894867225412,0.0,0.0,78660.66437991642,0.0,0.0,7.682560201160647,0.0,0.0,5286.1404675968315,11803.361779839934,31747.12718188054,468.7982761633312,0.0,2773.8418797534896,289.04540935621355,1223.7806891464702,59825.58506842517,0.0,853.5183618473748,0.0,12.44620191589455,0.0,29606.377789828497,1723.1847126931875,32160.616974309294,397.54138518081453,0.5294746210767007,64251.82945203559,31833.788073810214
1996,6377.787488162887,805.3452520962248,0.0,0.0,1824.660554305898,2715.228595862944,0.0,30289.73374664764,0.0,0.0,78321.86478584656,0.0,0.0,7.836351237835149,0.0,0.0,5328.336749664687,11840.735558134944,31842.03469965028,469.09471337739257,0.0,2776.823092883043,289.177591259873,1223.7806891464702,59931.49449186198,0.0,856.3098901295111,0.0,12.627392079560112,0.0,29445.959324214535,1813.0239804680898,32181.09041625262,398.09488251943515,0.5294746210767007,64311.07728510774,31833.788073810214
1997,6358.900059975804,803.2095316134798,0.0,0.0,1814.5062864579988,2686.480070345409,0.0,30360.08342733798,0.0,0.0,78346.62601784868,0.0,0.0,7.869392673909626,0.0,0.0,5387.392992448696,11866.413337941622,31877.14998131583,469.23114081851406,0.0,2778.6474655555676,289.47095666427964,1223.7806891464702,59948.80521549221,0.0,857.5733588065591,0.0,12.73522514614081,0.0,29158.283618716363,1911.5997167695302,32181.336820343473,398.49949383105303,0.5294746210767007,64323.52273166045,31833.788073810214
1998,6367.913414853954,801.6873443772085,0.0,0.0,1804.481498823192,2674.732693053573,0.0,30363.47783439364,0.0,0.0,78247.51407232617,0.0,0.0,7.869392673909626,0.0,0.0,5399.1910232632445,11879.050864325558,31909.064296871944,469.89236342396214,0.0,2779.2439872661416,289.54356081235477,1223.7806891464702,59939.01396310448,0.0,859.2529334845148,0.0,12.802539149633319,0.0,29096.49651074016,2021.71926872973,32182.29990155456,398.4650847278599,0.5294746210767007,64334.62429380768,31833.788073810214
1999,6406.057128998211,803.7369335268141,0.0,0.0,1772.8945087890074,2596.2241509783507,0.0,30885.92105754304,0.0,0.0,79532.98313762847,0.0,0.0,9.44377042763263,0.0,0.0,5884.328445813388,12173.33271415659,32465.255341104068,472.1727749340509,0.0,2793.104221303075,291.0843033927354,1223.7806891464702,60049.78058371283,0.0,865.1846812212574,0.0,14.502760124556467,0.0,26301.254949271664,2129.520872968301,32241.17124830213,399.1119096186178,0.5294746210767007,63751.271347948874,31833.788073810214
2000,6578.7007623345,801.6547241838548,0.0,0.0,1762.8664979618861,2549.8497701336487,0.0,31136.40709772548,0.0,0.0,79051.13252421145,0.0,0.0,9.665765142207222,0.0,0.0,5890.338811894839,12341.59752732205,32744.51983638673,474.74582853474095,0.0,2796.757965698727,292.99701541572443,1223.7806891464702,59841.643754677934,0.0,869.8072063502366,0.0,15.40398063644684,0.0,26044.42236443538,2248.255049804668,32252.211604874614,399.61283461755977,0.5294746210767007,63735.745919420944,31833.788073810214
2001,6591.490248383141,803.9902943302142,0.0,0.0,1760.2950764802276,2551.401455722645,0.0,31196.67656807109,0.0,0.0,78956.91864736634,0.0,0.0,9.705766923618025,0.0,0.0,5892.180173266024,12414.534907320896,32933.82136132751,475.724473004403,0.0,2799.3564103714084,295.38171782859706,1223.7806891464702,59778.08412127116,0.0,871.5910013610132,0.0,15.802228683940061,0.0,25838.39618405277,2310.8213890957413,32245.29494345972,399.6468415390657,0.5294746210767007,63697.223031904075,31833.788073810214
2002,6581.604645890871,804.397845947068,0.0,0.0,1746.2577297786406,2535.9091760984766,0.0,31235.443218876466,0.0,0.0,78926.11173351097,0.0,0.0,10.451021577328525,0.0,0.0,5892.334617291799,12457.402748073935,32974.06077536458,476.82157275415307,0.0,2800.485693841373,296.1296339281139,1223.7806891464702,59761.16498158405,0.0,872.5477466039268,0.0,16.097760791623422,0.0,25750.59115762773,2414.115439789629,32224.54421271807,399.48137973725875,0.5294746210767007,63662.383749977555,31833.788073810214
2003,6609.572212856282,808.3697656198802,0.0,0.0,1740.1562532236753,2536.993656411611,0.0,31217.614903586575,0.0,0.0,78776.47258532602,0.0,0.0,10.490383793911617,0.0,0.0,5881.446055719236,12501.262778520495,33051.33638874053,477.25604544257396,0.0,2801.5719211525766,296.28161313427574,1223.7806891464702,59728.59709219857,0.0,873.8454586538128,0.0,16.28804260750352,0.0,25713.072793043815,2509.73342113179,32234.192241847213,399.3796801283135,0.5294746210767007,63654.40354862489,31833.788073810214
2004,6699.906726624286,811.0058162616525,0.0,0.0,1739.4793046430011,2523.114772971944,0.0,31233.58889200278,0.0,0.0,78752.26288969467,0.0,0.0,10.649896992904829,0.0,0.0,5870.587824158236,12543.288387925091,33285.9062103123,477.9480310598808,0.0,2800.5698008324453,313.43890678687745,1223.7806891464702,59437.03354296943,0.0,872.4562820254322,0.0,16.876733364680437,0.0,25607.90297563439,2569.585302483792,32232.64728214334,399.3796801283135,0.5294746210767007,63640.70758274804,31833.788073810214
2005,6748.58382880366,816.2205468902042,0.0,0.0,1748.8974848631033,2549.0343354125835,0.0,31116.703902550318,0.0,0.0,78688.1892873838,0.0,0.0,11.330365474414023,0.0,0.0,5842.802364770369,12572.581893458482,33308.82551813998,479.0076859424576,0.0,2800.637169626283,314.58944037559206,1223.7806891464702,59404.61393788435,0.0,872.9273592154109,0.0,17.166464620546904,0.0,25599.22780425367,2679.958255338734,32248.35650999369,399.3085761704374,0.5294746210767007,63619.374110595534,31833.788073810214
2006,6776.657946541391,817.764089184232,0.0,0.0,1748.045096167716,2560.2947311900634,0.0,31090.140537755608,0.0,0.0,78615.0032630132,0.0,0.0,11.418170968315046,0.0,0.0,5829.995183106256,12645.07780614172,33326.34516273393,481.24849157244114,0.0,2800.388099314547,316.7284784252386,1223.7806891464702,59362.894295453225,0.0,873.1094460026586,0.0,17.417222126971474,0.0,25535.146032223478,2753.892231899819,32261.91335902939,399.2088770924463,0.5294746210767007,63615.64832182106,31833.788073810214
2007,6798.809355143961,817.9517372358757,0.0,0.0,1747.7252682594908,2560.187385395744,0.0,31164.445630020087,0.0,0.0,78566.30115553873,0.0,0.0,12.213234348948049,0.0,0.0,5811.102598855714,12871.2181471456,33363.79764972032,483.11183998566537,0.0,2798.043179671058,321.4612073373516,1223.7806891464702,59174.216827925666,0.0,871.5941943492037,0.0,19.254908285650007,0.0,25352.68117814099,2825.925995556948,32282.71860770524,399.0947796630413,0.5294746210767007,63596.481961478334,31833.788073810214
2008,6803.822031728481,809.9782595770454,0.0,0.0,1744.364253296269,2523.345909767933,0.0,31440.218609861935,0.0,0.0,78671.82689721079,0.0,0.0,12.918742272154853,0.0,0.0,5804.015170937325,13157.046202962625,33423.29107366548,486.89692120064933,0.0,2793.745358572984,328.31699014959224,1223.7806891464702,58834.32567745091,0.0,867.3719949160161,0.0,22.251549687157635,0.0,24916.653216386847,2921.627319711028,32275.33245450702,398.80182253569944,0.5294746210767007,63602.186385365705,31833.788073810214
2009,6917.227735540673,808.9604677983151,0.0,0.0,1746.9730807770973,2516.004102535789,0.0,31712.72484525833,0.0,0.0,78748.81662407062,0.0,0.0,14.937515604208269,0.0,0.0,5778.396587382486,13644.32574695813,33572.04430469085,496.83216079990365,0.0,2786.9699300656544,346.0331508329208,1223.7806891464702,58325.64180672615,0.0,862.6047475679937,0.0,25.088223627533118,0.0,24353.91640200024,2947.497088614265,32264.63749212179,398.8664355354093,0.5294746210767007,63569.838393255304,31833.788073810214
2010,7078.598693428157,826.43058943964,0.0,0.0,1771.306616231359,2567.4269506263954,0.0,31595.061465585808,0.0,0.0,78483.39547785372,0.0,0.0,15.105968546527784,0.0,0.0,5716.712484034012,13718.119592537952,33978.571937358414,499.8752936452041,0.0,2789.0192376314753,355.08058237673373,1223.7806891464702,57966.23382331228,0.0,858.498455567456,0.0,24.110687537593492,0.0,24368.12018870814,2971.043571727541,32260.463478024416,398.74178175458906,0.5294746210767007,63596.4199658364,31833.788073810214
2011,7236.144598173898,851.3447340083393,0.0,0.0,1792.2403588811253,2614.39385598716,0.0,31481.538932914227,0.0,0.0,77940.16515181347,0.0,0.0,14.58985375048016,0.0,0.0,5654.364271886899,13891.194268234212,34442.84213385797,507.5242069756266,0.0,2791.3029562632687,369.5469801098486,1223.7806891464702,57600.21611345552,0.0,861.3201339523272,0.0,21.872885594060122,0.0,24481.23548081621,2993.227537495749,32251.022080462153,398.60516354801655,0.5294746210767007,63643.64514358301,31833.788073810214
2012,7308.079483475233,860.9677458928236,0.0,0.0,1797.6451086902102,2628.586991495813,0.0,31428.057723865608,0.0,0.0,77671.13324489655,0.0,0.0,14.57928757747824,0.0,0.0,5623.25001281383,13965.889170816807,34710.61230889645,510.88318227317075,0.0,2792.2921265581595,374.2637611983127,1223.7806891464702,57430.4392092436,0.0,861.47359107792,0.0,20.85715682686027,0.0,24524.2002718192,3056.0576525540955,32227.40370576755,398.5069247934559,0.5294746210767007,63633.158181230465,31833.788073810214
2013,7327.854383830055,862.0806101496612,0.0,0.0,1796.565858295413,2627.7512005228996,0.0,31442.825464371057,0.0,0.0,77621.44489445053,0.0,0.0,14.407807092960518,0.0,0.0,5616.7671941194085,13992.085729489483,34775.25782983363,509.1482541533076,0.0,2792.020151051901,376.0557460342443,1223.7806891464702,57370.27692852346,0.0,860.7121336229162,0.0,20.60534123203281,0.0,24493.54872452743,3074.9752878840204,32222.808275179246,398.2332839032093,0.5294746210767007,63642.911743496785,31833.788073810214
2014,7446.405611150417,872.6047502532908,0.0,0.0,1806.4568450615825,2649.5038456009793,0.0,31487.45105676873,0.0,0.0,77440.64620160671,0.0,0.0,14.872098527809875,0.0,0.0,5563.411664728433,14314.647857871998,34882.630898839474,504.08704527809243,0.0,2788.4452855935488,383.7090538035568,1223.7806891464702,57146.20039371725,0.0,855.6548141159066,0.0,12.441373078425752,0.0,24161.458116577094,3106.457773742258,32165.634982877345,397.3762342504684,0.5294746210767007,63838.24093832041,31833.788073810214
2015,7444.545004394585,873.0120305017319,0.0,0.0,1806.2115917279507,2651.89044672498,0.0,31473.077479737283,0.0,0.0,77399.28609411333,0.0,0.0,14.872098527809875,0.0,0.0,5561.743784250945,14320.593156222643,34889.74702427874,504.8144948555332,0.0,2788.7197013990176,383.7090538035568,1223.7806891464702,57155.23057149236,0.0,855.7472171431003,0.0,12.441373078425752,0.0,24164.129761173732,3134.204190049777,32169.226669059095,397.41400525415133,0.5294746210767007,63837.72109397502,31833.788073810214
