year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,4242.829821965595,2618.592300580886,94.86316827821302,35.130016564217435,27473.678038346654,16730.900485860486,366315.5559317435,0.0,0.0,0.0,0.0,0.0,0.0,1.9850273235580915,0.0,0.0,0.0,428.72787503454,1480.0482848756842,134.18461182622931,0.0,0.0,9.0070991995692,0.0,3582.0774576355934,0.0,0.0,0.0,8333.134903077178,4842.758913267685,0.0,150.13657070945814,9.109891951850704,0.0,0.0,30183.554807603836,0.0
1993,4242.829821965595,2618.592300580886,94.76827850186649,35.130016564217435,27473.488427307995,16730.805318330717,366314.60550075787,0.0,0.0,0.0,0.0,0.0,0.0,1.9850273235580915,0.0,0.0,0.0,428.72787503454,1480.0482848756842,134.18461182622931,0.0,0.0,9.0070991995692,0.0,3581.9822453764455,0.0,0.0,0.0,8333.134903077178,4842.758913267685,0.0,151.56188229911086,9.109891951850704,0.0,0.0,30183.554807603836,0.0
1994,4242.829821965595,2618.592300580886,94.76827850186649,34.94032133114865,27473.203759268734,16730.615359710016,366313.6570741969,0.0,0.0,0.0,0.0,0.0,0.0,1.9850273235580915,0.0,0.0,0.0,428.72787503454,1480.0482848756842,134.18461182622931,0.0,0.0,9.0070991995692,0.0,3581.887392141627,0.0,0.0,0.0,8332.944785921209,4842.758913267685,0.0,153.4596011438725,9.109891951850704,0.0,0.0,30183.554807603836,0.0
1995,5281.680346501317,3212.500447531957,94.95804915846513,37.02108393689716,28877.915273675877,17393.504504324017,362236.43921391555,0.0,0.0,0.0,0.0,0.0,0.0,1.9850273235580915,0.0,0.0,0.0,459.9486718490535,1574.741535280929,135.31310217321408,0.0,0.0,9.101134152673398,0.0,3915.2166690070053,0.0,0.0,0.0,8332.360231259583,4848.50377835313,0.0,154.69125604048693,9.109891951850704,0.0,0.0,30091.28498940924,0.0
1996,5293.742500895899,3223.7933191566653,94.95804915846513,37.02108393689716,28823.942898729274,17405.676004017936,362197.9831336929,0.0,0.0,0.0,0.0,0.0,0.0,1.9850273235580915,0.0,0.0,0.0,459.9486718490535,1574.741535280929,135.31310217321408,0.0,0.0,9.101134152673398,0.0,3924.343651519248,0.0,0.0,0.0,8332.922061349105,4858.587463545736,0.0,157.44160070203077,9.109891951850704,0.0,0.0,30125.664076409306,0.0
1997,5407.3413838964,3290.9471116620216,95.33767859483632,37.20896788763211,29116.803955074745,17560.467909110503,361548.0983419197,0.0,0.0,0.0,0.0,0.0,0.0,1.9850273235580915,0.0,0.0,0.0,463.5380508607952,1582.9933924765332,139.57669928998402,0.0,0.0,9.101134152673398,0.0,4000.433133919874,0.0,0.0,0.0,8334.413748710309,4885.120609485221,0.0,161.52353382271332,9.109891951850704,0.0,0.0,30022.27463570587,0.0
1998,5493.739189272748,3316.3195554570398,95.71744685594693,37.02076472668386,29617.200609892385,17827.036704629933,360649.5847419707,0.0,0.0,0.0,0.0,0.0,0.0,1.9850273235580915,0.0,0.0,0.0,477.26313369654014,1590.1420375992923,139.57669928998402,0.0,0.0,9.101134152673398,0.0,4010.3009446383935,0.0,0.0,0.0,8334.792423770103,4894.233536863229,0.0,167.68883320998938,9.109891951850704,0.0,0.0,29995.46253054419,0.0
1999,5643.339562997189,3398.2043707463176,99.51337427383342,37.20812706000461,31080.694171226118,18960.618083770507,357744.2422966958,0.0,0.0,0.0,0.0,0.0,0.0,1.9850273235580915,0.0,0.0,0.0,492.3205170755591,1600.7957410030904,147.80182897380945,0.0,0.0,9.289201692481635,0.0,4060.628819527938,0.0,0.0,0.0,8324.953436470232,4905.124234723689,0.0,174.70358428818494,9.109891951850704,0.0,0.0,29975.742936044993,0.0
2000,5719.320283707604,3418.340800952354,103.68817222730783,37.49361513093966,32131.528879278307,19638.585233833663,355872.19218698697,0.0,0.0,0.0,0.0,0.0,0.0,1.9850273235580915,0.0,0.0,0.0,502.3770708940791,1601.1741167885352,147.89704342321582,0.0,0.0,9.289201692481635,0.0,4090.8300892541833,0.0,0.0,0.0,8306.025015910847,4907.3889337154305,0.0,184.26244810882892,9.109891951850704,0.0,0.0,29984.787194664517,0.0
2001,5785.278955917012,3450.197984998896,106.72414533489695,37.96664996446772,31473.647646594054,19827.9202595025,356274.36364489974,0.0,0.0,0.0,0.0,0.0,0.0,1.9850273235580915,0.0,0.0,0.0,507.92612475879247,1602.1258513778491,129.84614120938033,0.0,0.0,9.099453883701107,0.0,4125.246738545251,0.0,0.0,0.0,8293.027633926848,4919.363798959961,0.0,184.45073827556106,10.533155620848627,0.0,0.0,29926.57125475092,0.0
