year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,8304.871880079114,19835.43886079043,0.0,0.0,21290.84341646738,22114.656358193333,79844.68802926273,56242.7271499529,70347.95081834758,1010.9680893518258,0.0,0.0,0.0,0.0,0.0,0.0,5.214680579865401,21281.20141038531,541.6457788899269,55720.63658562502,0.0,0.0,12301.506288895116,0.0,24.098576494260413,0.0,0.0,0.4234513483780333,0.0,0.0,29373.592256004245,405.8581641405006,6.51134180882881,0.0,0.0,3685.69552441977,0.0
1993,8300.992809789617,19833.71388473406,0.0,0.0,21290.41040783256,22109.91589570456,79844.68802926273,56242.7271499529,70347.95081834758,1010.9680893518258,0.0,0.0,0.0,0.0,0.0,0.0,5.214680579865401,21280.340970993806,541.6457788899269,55718.750754681736,0.0,0.0,12300.902609473758,0.0,24.098576494260413,0.0,0.0,0.4234513483780333,0.0,0.0,29373.592256004245,419.9856313661244,6.51134180882881,0.0,0.0,3685.69552441977,0.0
1994,8297.886105002655,19832.24835502051,0.0,0.0,21289.71972394021,22107.243130397062,79844.60154548855,56242.638531679106,70347.95081834758,1010.9680893518258,0.0,0.0,0.0,0.0,0.0,0.0,5.214680579865401,21279.565231988177,541.6457788899269,55717.54734678834,0.0,0.0,12300.298808092562,0.0,24.098576494260413,0.0,0.0,0.4234513483780333,0.0,0.0,29373.592256004245,430.67936539467564,6.51134180882881,0.0,0.0,3685.69552441977,0.0
1995,8942.319913662928,21090.336665658622,0.0,0.0,22279.83181052132,22585.124165826197,77671.74954718558,53986.5415905553,70365.0629363388,1008.1582108941432,0.0,0.0,0.0,0.0,0.0,0.0,4.430600085938611,21664.2876572653,555.4890233663639,55845.30424874749,0.0,0.0,12585.221358941733,0.0,24.098576494260413,0.0,0.0,0.4234513483780333,0.0,0.0,29384.566722141535,440.3436972789395,6.51134180882881,0.0,0.0,3898.7271429147654,0.0
1996,8997.969506987014,21249.732519768546,0.0,0.0,22219.45902120534,22639.53821900702,77694.42553538272,53701.28324076063,70373.44424670952,1008.1722582129019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21719.841310391916,556.9529641124961,55751.54675486026,0.0,0.0,12602.819072763807,0.0,24.098576494260413,0.0,0.0,0.4234513483780333,0.0,0.0,29363.160767341717,451.03299508828474,6.51134180882881,0.0,0.0,3978.1168787927613,0.0
1997,9171.496002048409,21570.5580502809,0.0,0.0,22495.552176168738,22785.07452048504,77336.67730141853,52985.667465052364,70378.45794326812,1006.8567312081486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21815.100825044618,560.9340173180838,55724.51459629338,0.0,0.0,12657.656738272259,0.0,24.27480334304942,0.0,0.0,0.4234513483780333,0.0,0.0,29301.839456651236,461.0289418279818,6.51134180882881,0.0,0.0,4055.9042991983424,0.0
1998,9382.226948411548,22039.80848679504,0.0,0.0,22604.614495602415,23033.36582567033,77138.80424031735,51879.41433883328,70374.18445176787,1010.00300498477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21980.7363701491,567.1184017679014,55524.60440702043,0.0,0.0,12764.082747455053,0.0,24.27480334304942,0.0,0.0,0.4234513483780333,0.0,0.0,29343.050538999527,471.11967581465933,6.511333278079123,0.0,0.0,4194.185139477614,0.0
1999,9791.548466542265,22922.96406563359,0.0,0.0,23186.265573573197,23525.325118092314,76466.5350505581,48004.196223970255,70361.3464369118,1005.0767078529778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22369.28449076089,580.0592208665779,57137.005970053506,0.0,0.0,12872.729200171932,0.0,24.62724637855164,0.0,0.0,0.4234513483780333,0.0,0.0,29386.928245804236,476.79917045673994,6.511333278079123,0.0,0.0,4220.90268878315,0.0
2000,9870.324690225661,23370.37166712964,0.0,0.0,23249.54747832651,23707.00275846345,76462.60528527852,45959.62544303182,70315.61108019484,1005.1825691423744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22648.32300562336,586.1862445762506,57398.32342843381,0.0,0.0,12963.974513391906,0.0,24.71595876280719,0.0,0.0,0.4234513483780333,0.0,0.0,30061.66335548185,484.81362335923814,6.511333278079123,0.0,0.0,4223.322774987733,0.0
2001,10074.17303157227,24521.2782813102,0.0,0.0,23804.24785414531,24185.281160223694,75118.54402744435,43070.89250781909,70277.91619844695,997.950918526865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23115.18139066062,610.2643285280049,58036.86094528924,0.0,0.0,13092.155350690186,0.0,24.801284365713343,0.0,0.0,0.4234513483780333,0.0,0.0,30613.253368272282,550.4753487742702,6.511333278079123,0.0,0.0,4238.317880340814,0.0
2002,10128.406243658508,25157.503825481468,0.0,0.0,24102.319780491318,24421.76135920127,74249.8988723066,42086.77199899519,70262.64699803463,993.0641922507317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23292.42640426864,629.3468846658442,58205.131989620255,0.0,0.0,13186.855711589224,0.0,24.801284365713343,0.0,0.0,0.4234513483780333,0.0,0.0,30764.273189074353,584.1548543035517,6.511333278079123,0.0,0.0,4242.23028810267,0.0
