year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6523.903944298361,5372.9158988117915,0.0,0.0,18283.93213577836,10162.06272401295,775794.2314740918,400.5705342700759,2995.2033818951445,1061.2365174287334,0.0,0.0,0.0,120.12062132912386,0.0,0.0,0.0,19896.563543660865,7429.285300653634,89990.25922700102,0.0,0.0,147800.7556335543,0.0,60304.82774442531,0.0,0.0,1785.2385211713429,36426.38341213366,21.327602071949897,2199.612177984772,1694.7876735347459,93993.34504893178,0.0,0.0,29915.034336550674,3078.720246141799
1993,6542.729318025481,5420.3901321297635,0.0,0.0,18529.07974649448,10278.858386000691,774018.12944539,398.31945108748863,2995.015189522441,1061.2365174287334,0.0,0.0,0.0,119.2647558896712,0.0,0.0,0.0,19916.73676254513,7432.266289433319,90006.62919524677,0.0,0.0,147808.73146819894,0.0,60300.63905944737,0.0,0.0,1785.146897318504,36290.13964931564,22.374508922425587,2351.864844329924,1720.5127566763308,93990.09470149344,0.0,0.0,31183.53125998381,3078.627364853308
1994,6540.521251562222,5419.927136070993,0.0,0.0,18528.60694802875,10278.015701266306,774017.7509843182,398.31945108748863,2994.92140625578,1061.2365174287334,0.0,0.0,0.0,119.2647558896712,0.0,0.0,0.0,19915.895965656255,7432.266289433319,90002.33549739988,0.0,0.0,147806.41933160002,0.0,60295.727971892,0.0,0.0,1785.0560714151427,36290.13964931564,22.374508922425587,2351.864844329924,1741.9540768612278,93986.47447500013,0.0,0.0,31182.711672987996,3078.5331930114344
1995,6545.749800285432,5490.785452646459,0.0,0.0,19102.693806502415,10578.160188322101,772386.5924940687,374.20031526604146,2987.6258062902643,1054.4974008881431,0.0,0.0,0.0,119.5502131413444,0.0,0.0,0.0,19907.742756198855,7451.053383488906,90212.7558568941,0.0,0.0,147991.1558673782,0.0,60401.57728043425,0.0,0.0,1788.5422907264158,36238.07918636953,20.661853156197676,2413.3758181680428,1765.0936255312995,93849.48715909365,0.0,0.0,31492.49682677955,3078.4403181018215
1996,6553.110697054499,5524.751313893392,0.0,0.0,19198.199831259924,10621.584557858278,772042.5761308821,372.8729055454608,2987.5317683008457,1054.4024620444648,0.0,0.0,0.0,119.5502131413444,0.0,0.0,0.0,19806.135154666033,7453.6773059130155,90078.4707048171,0.0,0.0,148056.99781481866,0.0,60454.83652286224,0.0,0.0,1792.130882560503,36213.75003772258,19.042424136861907,2452.4747088461613,1791.6725770556734,93846.74487839159,0.0,0.0,31731.45737220944,3078.3474357508258
1997,6561.762340589166,5561.930945681981,0.0,0.0,19314.801548114003,10665.780932668007,771714.9404254735,372.966099736976,2986.77180730104,1053.6431085172085,0.0,0.0,0.0,119.55021140125157,0.0,0.0,0.0,19797.241379167488,7475.716794121301,89785.44676820387,0.0,0.0,148337.12374490305,0.0,60393.81961438561,0.0,0.0,1792.6978556195836,36180.35481666522,19.042424136861907,2484.2129432511947,1827.2374493820491,93801.00013410342,0.0,0.0,31925.92892055863,3078.3474357508258
1998,6574.870540449775,5634.10490637412,0.0,0.0,19518.354718298746,10795.698142314279,771105.4607652974,371.7349427750266,2985.5391456717784,1051.5601843015422,0.0,0.0,0.0,119.55007285004105,0.0,0.0,0.0,19819.293678003956,7499.099217773238,89547.64829490421,0.0,0.0,148479.74962677137,0.0,60553.74742153943,0.0,0.0,1796.028342846312,36139.99154595309,18.75666134949306,2525.68510432788,1880.764044118667,93561.9801171669,0.0,0.0,32192.445688094856,3078.2545385491585
1999,6632.433777868978,5803.157875942037,0.0,0.0,20594.868400013653,11118.441333863151,769216.4882878844,373.2520731163536,2984.7676832430884,1050.2334826023236,0.0,0.0,0.0,117.64519428292326,0.0,0.0,0.0,19813.346445307347,7617.293903651486,88718.96701451873,0.0,0.0,149103.50572844065,0.0,60427.8218546782,0.0,0.0,1800.3356655549542,36055.60331107606,17.329434159233163,2708.6112668168125,1927.0695601533153,93487.51101405988,0.0,0.0,32603.474025790958,3078.160366707285
2000,6681.366114328975,5936.142764135241,0.0,0.0,20937.829033646747,11272.327907486842,768865.5844820183,373.256680227933,2984.200542130915,1049.9486754578163,0.0,0.0,0.0,117.54981343793649,0.0,0.0,0.0,19815.13955881574,7701.3179096995755,87760.08439823816,0.0,0.0,149706.75383594938,0.0,60319.89482717886,0.0,0.0,1803.6639614688568,36040.59220594232,17.329434159233163,2728.52301142405,1984.1120944136906,93406.17767381047,0.0,0.0,32670.45530625521,3078.067469505617
2001,6705.312174124249,5985.730487774166,0.0,0.0,20951.238215022375,11319.253152472407,768746.7725300357,341.5269701122686,2984.007693185688,1048.902658341545,0.0,0.0,0.0,117.16907182766118,0.0,0.0,0.0,19808.542107370413,7742.442358605988,87480.94854386694,0.0,0.0,149903.9716344915,0.0,59511.845435656796,0.0,0.0,1809.2869491859517,36031.28402479463,17.329434159233163,2720.0288606447734,1991.4573176639205,94224.85295643384,0.0,0.0,32730.347654456637,3078.067469505617
